Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,11.66,-38.95,18:28:22:512,666.00,24.79
11.75,-40.41,18:28:23:296,666.00,25.31
11.94,-40.90,18:28:23:524,666.00,25.82
11.97,-40.60,18:28:23:851,666.00,25.83
12.11,-40.90,18:28:24:024,666.00,26.10
12.18,-41.35,18:28:24:188,666.00,26.32
12.10,-41.25,18:28:24:331,666.00,26.42
11.90,-41.12,18:28:24:463,666.00,26.18
11.85,-41.50,18:28:24:591,666.00,26.24
11.88,-41.34,18:28:24:714,666.00,26.13
11.85,-41.23,18:28:24:837,666.00,26.24
11.90,-40.96,18:28:24:956,666.00,26.17
11.86,-40.09,18:28:25:080,666.00,25.82
11.97,-40.49,18:28:25:211,666.00,25.90
12.00,-40.15,18:28:25:337,666.00,25.83
11.93,-39.46,18:28:25:457,666.00,25.69
12.27,-39.32,18:28:25:589,666.00,25.87
12.31,-40.14,18:28:25:710,666.00,26.31
12.22,-40.29,18:28:25:835,666.00,26.37
12.18,-40.62,18:28:25:962,666.00,26.41
12.26,-40.90,18:28:26:092,666.00,26.85
12.38,-41.73,18:28:26:222,666.00,26.96
12.48,-40.18,18:28:26:355,666.00,26.67
12.44,-40.29,18:28:26:498,666.00,26.69
12.62,-40.59,18:28:26:622,666.00,26.98
12.68,-40.80,18:28:26:753,666.00,26.94
12.43,-41.37,18:28:26:873,666.00,26.91
12.22,-42.97,18:28:27:010,666.00,27.01
12.26,-43.04,18:28:27:155,666.00,26.64
12.36,-43.47,18:28:27:285,666.00,26.69
12.43,-42.80,18:28:27:409,666.00,26.78
11.52,-34.33,18:28:27:541,666.00,27.46
12.08,11.71,18:28:27:662,666.00,29.70
20.70,47.15,18:28:27:792,7.99,33.99
34.42,61.84,18:28:27:941,12.98,37.55
53.57,67.55,18:28:28:066,28.49,31.29
65.75,69.91,18:28:28:187,666.00,26.85
84.42,70.03,18:28:28:316,666.00,14.12
96.10,69.74,18:28:28:443,666.00,20.61
108.24,60.80,18:28:28:586,666.00,24.32
115.54,60.49,18:28:28:720,666.00,24.66
133.99,57.14,18:28:28:875,666.00,15.04
143.23,52.91,18:28:29:031,666.00,16.50
148.97,47.81,18:28:29:166,666.00,16.90
153.04,39.89,18:28:29:297,666.00,17.61
154.35,35.28,18:28:29:427,666.00,17.94
155.28,33.33,18:28:29:548,666.00,17.20
152.51,37.79,18:28:29:705,666.00,17.10
148.29,44.84,18:28:29:848,666.00,17.45
138.01,54.38,18:28:29:990,666.00,21.11
132.98,59.00,18:28:30:111,666.00,19.15
119.11,64.45,18:28:30:246,666.00,22.60
105.98,66.47,18:28:30:380,666.00,19.77
83.39,68.08,18:28:30:520,29.12,33.92
82.44,66.76,18:28:30:643,666.00,21.75
75.53,65.82,18:28:30:776,666.00,22.79
72.32,64.52,18:28:30:932,142.57,36.50
34.30,46.25,18:28:31:057,39.71,30.77
22.96,25.66,18:28:31:192,27.09,34.76
18.56,9.44,18:28:31:325,24.60,31.51
16.52,-6.57,18:28:31:457,666.00,27.67
16.24,-12.91,18:28:31:585,666.00,27.89
16.25,-12.68,18:28:31:716,666.00,27.67
15.97,-9.89,18:28:31:842,666.00,27.55
15.72,-8.94,18:28:31:970,666.00,28.74
14.89,-4.65,18:28:32:102,14.48,31.41
16.33,20.55,18:28:32:235,16.32,32.20
20.09,33.80,18:28:32:370,15.09,40.06
36.56,55.20,18:28:32:512,29.13,37.23
52.69,66.64,18:28:32:650,666.00,29.31
58.67,68.78,18:28:32:781,21.29,35.75
81.85,70.34,18:28:32:924,666.00,16.61
97.27,71.36,18:28:33:057,666.00,17.55
108.16,68.50,18:28:33:178,666.00,22.31
122.17,68.35,18:28:33:317,666.00,17.80
130.87,62.96,18:28:33:477,666.00,18.05
135.38,55.69,18:28:33:616,666.00,21.29
140.01,50.00,18:28:33:744,666.00,21.53
145.91,41.63,18:28:33:872,666.00,18.55
147.98,35.07,18:28:34:006,666.00,19.33
149.62,30.98,18:28:34:138,666.00,19.54
149.80,30.88,18:28:34:263,666.00,19.38
148.74,31.90,18:28:34:384,666.00,20.13
140.32,43.84,18:28:34:529,666.00,23.42
128.76,55.97,18:28:34:662,666.00,20.70
114.76,62.35,18:28:34:789,666.00,19.10
93.44,65.11,18:28:34:923,37.54,32.94
81.24,67.10,18:28:35:045,666.00,26.65
75.74,67.96,18:28:35:170,666.00,14.75
56.27,57.45,18:28:35:305,34.66,37.16
45.48,53.82,18:28:35:422,35.37,32.96
38.29,53.99,18:28:35:556,666.00,25.33
26.20,44.12,18:28:35:693,666.00,29.31
16.03,23.38,18:28:35:828,666.00,29.41
12.45,2.41,18:28:35:958,666.00,27.86
12.80,-22.82,18:28:36:107,666.00,29.24
13.55,-27.98,18:28:36:240,666.00,28.60
14.09,-26.46,18:28:36:361,666.00,28.57
14.48,-23.58,18:28:36:490,666.00,28.73
14.36,-19.52,18:28:36:641,12.13,30.95
13.15,0.33,18:28:36:784,9.68,32.92
15.52,28.74,18:28:36:910,8.55,36.43
25.74,54.64,18:28:37:034,10.57,35.14
46.54,65.74,18:28:37:154,666.00,25.25
57.67,70.87,18:28:37:283,666.00,24.38
65.45,71.71,18:28:37:404,666.00,28.19
81.49,67.40,18:28:37:549,666.00,26.31
95.77,65.46,18:28:37:682,666.00,26.49
111.69,64.39,18:28:37:816,666.00,19.10
123.96,61.79,18:28:37:945,666.00,19.59
135.61,59.74,18:28:38:089,666.00,16.88
141.08,51.76,18:28:38:237,666.00,23.61
150.14,44.77,18:28:38:364,666.00,18.05
153.45,33.98,18:28:38:488,666.00,18.63
154.79,25.09,18:28:38:620,666.00,18.94
154.77,21.27,18:28:38:748,666.00,19.05
153.54,22.29,18:28:38:881,666.00,19.37
149.47,32.72,18:28:39:001,666.00,20.87
142.34,46.97,18:28:39:125,666.00,19.54
127.11,60.06,18:28:39:268,666.00,18.85
107.70,65.48,18:28:39:393,666.00,20.21
85.65,65.58,18:28:39:540,35.24,32.74
70.88,58.64,18:28:39:670,39.33,38.66
57.59,65.05,18:28:39:799,16.10,40.49
49.84,60.95,18:28:39:950,24.22,38.38
40.02,58.37,18:28:40:088,666.00,29.53
23.49,39.25,18:28:40:267,19.24,37.55
15.03,4.69,18:28:40:448,17.60,30.29
15.16,-10.10,18:28:40:583,666.00,29.81
15.25,-12.10,18:28:40:720,666.00,29.58
14.54,-13.11,18:28:40:859,14.16,30.61
14.45,-13.06,18:28:40:989,13.57,31.22
14.29,-11.34,18:28:41:115,13.77,31.30
13.82,-5.22,18:28:41:243,13.62,31.86
15.80,21.63,18:28:41:393,14.86,35.66
23.72,45.23,18:28:41:539,15.87,39.00
41.25,61.05,18:28:41:688,29.50,33.17
57.05,67.77,18:28:41:816,666.00,20.82
65.73,69.12,18:28:41:945,23.46,34.11
90.70,69.55,18:28:42:060,666.00,15.37
106.17,67.81,18:28:42:191,666.00,16.02
116.44,64.21,18:28:42:327,666.00,15.72
