10.52,82.77,14-40-03-139,1.59,-7.97
10.00,82.79,14-40-03-253,1.50,-7.89
10.27,82.75,14-40-03-382,1.57,-7.96
10.32,82.72,14-40-03-495,1.68,-8.06
10.46,82.69,14-40-03-630,1.82,-8.15
10.43,82.65,14-40-03-759,1.90,-8.24
10.30,82.61,14-40-03-892,1.97,-8.33
10.26,82.57,14-40-04-008,2.05,-8.41
10.19,82.53,14-40-04-123,2.12,-8.49
9.99,82.49,14-40-04-248,2.15,-8.55
9.89,82.48,14-40-04-394,2.17,-8.57
9.83,82.46,14-40-04-513,2.20,-8.60
10.01,82.46,14-40-04-630,2.21,-8.61
9.32,82.60,14-40-04-751,1.47,-8.04
9.21,82.80,14-40-04-883,0.36,-7.23
9.21,82.89,14-40-05-012,0.54,-6.65
9.22,82.94,14-40-05-154,1.11,-6.29
9.29,82.95,14-40-05-281,1.55,-6.05
9.17,82.86,14-40-05-419,1.75,-6.02
9.07,82.74,14-40-05-547,1.92,-6.06
9.10,82.69,14-40-05-667,2.01,-6.05
9.10,82.65,14-40-05-799,2.11,-6.04
9.11,82.63,14-40-05-909,2.18,-6.02
9.19,82.56,14-40-06-035,2.21,-6.07
9.21,82.53,14-40-06-130,2.32,-6.04
9.24,82.50,14-40-06-262,2.39,-6.03
9.24,82.47,14-40-06-368,2.47,-6.02
9.24,82.43,14-40-06-485,2.52,-6.03
9.26,82.39,14-40-06-618,2.58,-6.03
9.31,82.37,14-40-06-733,2.58,-6.06
9.32,82.30,14-40-06-840,2.54,-6.15
9.42,82.24,14-40-06-947,2.45,-6.25
14.65,82.34,14-40-07-069,0.85,-7.04
15.31,81.11,14-40-07-178,3.59,-10.71
22.56,75.52,14-40-07-318,9.30,-19.79
30.79,62.58,14-40-07-437,10.00,-34.64
38.03,53.08,14-40-07-540,9.38,-45.01
53.09,36.68,14-40-07-649,8.85,-65.78
62.61,26.60,14-40-07-772,6.39,-85.10
66.40,22.39,14-40-07-885,5.12,-85.10
68.68,20.52,14-40-07-998,3.08,-85.10
70.07,17.20,14-40-08-106,2.22,-85.10
72.20,14.29,14-40-08-222,2.54,-85.10
72.08,13.68,14-40-08-344,2.89,-85.10
73.27,13.18,14-40-08-462,2.79,-85.10
72.90,13.48,14-40-08-565,2.02,-85.10
72.06,13.08,14-40-08-691,1.26,-85.10
71.88,10.87,14-40-08-802,1.27,-85.10
71.95,3.26,14-40-08-917,1.32,-85.10
72.13,3.26,14-40-09-027,1.28,-85.10
72.94,3.26,14-40-09-131,2.02,-85.10
73.53,3.26,14-40-09-251,2.48,-85.10
74.19,3.26,14-40-09-367,2.61,-85.10
74.38,3.26,14-40-09-472,2.49,-85.10
74.89,3.26,14-40-09-582,2.22,-85.10
75.30,2.12,14-40-09-683,2.07,-85.10
75.53,2.85,14-40-09-798,2.01,-85.10
75.36,3.93,14-40-09-898,1.62,-85.10
75.10,2.83,14-40-10-015,1.41,-85.10
74.94,2.83,14-40-10-129,1.30,-85.10
74.91,2.83,14-40-10-241,1.20,-85.10
74.90,2.83,14-40-10-349,1.06,-85.10
75.01,2.83,14-40-10-469,1.11,-85.10
75.17,2.83,14-40-10-581,1.37,-85.10
75.27,2.83,14-40-10-691,1.53,-85.10
75.53,1.58,14-40-10-813,1.56,-85.10
75.73,10.54,14-40-10-929,1.71,-85.10
75.87,13.10,14-40-11-060,1.81,-85.10
75.94,13.31,14-40-11-171,1.88,-85.10
76.12,13.27,14-40-11-291,2.06,-85.10
76.36,9.65,14-40-11-409,2.10,-85.10
76.53,9.65,14-40-11-527,1.97,-85.10
76.68,9.65,14-40-11-656,1.86,-85.10
76.77,9.65,14-40-11-769,1.83,-85.10
76.79,9.65,14-40-11-898,1.74,-85.10
76.40,6.23,14-40-12-015,1.83,-85.10
76.32,10.29,14-40-12-122,2.06,-85.10
76.19,11.71,14-40-12-213,2.24,-85.10
76.10,13.05,14-40-12-321,2.43,-85.10
75.98,13.64,14-40-12-432,2.49,-85.10
75.87,13.95,14-40-12-555,2.54,-85.10
75.79,13.74,14-40-12-669,2.51,-85.10
75.58,11.90,14-40-12-792,2.30,-85.10
75.42,9.49,14-40-12-895,1.99,-85.10
75.31,7.51,14-40-13-009,1.81,-85.10
75.19,7.25,14-40-13-110,1.66,-85.10
74.98,8.24,14-40-13-228,1.35,-85.10
74.76,9.08,14-40-13-332,1.01,-85.10
74.24,10.72,14-40-13-439,0.37,-85.10
73.81,11.95,14-40-13-544,0.06,-85.10
72.93,12.49,14-40-13-660,0.04,-85.10
70.81,14.58,14-40-13-764,0.66,-85.10
62.79,21.89,14-40-13-879,2.19,-85.10
51.72,33.50,14-40-13-985,2.97,-61.40
33.12,53.47,14-40-14-112,2.92,-38.96
18.18,71.82,14-40-14-210,4.04,-20.61
18.18,80.85,14-40-14-319,5.49,-12.09
