6.12,82.77,17-17-45-544,9.85,-1.98
6.29,82.76,17-17-45-664,9.85,-1.99
6.33,82.75,17-17-45-764,9.85,-2.00
6.40,82.74,17-17-45-874,9.85,-2.00
6.39,82.74,17-17-45-978,9.85,-2.00
6.40,82.66,17-17-46-093,9.85,-2.09
6.42,82.62,17-17-46-193,9.84,-2.14
6.42,82.58,17-17-46-302,9.82,-2.18
6.42,82.55,17-17-46-398,9.79,-2.23
6.44,82.52,17-17-46-495,9.78,-2.26
6.45,82.50,17-17-46-611,9.78,-2.28
6.47,82.49,17-17-46-703,9.77,-2.30
6.49,82.47,17-17-46-806,9.76,-2.32
6.47,82.46,17-17-46-909,9.74,-2.35
6.19,82.46,17-17-47-017,9.71,-2.36
5.89,82.46,17-17-47-121,9.68,-2.37
5.83,82.45,17-17-47-235,9.69,-2.37
5.76,82.45,17-17-47-346,9.68,-2.37
5.81,82.45,17-17-47-443,9.68,-2.37
5.86,82.41,17-17-47-558,9.65,-2.42
5.92,82.39,17-17-47-664,9.65,-2.44
5.97,82.38,17-17-47-785,9.66,-2.44
6.02,82.36,17-17-47-904,9.67,-2.46
6.04,82.35,17-17-48-006,9.68,-2.46
6.01,82.34,17-17-48-112,9.68,-2.46
6.03,82.35,17-17-48-209,9.68,-2.45
6.01,82.35,17-17-48-308,9.66,-2.46
5.99,82.39,17-17-48-411,9.66,-2.42
5.85,82.47,17-17-48-526,9.66,-2.34
5.69,82.48,17-17-48-632,9.66,-2.32
7.00,83.15,17-17-48-750,9.62,-1.70
9.15,83.36,17-17-48-857,9.14,-1.75
10.20,81.89,17-17-48-964,5.80,-5.03
7.04,80.93,17-17-49-060,2.47,-7.79
7.85,79.15,17-17-49-158,1.47,-11.76
13.79,77.36,17-17-49-257,4.34,-15.23
15.95,75.40,17-17-49-364,7.07,-18.75
17.96,69.69,17-17-49-476,12.58,-28.43
25.17,64.73,17-17-49-576,14.09,-35.66
29.36,61.31,17-17-49-674,14.03,-39.86
36.27,54.52,17-17-49-781,18.28,-50.79
48.90,44.18,17-17-49-898,14.34,-60.75
56.16,39.48,17-17-49-998,11.93,-62.11
66.89,29.23,17-17-50-114,18.23,-74.59
77.92,24.58,17-17-50-213,18.19,-81.61
85.72,27.18,17-17-50-310,19.56,-76.38
90.56,27.51,17-17-50-411,20.41,-74.83
95.45,24.71,17-17-50-522,14.58,-74.83
98.93,22.72,17-17-50-633,5.23,-74.83
99.90,20.36,17-17-50-724,3.58,-74.83
99.88,18.90,17-17-50-824,4.15,-74.83
98.91,21.06,17-17-50-930,6.34,-74.83
98.53,20.81,17-17-51-024,10.25,-74.83
98.51,22.96,17-17-51-127,13.71,-79.87
102.24,24.47,17-17-51-231,23.03,-72.36
107.06,30.44,17-17-51-349,33.08,-59.04
111.32,43.52,17-17-51-446,52.12,-35.51
114.73,56.69,17-17-51-544,75.34,-13.10
114.44,67.73,17-17-51-663,98.50,-7.32
114.22,68.68,17-17-51-759,100.53,-8.74
109.97,78.16,17-17-51-856,125.18,-29.46
108.35,81.36,17-17-51-962,133.80,-38.32
108.08,82.28,17-17-52-062,136.02,-41.39
107.18,81.30,17-17-52-175,135.73,-38.58
109.24,78.06,17-17-52-280,127.01,-30.10
112.11,75.83,17-17-52-394,119.45,-24.47
114.20,68.49,17-17-52-491,102.42,-8.23
115.99,61.78,17-17-52-617,85.95,-6.21
115.09,52.60,17-17-52-731,65.04,-23.82
112.01,41.95,17-17-52-842,44.83,-42.97
104.61,28.33,17-17-52-947,22.75,-72.46
95.27,25.19,17-17-53-061,9.42,-72.46
94.02,25.13,17-17-53-158,9.99,-72.46
92.20,26.53,17-17-53-262,9.76,-80.37
91.25,24.95,17-17-53-375,9.99,-85.96
92.35,24.33,17-17-53-488,11.91,-85.96
94.78,18.11,17-17-53-611,16.21,-85.96
99.43,23.91,17-17-53-720,28.27,-79.37
104.55,44.43,17-17-53-834,52.85,-35.64
110.04,55.70,17-17-53-952,76.46,-16.16
111.75,64.21,17-17-54-061,94.69,-1.07
112.76,71.13,17-17-54-162,108.52,-11.60
108.90,78.31,17-17-54-272,127.76,-26.00
107.50,79.69,17-17-54-379,132.04,-28.75
105.52,80.83,17-17-54-488,136.56,-31.87
104.05,81.41,17-17-54-574,139.81,-33.68
103.07,81.30,17-17-54-690,141.20,-33.66
103.00,81.47,17-17-54-798,141.70,-34.63
102.97,81.07,17-17-54-896,141.28,-34.51
103.03,80.57,17-17-55-006,139.47,-32.02
106.14,79.15,17-17-55-108,132.47,-27.76
106.95,78.64,17-17-55-209,130.82,-26.14
107.11,78.43,17-17-55-308,130.55,-25.49
109.99,72.73,17-17-55-410,116.97,-12.56
113.54,61.69,17-17-55-525,91.55,-9.29
111.99,49.07,17-17-55-646,64.31,-31.64
104.77,32.54,17-17-55-759,35.06,-63.69
98.96,28.82,17-17-55-861,21.83,-70.28
93.71,18.93,17-17-55-973,11.75,-70.28
92.91,20.05,17-17-56-075,11.02,-70.28
92.95,19.35,17-17-56-175,11.16,-70.28
93.21,17.40,17-17-56-275,11.53,-70.28
93.54,12.03,17-17-56-375,11.74,-70.28
93.73,10.05,17-17-56-478,11.96,-70.28
93.80,9.33,17-17-56-585,12.23,-70.28
93.81,9.52,17-17-56-699,12.34,-70.28
93.80,10.07,17-17-56-791,12.44,-70.28
93.82,9.93,17-17-56-888,12.53,-70.28
93.79,10.65,17-17-56-991,12.52,-70.28
93.78,11.04,17-17-57-090,12.52,-70.28
93.80,10.55,17-17-57-187,12.56,-70.28
93.83,9.58,17-17-57-298,12.62,-70.28
93.85,9.25,17-17-57-411,12.67,-70.28
93.87,9.11,17-17-57-509,12.72,-70.28
93.88,9.07,17-17-57-620,12.75,-70.28
91.53,23.29,17-17-57-711,11.93,-78.82
90.45,24.18,17-17-57-818,11.68,-76.49
91.10,19.98,17-17-57-927,13.28,-76.49
98.29,25.27,17-17-58-030,29.45,-72.15
107.37,48.80,17-17-58-152,64.04,-27.49
112.28,60.66,17-17-58-271,86.95,-8.55
112.12,71.67,17-17-58-378,109.87,-12.15
107.91,78.65,17-17-58-478,128.62,-26.11
106.84,80.84,17-17-58-592,134.21,-31.38
104.68,81.36,17-17-58-693,138.06,-32.93
103.67,81.05,17-17-58-794,138.97,-32.28
103.69,81.25,17-17-58-902,139.18,-33.16
103.68,80.59,17-17-59-009,138.02,-31.49
104.83,79.22,17-17-59-109,133.81,-28.10
110.53,76.66,17-17-59-223,122.14,-22.20
112.85,70.03,17-17-59-325,107.24,-7.54
115.22,60.55,17-17-59-425,83.67,-12.74
115.15,54.14,17-17-59-533,66.52,-24.37
114.23,42.93,17-17-59-643,46.23,-45.11
107.16,29.06,17-17-59-758,25.81,-72.02
99.32,26.95,17-17-59-857,20.96,-74.70
94.99,23.80,17-17-59-963,15.60,-74.70
91.74,29.64,17-18-00-066,11.60,-67.78
89.00,33.18,17-18-00-173,8.56,-63.13
88.41,32.29,17-18-00-284,8.20,-65.56
89.13,29.68,17-18-00-392,10.86,-73.19
90.71,32.30,17-18-00-493,14.28,-65.00
91.67,25.03,17-18-00-599,14.87,-76.41
100.08,25.60,17-18-00-707,28.08,-72.47
104.18,29.27,17-18-00-810,33.64,-63.01
110.58,46.69,17-18-00-938,57.95,-31.26
113.87,57.20,17-18-01-052,74.63,-16.26
113.73,65.04,17-18-01-143,89.57,-3.06
112.98,69.87,17-18-01-243,101.36,-6.63
110.47,76.68,17-18-01-360,119.09,-20.68
109.50,78.84,17-18-01-461,125.22,-25.51
104.38,80.64,17-18-01-576,134.98,-29.83
103.05,82.16,17-18-01-678,141.20,-35.77
102.53,82.95,17-18-01-795,144.44,-40.05
102.45,83.19,17-18-01-896,145.39,-41.82
102.67,82.08,17-18-01-995,143.33,-38.89
104.45,80.47,17-18-02-118,136.73,-33.75
111.79,75.54,17-18-02-233,116.99,-20.69
114.52,64.35,17-18-02-349,90.25,-3.89
115.23,58.75,17-18-02-442,76.89,-14.76
113.62,45.03,17-18-02-560,49.57,-38.43
110.98,39.92,17-18-02-658,38.79,-47.88
103.48,27.55,17-18-02-757,20.20,-72.18
97.81,20.01,17-18-02-878,13.90,-72.18
91.17,30.89,17-18-02-992,8.77,-65.01
88.03,29.39,17-18-03-092,5.88,-72.06
86.67,27.65,17-18-03-190,4.23,-79.28
87.16,25.61,17-18-03-294,6.75,-86.53
89.03,24.73,17-18-03-394,11.50,-85.91
89.75,22.77,17-18-03-495,12.00,-85.91
99.00,26.29,17-18-03-593,28.65,-71.68
104.40,36.79,17-18-03-696,41.59,-48.96
110.48,47.86,17-18-03-810,59.53,-29.93
108.23,58.08,17-18-03-921,73.18,-17.47
111.84,66.16,17-18-04-022,92.74,-2.38
111.26,72.69,17-18-04-136,108.55,-10.49
63.45,89.36,17-18-04-238,72.76,-12.52
78.37,85.83,17-18-04-324,163.63,-27.67
74.11,90.97,17-18-04-424,138.96,45.34
92.44,82.73,17-18-04-532,167.70,-40.28
78.59,90.21,17-18-04-623,154.55,71.28
98.17,86.27,17-18-04-732,159.55,-53.74
102.49,86.66,17-18-04-841,151.15,-52.27
107.87,83.76,17-18-04-942,137.91,-41.18
110.70,73.43,17-18-05-059,115.28,-15.33
113.15,64.17,17-18-05-159,93.29,-3.67
112.37,56.58,17-18-05-281,77.26,-18.36
109.37,48.33,17-18-05-381,58.17,-33.10
107.66,42.71,17-18-05-498,48.31,-44.44
96.39,39.48,17-18-05-609,57.88,-61.21
93.97,25.33,17-18-05-729,43.86,-61.21
89.05,28.77,17-18-05-827,32.61,-81.94
87.31,27.28,17-18-05-930,25.98,-81.94
86.37,27.32,17-18-06-024,21.75,-81.94
86.99,22.18,17-18-06-130,20.50,-81.94
87.57,23.10,17-18-06-226,20.77,-81.94
88.66,29.13,17-18-06-331,22.73,-71.37
91.25,27.00,17-18-06-443,26.58,-78.43
96.90,29.74,17-18-06-541,36.27,-67.73
100.78,38.32,17-18-06-658,46.24,-48.98
109.06,54.66,17-18-06-768,77.28,-19.04
112.29,66.11,17-18-06-892,100.19,-2.13
110.85,74.62,17-18-06-997,119.27,-19.56
107.44,78.49,17-18-07-119,130.47,-27.91
100.44,80.89,17-18-07-223,145.20,-33.60
98.74,81.60,17-18-07-327,150.25,-36.27
100.14,81.59,17-18-07-431,147.48,-36.69
98.81,81.78,17-18-07-534,150.69,-37.24
101.17,81.67,17-18-07-643,145.48,-37.20
105.18,79.90,17-18-07-750,135.26,-32.20
106.11,79.47,17-18-07-860,133.22,-30.91
108.12,79.60,17-18-07-958,129.92,-31.10
112.56,71.22,17-18-08-059,106.35,-11.06
67.53,72.71,17-18-08-159,41.30,-17.16
105.49,53.48,17-18-08-263,57.51,-56.89
106.27,40.18,17-18-08-371,21.54,-67.33
106.87,32.01,17-18-08-479,15.93,-78.91
106.74,25.89,17-18-08-588,14.99,-78.91
102.23,29.63,17-18-08-693,8.90,-70.39
97.81,31.30,17-18-08-802,1.31,-64.94
86.82,34.03,17-18-08-895,22.90,-54.57
86.99,31.24,17-18-08-998,20.20,-58.44
70.32,35.46,17-18-09-108,53.56,-49.27
71.18,37.36,17-18-09-208,7.72,-52.32
86.93,38.69,17-18-09-308,32.65,-58.81
76.03,43.49,17-18-09-410,13.84,-49.73
101.19,39.92,17-18-09-523,39.36,-50.81
110.27,44.06,17-18-09-633,47.60,-41.26
114.07,55.51,17-18-09-747,67.64,-20.13
113.12,65.99,17-18-09-862,88.51,-0.73
111.60,73.81,17-18-09-959,109.87,-15.15
109.62,77.41,17-18-10-076,121.17,-22.92
107.17,80.08,17-18-10-174,130.14,-28.97
106.36,81.76,17-18-10-278,134.92,-33.44
105.95,82.82,17-18-10-385,137.90,-37.78
105.94,82.93,17-18-10-495,138.63,-39.17
105.87,82.84,17-18-10-594,138.74,-39.23
105.36,82.18,17-18-10-691,138.76,-37.76
105.26,81.75,17-18-10-793,138.56,-36.60
107.84,80.94,17-18-10-894,132.93,-34.65
110.92,80.21,17-18-10-995,126.73,-32.60
109.45,67.97,17-18-11-090,97.32,-2.62
108.98,61.26,17-18-11-194,76.61,-12.56
62.19,64.64,17-18-11-311,59.43,-12.18
39.88,74.25,17-18-11-411,9.61,-22.60
34.07,72.63,17-18-11-513,4.36,-16.72
36.53,72.76,17-18-11-617,16.12,-11.03
37.56,67.50,17-18-11-729,27.11,-11.55
82.52,5.62,17-18-11-839,35.13,-81.09
89.33,24.61,17-18-11-941,21.72,-72.18
89.65,29.24,17-18-12-074,19.35,-68.88
