0.00,81.84,17-24-11-984,1.17,-7.78
0.00,82.04,17-24-12-089,1.14,-7.58
0.00,82.13,17-24-12-189,1.12,-7.49
0.00,81.83,17-24-12-306,1.20,-7.77
0.00,81.52,17-24-12-401,0.91,-8.27
0.00,81.27,17-24-12-498,0.63,-8.69
0.00,81.24,17-24-12-604,0.51,-8.80
0.00,81.21,17-24-12-705,0.31,-8.95
0.00,81.22,17-24-12-798,0.10,-9.06
0.00,81.22,17-24-12-910,0.06,-9.15
0.00,81.08,17-24-13-022,0.00,-9.28
0.00,80.95,17-24-13-121,0.30,-9.23
0.00,80.90,17-24-13-232,0.34,-9.29
0.00,80.88,17-24-13-336,0.29,-9.34
0.00,80.86,17-24-13-450,0.28,-9.37
0.00,80.87,17-24-13-549,0.25,-9.38
0.00,80.92,17-24-13-651,0.23,-9.34
0.00,80.97,17-24-13-756,0.15,-9.35
0.00,81.13,17-24-13-902,0.03,-9.24
0.00,81.29,17-24-14-009,0.06,-9.13
0.00,81.51,17-24-14-119,0.05,-8.90
0.00,81.65,17-24-14-223,0.08,-8.77
0.00,81.78,17-24-14-342,0.20,-8.46
0.00,80.80,17-24-14-435,1.66,-10.62
0.00,79.29,17-24-14-537,4.52,-13.90
9.54,77.26,17-24-14-637,7.05,-17.40
27.60,75.99,17-24-14-734,10.19,-19.36
30.32,73.23,17-24-14-841,13.58,-24.41
38.35,69.53,17-24-14-933,14.91,-28.90
41.96,64.83,17-24-15-041,12.37,-32.19
38.88,53.38,17-24-15-153,12.72,-50.44
44.60,50.73,17-24-15-251,12.69,-53.46
48.95,47.98,17-24-15-352,10.16,-53.78
56.12,36.87,17-24-15-469,10.39,-72.25
60.86,33.13,17-24-15-564,12.10,-85.35
64.34,30.00,17-24-15-690,10.45,-85.35
67.88,22.47,17-24-15-798,9.99,-85.35
68.42,21.88,17-24-15-903,9.31,-85.35
69.91,20.87,17-24-16-002,7.27,-85.35
73.71,18.31,17-24-16-105,5.92,-85.35
79.13,20.00,17-24-16-206,8.85,-85.35
83.48,17.68,17-24-16-321,9.43,-85.35
87.65,17.84,17-24-16-416,9.60,-85.35
89.88,14.92,17-24-16-522,7.25,-85.35
90.72,13.74,17-24-16-619,6.98,-85.35
91.10,13.22,17-24-16-716,7.72,-85.35
90.19,11.76,17-24-16-814,7.37,-85.35
87.72,10.50,17-24-16-919,7.29,-85.35
85.66,10.77,17-24-17-026,6.04,-85.35
84.83,11.06,17-24-17-133,5.84,-85.35
84.31,11.00,17-24-17-239,5.59,-85.35
81.14,11.46,17-24-17-336,5.36,-85.35
74.41,13.03,17-24-17-454,4.09,-85.35
66.84,21.20,17-24-17-549,4.17,-85.35
62.53,28.28,17-24-17-652,8.29,-85.35
62.17,29.93,17-24-17-755,10.00,-85.35
59.32,32.35,17-24-17-868,9.67,-79.52
55.45,37.22,17-24-17-966,8.73,-70.57
50.31,42.50,17-24-18-066,8.23,-60.68
48.84,48.70,17-24-18-168,9.99,-50.44
44.35,50.60,17-24-18-270,10.20,-49.61
39.04,53.19,17-24-18-375,10.18,-47.02
40.25,58.15,17-24-18-467,10.23,-39.45
34.78,61.83,17-24-18-575,6.79,-34.39
29.98,66.53,17-24-18-673,6.12,-28.66
36.52,72.08,17-24-18-768,10.97,-23.77
25.49,74.62,17-24-18-866,5.07,-18.71
20.04,75.83,17-24-18-967,4.76,-17.76
17.56,78.47,17-24-19-094,1.00,-12.33
17.03,80.25,17-24-19-203,0.35,-10.23
16.72,80.96,17-24-19-309,0.12,-9.42
10.51,80.85,17-24-19-421,0.19,-9.95
10.51,81.02,17-24-19-513,0.29,-9.62
10.51,81.00,17-24-19-614,0.32,-9.66
10.51,81.00,17-24-19-714,0.14,-9.73
10.51,80.94,17-24-19-822,0.13,-9.81
10.51,83.09,17-24-19-937,3.02,-5.76
8.26,83.52,17-24-20-044,2.80,-5.37
11.11,83.65,17-24-20-149,2.61,-5.31
12.02,83.57,17-24-20-252,2.23,-5.60
12.86,83.60,17-24-20-350,2.17,-5.60
12.62,83.76,17-24-20-452,1.90,-5.58
20.82,84.08,17-24-20-551,0.21,-6.22
19.73,84.20,17-24-20-652,0.82,-6.45
10.55,83.34,17-24-20-754,2.19,-8.35
9.67,80.99,17-24-20-865,5.80,-13.04
9.44,78.29,17-24-20-969,8.80,-17.93
29.93,74.59,17-24-21-084,14.31,-23.48
26.57,67.98,17-24-21-188,11.39,-30.30
26.41,62.57,17-24-21-299,9.14,-36.45
34.61,58.05,17-24-21-401,12.29,-43.16
36.43,53.32,17-24-21-499,13.71,-50.65
43.42,46.99,17-24-21-603,13.45,-56.37
49.66,41.80,17-24-21-707,14.63,-63.08
56.02,34.66,17-24-21-800,11.88,-79.40
61.54,29.21,17-24-21-900,12.25,-79.40
67.43,24.75,17-24-22-003,7.70,-79.40
71.84,20.35,17-24-22-097,5.68,-79.40
74.50,16.94,17-24-22-202,7.21,-79.40
79.56,16.78,17-24-22-309,7.86,-79.40
83.36,16.74,17-24-22-415,8.19,-79.40
87.70,16.47,17-24-22-519,8.38,-79.40
92.00,11.80,17-24-22-620,6.00,-79.40
95.95,11.71,17-24-22-738,5.76,-79.40
98.70,13.66,17-24-22-836,5.29,-79.40
102.87,13.44,17-24-22-950,6.96,-79.40
104.56,14.38,17-24-23-050,8.43,-79.40
103.79,14.29,17-24-23-165,7.33,-79.40
103.63,14.15,17-24-23-265,6.96,-79.40
101.98,14.22,17-24-23-381,5.18,-79.40
99.62,14.07,17-24-23-487,4.53,-79.40
96.04,11.70,17-24-23-613,3.99,-79.40
89.50,9.43,17-24-23-713,5.31,-79.40
81.31,11.40,17-24-23-829,3.87,-79.40
75.65,12.95,17-24-23-935,5.01,-79.40
72.04,14.01,17-24-24-037,5.99,-79.40
67.43,15.49,17-24-24-139,6.37,-79.40
62.26,23.98,17-24-24-253,10.14,-79.40
57.00,31.69,17-24-24-353,8.63,-79.40
52.65,37.93,17-24-24-467,9.08,-68.82
49.04,46.33,17-24-24-566,10.84,-54.28
42.34,48.89,17-24-24-664,9.67,-52.58
35.08,54.30,17-24-24-769,7.21,-45.09
37.61,60.31,17-24-24-868,5.21,-35.16
32.92,64.09,17-24-24-969,4.55,-31.31
25.06,63.76,17-24-25-067,4.54,-31.98
