19.66,79.63,17-30-50-430,8.34,-6.02
19.58,79.73,17-30-50-530,8.40,-5.89
19.56,79.83,17-30-50-641,8.33,-5.82
19.50,79.89,17-30-50-740,8.13,-5.85
19.52,79.95,17-30-50-841,7.81,-5.93
19.50,80.05,17-30-50-957,7.66,-5.89
19.63,80.20,17-30-51-058,7.43,-5.84
19.74,80.31,17-30-51-171,7.25,-5.80
19.76,80.37,17-30-51-277,7.12,-5.80
19.69,80.39,17-30-51-373,7.12,-5.77
19.49,80.47,17-30-51-475,7.12,-5.69
19.42,80.51,17-30-51-571,7.12,-5.64
19.36,80.56,17-30-51-673,7.11,-5.59
19.35,80.60,17-30-51-795,7.08,-5.56
19.35,80.60,17-30-51-891,7.05,-5.57
19.40,80.62,17-30-52-011,7.00,-5.57
19.46,80.62,17-30-52-108,6.93,-5.61
19.62,80.60,17-30-52-205,7.34,-5.43
19.13,80.71,17-30-52-310,7.78,-5.14
18.96,81.53,17-30-52-409,6.93,-4.79
21.69,82.92,17-30-52-524,6.52,-3.75
42.13,87.00,17-30-52-623,11.63,-1.61
61.47,89.51,17-30-52-723,17.60,-3.79
81.49,94.52,17-30-52-840,152.35,10.65
93.01,93.56,17-30-52-939,165.37,7.59
108.65,91.73,17-30-53-040,68.68,8.00
124.56,93.88,17-30-53-143,27.67,12.73
145.34,93.74,17-30-53-247,19.48,12.84
151.94,93.57,17-30-53-358,18.19,12.35
150.52,93.47,17-30-53-461,19.05,12.50
149.10,93.03,17-30-53-557,19.60,12.28
147.08,92.14,17-30-53-689,18.29,10.47
150.88,91.72,17-30-53-794,17.75,10.07
150.39,91.89,17-30-53-925,23.66,13.03
151.33,92.06,17-30-54-025,26.52,14.78
151.30,92.32,17-30-54-126,27.01,15.33
152.08,91.10,17-30-54-225,25.16,13.12
150.80,90.86,17-30-54-341,26.07,13.14
148.65,89.13,17-30-54-445,23.71,-9.80
151.18,88.35,17-30-54-559,21.22,-8.05
148.72,88.03,17-30-54-656,21.73,-7.68
148.06,87.70,17-30-54-758,23.14,-7.05
136.10,87.61,17-30-54-857,29.86,-6.99
106.88,88.19,17-30-54-957,86.11,-7.69
96.46,89.21,17-30-55-060,154.55,-10.10
88.06,88.33,17-30-55-160,175.45,-4.29
71.01,86.28,17-30-55-254,23.30,-0.75
62.45,84.95,17-30-55-357,9.27,-1.17
62.30,84.51,17-30-55-457,9.18,-1.59
46.97,84.33,17-30-55-573,9.64,-1.92
34.48,86.04,17-30-55-679,7.92,-0.28
19.56,85.05,17-30-55-790,9.98,-0.16
20.18,84.69,17-30-55-895,9.71,-0.37
17.10,83.72,17-30-56-008,9.37,-1.56
15.13,83.89,17-30-56-121,8.10,-1.90
12.07,84.07,17-30-56-223,6.69,-2.34
15.59,84.44,17-30-56-326,6.01,-2.33
18.41,84.70,17-30-56-426,6.08,-2.09
25.59,84.49,17-30-56-525,7.19,-1.92
43.20,85.17,17-30-56-624,9.44,-0.85
71.86,85.16,17-30-56-739,18.41,-0.04
85.22,89.51,17-30-56-840,179.27,-3.35
101.06,89.29,17-30-56-942,120.84,-7.16
131.42,89.61,17-30-57-042,28.81,-8.90
155.31,90.01,17-30-57-141,17.68,8.46
153.36,89.10,17-30-57-239,17.47,-7.32
151.56,88.50,17-30-57-339,17.63,-6.62
152.48,88.13,17-30-57-440,16.76,-5.88
153.78,87.56,17-30-57-543,16.31,-5.17
152.26,87.72,17-30-57-658,16.93,-5.55
152.74,87.72,17-30-57-762,17.56,-5.92
152.99,87.73,17-30-57-872,17.92,-6.09
154.55,87.70,17-30-57-975,19.55,-6.95
155.00,86.77,17-30-58-075,18.74,-5.62
154.05,86.24,17-30-58-175,18.93,-5.13
153.79,85.92,17-30-58-272,18.61,-4.56
155.64,86.56,17-30-58-372,19.43,-5.65
153.99,87.01,17-30-58-473,19.24,-5.89
152.01,87.98,17-30-58-594,20.78,-7.41
146.23,87.60,17-30-58-691,21.23,-6.20
134.59,86.87,17-30-58-814,25.39,-4.91
111.36,86.89,17-30-58-925,51.89,-6.02
97.56,86.48,17-30-59-020,137.50,-5.01
98.90,86.37,17-30-59-122,121.61,-5.48
93.54,85.83,17-30-59-226,154.94,-4.40
