Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,9.26,-47.64,14:43:00:353,-12.24,105.06
6.05,-39.34,14:43:00:876,-12.80,92.07
6.17,-65.40,14:43:01:078,-16.64,102.71
9.65,-20.38,14:43:01:426,-10.69,87.38
4.58,-15.16,14:43:01:615,-15.13,100.11
3.86,-27.14,14:43:01:788,-14.67,104.16
3.86,2.15,14:43:01:920,-14.66,99.42
3.31,-40.49,14:43:02:051,-15.67,103.40
3.81,4.07,14:43:02:180,-13.91,98.89
8.41,-71.24,14:43:02:311,-13.26,107.37
3.28,-33.14,14:43:02:429,-15.04,100.81
2.37,23.85,14:43:02:549,-14.67,100.30
1.99,-0.71,14:43:02:678,-14.38,101.17
2.90,14.53,14:43:02:800,-14.71,97.93
2.91,14.62,14:43:02:921,-13.27,100.10
3.80,21.79,14:43:03:042,-12.74,97.76
3.48,22.65,14:43:03:165,-11.75,99.50
3.28,-20.65,14:43:03:281,-12.60,101.41
2.63,9.48,14:43:03:401,-14.48,97.19
2.18,21.80,14:43:03:534,-13.09,99.56
2.51,29.35,14:43:03:661,-7.72,102.79
2.81,29.68,14:43:03:788,-12.55,96.75
4.24,35.27,14:43:03:910,-11.01,96.04
3.96,39.39,14:43:04:033,-10.79,96.75
4.04,36.19,14:43:04:158,-10.07,96.29
4.63,35.38,14:43:04:288,-6.33,87.83
4.71,39.84,14:43:04:422,-12.47,93.34
4.67,43.64,14:43:04:538,-10.91,94.16
4.86,40.68,14:43:04:652,-10.94,94.42
5.19,36.96,14:43:04:790,-10.87,94.53
4.37,37.18,14:43:04:914,-10.49,90.91
4.09,31.42,14:43:05:031,-1.96,92.31
3.42,30.20,14:43:05:155,-12.50,97.26
3.57,19.36,14:43:05:274,-12.32,97.45
3.64,-1.81,14:43:05:407,-12.36,99.36
3.63,-6.20,14:43:05:538,-12.22,99.53
3.43,-10.58,14:43:05:667,-12.01,100.01
3.51,-13.15,14:43:05:804,-11.98,99.81
3.78,-14.94,14:43:05:936,-11.89,99.97
4.19,-10.53,14:43:06:053,-15.54,102.15
10.75,-73.49,14:43:06:179,-24.22,106.99
6.81,-38.26,14:43:06:328,-38.36,103.38
14.60,-12.37,14:43:06:473,-54.76,92.80
16.98,-19.13,14:43:06:617,-62.37,87.52
4.76,-50.77,14:43:06:768,-68.24,99.95
9.15,-54.53,14:43:06:890,-57.73,101.56
8.14,-24.09,14:43:07:009,-45.61,97.60
7.00,-18.07,14:43:07:134,-30.05,99.66
5.61,-17.87,14:43:07:260,-15.70,102.03
4.31,55.99,14:43:07:387,-7.49,95.08
26.44,51.84,14:43:07:520,23.30,73.54
19.96,46.04,14:43:07:648,23.62,85.97
16.82,44.37,14:43:07:767,24.14,87.34
16.26,37.46,14:43:07:899,25.44,88.77
18.21,30.30,14:43:08:030,32.85,94.69
16.40,-10.77,14:43:08:155,25.96,106.70
16.78,40.58,14:43:08:275,28.97,87.22
16.90,44.46,14:43:08:407,20.55,84.82
28.40,79.27,14:43:08:543,11.58,79.35
9.48,89.38,14:43:08:667,-5.13,92.78
3.12,66.05,14:43:08:788,-10.07,89.61
6.44,-39.53,14:43:08:920,-14.01,105.93
5.97,-27.76,14:43:09:050,-23.50,98.98
14.89,-65.08,14:43:09:172,-32.28,110.97
16.90,-2.90,14:43:09:303,-42.22,87.68
17.84,-1.34,14:43:09:444,-54.05,85.65
18.48,-4.96,14:43:09:583,-59.13,85.00
16.71,-9.30,14:43:09:720,-59.82,88.32
16.16,-9.51,14:43:09:847,-53.72,87.14
14.69,-4.34,14:43:09:973,-39.97,87.57
6.57,-7.33,14:43:10:108,-32.53,98.10
11.28,29.04,14:43:10:244,-14.75,82.80
5.48,39.03,14:43:10:370,1.11,81.70
25.65,79.44,14:43:10:488,8.19,81.13
29.14,76.06,14:43:10:616,23.26,76.85
17.83,23.28,14:43:10:742,22.55,92.79
18.21,24.09,14:43:10:871,30.59,98.66
17.37,20.56,14:43:10:999,32.60,98.81
17.63,25.62,14:43:11:137,33.56,94.67
17.20,37.12,14:43:11:269,30.04,88.84
18.15,46.58,14:43:11:399,21.43,84.32
20.43,47.02,14:43:11:521,18.81,77.48
1.73,-27.28,14:43:11:638,-8.85,104.64
9.05,17.68,14:43:11:759,-12.88,85.89
9.72,13.23,14:43:11:888,-22.88,85.34
7.23,-18.53,14:43:12:021,-34.21,100.19
7.18,-27.80,14:43:12:151,-49.43,100.69
11.36,-19.10,14:43:12:281,-56.88,97.13
10.75,-29.89,14:43:12:404,-57.11,98.11
18.19,-74.61,14:43:12:540,-50.19,110.25
8.34,-36.09,14:43:12:675,-43.61,102.18
7.17,-17.25,14:43:12:816,-29.64,101.56
10.15,-53.11,14:43:12:951,-13.85,106.69
8.82,90.72,14:43:13:081,-6.01,91.96
26.77,56.22,14:43:13:207,25.59,71.52
18.67,54.86,14:43:13:334,20.46,80.41
23.81,73.38,14:43:13:455,30.61,78.37
16.35,45.05,14:43:13:578,27.85,84.86
16.17,44.63,14:43:13:711,33.51,86.85
16.54,33.12,14:43:13:836,36.77,91.23
16.51,17.28,14:43:13:976,30.56,93.44
16.11,20.98,14:43:14:097,25.42,91.34
17.50,38.72,14:43:14:214,21.11,87.27
35.32,70.75,14:43:14:336,28.13,78.18
3.88,80.51,14:43:14:470,-8.80,95.07
11.40,-68.25,14:43:14:608,-14.60,109.66
6.42,-13.80,14:43:14:733,-22.52,100.57
13.08,-4.67,14:43:14:855,-29.96,88.85
14.91,-3.62,14:43:14:984,-39.55,88.78
16.40,-4.40,14:43:15:120,-51.09,87.14
17.52,-6.20,14:43:15:252,-54.75,86.53
17.23,-6.36,14:43:15:399,-52.55,86.22
16.50,-5.26,14:43:15:529,-43.20,86.82
14.56,-2.40,14:43:15:654,-33.56,87.41
6.78,-18.37,14:43:15:773,-27.44,98.97
3.88,12.44,14:43:15:902,-14.83,97.72
2.81,59.64,14:43:16:024,-11.52,97.27
2.02,-37.89,14:43:16:164,-2.59,89.70
17.27,29.48,14:43:16:305,19.77,81.38
19.51,16.20,14:43:16:436,25.99,87.74
16.26,20.35,14:43:16:570,26.50,86.73
14.55,32.93,14:43:16:688,26.09,83.78
14.63,26.63,14:43:16:810,24.53,85.72
15.35,27.75,14:43:16:937,19.23,81.49
23.51,-8.06,14:43:17:077,13.19,99.81
3.72,104.87,14:43:17:209,-10.16,97.42
4.46,-49.97,14:43:17:332,-18.23,102.73
6.41,-60.09,14:43:17:469,-25.09,103.29
7.87,-46.04,14:43:17:601,-33.87,102.92
5.56,-52.98,14:43:17:733,-43.82,99.70
15.64,-8.94,14:43:17:874,-50.10,86.96
18.30,-9.21,14:43:18:005,-57.18,85.09
16.86,-9.73,14:43:18:139,-55.60,85.04
16.29,-7.87,14:43:18:260,-48.73,85.09
14.89,-6.65,14:43:18:385,-36.80,86.08
5.70,-17.69,14:43:18:524,-26.77,96.25
3.06,12.15,14:43:18:648,-12.16,97.86
5.90,94.08,14:43:18:777,-5.67,89.28
19.60,40.79,14:43:18:901,20.86,78.85
15.72,24.39,14:43:19:031,22.82,87.17
15.41,18.83,14:43:19:155,26.87,89.51
15.30,16.45,14:43:19:280,27.60,90.14
14.60,21.45,14:43:19:403,26.03,88.91
14.80,21.75,14:43:19:530,19.27,89.44
22.42,59.14,14:43:19:656,19.98,70.44
5.14,100.37,14:43:19:796,-7.44,87.91
3.01,31.10,14:43:19:922,-13.81,96.74
5.64,-44.68,14:43:20:048,-21.82,100.39
5.49,-31.68,14:43:20:171,-33.00,100.58
5.88,-45.29,14:43:20:308,-42.13,102.30
16.74,-11.87,14:43:20:435,-45.42,85.44
17.08,-11.05,14:43:20:559,-51.21,84.52
17.79,-10.95,14:43:20:686,-54.09,84.04
17.23,-9.55,14:43:20:809,-51.27,84.35
15.80,-9.68,14:43:20:941,-41.84,86.20
14.08,-6.15,14:43:21:067,-33.52,86.65
5.86,-50.45,14:43:21:198,-24.22,97.96
3.76,9.02,14:43:21:325,-16.15,97.78
1.18,56.93,14:43:21:446,-5.57,89.60
31.92,71.96,14:43:21:572,27.98,69.41
18.95,24.10,14:43:21:702,25.94,89.18
