3.16,78.98,18-47-44-851,7.67,-7.11
3.16,78.89,18-47-44-964,7.68,-7.18
3.16,78.77,18-47-45-072,7.55,-7.36
3.16,78.60,18-47-45-177,7.38,-7.63
3.16,78.41,18-47-45-273,7.10,-7.94
3.16,78.26,18-47-45-381,7.04,-8.12
3.16,78.17,18-47-45-490,6.98,-8.24
3.16,78.10,18-47-45-588,6.75,-8.42
3.16,77.92,18-47-45-692,6.82,-8.57
3.16,77.88,18-47-45-792,7.07,-8.49
3.16,77.90,18-47-45-887,7.15,-8.42
3.16,77.92,18-47-45-994,7.19,-8.38
3.16,77.95,18-47-46-087,7.11,-8.40
3.16,78.01,18-47-46-188,7.02,-8.40
3.16,78.05,18-47-46-291,6.92,-8.43
3.16,78.14,18-47-46-401,6.66,-8.49
3.16,78.13,18-47-46-504,6.54,-8.57
3.16,78.12,18-47-46-603,6.46,-8.63
3.16,78.14,18-47-46-704,6.30,-8.70
3.16,78.21,18-47-46-811,6.33,-8.64
3.16,78.26,18-47-46-903,6.60,-8.47
6.51,78.20,18-47-47-006,6.62,-8.44
42.45,77.79,18-47-47-124,3.09,-9.14
52.82,77.64,18-47-47-224,2.55,-10.27
53.56,77.64,18-47-47-340,3.34,-10.59
59.98,78.06,18-47-47-436,16.82,-9.43
66.30,79.32,18-47-47-537,74.39,-4.64
66.95,79.92,18-47-47-636,126.08,-1.68
66.51,79.95,18-47-47-738,150.61,-0.22
65.84,79.95,18-47-47-840,156.26,-0.02
65.60,79.51,18-47-47-937,126.33,-0.80
63.62,77.12,18-47-48-041,82.18,-7.15
63.19,72.14,18-47-48-138,77.12,-19.07
63.43,67.74,18-47-48-233,77.89,-28.38
63.70,66.85,18-47-48-337,78.97,-30.37
64.11,61.43,18-47-48-440,76.63,-40.61
63.70,56.59,18-47-48-536,72.80,-50.44
63.54,52.67,18-47-48-620,70.17,-58.44
63.43,51.25,18-47-48-718,68.21,-59.78
63.27,50.46,18-47-48-822,67.10,-60.66
63.11,50.18,18-47-48-923,66.67,-61.32
62.98,50.25,18-47-49-025,66.47,-61.25
62.86,49.98,18-47-49-121,66.25,-62.25
62.79,49.92,18-47-49-220,66.12,-62.55
62.73,49.76,18-47-49-319,66.02,-63.19
62.69,49.52,18-47-49-423,65.97,-64.08
62.60,49.70,18-47-49-524,65.80,-63.51
62.56,49.96,18-47-49-619,65.74,-62.67
62.39,50.09,18-47-49-721,65.42,-62.34
62.10,54.80,18-47-49-819,65.36,-50.55
62.06,65.30,18-47-49-922,64.98,-29.94
61.80,70.90,18-47-50-024,61.11,-19.31
62.74,77.42,18-47-50-142,45.45,-5.13
62.70,82.59,18-47-50-236,80.85,-4.84
60.97,86.42,18-47-50-337,81.09,-11.60
60.74,90.79,18-47-50-438,86.56,19.73
60.33,93.06,18-47-50-551,86.80,23.84
60.52,94.08,18-47-50-659,88.12,25.98
60.19,94.86,18-47-50-754,87.45,27.53
59.83,95.41,18-47-50-873,86.72,28.61
59.67,95.36,18-47-50-968,85.99,28.41
59.55,95.49,18-47-51-082,85.70,28.68
59.50,95.92,18-47-51-185,86.14,29.68
59.36,96.27,18-47-51-297,86.21,30.50
59.14,96.08,18-47-51-393,85.34,29.98
58.98,96.13,18-47-51-502,84.97,30.04
58.79,96.21,18-47-51-601,84.51,30.17
58.60,96.06,18-47-51-701,84.02,29.86
57.95,95.72,18-47-51-804,81.85,29.13
57.85,95.07,18-47-51-904,80.42,27.52
57.79,90.95,18-47-52-003,70.54,18.22
59.42,85.82,18-47-52-107,54.08,-7.37
62.60,81.35,18-47-52-213,10.75,-0.57
62.11,74.91,18-47-52-317,63.27,-14.38
