2.53,74.30,17-36-55-256,2.37,-14.69
2.53,74.32,17-36-55-362,2.42,-14.64
2.53,74.34,17-36-55-476,2.45,-14.61
2.53,74.37,17-36-55-589,2.47,-14.58
2.53,74.39,17-36-55-710,2.48,-14.55
2.53,74.40,17-36-55-814,2.50,-14.52
2.53,74.41,17-36-55-927,2.50,-14.51
2.53,74.43,17-36-56-027,2.52,-14.48
2.53,74.44,17-36-56-129,2.52,-14.46
2.53,74.46,17-36-56-221,2.53,-14.44
2.53,74.48,17-36-56-327,2.54,-14.41
2.53,74.49,17-36-56-444,2.55,-14.40
2.53,74.50,17-36-56-542,2.56,-14.38
2.53,74.51,17-36-56-658,2.57,-14.36
2.53,74.52,17-36-56-758,2.57,-14.35
2.53,74.53,17-36-56-858,2.58,-14.33
2.53,74.54,17-36-56-958,2.62,-14.30
2.53,74.54,17-36-57-057,2.92,-14.14
2.53,74.43,17-36-57-165,3.31,-14.07
2.53,73.43,17-36-57-271,3.53,-14.99
17.58,72.87,17-36-57-375,3.08,-15.36
33.77,72.74,17-36-57-472,3.06,-14.55
44.51,72.62,17-36-57-576,0.41,-14.69
54.84,73.22,17-36-57-676,9.38,-14.89
59.20,74.24,17-36-57-796,17.98,-12.79
61.44,75.71,17-36-57-889,23.03,-9.49
63.22,76.63,17-36-57-989,33.97,-7.61
65.51,77.45,17-36-58-095,69.41,-5.34
66.98,77.96,17-36-58-219,116.14,-3.21
66.68,78.43,17-36-58-327,134.94,-1.61
66.66,78.69,17-36-58-443,149.42,-0.56
66.61,78.70,17-36-58-588,151.70,-0.41
66.49,78.60,17-36-58-716,150.65,-0.56
66.49,78.48,17-36-58-825,148.84,-0.81
67.64,77.04,17-36-58-943,129.00,-5.40
68.24,72.83,17-36-59-038,108.80,-15.80
68.84,68.36,17-36-59-158,101.20,-25.11
70.19,61.77,17-36-59-266,96.62,-38.92
70.14,59.14,17-36-59-376,94.01,-44.38
69.43,55.08,17-36-59-474,88.96,-52.46
68.82,52.57,17-36-59-577,85.45,-56.83
68.40,50.47,17-36-59-672,82.97,-60.88
67.98,50.99,17-36-59-774,82.24,-58.80
66.77,51.14,17-36-59-873,79.80,-58.15
65.77,50.62,17-36-59-971,77.37,-59.18
65.34,49.90,17-37-00-093,76.08,-60.87
65.02,49.65,17-37-00-205,75.06,-60.99
64.81,49.52,17-37-00-297,74.36,-60.90
64.67,49.52,17-37-00-396,73.92,-60.67
64.56,49.60,17-37-00-511,73.60,-60.28
64.49,49.51,17-37-00-623,73.35,-60.45
64.43,49.54,17-37-00-721,73.21,-60.32
64.40,49.54,17-37-00-821,73.11,-60.30
64.38,49.46,17-37-00-928,73.02,-60.57
64.39,49.62,17-37-01-023,73.34,-60.63
64.39,49.74,17-37-01-128,73.65,-60.65
64.54,50.82,17-37-01-222,74.73,-57.99
64.96,52.94,17-37-01-324,76.91,-53.09
65.41,58.67,17-37-01-437,80.75,-40.20
65.75,67.66,17-37-01-545,90.11,-24.57
66.14,74.27,17-37-01-656,107.06,-11.37
66.54,80.64,17-37-01-763,179.35,-3.68
65.81,85.60,17-37-01-887,136.37,-15.00
64.98,89.73,17-37-01-991,122.59,-24.38
64.91,92.88,17-37-02-095,119.26,31.84
64.82,95.89,17-37-02-201,117.29,39.51
64.41,97.18,17-37-02-311,115.67,43.03
64.25,97.40,17-37-02-428,115.04,43.67
64.25,97.44,17-37-02-525,114.95,43.88
64.23,97.55,17-37-02-649,114.80,44.25
64.22,97.51,17-37-02-763,114.71,44.16
63.68,97.68,17-37-02-882,112.86,44.30
63.39,97.73,17-37-02-977,111.81,44.14
63.17,97.70,17-37-03-094,111.03,43.94
63.02,97.65,17-37-03-198,110.54,43.79
62.93,97.61,17-37-03-312,110.17,43.64
62.86,97.64,17-37-03-410,109.94,43.73
62.84,97.81,17-37-03-520,109.81,44.10
62.86,97.89,17-37-03-609,109.76,44.22
62.87,97.97,17-37-03-707,109.66,44.24
62.88,98.00,17-37-03-830,109.59,44.16
62.89,98.14,17-37-03-936,109.53,44.39
63.01,98.16,17-37-04-042,109.72,44.14
63.12,95.60,17-37-04-146,110.20,36.79
62.98,91.06,17-37-04-242,110.55,25.53
63.35,87.81,17-37-04-345,115.18,-18.38
64.67,84.21,17-37-04-456,133.31,-11.01
65.35,83.15,17-37-04-560,145.86,-8.67
65.17,82.52,17-37-04-677,150.83,-6.87
65.11,80.16,17-37-04-775,166.81,-0.78
65.39,75.43,17-37-04-877,103.08,-12.98
66.08,71.54,17-37-04-974,98.55,-22.28
67.04,67.28,17-37-05-085,96.26,-31.22
67.41,63.91,17-37-05-198,94.07,-38.85
67.74,58.12,17-37-05-314,90.61,-52.12
67.51,55.78,17-37-05-405,88.29,-56.49
67.19,54.00,17-37-05-511,85.86,-59.08
67.08,52.96,17-37-05-627,83.84,-57.96
67.01,52.80,17-37-05-724,83.05,-56.64
66.59,52.41,17-37-05-823,81.63,-56.64
65.89,52.43,17-37-05-927,79.77,-55.74
65.28,52.24,17-37-06-042,78.08,-55.66
64.94,52.15,17-37-06-143,77.11,-55.53
64.73,52.18,17-37-06-261,76.54,-55.27
64.66,51.92,17-37-06-356,76.22,-55.88
64.63,51.81,17-37-06-457,76.02,-56.08
64.62,51.90,17-37-06-559,75.94,-55.81
64.61,51.93,17-37-06-656,75.86,-55.70
64.61,51.94,17-37-06-759,75.80,-55.67
64.61,51.94,17-37-06-862,75.76,-55.67
64.59,52.01,17-37-06-973,75.74,-55.52
64.60,52.07,17-37-07-075,75.77,-55.36
64.60,52.11,17-37-07-174,75.79,-55.28
64.61,52.19,17-37-07-277,75.94,-55.14
64.65,52.26,17-37-07-378,76.14,-55.16
64.70,52.33,17-37-07-472,76.40,-55.15
64.75,52.39,17-37-07-578,76.58,-55.12
64.86,52.65,17-37-07-674,77.17,-54.53
65.35,53.12,17-37-07-774,78.52,-53.39
65.96,58.17,17-37-07-892,82.59,-42.07
66.34,62.69,17-37-07-991,86.66,-33.30
66.68,71.79,17-37-08-102,101.66,-18.44
67.15,79.59,17-37-08-207,156.13,-0.64
67.30,81.95,17-37-08-310,170.93,-6.60
67.47,83.46,17-37-08-408,156.64,-11.97
67.54,85.67,17-37-08-509,146.52,-17.21
67.72,89.30,17-37-08-606,136.54,-25.27
67.90,92.94,17-37-08-710,130.85,33.89
67.76,95.85,17-37-08-809,127.16,41.09
66.75,97.76,17-37-08-907,122.50,46.20
65.67,98.09,17-37-09-004,119.11,46.98
64.98,98.04,17-37-09-109,117.04,46.68
64.72,98.29,17-37-09-209,116.23,47.57
64.52,98.40,17-37-09-309,115.64,47.99
64.44,98.24,17-37-09-405,115.32,47.52
64.36,98.17,17-37-09-506,115.10,47.42
64.34,98.07,17-37-09-605,115.05,47.19
64.36,98.12,17-37-09-709,115.06,47.36
64.37,98.19,17-37-09-806,115.03,47.64
64.36,98.14,17-37-09-904,114.99,47.56
64.36,98.08,17-37-10-010,114.98,47.39
64.39,98.05,17-37-10-125,114.94,47.09
64.47,97.88,17-37-10-221,115.04,46.44
64.48,95.78,17-37-10-326,115.20,40.18
64.34,89.18,17-37-10-422,116.37,-24.31
65.45,84.66,17-37-10-524,128.49,-14.85
66.02,81.54,17-37-10-651,146.32,-8.35
66.77,77.57,17-37-10-756,132.86,-3.19
68.04,71.55,17-37-10-855,100.97,-17.97
69.34,66.88,17-37-10-956,96.96,-27.56
69.66,63.80,17-37-11-065,93.76,-34.17
69.81,63.56,17-37-11-154,93.77,-34.68
69.90,63.45,17-37-11-256,93.76,-34.87
69.85,62.75,17-37-11-358,92.79,-36.39
69.68,57.88,17-37-11-457,88.22,-47.22
69.44,55.39,17-37-11-557,86.04,-52.80
69.24,52.15,17-37-11-655,83.23,-59.79
69.21,52.26,17-37-11-761,82.66,-57.66
68.63,52.07,17-37-11-860,81.05,-57.27
68.02,52.05,17-37-11-975,79.61,-56.87
67.61,52.37,17-37-12-077,78.86,-55.78
67.39,52.36,17-37-12-172,78.39,-55.70
67.26,52.53,17-37-12-271,78.19,-55.13
67.18,52.60,17-37-12-371,78.04,-54.73
67.12,52.70,17-37-12-475,77.89,-54.29
67.05,52.78,17-37-12-574,77.77,-53.85
67.01,52.69,17-37-12-676,77.65,-53.97
66.99,52.63,17-37-12-771,77.63,-54.07
66.94,52.61,17-37-12-881,77.53,-54.09
67.08,52.23,17-37-12-978,77.40,-54.97
67.10,52.08,17-37-13-096,77.34,-55.09
67.17,51.99,17-37-13-188,77.36,-55.29
67.19,51.88,17-37-13-294,77.34,-55.45
67.76,51.89,17-37-13-417,78.85,-55.45
68.88,54.73,17-37-13-521,83.33,-49.36
69.31,60.27,17-37-13-623,88.88,-37.75
69.73,62.16,17-37-13-727,92.43,-34.79
70.10,70.35,17-37-13-841,108.10,-20.42
69.94,76.84,17-37-13-943,134.47,-7.12
68.85,81.23,17-37-14-054,175.46,-3.95
68.67,82.84,17-37-14-157,168.52,-8.56
68.66,85.36,17-37-14-255,154.04,-14.39
68.78,87.89,17-37-14-358,145.05,-19.94
68.98,91.89,17-37-14-455,136.18,29.24
69.10,95.20,17-37-14-564,131.51,37.54
68.85,95.87,17-37-14-672,129.76,39.32
67.99,96.90,17-37-14-775,125.95,42.01
67.18,97.46,17-37-14-871,122.95,43.67
66.83,97.54,17-37-14-973,121.69,43.96
66.69,97.50,17-37-15-082,121.18,43.91
66.18,97.69,17-37-15-190,119.60,44.62
65.94,97.89,17-37-15-287,118.79,45.35
65.80,97.99,17-37-15-389,118.29,45.87
65.78,97.98,17-37-15-497,118.17,45.96
65.68,97.95,17-37-15-590,117.91,45.95
65.55,97.89,17-37-15-695,117.57,45.85
65.51,97.98,17-37-15-789,117.43,46.13
65.48,98.04,17-37-15-893,117.35,46.34
65.45,98.13,17-37-15-991,117.23,46.65
65.46,98.00,17-37-16-095,117.25,46.22
65.49,97.96,17-37-16-187,117.29,45.94
65.54,96.32,17-37-16-292,117.79,41.24
65.38,91.70,17-37-16-390,119.25,29.45
65.62,86.84,17-37-16-489,125.74,-18.88
65.90,82.95,17-37-16-591,139.50,-10.54
66.09,81.22,17-37-16-696,153.93,-6.77
66.77,75.08,17-37-16-790,107.82,-9.83
67.12,72.18,17-37-16-891,99.22,-18.28
68.12,65.07,17-37-17-012,92.42,-32.87
68.53,61.77,17-37-17-118,90.89,-40.13
68.77,57.45,17-37-17-230,88.63,-50.44
68.75,55.92,17-37-17-346,87.40,-53.63
68.74,55.37,17-37-17-458,86.86,-54.20
68.75,55.05,17-37-17-559,86.20,-53.45
68.94,53.71,17-37-17-655,85.10,-54.65
69.04,52.72,17-37-17-759,83.96,-54.91
69.00,53.21,17-37-17-859,83.91,-52.87
68.89,52.99,17-37-17-963,83.21,-53.27
68.85,52.89,17-37-18-078,82.67,-53.18
68.81,52.78,17-37-18-174,82.26,-53.10
68.80,52.77,17-37-18-274,82.02,-52.92
68.79,52.90,17-37-18-376,81.92,-52.42
68.78,52.91,17-37-18-475,81.78,-52.30
68.75,52.74,17-37-18-578,81.53,-52.62
68.74,52.74,17-37-18-696,81.43,-52.44
68.73,52.73,17-37-18-797,81.33,-52.35
68.72,52.63,17-37-18-908,81.19,-52.51
68.69,52.51,17-37-19-005,81.05,-52.84
68.66,52.42,17-37-19-112,80.92,-53.01
68.61,52.40,17-37-19-206,80.86,-53.10
68.57,52.39,17-37-19-306,80.89,-53.35
68.60,53.19,17-37-19-411,81.59,-51.72
68.92,54.60,17-37-19-516,83.44,-49.03
69.64,57.29,17-37-19-629,87.45,-43.55
69.95,61.26,17-37-19-727,92.69,-36.04
70.09,66.85,17-37-19-826,101.26,-26.20
69.88,71.74,17-37-19-931,112.03,-17.66
69.14,79.39,17-37-20-037,161.16,-0.90
68.69,79.96,17-37-20-143,177.41,-5.10
68.75,83.52,17-37-20-256,157.52,-13.27
68.21,87.00,17-37-20-356,142.06,-20.85
68.12,91.06,17-37-20-456,133.64,30.11
67.98,91.55,17-37-20-552,132.29,31.29
67.89,91.56,17-37-20-657,131.78,31.33
67.74,93.95,17-37-20-773,128.23,36.91
67.31,95.82,17-37-20-874,124.84,41.17
66.25,96.70,17-37-20-991,120.83,43.24
65.83,97.68,17-37-21-094,118.99,45.96
65.60,97.76,17-37-21-208,118.16,46.18
65.40,97.84,17-37-21-306,117.49,46.38
65.30,97.96,17-37-21-409,117.11,46.76
65.24,97.96,17-37-21-505,116.90,46.75
65.20,97.97,17-37-21-607,116.73,46.76
65.19,97.93,17-37-21-707,116.65,46.58
65.19,97.71,17-37-21-813,116.58,45.85
65.10,97.46,17-37-21-906,116.30,45.01
65.15,97.47,17-37-22-011,116.36,44.92
65.19,94.44,17-37-22-110,117.05,36.49
65.55,90.34,17-37-22-209,120.03,26.50
66.84,85.21,17-37-22-322,135.30,-16.17
68.35,83.11,17-37-22-435,153.70,-12.52
68.33,82.05,17-37-22-541,160.95,-10.04
69.59,80.11,17-37-22-639,172.31,-4.01
69.96,75.26,17-37-22-743,127.23,-9.46
71.11,70.97,17-37-22-844,114.51,-18.11
72.44,66.34,17-37-22-945,107.62,-27.32
71.95,62.68,17-37-23-056,100.45,-36.65
71.85,58.85,17-37-23-157,95.90,-45.91
71.50,57.61,17-37-23-261,93.89,-49.07
71.22,56.26,17-37-23-356,92.05,-52.35
71.06,54.45,17-37-23-454,90.51,-57.14
70.72,53.93,17-37-23-570,89.34,-57.53
70.11,52.51,17-37-23-674,86.99,-60.43
69.59,52.23,17-37-23-775,85.74,-60.34
69.25,52.17,17-37-23-877,85.00,-59.94
69.19,51.61,17-37-23-989,84.20,-60.37
69.15,51.32,17-37-24-102,83.68,-60.34
69.12,51.40,17-37-24-205,83.43,-59.46
69.09,51.40,17-37-24-308,83.27,-59.15
69.07,51.42,17-37-24-420,83.14,-58.85
69.09,51.48,17-37-24-531,83.05,-58.38
69.12,51.50,17-37-24-625,82.93,-57.99
69.17,51.53,17-37-24-724,82.96,-57.89
69.18,51.41,17-37-24-844,82.84,-58.14
69.19,51.46,17-37-24-941,82.90,-58.02
69.16,51.62,17-37-25-046,83.17,-57.66
69.20,52.45,17-37-25-155,84.14,-55.35
69.47,54.64,17-37-25-254,86.16,-50.07
69.83,56.60,17-37-25-357,88.41,-45.79
70.01,60.25,17-37-25-468,92.44,-38.31
70.30,66.27,17-37-25-577,101.79,-27.56
70.10,72.69,17-37-25-694,116.58,-15.77
69.67,77.88,17-37-25-788,142.48,-4.71
69.57,81.24,17-37-25-888,175.42,-4.68
69.47,82.02,17-37-25-992,171.74,-9.09
69.39,83.59,17-37-26-090,160.45,-13.58
69.32,84.04,17-37-26-190,156.91,-15.20
69.45,86.86,17-37-26-289,147.11,-21.34
69.64,90.70,17-37-26-392,138.65,30.23
69.45,92.10,17-37-26-503,135.30,33.73
69.03,93.86,17-37-26-608,131.43,38.24
68.11,95.26,17-37-26-709,127.19,42.21
67.41,95.60,17-37-26-823,124.76,43.18
67.08,95.97,17-37-26-923,123.52,44.15
66.93,96.37,17-37-27-020,122.80,45.21
66.81,96.37,17-37-27-129,122.38,45.15
66.80,96.41,17-37-27-236,122.25,45.21
