Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,25.16,-25.75,20:23:13:735,666.00,13.36
24.30,-25.26,20:23:14:289,666.00,12.48
24.83,-24.85,20:23:14:494,666.00,13.00
24.71,-26.23,20:23:15:028,666.00,13.38
25.02,-27.10,20:23:15:212,666.00,13.22
24.84,-26.98,20:23:15:370,666.00,12.97
24.45,-26.87,20:23:15:513,666.00,13.06
24.29,-26.66,20:23:15:657,666.00,13.22
24.10,-26.75,20:23:15:781,666.00,13.38
24.03,-26.52,20:23:15:906,666.00,13.38
23.92,-26.22,20:23:16:026,666.00,13.17
24.07,-26.42,20:23:16:147,666.00,13.26
23.88,-25.60,20:23:16:272,666.00,13.23
24.23,-25.40,20:23:16:395,666.00,13.08
24.65,-25.66,20:23:16:519,666.00,12.75
24.61,-25.99,20:23:16:640,666.00,13.23
24.40,-25.57,20:23:16:766,666.00,12.96
24.79,-25.73,20:23:16:896,666.00,13.18
24.59,-25.13,20:23:17:017,666.00,12.94
24.58,-25.23,20:23:17:146,666.00,13.15
24.42,-25.59,20:23:17:269,666.00,13.52
24.17,-25.54,20:23:17:388,666.00,13.59
23.69,-24.72,20:23:17:519,666.00,13.05
23.57,-24.77,20:23:17:639,666.00,13.31
23.86,-25.20,20:23:17:764,666.00,13.56
23.73,-24.98,20:23:17:889,666.00,13.32
24.15,-25.09,20:23:18:029,666.00,13.33
24.27,-25.02,20:23:18:151,666.00,13.34
24.41,-26.10,20:23:18:289,666.00,13.69
24.05,-25.72,20:23:18:416,666.00,13.35
24.32,-25.77,20:23:18:538,666.00,13.61
24.95,-24.20,20:23:18:675,666.00,12.93
28.04,-22.31,20:23:18:832,666.00,14.26
34.12,-17.68,20:23:18:972,666.00,15.41
43.35,-12.78,20:23:19:119,666.00,15.47
51.31,-9.04,20:23:19:255,666.00,17.37
59.94,-7.06,20:23:19:394,666.00,18.02
66.87,-5.75,20:23:19:524,666.00,18.73
74.71,-3.54,20:23:19:652,666.00,16.90
78.20,-2.74,20:23:19:786,666.00,19.44
87.48,-3.42,20:23:19:918,666.00,20.38
94.91,-3.04,20:23:20:063,666.00,17.11
98.06,-1.29,20:23:20:213,666.00,16.51
100.63,0.97,20:23:20:339,666.00,12.19
100.36,1.24,20:23:20:467,666.00,12.74
97.06,-0.07,20:23:20:592,666.00,14.63
89.30,-0.43,20:23:20:714,666.00,13.93
82.53,-1.31,20:23:20:853,666.00,7.83
68.40,-5.64,20:23:20:984,666.00,14.17
61.30,-7.84,20:23:21:123,666.00,13.21
53.52,-11.81,20:23:21:254,666.00,11.70
45.71,-15.76,20:23:21:383,666.00,10.01
38.80,-19.34,20:23:21:513,666.00,10.31
30.51,-23.11,20:23:21:640,666.00,9.65
26.83,-27.51,20:23:21:764,666.00,9.35
25.24,-27.05,20:23:21:893,666.00,10.16
24.66,-24.89,20:23:22:034,666.00,11.86
27.03,-21.79,20:23:22:172,666.00,14.12
32.94,-16.49,20:23:22:313,666.00,12.99
40.16,-14.63,20:23:22:440,666.00,17.41
49.24,-11.10,20:23:22:567,666.00,15.16
59.25,-7.01,20:23:22:702,666.00,16.94
68.42,-4.11,20:23:22:830,666.00,16.03
76.17,-1.69,20:23:22:958,666.00,15.82
83.40,-1.56,20:23:23:098,666.00,22.73
94.69,-0.10,20:23:23:231,666.00,14.18
100.83,-0.22,20:23:23:372,666.00,16.04
104.16,-0.52,20:23:23:518,666.00,13.77
102.49,-0.62,20:23:23:659,666.00,13.50
95.77,-0.31,20:23:23:808,666.00,11.46
81.59,-2.30,20:23:23:935,666.00,14.29
69.34,-6.95,20:23:24:076,666.00,15.62
