90.13,22.15,17-52-05-264,12.35,-76.53
90.11,22.12,17-52-05-350,12.31,-76.68
90.10,22.07,17-52-05-445,12.30,-76.83
90.09,21.80,17-52-05-549,12.28,-77.62
90.10,21.80,17-52-05-654,12.29,-77.63
90.10,21.84,17-52-05-763,12.34,-77.56
90.12,21.85,17-52-05-880,12.40,-77.54
90.14,21.94,17-52-05-976,12.47,-77.25
90.16,22.03,17-52-06-079,12.54,-77.05
90.16,22.00,17-52-06-180,12.55,-77.13
90.18,22.05,17-52-06-278,12.61,-77.02
90.19,22.07,17-52-06-382,12.66,-76.96
91.20,21.97,17-52-06-477,14.79,-76.70
92.73,23.94,17-52-06-576,18.42,-70.66
95.62,23.99,17-52-06-664,24.38,-69.57
98.82,27.52,17-52-06-774,31.81,-61.20
102.06,30.32,17-52-06-881,37.57,-55.40
105.28,33.86,17-52-06-990,44.63,-48.25
107.25,38.90,17-52-07-096,52.09,-39.04
110.57,44.07,17-52-07-195,61.11,-30.69
113.80,48.38,17-52-07-295,68.91,-23.49
114.81,50.57,17-52-07-397,72.27,-19.81
115.47,52.39,17-52-07-492,74.91,-16.88
115.65,52.55,17-52-07-591,74.97,-16.77
115.64,52.54,17-52-07-707,74.77,-16.92
115.48,53.63,17-52-07-811,76.13,-15.31
115.48,53.06,17-52-07-901,75.29,-16.25
115.37,51.97,17-52-08-023,73.36,-18.08
115.03,49.15,17-52-08-118,68.71,-22.83
111.48,44.23,17-52-08-218,59.64,-30.96
107.48,38.30,17-52-08-330,48.92,-40.71
101.23,34.10,17-52-08-436,35.71,-48.22
99.24,28.43,17-52-08-531,29.09,-58.35
96.05,24.11,17-52-08-632,21.97,-66.80
93.63,21.70,17-52-08-728,17.67,-72.31
91.78,19.35,17-52-08-834,15.74,-79.37
87.02,24.16,17-52-08-941,10.25,-69.96
85.19,21.71,17-52-09-056,9.26,-77.12
84.66,21.23,17-52-09-164,10.06,-79.26
85.04,19.73,17-52-09-273,11.94,-79.26
86.17,20.95,17-52-09-385,14.66,-82.71
86.47,21.08,17-52-09-483,14.86,-80.09
92.79,21.46,17-52-09-578,27.26,-78.17
96.45,21.89,17-52-09-683,33.91,-75.93
102.40,32.30,17-52-09-793,46.67,-52.71
104.70,39.10,17-52-09-896,54.97,-40.68
108.45,44.28,17-52-10-007,64.41,-31.80
110.96,47.61,17-52-10-097,70.76,-26.08
112.38,49.18,17-52-10-201,73.77,-23.43
113.28,51.30,17-52-10-302,77.06,-19.82
113.77,53.58,17-52-10-422,80.48,-15.94
114.14,53.32,17-52-10-513,80.06,-16.55
113.59,51.23,17-52-10-612,76.82,-20.11
112.51,49.91,17-52-10-721,74.06,-22.29
111.63,47.92,17-52-10-817,70.81,-25.68
108.32,41.52,17-52-10-920,58.75,-36.48
105.22,36.72,17-52-11-018,49.61,-44.42
101.31,33.16,17-52-11-113,40.97,-50.60
98.82,25.38,17-52-11-215,32.55,-64.01
95.10,21.18,17-52-11-310,24.58,-73.03
93.45,18.66,17-52-11-399,21.13,-79.78
92.36,18.35,17-52-11-507,19.30,-80.25
88.73,19.88,17-52-11-603,14.58,-75.74
83.86,21.47,17-52-11-712,8.03,-75.78
82.85,20.99,17-52-11-813,8.06,-80.06
83.13,21.66,17-52-11-927,9.24,-80.88
83.12,21.33,17-52-12-039,9.70,-85.09
83.62,22.05,17-52-12-164,10.98,-83.96
84.65,19.89,17-52-12-282,13.17,-83.96
87.62,20.12,17-52-12-380,19.08,-83.96
93.15,20.03,17-52-12-477,29.62,-83.96
96.62,23.95,17-52-12-565,36.55,-71.08
98.64,31.16,17-52-12-666,42.74,-55.30
99.10,33.04,17-52-12-765,44.31,-51.72
105.21,40.08,17-52-12-868,58.85,-39.08
108.65,44.19,17-52-12-972,65.95,-31.99
112.46,48.87,17-52-13-083,74.33,-24.10
112.72,50.53,17-52-13-185,76.26,-21.23
113.47,52.76,17-52-13-279,79.32,-17.18
113.70,53.00,17-52-13-405,79.36,-16.62
113.81,50.65,17-52-13-501,75.27,-20.44
111.96,48.89,17-52-13-616,71.71,-23.35
111.33,44.13,17-52-13-714,64.76,-31.09
107.73,40.20,17-52-13-820,56.85,-37.66
101.54,33.55,17-52-13-914,42.59,-49.23
100.09,31.79,17-52-14-017,39.17,-52.36
99.62,31.45,17-52-14-120,38.27,-52.95
96.39,22.98,17-52-14-232,28.97,-69.22
92.71,17.79,17-52-14-333,21.08,-85.05
86.94,18.79,17-52-14-449,11.75,-80.77
84.14,20.72,17-52-14-549,7.75,-76.89
82.04,21.09,17-52-14-674,6.09,-76.82
81.32,20.32,17-52-14-779,6.57,-80.65
