Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,10.79,-17.27,18:01:57:987,666.00,13.45
11.98,-20.74,18:01:58:583,666.00,15.05
11.96,-21.30,18:01:58:778,666.00,16.20
11.04,-18.70,18:01:59:136,666.00,17.72
10.57,-15.35,18:01:59:308,666.00,17.25
10.60,-14.96,18:01:59:465,666.00,17.32
10.64,-15.02,18:01:59:592,666.00,17.23
10.46,-13.75,18:01:59:941,666.00,17.00
10.80,-11.96,18:02:00:057,666.00,16.93
11.20,-12.38,18:02:00:177,666.00,17.86
11.44,-12.41,18:02:00:295,666.00,18.00
11.75,-13.73,18:02:00:434,666.00,17.97
11.79,-14.18,18:02:00:554,666.00,17.38
11.86,-15.31,18:02:00:681,666.00,17.75
11.92,-15.46,18:02:00:797,666.00,17.90
11.81,-14.02,18:02:00:913,666.00,17.32
12.09,-15.41,18:02:01:028,666.00,18.00
11.81,-15.76,18:02:01:145,666.00,17.50
11.67,-15.81,18:02:01:266,666.00,17.44
11.67,-16.09,18:02:01:381,666.00,17.33
11.64,-16.24,18:02:01:506,666.00,17.15
11.57,-16.64,18:02:01:628,666.00,17.26
11.59,-16.56,18:02:01:748,666.00,16.93
11.74,-17.60,18:02:01:876,666.00,16.95
11.79,-18.41,18:02:01:994,666.00,16.81
11.97,-18.99,18:02:02:117,666.00,17.11
11.98,-19.21,18:02:02:245,666.00,17.26
12.01,-19.41,18:02:02:374,666.00,17.49
12.16,-18.49,18:02:02:492,666.00,17.62
12.49,-16.66,18:02:02:609,666.00,17.26
12.50,-15.79,18:02:02:726,666.00,17.34
12.57,-15.30,18:02:02:853,666.00,16.89
12.65,-15.34,18:02:02:973,666.00,16.80
12.59,-15.80,18:02:03:094,666.00,17.05
12.44,-15.85,18:02:03:207,666.00,17.75
12.37,-15.89,18:02:03:328,666.00,17.81
12.09,-15.82,18:02:03:459,666.00,16.94
12.14,-15.86,18:02:03:576,666.00,17.47
11.82,-12.72,18:02:03:707,666.00,16.97
12.07,7.99,18:02:03:826,666.00,18.15
17.61,42.07,18:02:03:948,666.00,23.34
35.43,58.78,18:02:04:080,666.00,28.60
61.46,67.78,18:02:04:211,666.00,17.63
69.29,69.28,18:02:04:331,666.00,29.81
92.88,70.14,18:02:04:455,666.00,17.89
110.08,68.09,18:02:04:585,666.00,13.38
120.51,62.21,18:02:04:722,666.00,21.04
129.14,58.43,18:02:04:846,666.00,26.28
138.55,61.35,18:02:04:974,666.00,18.92
141.61,59.75,18:02:05:108,666.00,19.39
141.21,60.34,18:02:05:231,666.00,18.76
135.84,61.64,18:02:05:353,666.00,19.08
123.16,62.89,18:02:05:483,666.00,19.29
105.89,63.39,18:02:05:612,666.00,21.74
74.40,62.66,18:02:05:743,18.76,40.08
74.66,65.75,18:02:05:862,666.00,10.81
47.57,58.33,18:02:05:990,666.00,28.37
29.40,49.13,18:02:06:113,666.00,25.28
19.85,35.57,18:02:06:247,666.00,19.62
14.50,7.70,18:02:06:390,666.00,17.52
13.99,-17.41,18:02:06:518,666.00,14.35
13.51,-26.53,18:02:06:643,666.00,14.53
13.24,-27.44,18:02:06:770,666.00,14.64
12.46,-22.65,18:02:06:892,666.00,15.28
11.26,-2.32,18:02:07:010,666.00,22.75
17.49,38.33,18:02:07:144,666.00,19.84
32.51,56.82,18:02:07:283,666.00,27.45
59.30,63.90,18:02:07:418,666.00,15.17
64.18,65.18,18:02:07:545,18.46,34.93
83.66,65.75,18:02:07:672,666.00,29.54
100.86,65.81,18:02:07:793,666.00,21.42
115.66,63.77,18:02:07:918,666.00,20.95
126.34,60.64,18:02:08:045,666.00,27.15
135.17,62.16,18:02:08:163,666.00,19.99
142.85,58.86,18:02:08:294,666.00,19.87
146.40,54.95,18:02:08:420,666.00,19.62
146.12,54.38,18:02:08:547,666.00,19.31
136.09,55.95,18:02:08:691,666.00,20.69
120.68,58.49,18:02:08:813,666.00,21.90
99.89,57.78,18:02:08:942,44.07,31.82
90.03,62.23,18:02:09:058,666.00,27.28
73.72,63.17,18:02:09:172,666.00,24.82
57.35,60.94,18:02:09:300,666.00,25.12
46.28,51.34,18:02:09:427,666.00,24.37
24.99,41.96,18:02:09:545,666.00,21.15
15.64,13.10,18:02:09:679,666.00,22.13
13.61,-10.71,18:02:09:808,666.00,19.26
13.34,-24.61,18:02:09:929,666.00,16.82
13.22,-30.05,18:02:10:049,666.00,13.64
12.92,-30.62,18:02:10:181,666.00,12.90
12.73,-29.73,18:02:10:309,666.00,15.57
12.23,-15.53,18:02:10:447,666.00,18.66
13.09,8.23,18:02:10:572,666.00,23.15
21.79,41.07,18:02:10:696,666.00,24.07
40.40,59.58,18:02:10:820,666.00,24.94
59.51,64.44,18:02:10:980,15.41,45.86
79.05,65.43,18:02:11:109,25.78,32.92
92.90,63.95,18:02:11:235,666.00,29.48
112.55,61.95,18:02:11:358,666.00,22.01
124.43,60.68,18:02:11:487,666.00,24.74
134.32,60.00,18:02:11:618,666.00,22.42
142.49,56.79,18:02:11:764,666.00,20.70
144.08,55.68,18:02:11:890,666.00,21.44
141.69,55.28,18:02:12:018,666.00,20.51
128.67,58.46,18:02:12:144,666.00,26.93
115.76,59.58,18:02:12:275,666.00,21.48
96.28,58.93,18:02:12:402,43.06,34.01
80.51,62.26,18:02:12:529,31.22,31.05
52.77,56.91,18:02:12:652,15.15,43.31
50.98,51.05,18:02:12:770,666.00,28.99
30.90,43.68,18:02:12:898,666.00,26.54
19.41,24.81,18:02:13:034,666.00,25.10
14.42,-0.63,18:02:13:166,666.00,24.59
11.97,-21.20,18:02:13:300,666.00,16.98
12.09,-35.29,18:02:13:429,666.00,17.79
12.10,-37.25,18:02:13:554,666.00,16.32
12.31,-37.16,18:02:13:676,666.00,16.54
12.42,-34.96,18:02:13:799,666.00,17.50
12.16,-22.62,18:02:13:919,666.00,22.38
12.33,12.53,18:02:14:043,666.00,23.34
20.71,45.43,18:02:14:178,666.00,24.63
33.95,59.05,18:02:14:316,666.00,21.34
57.47,64.75,18:02:14:433,666.00,25.78
75.10,68.60,18:02:14:555,666.00,17.28
86.59,67.68,18:02:14:688,666.00,22.67
97.65,63.33,18:02:14:807,666.00,26.19
109.06,60.98,18:02:14:937,666.00,29.23
125.05,62.19,18:02:15:070,666.00,21.10
133.29,61.36,18:02:15:192,666.00,21.21
139.84,63.24,18:02:15:326,666.00,20.32
141.98,62.43,18:02:15:472,666.00,21.47
141.11,63.17,18:02:15:595,666.00,20.44
130.48,62.71,18:02:15:714,666.00,22.30
112.92,60.27,18:02:15:839,61.61,31.55
96.26,63.45,18:02:15:966,39.57,35.87
76.46,67.39,18:02:16:082,28.88,33.84
62.01,69.24,18:02:16:207,12.55,45.18
52.80,60.76,18:02:16:345,666.00,16.25
24.94,44.77,18:02:16:477,10.13,34.31
21.40,32.92,18:02:16:600,666.00,25.20
15.59,8.28,18:02:16:729,666.00,24.40
12.10,-19.53,18:02:16:852,666.00,21.92
12.18,-35.83,18:02:16:972,666.00,17.73
12.22,-40.76,18:02:17:098,666.00,15.90
11.60,-41.70,18:02:17:226,666.00,16.04
11.76,-38.04,18:02:17:342,666.00,16.76
11.86,-26.53,18:02:17:464,666.00,19.77
14.31,2.83,18:02:17:583,666.00,22.04
20.23,33.40,18:02:17:721,666.00,20.43
31.74,52.73,18:02:17:853,666.00,21.83
48.37,63.91,18:02:17:975,15.10,30.18
64.86,72.42,18:02:18:102,666.00,20.55
80.67,67.16,18:02:18:235,666.00,29.96
99.26,67.29,18:02:18:354,666.00,25.55
114.23,61.71,18:02:18:491,666.00,28.12
131.18,61.32,18:02:18:613,666.00,18.55
135.56,59.28,18:02:18:729,666.00,23.72
142.71,58.64,18:02:18:851,666.00,22.45
144.01,57.85,18:02:18:976,666.00,21.73
138.32,57.56,18:02:19:102,666.00,20.57
122.62,60.16,18:02:19:230,666.00,24.38
102.31,59.57,18:02:19:353,58.62,33.67
76.70,65.23,18:02:19:486,24.34,39.22
71.19,68.59,18:02:19:609,666.00,17.47
51.14,57.54,18:02:19:727,33.27,41.79
30.85,59.08,18:02:19:850,666.00,23.31
19.64,35.87,18:02:19:975,666.00,24.30
13.04,9.35,18:02:20:114,666.00,20.37
12.80,-20.37,18:02:20:251,666.00,19.83
12.99,-35.70,18:02:20:374,666.00,18.48
12.62,-42.53,18:02:20:501,666.00,17.35
12.17,-43.41,18:02:20:624,666.00,18.15
12.33,-43.37,18:02:20:743,666.00,18.58
12.29,-42.64,18:02:20:873,666.00,18.94
12.08,-39.49,18:02:20:994,666.00,18.99
11.34,-22.14,18:02:21:114,666.00,20.31
12.97,18.03,18:02:21:246,666.00,20.83
22.65,51.71,18:02:21:386,666.00,23.93
44.36,65.03,18:02:21:508,666.00,29.22
67.99,70.28,18:02:21:636,666.00,17.62
83.79,71.14,18:02:21:764,-4.57,141.72
104.58,67.50,18:02:21:885,666.00,21.61
120.95,63.02,18:02:22:007,666.00,21.52
133.52,61.74,18:02:22:125,666.00,17.06
141.93,61.23,18:02:22:252,666.00,20.18
148.13,55.66,18:02:22:397,666.00,21.42
149.39,53.86,18:02:22:520,666.00,19.01
131.96,51.68,18:02:22:645,63.41,33.69
123.64,58.83,18:02:22:774,62.76,31.79
101.13,59.31,18:02:22:896,53.92,36.60
75.41,66.94,18:02:23:024,26.58,35.76
74.48,68.92,18:02:23:142,666.00,24.93
46.62,57.62,18:02:23:273,666.00,29.70
23.05,47.80,18:02:23:411,666.00,26.59
15.48,23.07,18:02:23:539,666.00,24.04
12.75,-8.99,18:02:23:671,666.00,21.77
11.63,-27.67,18:02:23:798,666.00,17.51
11.70,-34.25,18:02:23:921,666.00,16.09
11.49,-35.62,18:02:24:046,666.00,15.60
11.44,-35.92,18:02:24:175,666.00,15.75
11.26,-35.71,18:02:24:300,666.00,15.79
11.27,-35.04,18:02:24:425,666.00,15.73
11.39,-30.75,18:02:24:551,666.00,17.68
12.04,5.87,18:02:24:679,666.00,22.27
20.70,48.34,18:02:24:810,666.00,22.68
35.12,60.94,18:02:24:934,666.00,26.60
66.99,70.26,18:02:25:061,666.00,26.46
79.82,71.50,18:02:25:186,666.00,18.66
94.00,66.22,18:02:25:313,42.17,30.10
116.52,64.71,18:02:25:452,666.00,19.16
126.74,60.59,18:02:25:576,62.99,30.10
138.59,60.71,18:02:25:705,666.00,19.61
140.92,61.29,18:02:25:826,666.00,20.89
140.75,60.24,18:02:25:956,666.00,20.18
129.10,57.90,18:02:26:085,666.00,29.13
110.33,61.01,18:02:26:210,666.00,29.37
95.68,61.49,18:02:26:322,54.50,30.56
72.09,67.61,18:02:26:447,24.81,33.53
46.19,70.68,18:02:26:563,-2.41,56.41
49.27,58.45,18:02:26:685,666.00,26.48
26.21,50.36,18:02:26:807,666.00,20.54
17.57,35.74,18:02:26:930,666.00,19.04
11.80,1.61,18:02:27:057,666.00,19.98
11.50,-27.90,18:02:27:182,666.00,18.58
12.35,-39.02,18:02:27:307,666.00,17.77
12.24,-40.34,18:02:27:438,666.00,17.33
11.74,-38.13,18:02:27:568,666.00,17.27
11.56,-37.53,18:02:27:715,666.00,18.57
11.28,-35.87,18:02:27:841,666.00,18.31
10.85,-27.54,18:02:27:976,666.00,21.75
11.65,10.58,18:02:28:099,666.00,23.91
21.02,49.52,18:02:28:222,666.00,23.44
44.48,66.95,18:02:28:346,666.00,28.42
57.28,66.45,18:02:28:476,12.76,41.41
77.95,68.93,18:02:28:595,17.77,35.93
102.73,65.13,18:02:28:716,666.00,24.42
117.07,63.05,18:02:28:844,666.00,19.13
128.43,59.50,18:02:28:960,666.00,27.94
139.44,62.16,18:02:29:078,666.00,20.39
144.21,61.27,18:02:29:211,666.00,20.32
144.32,61.72,18:02:29:350,666.00,19.91
130.98,57.58,18:02:29:478,666.00,29.55
115.50,62.83,18:02:29:609,53.20,31.68
100.68,61.77,18:02:29:733,56.89,30.15
81.89,66.16,18:02:29:869,666.00,27.46
100.23,70.76,18:02:30:001,666.00,13.77
54.25,59.20,18:02:30:118,666.00,26.00
28.05,48.62,18:02:30:245,666.00,29.38
20.84,42.06,18:02:30:370,666.00,22.21
11.17,-7.92,18:02:30:523,666.00,21.09
11.61,-31.79,18:02:30:671,666.00,19.00
13.28,-43.38,18:02:30:818,666.00,15.29
13.86,-43.65,18:02:30:963,666.00,15.34
14.40,-42.89,18:02:31:093,666.00,16.56
14.46,-42.46,18:02:31:219,666.00,17.46
13.86,-40.60,18:02:31:340,666.00,17.12
13.30,-35.43,18:02:31:467,666.00,18.53
12.01,-7.05,18:02:31:598,666.00,19.98
16.53,34.70,18:02:31:729,666.00,22.24
31.27,56.71,18:02:31:857,666.00,23.69
51.26,64.94,18:02:31:976,666.00,28.21
65.10,68.37,18:02:32:095,6.00,48.37
84.27,65.87,18:02:32:218,21.56,37.18
106.25,62.85,18:02:32:338,666.00,28.08
119.22,61.76,18:02:32:466,666.00,25.45
132.58,60.74,18:02:32:592,666.00,17.76
138.75,60.14,18:02:32:725,666.00,20.51
140.48,59.83,18:02:32:846,666.00,21.60
132.72,56.55,18:02:32:977,63.26,30.36
122.75,60.11,18:02:33:115,666.00,23.25
104.07,60.33,18:02:33:240,666.00,28.83
84.26,66.12,18:02:33:359,38.03,32.52
77.71,67.06,18:02:33:492,666.00,20.35
44.90,58.02,18:02:33:611,30.58,30.73
27.55,49.78,18:02:33:746,666.00,20.33
11.74,20.24,18:02:33:893,666.00,21.40
9.78,-22.02,18:02:34:025,666.00,19.09
12.54,-46.02,18:02:34:149,666.00,15.59
13.67,-51.15,18:02:34:275,666.00,14.65
13.52,-52.07,18:02:34:396,666.00,15.05
13.05,-51.29,18:02:34:517,666.00,15.35
12.82,-50.54,18:02:34:640,666.00,15.98
12.75,-49.56,18:02:34:759,666.00,16.25
12.07,-39.44,18:02:34:878,666.00,17.48
12.03,-15.04,18:02:35:000,666.00,21.24
16.94,29.96,18:02:35:124,666.00,22.34
32.63,56.23,18:02:35:246,666.00,23.42
59.71,68.30,18:02:35:382,666.00,11.03
68.01,67.00,18:02:35:514,666.00,23.33
86.04,66.92,18:02:35:631,666.00,22.71
99.41,64.82,18:02:35:758,666.00,29.39
117.01,62.66,18:02:35:872,666.00,22.59
121.73,60.87,18:02:35:993,53.36,31.72
131.85,60.80,18:02:36:124,666.00,23.92
137.68,56.58,18:02:36:260,666.00,23.36
138.03,55.57,18:02:36:382,666.00,24.45
130.91,58.62,18:02:36:510,666.00,18.73
118.68,60.87,18:02:36:626,666.00,25.84
98.05,58.78,18:02:36:755,52.36,30.08
76.94,61.16,18:02:36:886,31.04,34.42
58.36,62.93,18:02:37:006,666.00,26.87
43.79,51.34,18:02:37:144,666.00,25.98
20.95,38.21,18:02:37:276,666.00,22.89
15.18,17.13,18:02:37:397,666.00,20.72
13.42,-26.21,18:02:37:522,666.00,22.31
14.35,-43.84,18:02:37:641,666.00,18.76
15.23,-50.42,18:02:37:760,666.00,19.46
14.65,-51.02,18:02:37:877,666.00,18.00
14.00,-50.09,18:02:37:994,666.00,17.54
13.76,-49.60,18:02:38:110,666.00,17.58
13.57,-48.66,18:02:38:237,666.00,17.80
13.30,-46.26,18:02:38:359,666.00,17.50
12.79,-41.70,18:02:38:490,666.00,19.01
12.13,-12.20,18:02:38:617,666.00,22.77
19.12,34.28,18:02:38:744,666.00,25.26
41.92,59.30,18:02:38:877,666.00,28.88
52.54,65.19,18:02:39:007,18.58,31.59
75.80,67.09,18:02:39:131,21.94,33.40
102.40,64.42,18:02:39:254,666.00,23.43
120.15,62.46,18:02:39:392,56.05,30.62
130.35,57.78,18:02:39:517,62.27,31.32
134.16,52.35,18:02:39:643,63.76,33.38
135.44,52.35,18:02:39:776,66.53,32.42
132.75,57.27,18:02:39:890,666.00,23.23
112.74,56.98,18:02:40:018,54.81,37.10
97.71,60.96,18:02:40:143,54.57,31.67
81.20,66.83,18:02:40:272,30.25,33.72
55.04,63.80,18:02:40:401,15.59,35.35
37.96,50.96,18:02:40:545,666.00,23.80
20.77,38.19,18:02:40:674,666.00,24.01
14.34,17.28,18:02:40:803,666.00,24.44
11.96,-17.67,18:02:40:921,666.00,19.32
13.22,-38.74,18:02:41:049,666.00,18.38
13.53,-42.51,18:02:41:191,666.00,18.30
12.47,-38.12,18:02:41:345,666.00,16.97
12.30,-37.00,18:02:41:479,666.00,17.25
11.82,-34.69,18:02:41:607,666.00,17.82
10.96,-23.32,18:02:41:730,666.00,22.52
15.26,31.11,18:02:41:860,666.00,23.65
30.37,59.12,18:02:41:992,9.84,30.96
50.31,67.43,18:02:42:120,-0.39,66.78
76.35,69.22,18:02:42:242,666.00,28.01
93.77,65.52,18:02:42:379,39.94,31.00
117.28,66.14,18:02:42:510,666.00,21.20
127.10,63.27,18:02:42:627,666.00,22.30
134.39,60.15,18:02:42:745,666.00,23.10
135.43,55.73,18:02:42:873,666.00,27.69
