Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,20.08,-41.70,20:10:28:381,666.00,22.38
19.06,-40.00,20:10:28:920,666.00,22.16
19.03,-39.88,20:10:29:124,666.00,22.01
19.06,-39.74,20:10:29:466,666.00,22.08
18.45,-38.30,20:10:29:645,666.00,21.93
18.23,-37.88,20:10:29:805,666.00,22.24
18.39,-37.82,20:10:29:935,666.00,22.01
18.43,-37.67,20:10:30:067,666.00,22.03
18.90,-38.19,20:10:30:192,666.00,22.12
18.83,-37.85,20:10:30:313,666.00,22.32
18.75,-37.28,20:10:30:437,666.00,22.15
19.08,-37.40,20:10:30:559,666.00,22.20
18.87,-36.96,20:10:30:673,666.00,22.44
18.73,-37.38,20:10:30:794,666.00,22.07
18.74,-37.79,20:10:30:928,666.00,22.26
18.76,-37.96,20:10:31:054,666.00,22.33
18.81,-38.03,20:10:31:177,666.00,22.71
18.91,-38.27,20:10:31:298,666.00,23.06
18.84,-37.72,20:10:31:422,666.00,23.52
18.90,-37.46,20:10:31:549,666.00,22.54
19.07,-37.73,20:10:31:671,666.00,22.51
18.45,-36.61,20:10:31:797,666.00,21.85
18.59,-36.81,20:10:31:932,666.00,22.39
18.95,-37.28,20:10:32:055,666.00,22.66
18.87,-37.24,20:10:32:183,666.00,21.66
18.80,-37.41,20:10:32:306,666.00,21.66
18.80,-37.56,20:10:32:428,666.00,21.95
18.77,-38.17,20:10:32:557,666.00,22.62
18.68,-38.46,20:10:32:679,666.00,22.57
18.66,-38.74,20:10:32:817,666.00,22.55
18.28,-38.55,20:10:32:967,666.00,22.40
17.76,-35.21,20:10:33:094,666.00,22.10
16.51,-10.24,20:10:33:463,666.00,27.22
47.25,56.51,20:10:33:588,30.28,32.21
65.18,65.24,20:10:33:718,666.00,18.09
75.98,67.46,20:10:33:842,666.00,20.41
78.84,62.07,20:10:33:978,40.34,36.77
85.90,62.36,20:10:34:127,51.92,30.13
82.90,61.20,20:10:34:259,666.00,28.40
67.27,53.28,20:10:34:390,36.42,55.24
46.20,48.13,20:10:34:517,24.35,45.97
41.52,44.07,20:10:34:645,37.40,37.13
24.36,24.77,20:10:34:786,18.92,33.86
19.28,-3.04,20:10:34:917,14.86,34.62
19.52,-29.14,20:10:35:057,666.00,29.08
19.73,-43.57,20:10:35:190,666.00,24.05
20.61,-49.28,20:10:35:313,666.00,25.13
20.66,-51.66,20:10:35:436,666.00,25.35
19.98,-49.35,20:10:35:557,666.00,24.83
16.89,-32.12,20:10:35:692,666.00,28.33
16.26,-8.46,20:10:35:817,6.25,30.52
21.22,25.95,20:10:35:949,9.74,32.26
40.04,47.50,20:10:36:084,666.00,27.78
50.32,54.59,20:10:36:219,36.52,36.62
67.07,66.17,20:10:36:356,666.00,17.19
75.72,61.87,20:10:36:483,65.18,30.47
78.09,58.79,20:10:36:612,45.43,39.98
86.54,64.95,20:10:36:741,666.00,25.03
83.18,61.81,20:10:36:883,55.68,30.23
71.69,54.69,20:10:37:014,47.21,44.58
47.39,49.17,20:10:37:156,11.21,54.15
37.84,41.97,20:10:37:294,23.92,39.78
24.37,20.22,20:10:37:425,19.92,32.64
20.29,-10.28,20:10:37:568,13.93,35.14
20.35,-29.59,20:10:37:694,16.86,30.27
20.72,-41.96,20:10:37:827,666.00,26.61
22.27,-49.66,20:10:37:961,666.00,25.36
22.94,-54.35,20:10:38:092,666.00,25.35
22.90,-54.07,20:10:38:222,666.00,25.21
22.22,-49.60,20:10:38:358,666.00,26.72
20.05,-33.57,20:10:38:487,666.00,28.98
19.29,-16.74,20:10:38:618,8.61,31.94
21.12,12.02,20:10:38:747,10.30,33.44
31.73,38.53,20:10:38:881,17.72,36.48
44.77,51.78,20:10:39:003,24.27,38.91
63.49,63.84,20:10:39:131,666.00,23.86
62.25,59.57,20:10:39:264,28.65,42.62
77.47,58.52,20:10:39:409,47.10,43.17
88.31,62.51,20:10:39:532,666.00,26.64
83.79,62.19,20:10:39:667,58.02,30.48
76.91,62.33,20:10:39:799,44.97,34.25
53.12,50.89,20:10:39:931,26.09,52.58
42.78,39.55,20:10:40:058,48.38,36.43
26.70,21.53,20:10:40:194,18.50,39.59
21.42,-3.95,20:10:40:332,16.38,36.00
21.02,-24.66,20:10:40:473,15.52,34.50
21.92,-36.78,20:10:40:607,19.87,30.04
23.18,-46.39,20:10:40:727,666.00,28.08
23.46,-49.01,20:10:40:848,666.00,27.85
23.20,-49.45,20:10:40:997,666.00,27.14
22.89,-47.92,20:10:41:122,666.00,27.59
21.61,-39.96,20:10:41:256,12.66,30.54
20.03,-31.59,20:10:41:381,9.12,32.85
19.92,-3.52,20:10:41:516,11.89,35.15
25.66,28.37,20:10:41:647,14.88,37.60
42.16,42.03,20:10:41:780,34.22,44.83
57.70,58.23,20:10:41:916,666.00,28.24
62.34,60.57,20:10:42:046,29.44,41.95
74.64,57.43,20:10:42:177,54.99,51.73
80.70,57.43,20:10:42:303,68.75,46.52
75.67,52.93,20:10:42:445,58.71,59.16
70.98,52.80,20:10:42:576,45.84,64.17
52.16,47.44,20:10:42:700,34.28,49.76
39.74,36.33,20:10:42:829,32.62,42.37
26.20,12.32,20:10:42:961,13.39,42.14
22.64,-10.25,20:10:43:093,13.05,36.82
21.96,-28.99,20:10:43:232,14.16,36.89
21.35,-38.40,20:10:43:357,18.99,32.81
21.10,-43.63,20:10:43:503,666.00,27.63
21.82,-47.36,20:10:43:636,666.00,25.62
21.85,-47.53,20:10:43:796,666.00,25.74
21.38,-43.60,20:10:43:946,13.12,30.98
19.73,-27.86,20:10:44:074,10.27,34.91
19.44,-0.93,20:10:44:214,12.38,35.39
26.93,33.62,20:10:44:345,20.46,34.82
39.62,48.44,20:10:44:489,22.52,45.30
55.89,62.12,20:10:44:625,23.28,37.43
76.21,61.92,20:10:44:766,81.46,46.11
82.70,62.76,20:10:44:891,53.35,33.77
82.07,62.05,20:10:45:018,49.30,35.80
81.04,61.47,20:10:45:146,55.07,34.92
56.78,54.20,20:10:45:270,20.44,58.34
47.05,50.99,20:10:45:397,23.36,45.27
32.72,39.12,20:10:45:521,18.10,35.86
22.80,16.96,20:10:45:668,16.33,32.52
20.22,-13.16,20:10:45:808,14.39,31.27
21.25,-33.38,20:10:45:938,666.00,29.35
22.17,-43.42,20:10:46:077,666.00,26.30
22.34,-49.01,20:10:46:207,666.00,25.11
21.92,-50.23,20:10:46:325,666.00,24.98
21.98,-49.93,20:10:46:460,666.00,25.61
21.55,-46.66,20:10:46:592,666.00,25.40
20.40,-33.22,20:10:46:726,666.00,26.96
21.09,-10.38,20:10:46:877,4.48,33.84
25.87,15.24,20:10:47:015,12.43,34.71
38.24,38.71,20:10:47:147,29.67,34.52
43.85,48.12,20:10:47:275,13.22,51.69
61.86,61.33,20:10:47:404,666.00,28.72
74.71,65.01,20:10:47:537,40.06,30.24
77.68,64.07,20:10:47:668,39.04,37.14
85.75,66.07,20:10:47:793,41.62,32.16
78.46,61.42,20:10:47:934,34.99,45.27
73.25,56.55,20:10:48:069,45.04,47.97
47.40,53.50,20:10:48:209,21.88,47.17
36.25,47.39,20:10:48:338,23.13,35.92
21.86,26.19,20:10:48:461,13.62,32.97
17.46,-10.11,20:10:48:596,666.00,27.42
17.77,-30.91,20:10:48:735,666.00,22.85
19.28,-47.27,20:10:48:882,666.00,22.98
20.58,-53.98,20:10:49:022,666.00,23.35
21.07,-56.27,20:10:49:170,666.00,24.36
20.77,-56.08,20:10:49:296,666.00,24.29
18.70,-49.96,20:10:49:422,666.00,26.62
15.92,-22.98,20:10:49:558,666.00,27.34
18.14,14.57,20:10:49:694,12.61,30.70
25.55,38.97,20:10:49:821,15.96,32.12
41.68,55.09,20:10:49:949,21.60,37.00
59.12,63.36,20:10:50:098,23.85,40.25
79.16,64.20,20:10:50:226,666.00,25.42
82.64,63.12,20:10:50:349,51.02,31.60
86.39,62.19,20:10:50:476,49.91,32.62
88.31,58.07,20:10:50:597,64.49,36.54
75.21,58.77,20:10:50:728,48.84,36.72
54.90,52.43,20:10:50:853,20.33,52.76
50.09,53.26,20:10:50:994,35.42,39.17
31.82,34.74,20:10:51:132,27.35,37.09
19.88,5.27,20:10:51:279,11.92,35.06
18.03,-16.10,20:10:51:417,666.00,27.47
19.84,-37.00,20:10:51:557,666.00,24.19
20.08,-44.59,20:10:51:679,666.00,23.69
20.11,-47.51,20:10:51:810,666.00,22.28
19.50,-47.61,20:10:51:932,666.00,22.36
19.48,-46.38,20:10:52:058,666.00,24.50
18.16,-35.32,20:10:52:193,666.00,27.02
17.59,-12.81,20:10:52:328,8.73,31.57
22.29,27.82,20:10:52:460,666.00,29.40
34.19,47.75,20:10:52:591,18.92,38.79
58.50,64.46,20:10:52:721,666.00,21.39
56.73,61.46,20:10:52:848,23.56,37.70
74.60,60.95,20:10:52:975,48.17,36.22
82.71,62.55,20:10:53:113,45.87,35.31
84.47,63.05,20:10:53:236,46.26,33.06
81.53,56.39,20:10:53:387,61.10,39.67
51.30,47.93,20:10:53:521,14.40,66.07
46.01,45.47,20:10:53:662,52.61,36.65
24.37,25.69,20:10:53:795,14.47,39.30
20.39,-0.38,20:10:53:927,15.70,33.09
20.50,-21.79,20:10:54:075,666.00,27.14
22.06,-41.69,20:10:54:207,666.00,26.35
22.80,-47.90,20:10:54:327,666.00,24.53
23.10,-51.11,20:10:54:453,666.00,25.42
22.89,-50.05,20:10:54:582,666.00,27.00
21.00,-43.55,20:10:54:714,666.00,27.91
19.59,-21.87,20:10:54:838,11.59,31.02
21.38,7.46,20:10:54:964,11.51,36.91
30.28,35.77,20:10:55:092,15.76,40.95
44.73,50.24,20:10:55:233,28.03,41.79
57.46,58.41,20:10:55:359,28.93,49.10
75.56,62.22,20:10:55:484,52.15,33.29
82.20,61.30,20:10:55:631,51.76,32.49
85.04,65.93,20:10:55:768,38.22,30.32
85.60,65.76,20:10:55:891,666.00,26.30
72.70,54.45,20:10:56:030,41.21,55.26
49.58,50.70,20:10:56:158,12.86,70.14
37.58,35.76,20:10:56:291,35.85,42.68
22.49,23.39,20:10:56:414,21.47,31.85
17.27,-19.75,20:10:56:557,666.00,29.60
19.62,-37.39,20:10:56:693,666.00,25.89
21.34,-48.46,20:10:56:830,666.00,26.27
21.02,-51.56,20:10:56:956,666.00,25.65
20.51,-52.36,20:10:57:082,666.00,26.16
20.77,-50.78,20:10:57:201,666.00,27.14
19.72,-46.19,20:10:57:331,666.00,26.71
18.57,-35.21,20:10:57:453,10.20,30.26
17.58,-10.75,20:10:57:576,8.19,33.77
24.02,28.74,20:10:57:704,12.87,35.18
39.02,43.99,20:10:57:831,23.87,41.40
52.20,52.73,20:10:57:956,15.58,56.63
69.20,58.46,20:10:58:086,50.25,30.34
72.86,56.85,20:10:58:218,49.38,36.40
79.81,58.23,20:10:58:343,44.82,37.95
80.94,56.60,20:10:58:466,45.00,41.12
78.25,54.43,20:10:58:590,53.53,41.22
66.18,49.79,20:10:58:720,43.58,46.28
48.83,44.18,20:10:58:852,23.52,52.40
37.64,38.36,20:10:58:983,12.46,55.53
28.13,23.34,20:10:59:121,23.43,38.52
21.21,0.03,20:10:59:259,17.92,34.92
21.50,-18.17,20:10:59:381,18.35,35.66
22.33,-31.07,20:10:59:508,21.48,31.95
21.43,-37.70,20:10:59:632,666.00,27.25
21.55,-42.93,20:10:59:764,666.00,24.23
20.68,-44.91,20:10:59:890,666.00,22.30
20.05,-44.44,20:11:00:024,666.00,23.79
18.67,-32.02,20:11:00:161,666.00,28.52
17.82,-3.37,20:11:00:297,10.62,31.37
24.71,32.91,20:11:00:425,16.96,33.37
35.82,49.23,20:11:00:553,14.58,48.17
49.79,57.08,20:11:00:691,30.22,37.43
55.55,59.96,20:11:00:814,25.71,38.28
73.73,61.09,20:11:00:938,666.00,28.71
78.73,64.24,20:11:01:067,43.05,34.00
67.43,63.80,20:11:01:200,19.57,50.44
70.51,58.36,20:11:01:336,40.62,45.62
52.01,50.60,20:11:01:460,17.28,59.11
47.69,46.10,20:11:01:578,47.12,45.59
27.29,33.23,20:11:01:713,12.29,41.30
21.41,10.00,20:11:01:853,15.48,32.39
20.06,-15.71,20:11:01:985,666.00,29.38
20.25,-34.56,20:11:02:117,666.00,27.77
20.57,-43.49,20:11:02:263,666.00,24.71
20.30,-50.88,20:11:02:421,666.00,24.55
20.11,-51.45,20:11:02:560,666.00,24.80
18.93,-44.06,20:11:02:693,666.00,28.53
16.76,-14.68,20:11:02:830,16.76,32.37
19.99,23.66,20:11:02:975,16.40,36.17
38.02,48.30,20:11:03:102,40.98,40.51
55.04,64.11,20:11:03:228,666.00,28.74
55.02,61.59,20:11:03:357,29.95,39.02
73.47,65.89,20:11:03:492,666.00,18.87
79.32,65.21,20:11:03:626,46.90,30.14
78.65,65.49,20:11:03:748,40.06,32.84
69.27,64.33,20:11:03:873,22.80,45.22
67.04,62.24,20:11:03:998,666.00,28.03
44.38,44.61,20:11:04:127,28.18,49.53
32.02,39.37,20:11:04:246,13.79,45.86
23.00,26.75,20:11:04:378,11.63,36.65
18.92,5.63,20:11:04:512,13.45,30.49
18.11,-17.12,20:11:04:647,666.00,29.49
19.72,-32.68,20:11:04:780,666.00,27.15
21.00,-42.80,20:11:04:917,666.00,24.16
21.65,-50.36,20:11:05:043,666.00,23.81
21.67,-52.63,20:11:05:166,666.00,25.77
21.03,-52.14,20:11:05:290,666.00,25.77
18.89,-43.07,20:11:05:425,666.00,25.69
17.49,-18.39,20:11:05:562,666.00,28.09
20.60,20.71,20:11:05:694,13.41,31.73
32.60,45.51,20:11:05:833,17.95,38.41
54.41,59.85,20:11:05:953,666.00,27.91
49.42,59.28,20:11:06:085,21.74,54.20
78.05,62.11,20:11:06:226,100.41,89.48
80.73,67.77,20:11:06:358,666.00,29.35
80.57,66.22,20:11:06:487,666.00,26.52
69.78,65.05,20:11:06:634,666.00,29.83
46.85,49.60,20:11:06:763,20.60,63.32
41.13,44.70,20:11:06:881,18.61,46.36
32.01,30.62,20:11:07:006,29.93,36.15
22.94,3.63,20:11:07:138,16.45,36.27
20.99,-16.82,20:11:07:268,666.00,29.98
21.31,-33.07,20:11:07:394,666.00,27.07
21.13,-40.97,20:11:07:511,666.00,25.30
22.55,-50.09,20:11:07:641,666.00,24.97
22.34,-53.62,20:11:07:773,666.00,23.59
22.89,-54.45,20:11:07:903,666.00,24.79
21.73,-48.29,20:11:08:030,666.00,29.67
18.48,-27.16,20:11:08:156,18.07,30.53
18.97,-1.00,20:11:08:280,17.99,34.40
25.81,34.52,20:11:08:405,19.87,37.70
38.91,52.47,20:11:08:529,16.10,51.47
60.67,66.26,20:11:08:656,38.50,32.43
62.57,65.14,20:11:08:784,27.43,46.99
59.68,67.99,20:11:08:917,27.95,35.70
73.02,66.36,20:11:09:045,23.78,45.42
73.26,65.56,20:11:09:162,666.00,29.64
60.75,63.38,20:11:09:302,20.43,52.13
52.22,50.98,20:11:09:438,17.78,70.60
39.97,37.15,20:11:09:558,43.95,39.98
23.97,21.53,20:11:09:692,18.70,33.76
19.67,-5.86,20:11:09:830,15.96,32.84
19.39,-27.21,20:11:09:958,666.00,29.41
20.24,-38.86,20:11:10:080,666.00,26.69
20.81,-46.92,20:11:10:207,666.00,24.05
21.44,-50.45,20:11:10:331,666.00,23.64
22.12,-50.50,20:11:10:457,666.00,23.80
21.86,-48.95,20:11:10:580,666.00,24.79
19.88,-34.38,20:11:10:706,666.00,25.38
19.16,-12.75,20:11:10:837,8.91,33.50
23.99,27.81,20:11:10:965,14.98,37.54
