Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,12.12,-29.13,20:16:48:107,-10.51,82.14
12.57,-25.52,20:16:49:711,-10.61,87.26
12.41,-25.31,20:16:49:937,-11.74,90.50
12.75,-23.90,20:16:50:389,-10.61,86.77
13.20,-21.30,20:16:50:593,-10.02,87.76
13.97,-16.50,20:16:50:759,-8.69,84.66
13.82,-17.14,20:16:50:892,-9.26,85.82
13.45,-15.20,20:16:51:035,-9.04,84.15
13.97,-29.44,20:16:51:176,-10.02,89.12
14.06,-23.83,20:16:51:314,-9.89,89.53
13.53,-24.00,20:16:51:443,-10.75,90.55
13.08,-24.62,20:16:51:567,-10.29,86.51
13.40,-23.90,20:16:51:909,-9.76,84.31
13.61,-28.74,20:16:52:038,-9.97,85.00
12.75,-19.14,20:16:52:164,-10.20,84.57
12.53,-18.66,20:16:52:292,-9.98,85.84
12.40,-23.92,20:16:52:423,-12.13,84.97
12.33,-15.65,20:16:52:556,-18.70,89.34
13.52,-7.97,20:16:52:699,-26.81,85.20
14.63,-5.46,20:16:52:829,-36.16,85.00
16.27,-9.37,20:16:52:961,-44.08,85.65
19.18,-4.02,20:16:53:096,-49.62,81.66
20.58,-4.61,20:16:53:229,-52.45,79.69
21.05,-4.63,20:16:53:359,-52.27,79.06
20.97,-5.71,20:16:53:503,-48.38,79.98
19.96,-5.38,20:16:53:646,-40.00,83.02
18.50,-12.51,20:16:53:780,-31.08,89.31
18.18,-6.39,20:16:53:903,-19.90,89.97
18.10,-14.39,20:16:54:038,-8.86,84.38
25.31,-20.14,20:16:54:170,-9.36,101.96
24.72,21.55,20:16:54:310,27.84,87.49
23.62,23.78,20:16:54:442,40.12,92.70
22.88,3.25,20:16:54:576,39.53,103.33
24.90,-26.95,20:16:54:724,29.88,109.90
22.20,26.56,20:16:54:858,35.57,89.02
20.95,-14.87,20:16:54:986,13.70,93.47
23.18,-12.91,20:16:55:109,8.10,98.89
17.20,-15.17,20:16:55:243,-1.57,84.49
16.53,-7.19,20:16:55:371,-15.78,86.88
15.96,-4.19,20:16:55:506,-27.22,88.03
16.47,-4.77,20:16:55:635,-36.59,87.28
17.30,-4.08,20:16:55:769,-45.48,84.14
19.80,-1.72,20:16:55:918,-51.50,80.23
21.02,-1.18,20:16:56:057,-52.82,78.56
21.12,-0.99,20:16:56:193,-49.55,78.76
19.93,-5.46,20:16:56:333,-40.36,84.47
18.55,-9.05,20:16:56:474,-30.57,90.15
17.27,-16.13,20:16:56:611,-21.82,97.61
17.43,-4.87,20:16:56:734,-11.68,95.54
29.50,-7.21,20:16:56:859,10.84,99.72
21.96,-4.65,20:16:56:990,18.63,96.59
22.62,26.78,20:16:57:131,37.23,92.76
23.13,15.38,20:16:57:256,41.11,100.59
25.21,-30.96,20:16:57:389,27.93,113.40
18.07,41.48,20:16:57:531,38.54,90.13
19.82,21.12,20:16:57:667,28.59,89.58
21.10,-10.57,20:16:57:803,11.25,93.70
13.03,-15.11,20:16:57:945,11.30,82.70
16.17,4.49,20:16:58:087,-20.35,88.45
16.85,2.26,20:16:58:228,-33.10,85.42
17.59,-1.32,20:16:58:373,-41.72,84.56
19.05,-0.47,20:16:58:511,-48.64,81.21
20.16,2.67,20:16:58:641,-53.31,79.03
20.53,2.70,20:16:58:768,-53.79,77.46
19.64,-2.12,20:16:58:889,-48.72,80.25
19.12,-6.77,20:16:59:032,-38.67,86.89
18.40,-8.80,20:16:59:160,-23.04,90.48
17.29,14.33,20:16:59:299,-4.68,90.31
29.28,-13.22,20:16:59:438,13.15,99.56
16.59,18.96,20:16:59:564,23.09,94.34
19.65,39.17,20:16:59:690,40.77,92.02
18.05,29.95,20:16:59:825,51.18,96.39
17.24,30.45,20:16:59:956,48.39,100.27
16.73,16.68,20:17:00:104,44.97,96.17
20.08,39.02,20:17:00:231,38.81,91.45
18.54,-5.98,20:17:00:357,20.55,96.48
20.50,-9.73,20:17:00:479,9.94,94.13
10.90,-6.97,20:17:00:614,-14.55,89.84
12.86,-0.77,20:17:00:743,-23.27,89.20
15.05,3.28,20:17:00:876,-32.11,86.57
15.97,2.79,20:17:01:015,-41.82,85.10
19.05,4.38,20:17:01:169,-49.66,81.67
19.73,3.70,20:17:01:301,-51.91,80.93
20.01,2.31,20:17:01:437,-50.84,81.04
19.46,0.57,20:17:01:562,-43.53,84.23
16.79,-3.96,20:17:01:694,-32.00,89.82
14.71,-10.99,20:17:01:821,-17.57,97.92
12.30,-20.81,20:17:01:949,-15.49,103.75
25.45,-18.76,20:17:02:076,11.79,100.47
18.42,45.55,20:17:02:218,34.53,92.17
18.52,10.13,20:17:02:347,43.69,102.73
15.91,20.87,20:17:02:484,51.23,97.91
14.34,24.69,20:17:02:620,48.91,96.98
16.98,12.81,20:17:02:740,39.64,99.25
16.02,15.83,20:17:02:865,30.95,94.35
18.33,-3.91,20:17:03:004,13.92,93.07
10.51,-29.86,20:17:03:135,11.04,88.57
12.09,-6.12,20:17:03:284,-16.67,93.94
13.88,3.18,20:17:03:421,-28.40,88.43
15.28,2.95,20:17:03:553,-40.50,86.21
17.43,3.17,20:17:03:693,-47.52,83.74
19.82,5.87,20:17:03:826,-51.68,80.94
20.51,4.75,20:17:03:960,-51.06,81.12
19.16,-3.87,20:17:04:096,-42.50,87.75
16.47,-10.85,20:17:04:224,-32.15,93.48
16.40,4.80,20:17:04:354,-13.85,93.50
12.60,-26.76,20:17:04:484,-5.07,96.71
27.40,-13.05,20:17:04:625,14.71,99.32
17.21,22.04,20:17:04:755,23.10,97.79
20.88,44.18,20:17:04:885,40.24,89.70
19.70,22.83,20:17:05:012,44.95,97.75
17.97,13.27,20:17:05:152,39.70,100.28
18.20,7.99,20:17:05:281,42.78,101.80
21.21,51.60,20:17:05:419,44.66,86.42
19.09,1.42,20:17:05:552,17.29,92.31
9.59,-26.19,20:17:05:692,10.68,89.10
12.35,1.81,20:17:05:832,-15.46,84.80
13.41,6.79,20:17:05:955,-26.17,85.03
