3.80,83.98,17-16-50-529,2.07,-4.86
3.80,84.11,17-16-50-620,2.21,-4.67
3.80,84.19,17-16-50-723,2.34,-4.53
3.80,84.31,17-16-50-830,2.41,-4.37
3.80,84.45,17-16-50-939,2.55,-4.18
3.80,84.57,17-16-51-039,2.61,-4.03
3.80,84.67,17-16-51-135,2.58,-3.96
3.80,84.85,17-16-51-238,2.71,-3.70
3.80,84.99,17-16-51-337,2.87,-3.47
3.80,85.10,17-16-51-440,2.97,-3.30
3.80,85.20,17-16-51-542,3.05,-3.16
3.80,85.60,17-16-51-639,3.00,-2.80
3.80,85.73,17-16-51-734,3.02,-2.67
3.80,85.66,17-16-51-832,3.05,-2.73
3.80,84.20,17-16-51-934,0.48,-5.64
9.61,82.87,17-16-52-038,2.30,-8.41
25.90,80.88,17-16-52-163,6.37,-12.13
40.73,77.79,17-16-52-255,13.18,-16.39
55.13,75.87,17-16-52-353,9.29,-14.49
82.46,75.20,17-16-52-454,72.53,-13.35
89.93,74.98,17-16-52-551,68.21,-13.37
90.02,75.04,17-16-52-653,66.23,-13.28
126.22,74.13,17-16-52-756,9.97,-13.15
159.51,73.69,17-16-52-858,2.82,-14.84
159.51,76.73,17-16-52-957,4.91,-10.71
159.51,80.61,17-16-53-052,8.82,-4.39
159.51,81.54,17-16-53-150,8.59,-3.04
159.51,82.06,17-16-53-249,8.01,-3.02
159.51,82.57,17-16-53-348,8.63,-2.48
159.51,83.58,17-16-53-456,9.90,-0.84
159.51,83.00,17-16-53-576,9.53,-1.75
169.21,78.31,17-16-53-672,6.00,-8.69
154.51,75.02,17-16-53-770,5.21,-11.56
129.85,71.04,17-16-53-871,5.38,-13.29
105.24,70.90,17-16-53-971,38.42,-15.02
83.10,71.40,17-16-54-078,84.00,-14.57
61.61,68.86,17-16-54-194,7.92,-19.69
47.98,69.56,17-16-54-303,1.70,-19.09
34.02,71.48,17-16-54-407,1.96,-17.19
19.03,72.81,17-16-54-507,2.36,-16.28
7.40,74.11,17-16-54-623,0.18,-16.51
7.40,77.27,17-16-54-722,0.47,-12.75
7.40,80.05,17-16-54-817,1.00,-9.50
7.40,81.95,17-16-54-933,1.39,-7.25
7.40,82.88,17-16-55-023,2.04,-5.99
7.40,83.11,17-16-55-120,1.94,-5.84
7.40,83.36,17-16-55-223,2.40,-5.31
7.40,83.83,17-16-55-319,3.28,-4.36
7.40,83.50,17-16-55-443,1.56,-5.59
6.27,83.25,17-16-55-552,1.04,-6.16
30.11,81.04,17-16-55-652,4.90,-10.30
45.70,79.23,17-16-55-750,12.76,-13.45
69.79,76.92,17-16-55-859,17.31,-8.54
90.64,78.39,17-16-55-966,103.30,-10.23
112.62,77.20,17-16-56-071,42.90,-11.21
134.30,76.25,17-16-56-180,10.07,-11.81
163.13,76.11,17-16-56-287,5.89,-11.85
163.13,77.48,17-16-56-407,4.69,-9.78
163.13,79.89,17-16-56-503,7.78,-5.84
163.13,81.96,17-16-56-604,8.20,-3.35
163.13,83.57,17-16-56-706,10.03,-0.88
163.13,84.88,17-16-56-805,10.75,-1.21
163.13,85.31,17-16-56-906,10.66,-1.47
163.13,85.40,17-16-57-033,11.26,-1.87
163.13,85.46,17-16-57-147,11.63,-2.15
163.13,83.25,17-16-57-243,9.71,-1.58
163.13,79.92,17-16-57-334,12.76,-3.49
124.75,77.34,17-16-57-444,41.33,-2.12
88.28,75.31,17-16-57-564,97.29,-6.13
76.68,72.53,17-16-57-655,30.94,-12.30
64.90,71.48,17-16-57-758,2.86,-15.27
51.36,71.49,17-16-57-856,0.84,-17.02
38.91,72.84,17-16-57-952,2.27,-15.78
30.88,74.27,17-16-58-050,1.66,-14.79
25.74,75.26,17-16-58-150,0.97,-14.11
9.12,75.72,17-16-58-248,1.30,-14.06
9.12,77.67,17-16-58-352,3.32,-10.87
9.12,79.34,17-16-58-456,4.67,-8.26
9.12,81.33,17-16-58-553,6.12,-5.39
9.12,82.19,17-16-58-662,6.16,-4.50
9.12,82.55,17-16-58-774,5.62,-4.44
9.12,82.69,17-16-58-869,5.12,-4.59
9.12,82.59,17-16-58-974,4.38,-5.08
3.97,81.79,17-16-59-073,1.86,-7.19
31.24,79.29,17-16-59-174,5.14,-12.18
44.31,76.56,17-16-59-269,9.81,-14.49
59.91,74.64,17-16-59-379,9.57,-14.30
81.15,74.59,17-16-59-489,76.30,-12.97
95.19,73.75,17-16-59-582,85.08,-17.19
114.66,72.21,17-16-59-684,37.64,-18.66
124.09,71.86,17-16-59-799,18.72,-18.49
142.43,72.16,17-16-59-902,9.28,-17.26
160.67,71.81,17-17-00-007,5.72,-17.49
160.67,72.34,17-17-00-116,3.63,-16.94
160.67,74.65,17-17-00-226,4.28,-13.51
160.67,77.43,17-17-00-336,6.38,-8.75
160.67,79.92,17-17-00-440,8.85,-5.33
160.67,81.23,17-17-00-542,9.33,-3.29
160.67,82.21,17-17-00-658,10.64,-1.38
160.67,82.28,17-17-00-757,10.93,-1.52
160.67,81.89,17-17-00-852,10.72,-2.04
160.67,80.68,17-17-00-952,10.36,-4.05
160.67,77.25,17-17-01-054,11.97,-7.00
117.77,77.20,17-17-01-167,45.85,-2.66
88.21,77.41,17-17-01-271,123.17,-2.65
69.25,75.46,17-17-01-398,3.68,-7.79
57.35,75.69,17-17-01-516,8.29,-8.67
41.81,76.54,17-17-01-608,6.91,-9.25
31.23,77.21,17-17-01-707,5.38,-10.03
25.65,77.78,17-17-01-812,3.48,-10.36
18.77,78.13,17-17-01-920,2.75,-10.53
4.68,78.58,17-17-02-019,2.18,-10.47
4.68,78.56,17-17-02-126,0.72,-11.34
4.68,79.65,17-17-02-219,1.24,-9.76
4.68,80.61,17-17-02-318,2.05,-8.26
4.68,81.35,17-17-02-408,2.64,-7.29
4.68,81.70,17-17-02-510,2.71,-6.92
4.68,81.83,17-17-02-631,1.61,-7.27
4.68,80.76,17-17-02-739,0.84,-9.72
8.28,78.72,17-17-02-851,3.87,-13.67
39.11,73.74,17-17-02-952,9.67,-18.74
59.48,70.98,17-17-03-050,11.58,-18.99
82.52,71.33,17-17-03-151,53.70,-17.76
93.52,73.89,17-17-03-262,74.94,-17.32
117.49,73.00,17-17-03-381,22.40,-17.41
126.34,72.87,17-17-03-480,10.96,-17.40
151.79,74.76,17-17-03-596,5.65,-14.38
168.29,77.49,17-17-03-685,4.23,-11.22
168.29,79.91,17-17-03-790,4.94,-7.55
168.29,82.94,17-17-03-888,6.81,-2.94
168.29,83.27,17-17-03-992,8.01,-2.25
168.29,83.31,17-17-04-092,9.46,-1.44
168.29,83.03,17-17-04-205,9.93,-1.53
168.29,82.52,17-17-04-299,10.81,-1.45
168.29,82.08,17-17-04-403,10.96,-1.76
168.29,81.61,17-17-04-501,10.33,-2.76
168.29,82.02,17-17-04-602,12.86,-0.87
168.29,78.57,17-17-04-704,10.89,-5.86
122.49,76.62,17-17-04-801,33.49,-4.24
90.27,77.82,17-17-04-920,115.11,-10.44
77.07,78.56,17-17-05-021,120.54,-4.05
59.80,78.22,17-17-05-117,8.71,-5.98
49.80,77.95,17-17-05-219,3.81,-8.96
35.12,77.93,17-17-05-318,4.36,-9.76
25.68,78.92,17-17-05-419,4.26,-8.92
