12.02,72.21,15-31-52-386,11.84,-25.16
12.47,72.33,15-31-52-480,11.64,-24.99
12.57,72.33,15-31-52-581,11.66,-25.01
12.59,72.32,15-31-52-676,11.71,-25.05
12.63,72.30,15-31-52-766,11.66,-25.05
12.64,72.28,15-31-52-865,11.65,-25.06
12.62,72.27,15-31-52-974,11.64,-25.08
12.59,72.26,15-31-53-071,11.63,-25.09
12.59,72.25,15-31-53-173,11.64,-25.11
12.45,72.26,15-31-53-284,11.60,-25.10
12.17,72.25,15-31-53-382,11.55,-25.11
12.05,72.24,15-31-53-482,11.53,-25.13
11.96,72.23,15-31-53-585,11.52,-25.14
11.76,72.21,15-31-53-681,11.49,-25.16
12.53,71.78,15-31-53-788,11.84,-25.89
19.25,68.18,15-31-53-903,13.26,-30.21
25.33,61.95,15-31-54-002,13.91,-36.61
31.88,55.09,15-31-54-100,13.86,-43.93
33.07,54.31,15-31-54-204,12.53,-43.97
40.74,47.52,15-31-54-326,14.12,-54.82
50.10,39.40,15-31-54-428,11.19,-64.16
64.62,25.64,15-31-54-532,8.51,-64.16
72.21,16.34,15-31-54-636,4.83,-64.16
80.45,2.97,15-31-54-732,6.89,-64.16
84.79,2.97,15-31-54-833,6.49,-64.16
84.71,2.97,15-31-54-968,6.31,-64.16
100.30,2.97,15-31-55-066,7.16,-64.16
108.30,9.70,15-31-55-166,7.66,-64.16
118.62,17.80,15-31-55-266,7.04,-64.16
124.93,28.59,15-31-55-367,4.75,-60.63
131.34,39.55,15-31-55-473,9.09,-44.87
140.58,47.12,15-31-55-583,8.82,-41.13
142.69,49.26,15-31-55-686,6.72,-40.51
146.86,52.35,15-31-55-781,4.96,-39.52
146.69,53.35,15-31-55-864,2.09,-40.57
147.64,54.41,15-31-55-967,2.95,-39.21
148.10,53.24,15-31-56-067,1.40,-41.51
148.35,52.32,15-31-56-174,2.31,-43.32
145.92,51.36,15-31-56-287,2.34,-44.50
142.34,49.94,15-31-56-380,2.54,-45.95
139.40,49.41,15-31-56-488,2.27,-46.59
137.79,45.96,15-31-56-587,1.94,-50.58
134.46,42.66,15-31-56-700,4.11,-53.88
129.91,38.26,15-31-56-803,6.35,-59.89
121.12,30.10,15-31-56-917,9.61,-62.37
109.12,18.38,15-31-57-020,10.18,-62.37
97.19,18.38,15-31-57-113,10.46,-62.37
81.34,18.38,15-31-57-228,9.65,-62.37
80.68,18.38,15-31-57-323,9.76,-62.37
75.23,18.38,15-31-57-414,8.83,-62.37
59.40,16.01,15-31-57-513,10.53,-62.37
51.64,31.84,15-31-57-607,8.08,-67.81
35.53,49.98,15-31-57-725,5.56,-44.95
27.51,61.23,15-31-57-812,6.95,-34.04
23.12,64.67,15-31-57-908,7.95,-31.32
23.02,64.94,15-31-57-996,9.07,-31.65
16.59,68.97,15-31-58-098,7.78,-27.06
5.99,75.75,15-31-58-185,7.79,-19.60
6.47,78.58,15-31-58-283,10.01,-17.65
5.64,79.47,15-31-58-378,11.45,-17.54
8.44,79.63,15-31-58-487,11.88,-17.56
