Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,10.18,-63.17,15:14:32:206,-15.95,90.02
8.24,-49.79,15:14:32:805,-16.99,88.90
10.18,-61.96,15:14:33:013,-16.71,88.62
9.88,-59.76,15:14:33:377,-17.02,90.35
12.85,-66.55,15:14:33:579,-14.83,85.83
10.47,-59.61,15:14:33:727,-15.64,86.06
11.03,-63.28,15:14:33:858,-15.22,92.88
12.00,-66.17,15:14:33:983,-15.33,93.63
10.73,-63.98,15:14:34:110,-16.71,87.89
12.07,-65.58,15:14:34:243,-15.42,87.23
11.46,-65.06,15:14:34:369,-15.21,92.80
11.67,-65.28,15:14:34:498,-15.31,85.89
11.01,-63.96,15:14:34:623,-15.77,88.52
11.19,-63.37,15:14:34:750,-15.80,83.61
10.00,-59.97,15:14:34:876,-16.07,86.88
9.51,-55.98,15:14:35:006,-14.97,92.94
8.92,-53.82,15:14:35:128,-19.19,71.75
10.46,-58.62,15:14:35:252,-14.74,85.03
13.66,-70.19,15:14:35:388,-16.09,78.06
9.46,-56.86,15:14:35:514,-16.64,88.44
11.42,-70.18,15:14:35:643,-16.66,90.45
11.38,-64.43,15:14:35:762,-14.72,93.06
10.37,-61.73,15:14:35:890,-16.07,87.74
10.54,-63.60,15:14:36:020,-16.20,88.34
9.51,-57.10,15:14:36:153,-15.54,85.84
10.25,-58.35,15:14:36:270,-15.17,85.77
10.47,-60.01,15:14:36:392,-14.90,93.15
10.30,-61.15,15:14:36:512,-16.12,85.10
10.53,-62.75,15:14:36:635,-16.02,84.88
10.50,-66.72,15:14:36:757,-16.29,86.36
12.11,-68.96,15:14:36:883,-20.93,84.58
9.68,-60.35,15:14:37:017,-14.95,94.78
11.93,-69.47,15:14:37:135,-15.68,88.28
8.82,-53.80,15:14:37:252,-15.83,87.82
9.37,-60.24,15:14:37:380,-16.36,89.62
9.20,-58.08,15:14:37:506,-16.78,87.46
9.88,-60.63,15:14:37:633,-19.92,74.53
10.76,-65.48,15:14:37:758,-19.23,74.52
8.23,-48.64,15:14:37:887,-19.84,73.09
10.85,-64.64,15:14:38:004,-18.94,72.60
11.30,-66.26,15:14:38:117,-18.76,73.21
9.20,-54.76,15:14:38:241,-19.06,74.42
9.18,-57.13,15:14:38:368,-14.64,94.66
9.32,-56.11,15:14:38:480,-15.09,88.79
7.89,-48.09,15:14:38:593,-18.87,73.16
9.29,-57.57,15:14:38:711,-16.01,86.12
10.67,-63.83,15:14:38:831,-18.69,72.96
8.96,-58.91,15:14:38:944,-16.15,88.82
7.32,-50.79,15:14:39:068,-16.91,89.58
9.20,-58.92,15:14:39:186,-16.91,89.78
8.67,-58.83,15:14:39:314,-18.38,90.52
8.25,-64.67,15:14:39:436,-20.61,91.75
11.80,-77.50,15:14:39:559,-23.87,102.73
11.11,-72.86,15:14:39:697,-30.79,101.70
9.95,-68.56,15:14:39:832,-38.45,100.39
8.83,-65.27,15:14:39:966,-45.03,100.78
9.04,-62.91,15:14:40:096,-53.67,99.99
9.59,-59.04,15:14:40:224,-62.18,97.58
15.11,-37.57,15:14:40:352,-71.30,82.18
16.55,-35.89,15:14:40:475,-75.93,78.94
16.88,-39.09,15:14:40:597,-81.78,78.24
17.36,-40.30,15:14:40:717,-82.26,78.17
17.65,-39.80,15:14:40:839,-81.65,77.76
17.62,-39.13,15:14:40:965,-80.56,78.29
17.46,-38.64,15:14:41:090,-76.81,79.23
17.45,-33.55,15:14:41:224,-68.35,80.21
12.25,-41.37,15:14:41:352,-56.67,91.96
10.21,-45.71,15:14:41:485,-42.40,95.27
9.06,-35.23,15:14:41:621,-30.57,93.01
13.27,-46.27,15:14:41:750,-16.59,97.13
18.98,-45.54,15:14:41:871,-15.17,102.59
22.30,-37.78,15:14:41:999,-16.04,101.36
23.80,-34.61,15:14:42:122,13.23,95.68
21.78,-20.59,15:14:42:257,22.85,97.67
26.00,-24.96,15:14:42:381,26.73,100.65
25.51,-25.06,15:14:42:505,29.09,101.96
25.50,-27.53,15:14:42:624,29.29,103.09
24.86,-30.09,15:14:42:751,29.71,103.26
25.17,-31.10,15:14:42:884,29.49,102.98
24.97,-31.37,15:14:43:020,30.05,102.80
24.54,-31.88,15:14:43:156,29.79,103.02
23.91,-32.65,15:14:43:280,28.98,102.64
22.57,-34.84,15:14:43:416,26.89,102.22
19.12,-37.20,15:14:43:537,24.55,101.03
20.70,-46.03,15:14:43:665,17.94,103.25
19.07,-49.24,15:14:43:786,7.98,97.12
17.93,-50.42,15:14:43:904,4.59,99.40
13.98,-74.45,15:14:44:025,-7.72,97.06
15.72,-84.57,15:14:44:154,-17.88,107.29
6.84,-65.85,15:14:44:300,-31.76,101.54
5.01,-82.76,15:14:44:424,-43.35,98.53
4.37,267.27,15:14:44:546,-48.95,100.09
4.26,254.02,15:14:44:676,-52.97,101.43
9.34,253.19,15:14:44:809,-55.07,105.21
11.47,-31.28,15:14:44:931,-56.22,83.50
11.92,-29.79,15:14:45:053,-59.77,82.24
