10.82,78.86,15-08-06-255,12.77,-18.43
10.62,78.92,15-08-06-384,13.29,-18.69
10.59,79.06,15-08-06-504,13.82,-18.84
10.40,79.22,15-08-06-639,13.96,-18.76
10.73,79.66,15-08-06-756,13.62,-18.07
9.98,80.07,15-08-06-870,13.06,-17.30
9.49,80.19,15-08-06-987,12.63,-16.95
9.32,80.30,15-08-07-103,12.39,-16.70
9.22,80.38,15-08-07-222,12.29,-16.56
8.22,80.39,15-08-07-364,12.26,-16.56
7.83,80.40,15-08-07-489,12.22,-16.55
7.58,80.40,15-08-07-618,12.25,-16.57
7.30,80.42,15-08-07-737,12.30,-16.60
7.53,80.30,15-08-07-856,12.23,-16.68
14.75,78.64,15-08-07-968,11.53,-17.70
27.38,70.20,15-08-08-067,13.89,-27.59
35.33,55.76,15-08-08-181,14.39,-48.04
45.58,48.03,15-08-08-303,9.32,-53.50
62.19,30.61,15-08-08-415,8.25,-53.50
83.08,10.27,15-08-08-534,8.87,-53.50
103.77,4.91,15-08-08-652,6.54,-53.50
121.49,20.09,15-08-08-773,5.84,-74.42
139.23,34.57,15-08-08-890,3.56,-57.75
167.74,55.82,15-08-09-033,8.94,-32.90
167.74,70.38,15-08-09-149,10.99,-16.71
163.39,75.78,15-08-09-249,11.24,-9.99
175.53,78.61,15-08-09-369,12.32,-5.73
171.28,78.46,15-08-09-485,10.70,-6.64
170.16,78.54,15-08-09-602,11.43,-6.43
165.78,75.36,15-08-09-718,10.95,-10.37
157.04,62.99,15-08-09-837,0.16,-32.19
147.23,40.50,15-08-09-955,1.37,-58.88
105.69,18.96,15-08-10-076,9.95,-58.88
70.77,17.85,15-08-10-204,5.63,-58.88
47.07,35.89,15-08-10-315,1.66,-61.21
28.16,54.24,15-08-10-438,4.72,-39.78
13.58,69.85,15-08-10-553,6.60,-25.03
10.06,77.04,15-08-10-672,7.99,-17.85
13.60,80.87,15-08-10-787,6.00,-12.71
10.49,81.28,15-08-10-903,8.24,-13.53
13.70,80.77,15-08-11-021,10.63,-15.27
17.39,79.07,15-08-11-133,11.29,-17.40
23.10,77.31,15-08-11-253,12.77,-19.97
27.81,70.10,15-08-11-370,15.64,-30.30
28.29,68.20,15-08-11-488,14.40,-32.05
60.31,31.93,15-08-11-622,12.29,-32.05
88.81,31.93,15-08-11-737,11.83,-32.05
115.79,10.37,15-08-11-854,6.42,-32.05
130.96,29.51,15-08-11-969,1.16,-65.31
157.37,39.87,15-08-12-088,20.82,-41.10
157.37,54.58,15-08-12-203,16.58,-29.16
157.37,69.43,15-08-12-322,12.35,-17.00
169.90,77.95,15-08-12-433,11.23,-7.37
169.90,80.28,15-08-12-550,10.53,-4.87
169.90,79.37,15-08-12-672,9.39,-6.19
171.42,75.54,15-08-12-781,7.30,-11.55
175.49,74.66,15-08-12-885,8.28,-11.92
160.55,63.53,15-08-13-002,0.23,-30.22
149.28,46.74,15-08-13-130,0.19,-49.77
128.24,32.27,15-08-13-252,5.82,-64.00
108.95,22.79,15-08-13-369,12.18,-64.00
85.40,22.79,15-08-13-491,6.87,-64.00
51.38,26.44,15-08-13-602,1.33,-65.06
26.26,58.71,15-08-13-719,3.69,-34.15
18.40,71.37,15-08-13-851,7.64,-23.19
7.28,76.74,15-08-13-974,8.49,-18.41
12.11,79.97,15-08-14-090,7.42,-14.38
15.64,81.01,15-08-14-206,8.98,-14.13
9.55,80.49,15-08-14-320,8.89,-14.72
10.24,79.75,15-08-14-442,10.39,-16.33
16.86,76.53,15-08-14-576,12.12,-20.80
29.26,67.36,15-08-14-685,16.39,-34.06
35.24,54.40,15-08-14-804,18.08,-50.90
60.85,32.23,15-08-14-918,10.94,-50.90
87.31,32.23,15-08-15-032,12.38,-50.90
96.84,32.23,15-08-15-179,13.18,-50.90
114.47,9.87,15-08-15-284,7.98,-50.90
135.49,29.39,15-08-15-401,3.58,-73.67
154.08,46.63,15-08-15-502,12.61,-42.04
170.06,57.88,15-08-15-624,6.66,-34.51
170.06,71.36,15-08-15-752,9.46,-16.37
170.06,75.73,15-08-15-882,10.38,-10.02
172.18,76.84,15-08-16-002,11.18,-8.29
167.83,74.80,15-08-16-124,10.59,-10.60
160.52,63.98,15-08-16-254,1.07,-29.73
144.69,47.44,15-08-16-374,0.13,-48.81
139.88,41.21,15-08-16-484,0.45,-56.58
120.15,28.62,15-08-16-604,6.25,-66.36
85.63,28.62,15-08-16-716,5.75,-66.36
61.62,27.43,15-08-16-844,6.58,-76.09
44.03,34.69,15-08-16-963,7.84,-78.06
30.34,53.74,15-08-17-086,8.27,-43.79
13.91,71.52,15-08-17-204,9.07,-24.64
17.97,75.17,15-08-17-318,11.36,-21.61
18.88,75.70,15-08-17-433,12.34,-21.61
17.34,75.69,15-08-17-550,12.22,-21.67
17.35,76.04,15-08-17-652,11.69,-20.96
17.76,76.37,15-08-17-777,11.48,-20.45
14.21,78.49,15-08-17-896,10.52,-17.75
6.09,78.53,15-08-18-019,9.82,-17.54
11.36,77.43,15-08-18-119,10.47,-18.80
23.18,71.92,15-08-18-241,14.00,-26.84
42.46,51.51,15-08-18-369,15.64,-53.86
63.64,25.20,15-08-18-492,11.64,-53.86
69.11,19.82,15-08-18-617,4.83,-53.86
69.51,19.43,15-08-18-750,3.48,-53.86
69.51,19.44,15-08-18-876,3.30,-53.86
85.15,4.81,15-08-19-005,9.06,-53.86
105.29,10.00,15-08-19-128,12.49,-53.86
130.01,25.72,15-08-19-250,3.20,-75.83
140.08,33.31,15-08-19-373,4.95,-61.27
140.54,36.20,15-08-19-489,7.67,-56.58
140.53,37.55,15-08-19-601,6.90,-55.17
139.82,39.11,15-08-19-716,7.23,-52.84
138.87,39.89,15-08-19-821,8.38,-51.44
138.57,40.32,15-08-19-943,8.32,-51.13
161.86,56.36,15-08-20-076,12.05,-31.94
161.86,71.90,15-08-20-210,11.46,-14.93
161.86,76.55,15-08-20-354,10.92,-9.36
161.86,71.92,15-08-20-477,7.60,-15.81
163.33,65.93,15-08-20-582,4.33,-24.69
162.45,46.85,15-08-20-705,2.04,-50.47
118.04,24.75,15-08-20-818,4.80,-70.61
79.36,24.75,15-08-20-938,4.05,-70.61
40.65,34.09,15-08-21-057,10.92,-70.61
9.08,67.55,15-08-21-166,5.56,-26.96
17.96,77.98,15-08-21-292,7.06,-16.32
16.26,79.18,15-08-21-402,9.44,-16.47
13.44,78.51,15-08-21-520,10.68,-18.01
11.46,78.46,15-08-21-634,10.49,-18.02
0.87,78.03,15-08-21-751,9.34,-18.07
15.75,75.63,15-08-21-866,11.51,-21.59
29.10,70.36,15-08-21-969,17.76,-31.31
35.15,49.04,15-08-22-084,9.21,-55.38
64.09,27.42,15-08-22-204,8.40,-55.38
93.47,15.31,15-08-22-322,8.38,-55.38
121.49,19.53,15-08-22-433,6.14,-82.65
144.70,36.01,15-08-22-551,4.75,-56.76
144.70,54.99,15-08-22-677,12.72,-33.84
144.70,69.93,15-08-22-798,10.88,-17.93
168.00,75.34,15-08-22-902,9.88,-11.46
169.32,78.01,15-08-23-015,13.27,-6.50
169.32,75.67,15-08-23-136,11.13,-10.28
165.78,71.73,15-08-23-250,7.06,-17.33
159.64,67.87,15-08-23-365,4.47,-23.61
147.28,51.44,15-08-23-482,4.87,-40.91
144.20,42.90,15-08-23-603,0.29,-53.46
