13.80,79.13,15-12-30-163,5.44,-13.63
13.90,79.13,15-12-30-266,5.47,-13.64
13.97,79.14,15-12-30-382,5.50,-13.64
14.00,79.14,15-12-30-484,5.52,-13.65
14.04,79.15,15-12-30-597,5.54,-13.66
14.03,79.16,15-12-30-696,5.55,-13.65
14.00,79.17,15-12-30-799,5.55,-13.64
13.97,79.18,15-12-30-901,5.55,-13.64
13.89,79.19,15-12-30-997,5.54,-13.62
13.49,79.20,15-12-31-095,5.49,-13.62
12.80,79.20,15-12-31-204,5.40,-13.60
12.37,79.19,15-12-31-328,5.36,-13.61
12.38,79.19,15-12-31-431,5.39,-13.63
19.25,78.88,15-12-31-528,6.85,-14.28
26.55,74.83,15-12-31-636,9.24,-19.56
34.54,66.40,15-12-31-748,13.00,-31.17
35.23,60.46,15-12-31-859,8.69,-37.06
35.17,59.60,15-12-31-962,6.78,-37.15
41.97,54.68,15-12-32-069,7.54,-42.98
63.95,25.96,15-12-32-161,5.72,-42.98
79.25,28.33,15-12-32-269,7.91,-74.88
87.38,27.26,15-12-32-363,6.27,-81.45
88.41,23.67,15-12-32-465,5.23,-81.45
86.90,31.16,15-12-32-582,6.41,-68.93
85.77,31.68,15-12-32-683,6.39,-69.34
86.00,29.18,15-12-32-796,7.06,-78.58
87.77,20.35,15-12-32-906,5.39,-78.58
89.11,6.31,15-12-33-014,5.05,-78.58
89.27,6.31,15-12-33-109,5.08,-78.58
92.23,9.24,15-12-33-224,9.14,-78.58
92.27,29.15,15-12-33-321,6.77,-60.94
95.06,60.36,15-12-33-431,19.42,-26.93
95.36,75.30,15-12-33-548,92.42,-1.22
97.82,94.06,15-12-33-651,102.76,15.04
99.26,98.18,15-12-33-746,65.75,19.61
99.96,98.45,15-12-33-850,60.55,19.95
99.46,101.22,15-12-33-966,62.39,25.99
99.31,100.60,15-12-34-060,60.78,24.47
99.78,100.24,15-12-34-168,17.96,21.35
99.70,96.11,15-12-34-284,72.84,16.96
98.81,91.55,15-12-34-379,127.24,21.96
96.92,77.19,15-12-34-483,144.76,-11.77
96.53,57.10,15-12-34-583,7.56,-33.22
96.34,48.80,15-12-34-701,8.25,-46.68
96.17,36.39,15-12-34-799,2.20,-58.47
97.39,36.39,15-12-34-919,0.33,-58.47
97.51,36.39,15-12-35-012,0.74,-58.47
97.51,36.39,15-12-35-122,1.56,-58.47
95.98,36.39,15-12-35-233,2.70,-58.47
92.94,6.77,15-12-35-332,2.19,-58.47
90.78,15.09,15-12-35-448,1.35,-58.47
89.75,21.39,15-12-35-554,2.17,-58.47
89.34,21.44,15-12-35-667,2.75,-58.47
89.24,20.11,15-12-35-785,3.38,-58.47
89.28,18.03,15-12-35-881,3.94,-58.47
89.65,18.03,15-12-36-003,4.25,-58.47
89.95,18.03,15-12-36-093,4.56,-58.47
91.39,18.03,15-12-36-200,6.38,-58.47
92.83,18.03,15-12-36-304,7.49,-58.47
94.84,18.03,15-12-36-418,7.29,-58.47
96.16,18.03,15-12-36-518,7.47,-58.47
95.96,42.39,15-12-36-634,11.60,-51.02
96.37,53.40,15-12-36-738,15.20,-39.61
96.02,67.79,15-12-36-848,31.51,-12.00
96.76,87.07,15-12-36-966,133.56,-14.22
98.01,92.20,15-12-37-065,97.72,12.99
98.36,99.65,15-12-37-183,42.77,20.86
98.36,101.90,15-12-37-285,30.97,25.14
98.08,102.53,15-12-37-393,57.05,28.35
97.81,101.89,15-12-37-498,73.85,28.00
97.70,101.68,15-12-37-606,56.25,26.15
98.87,99.69,15-12-37-702,68.61,23.05
99.02,94.31,15-12-37-815,96.16,16.82
97.30,65.61,15-12-37-933,1.36,-20.36
96.53,46.39,15-12-38-031,0.27,-49.87
96.30,46.39,15-12-38-146,0.47,-49.87
96.37,46.39,15-12-38-259,0.86,-49.87
96.38,46.39,15-12-38-364,1.18,-49.87
95.96,46.39,15-12-38-467,2.18,-49.87
95.39,46.39,15-12-38-581,3.39,-49.87
94.31,46.39,15-12-38-678,4.10,-49.87
92.70,46.39,15-12-38-780,3.85,-49.87
92.13,46.39,15-12-38-892,3.64,-49.87
91.75,46.39,15-12-38-996,3.71,-49.87
91.61,46.39,15-12-39-098,3.90,-49.87
91.47,46.39,15-12-39-202,3.87,-49.87
91.34,46.39,15-12-39-317,3.76,-49.87
91.33,46.39,15-12-39-413,3.77,-49.87
91.32,46.39,15-12-39-512,3.77,-49.87
90.88,46.39,15-12-39-631,3.27,-49.87
90.69,46.39,15-12-39-733,3.05,-49.87
90.79,46.39,15-12-39-863,3.36,-49.87
91.81,46.39,15-12-39-962,4.54,-49.87
91.76,36.23,15-12-40-091,6.45,-57.43
91.69,51.36,15-12-40-212,8.78,-39.72
91.54,70.98,15-12-40-329,54.34,-3.42
91.95,80.22,15-12-40-444,162.75,-10.48
94.58,91.01,15-12-40-553,122.06,9.56
94.86,96.57,15-12-40-647,118.78,12.33
95.46,97.88,15-12-40-751,111.95,13.47
96.26,99.49,15-12-40-845,94.75,17.00
96.44,99.60,15-12-40-958,80.75,18.50
96.76,99.24,15-12-41-070,19.74,19.77
96.85,97.58,15-12-41-186,103.58,14.72
96.88,97.35,15-12-41-297,114.48,13.88
97.67,97.23,15-12-41-406,70.40,17.28
96.04,74.74,15-12-41-515,54.87,-2.07
97.19,51.13,15-12-41-616,5.37,-45.33
97.26,40.64,15-12-41-739,6.92,-56.45
98.81,40.64,15-12-41-847,4.36,-56.45
99.05,40.64,15-12-41-945,4.73,-56.45
99.11,40.64,15-12-42-057,5.00,-56.45
99.00,40.64,15-12-42-170,5.35,-56.45
98.26,40.64,15-12-42-285,4.99,-56.45
97.76,40.64,15-12-42-375,4.05,-56.45
96.15,40.64,15-12-42-481,3.26,-56.45
95.11,40.64,15-12-42-576,2.84,-56.45
94.38,40.64,15-12-42-691,2.86,-56.45
93.76,40.64,15-12-42-803,2.61,-56.45
93.39,40.64,15-12-42-898,3.38,-56.45
93.48,40.64,15-12-43-015,3.73,-56.45
93.54,40.64,15-12-43-116,4.02,-56.45
93.55,40.64,15-12-43-232,4.25,-56.45
94.34,40.64,15-12-43-332,5.57,-56.45
94.97,40.64,15-12-43-450,5.63,-56.45
96.44,40.64,15-12-43-550,5.75,-56.45
97.30,40.64,15-12-43-653,5.68,-56.45
96.64,44.08,15-12-43-751,9.91,-51.39
96.44,56.89,15-12-43-862,14.47,-36.43
95.23,73.54,15-12-43-987,46.42,-6.21
96.25,87.68,15-12-44-081,124.33,-11.00
96.79,98.17,15-12-44-200,129.11,17.06
97.21,98.38,15-12-44-297,115.50,15.77
97.35,100.54,15-12-44-393,100.97,19.95
97.64,100.98,15-12-44-512,96.60,21.49
97.48,99.95,15-12-44-612,93.33,18.54
97.47,98.44,15-12-44-735,121.73,18.53
98.04,94.88,15-12-44-838,87.34,14.87
98.35,94.72,15-12-44-948,92.68,16.50
98.51,94.35,15-12-45-062,94.44,16.47
97.03,81.11,15-12-45-168,136.05,-10.64
96.69,57.75,15-12-45-264,0.92,-34.62
96.37,43.71,15-12-45-365,0.08,-53.87
96.84,43.71,15-12-45-468,0.49,-53.87
96.90,43.71,15-12-45-585,1.51,-53.87
96.72,43.71,15-12-45-683,2.04,-53.87
95.90,43.71,15-12-45-782,1.33,-53.87
94.31,43.71,15-12-45-901,0.66,-53.87
92.92,43.71,15-12-45-998,0.33,-53.87
91.51,43.71,15-12-46-112,1.07,-53.87
90.82,8.56,15-12-46-221,2.18,-53.87
90.58,10.48,15-12-46-339,3.10,-53.87
90.25,13.69,15-12-46-453,3.66,-53.87
90.28,10.85,15-12-46-561,4.14,-53.87
90.47,10.85,15-12-46-664,4.32,-53.87
90.57,10.85,15-12-46-766,4.34,-53.87
90.69,10.85,15-12-46-878,4.42,-53.87
91.34,10.85,15-12-46-995,4.66,-53.87
92.57,10.85,15-12-47-116,5.58,-53.87
92.98,10.85,15-12-47-227,5.76,-53.87
91.93,31.76,15-12-47-339,5.97,-59.30
91.18,49.41,15-12-47-455,7.06,-41.13
90.72,57.42,15-12-47-570,9.63,-34.83
90.37,73.18,15-12-47-667,84.69,-0.63
92.30,88.23,15-12-47-783,147.17,-7.64
92.91,96.59,15-12-47-883,139.43,9.92
94.26,100.41,15-12-47-994,141.49,24.09
94.97,100.22,15-12-48-103,145.30,23.96
95.37,102.09,15-12-48-211,140.41,26.62
95.42,101.38,15-12-48-318,130.97,17.33
95.42,96.11,15-12-48-416,140.95,10.32
95.48,92.96,15-12-48-529,134.29,18.95
94.32,83.22,15-12-48-643,158.18,-12.49
93.77,79.56,15-12-48-750,160.96,-7.25
94.03,62.71,15-12-48-844,4.14,-26.37
94.42,41.90,15-12-48-951,4.44,-53.69
95.53,41.90,15-12-49-044,4.14,-53.69
95.33,41.90,15-12-49-146,4.38,-53.69
93.45,41.90,15-12-49-255,2.68,-53.69
91.56,8.01,15-12-49-355,0.48,-53.69
89.96,18.50,15-12-49-475,0.29,-53.69
89.07,19.37,15-12-49-560,0.09,-53.69
88.76,22.22,15-12-49-665,0.33,-53.69
88.43,23.74,15-12-49-780,0.60,-53.69
88.24,24.75,15-12-49-878,1.15,-53.69
88.02,25.18,15-12-49-988,1.19,-53.69
87.98,26.19,15-12-50-087,1.62,-53.69
87.99,26.19,15-12-50-202,1.59,-53.69
89.00,26.19,15-12-50-315,2.10,-53.69
90.96,26.19,15-12-50-417,4.19,-53.69
92.65,26.19,15-12-50-530,5.45,-53.69
93.72,26.19,15-12-50-638,5.39,-53.69
93.87,42.29,15-12-50-763,8.69,-50.76
92.88,66.46,15-12-50-883,22.22,-22.19
94.35,88.48,15-12-51-001,131.76,-9.20
95.74,95.35,15-12-51-100,151.82,7.88
96.32,98.36,15-12-51-215,139.37,11.81
