12.61,79.28,14-54-44-610,2.00,-12.08
12.70,79.28,14-54-44-720,2.03,-12.09
12.74,79.28,14-54-44-846,2.06,-12.11
12.78,79.28,14-54-44-949,2.09,-12.13
12.81,79.28,14-54-45-046,2.12,-12.15
12.96,79.28,14-54-45-153,2.18,-12.18
13.73,79.27,14-54-45-270,2.37,-12.25
14.87,79.27,14-54-45-372,2.61,-12.32
15.84,79.26,14-54-45-485,2.80,-12.38
16.57,79.25,14-54-45-585,3.01,-12.46
17.24,79.23,14-54-45-708,3.20,-12.56
17.93,79.22,14-54-45-818,3.45,-12.68
18.46,79.19,14-54-45-936,3.69,-12.82
19.10,79.19,14-54-46-045,3.93,-12.93
19.37,79.18,14-54-46-152,4.13,-13.06
19.30,79.09,14-54-46-250,4.47,-13.34
19.25,79.04,14-54-46-353,4.73,-13.54
19.21,78.99,14-54-46-455,4.90,-13.69
19.17,78.96,14-54-46-578,5.03,-13.80
19.10,78.91,14-54-46-663,5.21,-13.97
19.45,78.74,14-54-46-766,5.79,-14.48
20.57,78.46,14-54-46-883,6.63,-15.19
21.07,78.28,14-54-46-982,7.15,-15.66
21.13,77.90,14-54-47-082,7.79,-16.42
22.11,75.70,14-54-47-186,10.11,-20.05
25.23,69.66,14-54-47-290,14.60,-29.90
41.84,52.84,14-54-47-401,17.89,-52.70
51.05,44.14,14-54-47-505,18.89,-63.88
66.30,31.13,14-54-47-619,20.04,-63.88
81.77,13.74,14-54-47-719,15.19,-63.88
91.34,8.57,14-54-47-837,20.02,-63.88
96.35,11.95,14-54-47-940,15.53,-63.88
104.79,18.12,14-54-48-048,20.99,-63.88
111.00,23.59,14-54-48-153,17.90,-74.44
119.60,27.87,14-54-48-274,18.11,-69.27
122.74,28.13,14-54-48-378,14.12,-72.45
126.82,38.14,14-54-48-499,15.65,-55.32
130.32,44.44,14-54-48-616,14.80,-46.66
133.03,47.67,14-54-48-721,13.68,-43.87
134.04,48.10,14-54-48-824,12.68,-44.71
134.68,50.16,14-54-48-946,12.09,-42.28
134.22,49.74,14-54-49-050,10.74,-43.88
132.52,48.76,14-54-49-159,8.91,-45.68
129.69,46.69,14-54-49-294,6.31,-49.56
126.69,42.29,14-54-49-409,5.73,-56.52
119.97,34.56,14-54-49-525,1.19,-66.60
107.50,27.55,14-54-49-637,3.73,-84.08
99.54,22.37,14-54-49-735,9.16,-84.08
91.19,17.09,14-54-49-837,8.49,-84.08
80.31,17.61,14-54-49-941,6.12,-84.08
72.79,19.89,14-54-50-054,8.12,-84.08
56.88,24.87,14-54-50-168,6.76,-84.08
49.30,36.32,14-54-50-287,5.99,-64.48
38.38,48.27,14-54-50-403,2.77,-47.73
35.30,52.41,14-54-50-513,4.06,-43.51
35.61,53.45,14-54-50-627,4.89,-42.90
28.16,61.33,14-54-50-737,3.89,-32.83
20.50,67.77,14-54-50-858,3.15,-25.66
11.48,75.68,14-54-50-968,1.59,-16.14
12.81,76.16,14-54-51-107,2.63,-16.11
22.14,69.88,14-54-51-219,6.38,-25.50
28.02,67.29,14-54-51-341,6.87,-28.52
38.48,51.68,14-54-51-456,10.77,-51.25
52.96,42.20,14-54-51-570,8.70,-59.29
68.51,28.35,14-54-51-670,4.52,-59.29
73.22,22.36,14-54-51-788,2.63,-59.29
85.94,16.69,14-54-51-891,2.54,-59.29
100.02,20.48,14-54-52-016,6.11,-59.29
111.13,23.72,14-54-52-136,7.03,-80.73
119.33,24.92,14-54-52-253,5.93,-83.58
124.08,34.55,14-54-52-364,10.71,-56.22
128.84,40.58,14-54-52-475,11.74,-50.13
131.10,44.41,14-54-52-589,11.16,-48.42
137.51,51.52,14-54-52-714,10.58,-40.68
138.04,53.58,14-54-52-842,8.13,-38.59
138.11,54.43,14-54-52-961,8.26,-37.62
138.49,54.31,14-54-53-088,8.25,-37.00
137.40,53.33,14-54-53-230,7.93,-38.56
134.24,52.50,14-54-53-345,6.92,-39.97
132.28,49.91,14-54-53-462,5.55,-44.43
131.18,42.65,14-54-53-574,3.55,-54.54
117.74,32.46,14-54-53-687,4.84,-65.16
106.62,27.06,14-54-53-785,7.52,-78.25
93.10,18.27,14-54-53-903,7.63,-78.25
84.83,14.88,14-54-54-002,7.37,-78.25
73.44,20.32,14-54-54-098,8.40,-78.25
66.24,23.37,14-54-54-208,10.03,-78.25
66.06,24.62,14-54-54-316,9.30,-78.25
61.95,26.64,14-54-54-430,7.41,-78.25
44.02,44.29,14-54-54-539,4.08,-53.41
34.15,55.27,14-54-54-635,4.79,-40.27
27.28,63.78,14-54-54-735,4.75,-30.61
17.44,72.21,14-54-54-852,3.72,-21.28
12.66,76.70,14-54-54-948,2.38,-15.49
12.24,76.94,14-54-55-049,2.80,-15.45
15.45,74.97,14-54-55-151,4.89,-18.92
14.87,74.04,14-54-55-254,5.47,-20.27
15.21,73.01,14-54-55-375,5.42,-21.56
17.13,72.56,14-54-55-483,5.44,-22.09
20.03,71.37,14-54-55-602,6.13,-23.87
24.05,71.20,14-54-55-703,6.06,-23.77
32.12,58.86,14-54-55-822,9.36,-41.03
54.52,43.12,14-54-55-938,10.35,-60.53
72.96,26.52,14-54-56-063,9.18,-60.53
