10.80,78.41,15-11-21-321,0.74,-12.81
10.72,78.40,15-11-21-435,0.78,-12.84
10.97,78.40,15-11-21-529,0.86,-12.89
11.33,78.32,15-11-21-644,0.94,-13.03
11.29,78.33,15-11-21-759,0.95,-13.03
11.10,78.33,15-11-21-862,0.90,-13.00
10.83,78.37,15-11-21-963,0.77,-12.88
10.73,78.42,15-11-22-065,0.72,-12.80
10.56,78.54,15-11-22-187,0.67,-12.63
11.34,78.40,15-11-22-299,0.72,-12.82
11.34,78.44,15-11-22-413,0.78,-12.82
11.01,78.45,15-11-22-510,0.82,-12.82
10.82,78.51,15-11-22-629,0.85,-12.77
10.63,78.60,15-11-22-729,0.86,-12.67
10.35,78.62,15-11-22-845,0.88,-12.66
10.23,78.65,15-11-22-951,0.84,-12.61
10.86,78.38,15-11-23-070,0.83,-12.90
11.52,78.21,15-11-23-192,0.80,-13.08
11.92,78.15,15-11-23-305,0.80,-13.16
12.38,78.12,15-11-23-395,0.83,-13.23
12.39,78.15,15-11-23-496,0.89,-13.24
11.37,78.47,15-11-23-601,0.84,-12.85
11.01,78.45,15-11-23-693,0.84,-12.86
10.95,78.38,15-11-23-822,0.87,-12.94
10.95,78.42,15-11-23-939,0.94,-12.94
10.95,78.46,15-11-24-051,1.02,-12.94
11.00,78.48,15-11-24-165,1.03,-12.92
10.99,78.48,15-11-24-265,1.02,-12.92
10.68,78.45,15-11-24-368,0.90,-12.88
10.49,78.48,15-11-24-464,0.82,-12.80
10.52,78.49,15-11-24-564,0.81,-12.79
