2.70,81.02,15-02-02-045,0.34,-9.72
2.61,81.02,15-02-02-144,0.29,-9.69
2.52,81.02,15-02-02-268,0.32,-9.70
2.54,81.05,15-02-02-384,0.42,-9.73
2.66,81.08,15-02-02-499,0.51,-9.75
3.03,81.05,15-02-02-614,0.65,-9.85
3.24,81.05,15-02-02-727,0.77,-9.92
3.58,81.05,15-02-02-829,0.87,-9.97
3.97,81.02,15-02-02-936,1.01,-10.08
4.47,80.95,15-02-03-052,1.05,-10.18
4.69,80.93,15-02-03-149,1.13,-10.25
4.76,80.92,15-02-03-270,1.18,-10.28
4.88,80.92,15-02-03-387,1.21,-10.30
4.78,80.97,15-02-03-484,1.23,-10.27
4.04,80.99,15-02-03-589,1.22,-10.25
3.39,81.01,15-02-03-709,1.21,-10.23
3.15,81.03,15-02-03-825,1.21,-10.21
2.93,81.10,15-02-03-935,1.20,-10.14
2.83,81.13,15-02-04-034,1.21,-10.11
2.62,81.15,15-02-04-153,1.22,-10.09
2.15,81.18,15-02-04-268,1.25,-10.07
1.69,81.20,15-02-04-390,1.26,-10.05
1.02,81.22,15-02-04-497,1.29,-10.04
0.59,81.23,15-02-04-617,1.30,-10.03
0.59,81.25,15-02-04-723,1.26,-10.00
0.59,81.27,15-02-04-841,1.16,-9.91
0.59,81.30,15-02-04-955,1.01,-9.80
0.59,81.33,15-02-05-075,0.97,-9.75
0.59,81.35,15-02-05-207,0.92,-9.70
0.59,81.48,15-02-05-312,1.14,-9.67
0.59,81.77,15-02-05-416,1.33,-9.47
6.98,82.03,15-02-05-537,1.50,-9.28
15.53,81.68,15-02-05-633,1.12,-9.41
33.88,82.77,15-02-05-736,0.66,-7.52
46.03,83.00,15-02-05-834,1.48,-6.91
63.06,83.23,15-02-05-938,15.34,-5.42
72.12,84.16,15-02-06-032,138.33,-2.34
81.23,85.23,15-02-06-142,178.74,-1.16
88.79,88.18,15-02-06-255,170.00,-4.21
97.24,85.60,15-02-06-364,126.62,-2.70
103.62,85.04,15-02-06-467,98.15,-1.87
111.43,85.05,15-02-06-566,59.30,-1.13
117.56,85.36,15-02-06-669,44.91,-0.90
130.57,85.58,15-02-06-766,22.49,-0.79
133.66,85.67,15-02-06-865,19.62,-0.75
133.21,85.78,15-02-06-983,19.56,-0.82
136.61,85.75,15-02-07-085,17.87,-0.73
140.56,85.93,15-02-07-198,15.38,-0.64
138.77,86.22,15-02-07-316,16.54,-1.23
137.74,86.15,15-02-07-431,22.80,-2.80
136.52,86.04,15-02-07-528,25.08,-3.42
132.93,86.04,15-02-07-635,29.41,-4.36
126.73,85.45,15-02-07-731,49.88,-6.37
108.53,84.20,15-02-07-837,93.14,-4.79
98.14,82.59,15-02-07-951,122.29,-3.21
89.81,83.18,15-02-08-049,151.51,-5.88
75.60,83.55,15-02-08-154,160.89,-3.55
60.23,83.33,15-02-08-249,22.20,-0.94
44.84,82.92,15-02-08-358,16.14,-0.47
34.67,82.65,15-02-08-470,13.48,-1.37
20.34,82.72,15-02-08-583,11.00,-2.10
16.83,82.99,15-02-08-685,10.04,-2.19
16.44,83.24,15-02-08-784,9.38,-2.25
9.29,83.35,15-02-08-903,8.46,-2.47
9.42,83.20,15-02-09-038,6.52,-3.65
10.70,83.05,15-02-09-142,5.06,-4.61
7.01,82.66,15-02-09-253,3.49,-5.88
5.61,82.77,15-02-09-375,2.98,-6.07
6.59,82.96,15-02-09-483,1.98,-6.43
6.33,83.03,15-02-09-596,1.62,-6.56
7.16,83.17,15-02-09-713,1.39,-6.54
9.68,83.26,15-02-09-812,1.18,-6.55
14.85,82.97,15-02-09-928,0.39,-7.23
29.38,82.62,15-02-10-038,0.74,-7.78
53.57,82.43,15-02-10-136,5.40,-8.09
88.37,82.39,15-02-10-448,121.09,-3.10
103.52,82.96,15-02-10-571,104.05,-0.86
109.35,83.47,15-02-10-687,84.40,-2.84
113.20,83.80,15-02-10-783,75.32,-4.41
125.15,85.75,15-02-10-890,52.06,-7.29
129.26,86.80,15-02-10-994,42.62,-8.37
129.13,86.87,15-02-11-119,41.12,-7.59
130.51,86.80,15-02-11-248,35.37,-6.52
130.35,86.73,15-02-11-360,35.15,-6.27
130.36,86.72,15-02-11-467,35.07,-6.21
128.82,86.73,15-02-11-581,37.16,-6.61
122.72,85.51,15-02-11-692,55.20,-6.40
109.20,84.53,15-02-11-798,94.71,-6.30
92.96,84.62,15-02-11-908,144.51,-7.54
79.16,85.17,15-02-11-999,178.06,-4.76
72.20,85.50,15-02-12-102,175.00,-1.53
46.96,85.47,15-02-12-215,14.99,-1.29
36.52,85.36,15-02-12-328,13.22,-1.09
17.93,85.31,15-02-12-458,10.80,-0.65
5.64,85.31,15-02-12-572,9.27,-0.09
5.64,84.87,15-02-12-683,7.78,-1.11
5.64,84.55,15-02-12-787,6.08,-2.37
5.64,84.14,15-02-12-883,4.50,-3.65
5.64,83.33,15-02-12-990,2.04,-5.97
5.64,82.36,15-02-13-102,0.15,-8.20
5.64,82.09,15-02-13-204,0.76,-8.80
6.59,82.53,15-02-13-320,0.03,-7.93
6.14,82.79,15-02-13-422,0.46,-7.41
10.33,82.94,15-02-13-544,0.82,-7.04
16.72,82.85,15-02-13-654,0.76,-7.05
24.03,82.73,15-02-13-778,1.17,-6.94
37.78,82.92,15-02-13-885,0.59,-7.03
60.22,82.84,15-02-14-000,4.02,-7.14
73.19,83.11,15-02-14-106,114.54,-5.34
85.71,84.93,15-02-14-219,153.57,-1.01
90.39,84.22,15-02-14-329,138.45,-1.90
93.77,83.69,15-02-14-430,128.28,-2.59
108.10,83.70,15-02-14-535,90.55,-3.19
118.59,84.48,15-02-14-637,55.80,-3.95
128.27,85.19,15-02-14-765,35.91,-4.39
133.20,85.76,15-02-14-866,28.98,-4.72
136.51,86.28,15-02-14-981,26.30,-5.24
143.75,87.14,15-02-15-098,21.13,-5.75
141.17,86.98,15-02-15-210,22.48,-5.38
138.86,86.78,15-02-15-298,24.44,-5.10
139.98,86.51,15-02-15-411,24.26,-4.95
135.78,86.33,15-02-15-519,29.96,-6.04
131.67,86.16,15-02-15-618,35.11,-7.52
115.45,84.21,15-02-15-748,73.60,-6.80
106.24,83.28,15-02-15-853,103.61,-6.24
104.74,82.51,15-02-15-974,109.42,-5.91
104.04,82.13,15-02-16-088,109.67,-5.30
104.03,81.86,15-02-16-209,108.13,-4.81
103.91,81.64,15-02-16-321,107.52,-4.62
90.82,82.28,15-02-16-441,139.99,-4.95
70.20,84.23,15-02-16-564,158.20,-2.86
69.27,84.65,15-02-16-659,175.32,-1.71
69.37,84.74,15-02-16-770,177.11,-1.08
59.13,84.36,15-02-16-867,16.23,-0.35
39.69,84.13,15-02-16-980,13.89,-0.11
17.28,83.67,15-02-17-095,9.58,-1.71
4.26,82.97,15-02-17-203,5.24,-4.62
4.26,82.08,15-02-17-319,0.75,-7.92
4.26,81.59,15-02-17-417,0.95,-9.41
4.26,81.58,15-02-17-516,1.49,-9.75
4.26,81.75,15-02-17-631,1.52,-9.59
4.26,81.79,15-02-17-735,1.58,-9.61
6.36,81.88,15-02-17-840,1.55,-9.39
20.96,82.09,15-02-17-949,2.06,-8.99
23.49,82.30,15-02-18-070,1.88,-8.67
25.41,82.36,15-02-18-166,1.44,-8.45
43.48,82.22,15-02-18-283,3.84,-8.98
73.87,84.39,15-02-18-386,129.81,-3.26
93.01,84.29,15-02-18-500,135.26,-2.17
104.12,83.62,15-02-18-596,104.72,-2.66
116.96,84.92,15-02-18-712,62.67,-5.67
127.28,86.88,15-02-18-818,44.09,-8.95
135.20,87.17,15-02-18-920,34.54,-8.91
136.92,87.27,15-02-19-036,31.03,-7.99
139.38,87.25,15-02-19-130,28.11,-7.45
138.25,86.97,15-02-19-248,28.57,-6.87
135.36,86.69,15-02-19-351,32.26,-6.85
133.08,86.55,15-02-19-482,37.51,-7.38
126.22,85.91,15-02-19-589,43.79,-7.22
121.90,83.92,15-02-19-704,62.54,-4.98
105.98,83.76,15-02-19-797,97.40,-5.36
99.96,83.54,15-02-19-907,120.14,-5.55
99.38,83.17,15-02-20-006,121.82,-5.59
83.78,83.89,15-02-20-127,176.44,-4.23
58.35,84.42,15-02-20-243,21.92,-1.74
27.88,83.89,15-02-20-348,13.15,-0.17
19.03,83.32,15-02-20-450,10.52,-1.59
1.19,82.89,15-02-20-565,6.84,-3.75
4.30,82.80,15-02-20-667,4.31,-5.22
4.30,82.85,15-02-20-778,3.33,-5.75
4.30,82.57,15-02-20-879,2.47,-6.48
4.30,82.18,15-02-20-980,0.85,-7.81
4.30,81.98,15-02-21-119,0.21,-8.61
4.30,81.97,15-02-21-275,0.61,-8.86
4.30,82.14,15-02-21-398,0.31,-8.52
4.30,81.75,15-02-21-530,0.90,-9.21
13.76,81.10,15-02-21-635,1.87,-10.36
19.36,80.65,15-02-21-752,2.22,-10.86
21.94,80.43,15-02-21-857,2.28,-11.05
44.67,79.77,15-02-21-967,5.98,-11.78
71.11,79.20,15-02-22-072,46.70,-10.28
86.49,81.23,15-02-22-182,106.24,-3.00
100.30,80.48,15-02-22-308,108.26,-1.23
109.21,80.34,15-02-22-427,78.49,-1.66
124.07,81.92,15-02-22-516,47.75,-0.78
129.62,83.32,15-02-22-622,42.58,-3.55
132.71,83.86,15-02-22-729,38.70,-3.87
135.40,84.29,15-02-22-841,36.82,-4.47
137.39,84.13,15-02-22-955,34.01,-4.08
138.19,84.05,15-02-23-058,33.48,-3.83
137.92,84.02,15-02-23-176,32.95,-3.79
137.58,84.03,15-02-23-282,33.09,-3.83
135.55,83.92,15-02-23-392,33.71,-3.87
131.93,84.05,15-02-23-500,40.10,-5.30
128.79,84.02,15-02-23-598,46.66,-6.30
123.45,83.31,15-02-23-698,58.91,-6.02
107.86,82.07,15-02-23-806,96.88,-4.80
87.27,82.31,15-02-23-919,152.95,-4.92
72.08,82.61,15-02-24-022,158.56,-2.95
59.48,82.88,15-02-24-138,25.80,-1.66
59.48,82.89,15-02-24-240,21.81,-0.71
45.41,82.96,15-02-24-359,18.47,-0.37
28.74,82.99,15-02-24-466,15.57,-0.42
12.64,82.61,15-02-24-591,9.13,-2.92
3.87,81.11,15-02-24-700,1.55,-8.49
3.87,81.08,15-02-24-815,2.30,-10.81
3.87,81.00,15-02-24-922,4.40,-12.17
3.87,80.70,15-02-25-034,5.74,-13.24
8.58,80.40,15-02-25-139,6.49,-13.98
9.54,80.32,15-02-25-257,6.69,-14.21
6.99,80.37,15-02-25-359,6.53,-14.10
6.99,80.58,15-02-25-474,6.03,-13.67
6.99,80.69,15-02-25-567,5.90,-13.43
8.86,81.34,15-02-25-680,5.23,-12.17
23.03,83.03,15-02-25-790,0.66,-7.20
53.12,83.54,15-02-25-911,0.08,-5.39
71.96,84.11,15-02-26-026,132.39,-3.82
82.66,85.39,15-02-26-134,163.90,-0.87
92.58,84.83,15-02-26-252,136.04,-3.22
101.22,83.13,15-02-26-352,116.01,-3.56
109.82,82.53,15-02-26-456,88.18,-2.66
117.83,82.44,15-02-26-578,60.76,-2.09
122.83,82.71,15-02-26-683,51.58,-2.32
125.94,82.95,15-02-26-791,46.72,-2.78
131.34,83.32,15-02-26-897,40.30,-3.47
132.79,83.50,15-02-27-013,38.23,-3.33
136.19,83.78,15-02-27-114,34.13,-3.67
136.98,83.78,15-02-27-220,32.94,-3.43
136.37,83.80,15-02-27-327,33.76,-3.49
135.30,83.89,15-02-27-444,34.89,-3.57
129.56,84.28,15-02-27-551,40.06,-4.65
112.45,83.17,15-02-27-670,77.95,-3.90
100.92,82.51,15-02-27-771,116.56,-4.42
84.63,83.74,15-02-27-892,164.80,-5.57
60.13,84.04,15-02-28-002,25.59,-2.15
42.40,84.29,15-02-28-131,15.93,-1.01
24.23,84.93,15-02-28-232,12.83,-1.15
11.72,84.50,15-02-28-337,9.98,-0.40
0.51,84.19,15-02-28-433,6.98,-2.27
7.46,83.49,15-02-28-543,2.63,-5.42
7.46,82.45,15-02-28-636,0.85,-8.52
7.46,82.39,15-02-28-735,1.99,-9.21
7.46,82.78,15-02-28-849,2.25,-8.99
7.46,82.98,15-02-28-958,2.35,-8.85
7.46,83.03,15-02-29-073,2.06,-8.67
7.46,82.98,15-02-29-192,1.99,-8.67
7.46,82.98,15-02-29-318,1.74,-8.53
7.46,82.79,15-02-29-416,1.28,-8.44
8.48,82.88,15-02-29-513,0.86,-8.02
26.33,84.00,15-02-29-617,1.45,-5.45
49.20,85.01,15-02-29-715,6.92,-2.62
61.43,85.89,15-02-29-824,6.42,-1.58
74.27,85.56,15-02-29-926,44.35,-1.91
89.26,85.75,15-02-30-033,150.28,-2.06
100.66,83.73,15-02-30-135,118.27,-5.54
110.08,83.35,15-02-30-238,87.74,-5.15
116.51,83.42,15-02-30-363,66.45,-4.99
127.64,84.37,15-02-30-467,49.33,-6.77
134.83,84.72,15-02-30-603,41.40,-6.80
138.84,85.00,15-02-30-714,34.62,-6.21
138.17,84.82,15-02-30-837,34.34,-5.85
139.01,84.76,15-02-30-954,33.31,-5.70
140.82,84.66,15-02-31-067,32.37,-5.49
141.67,84.62,15-02-31-175,31.21,-5.51
133.86,84.78,15-02-31-283,40.84,-7.34
128.87,84.74,15-02-31-393,50.80,-9.16
101.52,83.30,15-02-31-501,114.08,-7.67
92.26,82.47,15-02-31-611,137.26,-5.46
74.34,83.21,15-02-31-713,151.04,-2.36
59.53,83.46,15-02-31-822,22.81,-1.29
45.03,83.18,15-02-31-935,17.60,-0.47
34.73,82.92,15-02-32-036,15.68,-0.14
19.80,82.74,15-02-32-132,13.75,-0.50
11.92,81.88,15-02-32-258,9.51,-3.49
2.47,81.02,15-02-32-371,6.46,-6.02
8.15,80.29,15-02-32-491,3.98,-8.07
8.15,79.93,15-02-32-612,2.75,-9.10
8.15,79.75,15-02-32-711,2.15,-9.62
8.15,79.74,15-02-32-817,1.86,-9.79
8.15,79.85,15-02-32-933,1.91,-9.68
8.15,79.89,15-02-33-034,1.92,-9.63
