4.66,80.05,14-43-29-793,5.04,-12.73
4.66,80.04,14-43-29-893,5.06,-12.74
4.66,80.03,14-43-29-989,5.07,-12.76
4.66,80.03,14-43-30-099,5.09,-12.77
4.66,80.02,14-43-30-208,5.11,-12.78
4.66,79.99,14-43-30-312,5.15,-12.83
4.66,79.97,14-43-30-431,5.19,-12.87
4.66,79.96,14-43-30-523,5.22,-12.91
4.66,79.94,14-43-30-632,5.24,-12.93
4.66,79.93,14-43-30-725,5.26,-12.96
4.66,79.92,14-43-30-847,5.29,-12.98
4.66,79.91,14-43-30-952,5.30,-13.00
4.66,79.91,14-43-31-072,5.31,-13.00
4.66,79.91,14-43-31-174,5.32,-13.00
4.66,79.90,14-43-31-284,5.31,-13.00
4.66,79.90,14-43-31-390,5.32,-13.02
4.66,79.88,14-43-31-492,5.33,-13.03
0.86,79.88,14-43-31-594,5.33,-13.04
1.05,79.87,14-43-31-696,5.33,-13.04
1.20,79.87,14-43-31-816,5.33,-13.04
1.34,79.87,14-43-31-940,5.33,-13.05
6.73,79.66,14-43-32-041,5.87,-13.49
7.47,77.35,14-43-32-146,9.38,-17.95
21.82,71.70,14-43-32-263,14.12,-26.85
27.73,65.10,14-43-32-374,13.85,-35.36
34.73,56.50,14-43-32-482,11.87,-46.14
35.55,55.54,14-43-32-587,9.86,-46.06
46.16,47.86,14-43-32-708,9.11,-53.01
65.88,32.37,14-43-32-816,6.07,-70.34
78.80,26.15,14-43-32-932,3.82,-72.28
83.60,20.30,14-43-33-032,1.03,-81.39
84.92,16.67,14-43-33-141,1.47,-81.39
87.20,18.96,14-43-33-240,1.80,-82.74
90.71,18.54,14-43-33-348,7.78,-79.10
96.07,17.89,14-43-33-469,16.57,-79.62
100.05,22.51,14-43-33-577,26.54,-70.76
109.10,24.24,14-43-33-673,41.98,-65.83
112.15,41.98,14-43-33-781,58.96,-34.41
114.86,55.62,14-43-33-896,78.32,-10.37
115.58,68.80,14-43-34-014,102.74,-15.43
114.86,79.85,14-43-34-126,122.56,-42.07
110.86,82.07,14-43-34-230,131.02,-47.88
107.27,85.13,14-43-34-349,140.93,-57.98
105.84,86.51,14-43-34-439,144.93,-63.27
105.06,86.55,14-43-34-541,146.44,-62.88
104.58,86.75,14-43-34-653,147.57,-63.46
104.29,86.33,14-43-34-767,147.85,-61.34
105.71,83.62,14-43-34-863,142.30,-51.42
113.39,81.73,14-43-34-982,125.36,-45.77
116.27,76.38,14-43-35-085,112.61,-31.35
118.21,56.57,14-43-35-196,69.86,-9.76
116.71,46.09,14-43-35-312,53.12,-28.36
113.84,36.13,14-43-35-408,38.87,-46.51
107.39,26.59,14-43-35-518,23.64,-63.09
104.06,20.65,14-43-35-615,15.44,-75.40
103.17,20.61,14-43-35-724,13.65,-74.26
102.93,20.62,14-43-35-843,13.05,-73.58
102.87,20.55,14-43-35-952,12.79,-73.49
101.22,10.39,14-43-36-060,7.97,-73.49
92.36,10.39,14-43-36-161,7.80,-73.49
88.54,10.39,14-43-36-284,12.23,-73.49
90.06,10.39,14-43-36-392,8.59,-73.49
96.54,7.59,14-43-36-493,4.69,-73.49
104.60,29.85,14-43-36-600,28.93,-52.57
117.38,50.62,14-43-36-739,69.16,-17.09
116.30,72.85,14-43-36-856,111.18,-25.86
