0.00,79.69,14-36-40-688,0.43,-10.47
0.00,79.59,14-36-40-802,0.42,-10.55
0.00,79.57,14-36-40-904,0.36,-10.53
0.00,79.56,14-36-41-031,0.33,-10.52
0.00,79.56,14-36-41-124,0.24,-10.53
0.00,79.57,14-36-41-227,0.16,-10.50
0.00,79.60,14-36-41-328,0.12,-10.48
0.00,79.62,14-36-41-447,0.08,-10.45
0.00,79.64,14-36-41-544,0.08,-10.43
0.00,79.63,14-36-41-659,0.09,-10.40
0.00,79.64,14-36-41-756,0.09,-10.38
0.00,79.65,14-36-41-868,0.09,-10.36
0.00,79.65,14-36-41-965,0.09,-10.35
0.00,79.65,14-36-42-085,0.09,-10.35
0.00,79.66,14-36-42-197,0.08,-10.34
0.00,79.67,14-36-42-291,0.07,-10.32
0.00,79.77,14-36-42-390,0.07,-10.14
0.00,80.37,14-36-42-492,1.00,-9.06
5.84,80.71,14-36-42-593,1.13,-8.56
16.52,81.83,14-36-42-693,2.34,-6.74
36.76,83.25,14-36-42-802,3.06,-4.54
41.69,83.72,14-36-42-911,3.68,-3.87
53.31,84.15,14-36-43-014,2.69,-2.98
56.43,84.63,14-36-43-137,3.16,-1.77
56.56,84.83,14-36-43-246,4.75,-1.26
58.51,85.32,14-36-43-359,8.48,-0.23
61.60,85.17,14-36-43-469,9.67,-0.67
61.79,83.98,14-36-43-576,57.71,-4.27
62.59,79.11,14-36-43-678,83.85,-15.58
63.82,69.02,14-36-43-795,84.81,-36.18
64.23,62.81,14-36-43-895,82.73,-49.67
64.87,58.48,14-36-44-014,81.63,-60.42
65.22,54.74,14-36-44-110,79.82,-71.06
65.25,53.58,14-36-44-223,78.91,-73.83
65.36,53.12,14-36-44-338,78.66,-74.51
65.46,52.77,14-36-44-456,78.51,-75.00
65.56,52.46,14-36-44-585,78.44,-76.52
65.44,52.96,14-36-44-702,78.23,-73.25
65.42,53.13,14-36-44-807,77.99,-72.33
65.41,53.42,14-36-44-907,77.92,-71.17
65.58,53.22,14-36-45-018,77.58,-71.23
65.71,53.04,14-36-45-126,77.45,-71.38
65.77,52.75,14-36-45-243,77.34,-72.63
65.80,52.74,14-36-45-339,77.47,-72.74
65.80,52.89,14-36-45-456,78.60,-74.61
65.88,58.35,14-36-45-564,81.94,-56.16
65.99,67.49,14-36-45-684,89.97,-36.15
65.51,75.23,14-36-45-797,98.54,-23.35
65.25,84.96,14-36-45-919,165.88,-0.51
65.57,91.63,14-36-46-026,126.62,14.45
67.12,97.48,14-36-46-141,119.91,28.65
68.79,101.58,14-36-46-245,119.35,39.61
69.56,102.39,14-36-46-369,120.46,42.48
70.03,103.75,14-36-46-494,120.45,47.38
70.26,104.36,14-36-46-615,120.23,51.36
70.31,105.15,14-36-46-725,119.57,55.78
70.13,105.12,14-36-46-838,119.55,56.70
70.07,105.67,14-36-46-944,119.40,59.47
70.06,106.16,14-36-47-066,119.26,61.98
70.04,106.73,14-36-47-175,118.98,64.89
70.02,106.86,14-36-47-276,118.97,65.76
69.99,106.86,14-36-47-386,119.00,65.95
69.97,106.81,14-36-47-491,119.05,65.82
69.96,106.76,14-36-47-605,119.10,65.72
69.95,106.73,14-36-47-716,119.15,65.64
69.95,106.73,14-36-47-812,119.17,65.73
69.94,106.68,14-36-47-913,119.21,65.59
69.93,106.66,14-36-48-014,119.24,65.50
69.93,106.65,14-36-48-129,119.25,65.51
69.93,106.63,14-36-48-244,119.27,65.50
69.92,106.61,14-36-48-351,119.28,65.47
69.92,106.61,14-36-48-463,119.29,65.48
69.91,106.59,14-36-48-584,119.31,65.45
69.91,106.58,14-36-48-693,119.32,65.45
69.91,106.57,14-36-48-794,119.34,65.47
69.90,106.56,14-36-48-908,119.36,65.48
69.90,106.55,14-36-49-006,119.37,65.48
69.90,106.55,14-36-49-107,119.38,65.50
69.90,106.54,14-36-49-220,119.39,65.53
69.89,106.54,14-36-49-324,119.40,65.57
69.89,106.54,14-36-49-430,119.41,65.60
69.89,106.54,14-36-49-527,119.42,65.62
69.89,106.53,14-36-49-648,119.43,65.64
69.89,106.53,14-36-49-754,119.44,65.67
69.88,106.53,14-36-49-856,119.45,65.69
69.88,106.52,14-36-49-955,119.45,65.72
69.88,106.52,14-36-50-058,119.46,65.74
69.88,106.52,14-36-50-155,119.47,65.77
69.88,106.52,14-36-50-258,119.47,65.79
69.88,106.52,14-36-50-381,119.48,65.82
69.87,106.51,14-36-50-492,119.49,65.84
69.87,106.51,14-36-50-610,119.49,65.86
69.87,106.51,14-36-50-703,119.50,65.88
69.87,106.51,14-36-50-805,119.51,65.90
69.87,106.50,14-36-50-903,119.51,65.93
69.87,106.50,14-36-51-017,119.52,65.95
69.87,106.50,14-36-51-116,119.53,65.97
69.87,106.50,14-36-51-219,119.53,65.99
69.87,106.50,14-36-51-323,119.54,66.02
69.87,106.49,14-36-51-425,119.55,66.04
69.87,106.49,14-36-51-564,119.55,66.06
69.86,106.49,14-36-51-675,119.56,66.08
69.86,106.49,14-36-51-797,119.56,66.10
69.86,106.49,14-36-51-907,119.57,66.11
69.86,106.48,14-36-52-029,119.57,66.13
69.86,106.48,14-36-52-123,119.58,66.14
69.86,106.47,14-36-52-231,119.58,66.15
69.66,106.37,14-36-52-352,119.40,66.03
69.70,106.33,14-36-52-475,119.44,65.95
69.74,106.32,14-36-52-581,119.44,65.86
69.76,106.30,14-36-52-689,119.47,65.71
69.77,106.26,14-36-52-804,119.52,65.58
69.77,106.22,14-36-52-915,119.55,65.56
69.72,106.19,14-36-53-010,119.44,65.60
69.43,106.10,14-36-53-117,119.15,65.52
69.26,106.20,14-36-53-206,118.94,66.31
69.21,106.49,14-36-53-319,118.69,67.80
69.19,106.68,14-36-53-414,118.53,68.64
69.20,106.72,14-36-53-514,118.51,68.45
69.27,106.53,14-36-53-627,118.58,67.24
