0.00,83.32,15-41-40-133,2.24,-5.60
0.00,83.32,15-41-40-270,2.21,-5.60
0.00,83.33,15-41-40-369,2.19,-5.61
0.00,83.37,15-41-40-471,2.18,-5.58
0.00,83.37,15-41-40-573,2.17,-5.57
0.00,83.41,15-41-40-679,2.17,-5.54
0.00,83.42,15-41-40-795,2.16,-5.52
0.00,83.43,15-41-40-893,2.17,-5.51
0.00,83.44,15-41-41-015,2.18,-5.49
0.00,83.44,15-41-41-111,2.19,-5.49
0.00,83.45,15-41-41-228,2.20,-5.47
0.00,83.47,15-41-41-324,2.20,-5.45
0.00,83.51,15-41-41-452,2.24,-5.38
0.00,83.55,15-41-41-565,2.23,-5.34
0.00,83.59,15-41-41-675,2.22,-5.31
0.00,83.63,15-41-41-776,2.21,-5.27
0.00,83.67,15-41-41-880,2.21,-5.23
0.00,83.73,15-41-41-985,2.26,-5.15
0.00,83.76,15-41-42-096,2.27,-5.11
0.00,83.78,15-41-42-196,2.27,-5.09
0.00,83.79,15-41-42-308,2.28,-5.08
0.00,83.77,15-41-42-410,2.26,-5.11
0.00,83.74,15-41-42-520,1.90,-5.34
0.00,83.58,15-41-42-610,1.24,-5.86
19.57,82.49,15-41-42-720,0.50,-6.96
40.48,81.51,15-41-42-834,0.56,-7.40
69.49,80.91,15-41-42-948,81.66,-5.47
96.18,79.08,15-41-43-065,98.91,-7.75
115.15,77.64,15-41-43-165,21.07,-7.62
139.95,76.32,15-41-43-284,15.24,-8.11
160.04,76.69,15-41-43-395,15.99,-6.11
167.14,76.44,15-41-43-508,14.67,-6.83
170.15,76.21,15-41-43-605,14.66,-7.15
163.81,77.06,15-41-43-712,15.22,-6.29
163.94,77.92,15-41-43-809,15.86,-4.76
164.56,78.67,15-41-43-911,17.35,-3.27
163.11,78.59,15-41-44-026,17.02,-3.34
162.02,79.10,15-41-44-133,17.12,-2.88
158.23,78.48,15-41-44-228,15.71,-4.10
161.38,78.18,15-41-44-326,14.92,-4.84
167.18,78.12,15-41-44-440,14.55,-4.89
175.44,78.86,15-41-44-550,15.35,-3.55
175.44,79.82,15-41-44-660,16.53,-1.73
169.38,82.04,15-41-44-765,17.00,-0.66
162.62,84.07,15-41-44-886,15.78,-1.92
161.25,85.00,15-41-45-002,15.38,-2.40
161.37,85.65,15-41-45-114,15.32,-2.95
140.20,85.96,15-41-45-217,19.12,-3.10
106.04,85.12,15-41-45-334,94.22,-1.50
76.24,85.66,15-41-45-428,142.28,-1.94
50.65,87.46,15-41-45-530,12.57,-2.00
16.91,85.33,15-41-45-640,7.45,-0.58
9.08,83.12,15-41-45-744,4.86,-4.08
4.25,82.62,15-41-45-855,2.40,-6.09
9.86,81.66,15-41-45-970,0.33,-8.23
8.60,80.92,15-41-46-080,0.13,-9.27
9.27,81.42,15-41-46-192,0.21,-8.69
9.27,82.39,15-41-46-294,0.49,-7.54
9.27,82.85,15-41-46-391,0.19,-7.14
7.25,83.02,15-41-46-492,0.20,-6.90
24.87,82.56,15-41-46-611,0.90,-7.63
50.53,82.10,15-41-46-720,5.33,-7.48
61.80,82.25,15-41-46-825,25.12,-5.49
62.68,82.28,15-41-46-936,23.46,-4.42
96.13,79.32,15-41-47-055,64.66,-3.89
129.95,77.71,15-41-47-167,24.87,-4.94
161.01,77.98,15-41-47-286,15.57,-4.72
166.77,78.40,15-41-47-394,15.73,-4.12
168.69,78.19,15-41-47-492,14.49,-5.14
170.90,77.96,15-41-47-598,12.95,-5.97
164.64,77.69,15-41-47-701,13.13,-6.27
159.61,77.02,15-41-47-812,14.15,-6.97
157.37,76.80,15-41-47-911,14.72,-7.12
156.29,76.28,15-41-48-013,14.21,-8.08
157.60,75.88,15-41-48-114,14.41,-8.39
156.75,75.23,15-41-48-210,13.87,-9.27
160.32,74.82,15-41-48-308,13.15,-9.81
165.51,74.35,15-41-48-420,13.00,-10.38
165.58,74.91,15-41-48-532,12.67,-9.96
165.58,77.65,15-41-48-628,13.68,-5.44
165.58,78.99,15-41-48-748,13.79,-3.78
165.58,79.61,15-41-48-851,13.67,-3.21
147.59,80.38,15-41-48-956,16.38,-2.58
118.37,82.41,15-41-49-060,35.73,-0.95
87.26,83.06,15-41-49-165,145.00,-1.61
68.79,85.81,15-41-49-266,83.93,-3.81
47.78,87.09,15-41-49-373,12.89,-2.10
22.13,85.29,15-41-49-474,6.73,-1.15
16.32,83.49,15-41-49-574,4.04,-4.24
14.37,81.69,15-41-49-686,0.75,-7.98
6.70,81.12,15-41-49-815,0.01,-9.28
10.05,81.62,15-41-49-931,0.57,-8.97
10.05,81.81,15-41-50-030,0.15,-8.62
10.05,82.22,15-41-50-148,0.46,-7.73
10.05,82.54,15-41-50-251,1.12,-7.09
9.81,82.36,15-41-50-365,0.24,-7.60
26.37,80.79,15-41-50-464,2.09,-9.85
33.13,80.19,15-41-50-575,3.70,-10.17
35.80,79.82,15-41-50-678,4.52,-10.34
74.91,78.60,15-41-50-776,96.65,-3.90
101.29,76.35,15-41-50-897,57.65,-5.90
135.78,75.56,15-41-51-002,23.66,-6.26
157.00,75.87,15-41-51-114,20.33,-4.91
169.75,75.80,15-41-51-208,18.25,-5.46
169.29,75.10,15-41-51-316,16.07,-7.46
174.39,74.33,15-41-51-414,13.46,-8.97
163.87,74.59,15-41-51-540,13.54,-9.24
161.95,74.91,15-41-51-647,15.38,-8.42
160.69,74.44,15-41-51-764,16.04,-8.53
158.34,73.75,15-41-51-865,17.41,-9.25
157.27,73.96,15-41-51-979,18.07,-8.87
158.71,74.70,15-41-52-089,17.83,-8.07
162.03,75.56,15-41-52-193,15.85,-7.55
165.64,76.86,15-41-52-325,14.58,-6.46
172.43,77.75,15-41-52-426,14.87,-5.17
172.43,77.99,15-41-52-560,14.67,-4.83
165.28,79.08,15-41-52-744,14.33,-4.12
