15.11,80.83,15-47-07-595,5.95,-12.37
15.17,80.89,15-47-07-708,5.86,-12.26
15.26,80.92,15-47-07-818,5.84,-12.21
15.34,80.96,15-47-07-921,5.82,-12.16
15.38,80.94,15-47-08-040,5.69,-12.11
15.39,80.97,15-47-08-130,5.64,-12.06
15.41,81.00,15-47-08-232,5.61,-12.02
15.38,81.03,15-47-08-347,5.46,-11.90
15.08,81.12,15-47-08-446,5.14,-11.65
14.35,81.82,15-47-08-551,2.98,-9.77
10.95,82.58,15-47-08-648,0.80,-7.91
8.45,82.90,15-47-08-776,0.20,-7.07
4.98,83.21,15-47-08-886,0.96,-6.36
5.13,83.03,15-47-08-997,0.75,-6.64
5.62,82.92,15-47-09-097,0.52,-6.89
7.38,82.89,15-47-09-212,0.31,-7.01
8.48,82.86,15-47-09-323,0.10,-7.13
9.08,82.75,15-47-09-433,0.22,-7.40
9.53,82.71,15-47-09-533,0.31,-7.48
9.86,82.65,15-47-09-655,0.34,-7.56
16.47,82.79,15-47-09-746,0.07,-7.08
30.40,83.91,15-47-09-849,1.51,-4.64
51.12,86.34,15-47-09-972,11.19,-0.89
60.35,89.06,15-47-10-089,74.53,-7.23
62.29,90.42,15-47-10-190,108.22,10.75
61.77,90.61,15-47-10-311,103.11,11.66
61.18,90.75,15-47-10-417,97.96,11.74
61.88,90.26,15-47-10-537,106.75,10.14
62.03,89.66,15-47-10-634,111.74,-8.61
62.05,89.33,15-47-10-748,114.51,-7.82
61.98,89.09,15-47-10-865,115.91,-7.16
62.55,84.52,15-47-10-969,126.81,-1.77
61.60,77.74,15-47-11-091,82.09,-17.78
62.39,69.61,15-47-11-200,85.65,-38.36
62.49,63.16,15-47-11-330,84.63,-57.91
62.72,58.16,15-47-11-428,83.71,-57.91
62.73,56.35,15-47-11-527,82.65,-57.91
62.62,55.37,15-47-11-630,81.50,-57.91
62.44,55.08,15-47-11-742,80.61,-57.91
62.34,55.30,15-47-11-845,80.23,-57.91
62.29,54.95,15-47-11-955,79.89,-57.91
62.25,54.69,15-47-12-057,79.51,-57.91
62.15,55.10,15-47-12-166,79.13,-57.91
61.79,56.44,15-47-12-279,78.16,-86.92
61.47,57.14,15-47-12-390,77.26,-75.49
61.20,57.52,15-47-12-497,76.43,-71.68
60.76,59.67,15-47-12-602,76.54,-61.92
60.60,66.35,15-47-12-702,79.67,-42.66
61.07,81.07,15-47-12-807,81.55,-8.54
60.74,89.62,15-47-12-924,98.12,-12.60
59.55,100.62,15-47-13-037,96.24,39.91
59.29,106.26,15-47-13-155,96.32,57.46
59.21,108.78,15-47-13-271,96.07,67.63
59.18,109.23,15-47-13-371,95.75,69.12
59.20,109.00,15-47-13-487,95.46,66.98
59.34,108.67,15-47-13-585,95.51,64.74
59.31,108.91,15-47-13-685,94.88,64.92
59.25,107.71,15-47-13-796,93.25,59.12
59.40,104.91,15-47-13-903,92.08,48.93
59.83,100.49,15-47-14-026,90.26,36.22
