elev,shp,time,elb,rie
18.59,-17.99,19:09:45:687,19.27,666.0
20.9,-17.35,19:09:47:433,18.29,666.0
20.83,-17.17,19:09:47:702,18.47,666.0
20.83,-16.15,19:09:48:454,18.05,666.0
20.76,-16.66,19:09:48:713,18.17,666.0
20.78,-16.51,19:09:48:942,18.38,666.0
20.75,-16.06,19:09:49:123,18.37,666.0
20.71,-16.04,19:09:49:260,18.13,666.0
20.7,-15.89,19:09:49:389,17.98,666.0
20.64,-15.73,19:09:49:513,18.05,666.0
20.64,-15.72,19:09:49:638,18.12,666.0
20.61,-15.65,19:09:49:762,18.11,666.0
20.59,-15.18,19:09:49:883,18.09,666.0
20.58,-15.47,19:09:50:010,18.23,666.0
20.55,-15.78,19:09:50:144,18.35,666.0
20.58,-15.94,19:09:50:275,18.22,666.0
20.45,-15.66,19:09:50:401,18.38,666.0
20.29,-15.73,19:09:50:536,18.61,666.0
20.15,-15.84,19:09:50:667,18.67,666.0
20.09,-15.92,19:09:50:793,18.76,666.0
20.1,-16.11,19:09:50:924,18.8,666.0
20.21,-15.87,19:09:51:052,18.73,666.0
20.16,-15.55,19:09:51:173,18.71,666.0
20.09,-15.4,19:09:51:300,18.74,666.0
20.01,-15.16,19:09:51:430,18.73,666.0
20.04,-15.19,19:09:51:554,18.75,666.0
20.15,-15.12,19:09:51:687,18.45,666.0
19.98,-14.81,19:09:51:807,18.58,666.0
19.97,-14.39,19:09:51:942,18.51,666.0
20.03,-14.33,19:09:52:071,18.46,666.0
19.94,-14.48,19:09:52:197,18.62,666.0
19.92,-14.52,19:09:52:330,18.61,666.0
19.85,-14.57,19:09:52:467,18.65,666.0
19.71,-14.23,19:09:52:592,18.73,666.0
19.72,-13.98,19:09:52:719,18.73,666.0
19.64,-13.9,19:09:52:838,18.91,666.0
19.64,-14.06,19:09:52:956,18.9,666.0
19.62,-13.69,19:09:53:073,18.83,666.0
19.65,-13.45,19:09:53:209,18.7,666.0
19.63,-13.91,19:09:53:338,18.73,666.0
19.59,-13.99,19:09:53:477,18.88,666.0
19.69,-14.15,19:09:53:622,18.73,666.0
19.67,-14.08,19:09:53:762,18.68,666.0
19.56,-14.26,19:09:53:900,18.97,666.0
19.61,-14.13,19:09:54:040,18.95,666.0
21.85,-16.15,19:09:54:182,22.75,666.0
27.57,-14.72,19:09:54:307,20.4,666.0
34.62,-10.68,19:09:54:438,18.05,666.0
40.17,-9.72,19:09:54:569,21.67,666.0
50.04,-7.23,19:09:54:703,19.96,666.0
56.52,-6.13,19:09:54:830,19.41,666.0
67.74,-3.77,19:09:54:959,15.03,666.0
76.54,-1.87,19:09:55:086,13.13,666.0
85.71,-0.45,19:09:55:210,17.71,666.0
95.8,1.42,19:09:55:339,14.62,666.0
106.97,3.09,19:09:55:474,9.53,666.0
112.45,3.32,19:09:55:604,16.5,666.0
118.32,2.86,19:09:55:732,17.5,666.0
127.6,4.07,19:09:55:860,14.27,666.0
132.37,5.04,19:09:55:988,16.19,666.0
135.89,6.33,19:09:56:123,19.07,666.0
139.59,8.32,19:09:56:259,18.61,666.0
143.86,9.47,19:09:56:395,19.13,666.0
147.91,9.13,19:09:56:526,18.11,666.0
150.25,11.21,19:09:56:671,20.03,666.0
151.06,14.21,19:09:56:812,19.13,666.0
150.33,16.0,19:09:56:939,21.85,666.0
150.1,15.95,19:09:57:091,21.75,666.0
149.89,16.34,19:09:57:225,21.73,666.0
149.84,15.27,19:09:57:352,21.01,666.0
147.75,10.2,19:09:57:486,19.48,666.0
145.18,11.65,19:09:57:616,15.5,666.0
139.1,9.01,19:09:57:740,14.62,666.0
134.06,8.57,19:09:57:873,13.43,666.0
128.89,7.55,19:09:57:998,14.94,666.0
120.1,6.89,19:09:58:125,11.66,666.0
112.72,6.02,19:09:58:257,11.74,666.0
102.01,5.15,19:09:58:392,14.86,666.0
91.49,4.38,19:09:58:515,13.7,666.0
81.58,2.72,19:09:58:645,14.06,666.0
72.35,1.83,19:09:58:790,13.28,666.0
65.05,0.03,19:09:58:915,10.94,666.0
56.78,-1.05,19:09:59:041,12.83,666.0
49.98,-2.88,19:09:59:171,13.31,666.0
43.82,-3.22,19:09:59:306,13.35,666.0
38.23,-4.15,19:09:59:439,14.0,666.0
32.5,-5.77,19:09:59:580,13.13,666.0
29.56,-7.76,19:09:59:704,13.84,666.0
26.48,-10.95,19:09:59:836,14.35,666.0
22.95,-11.37,19:09:59:988,14.88,666.0
19.5,-10.42,19:10:00:119,16.22,666.0
15.73,-13.63,19:10:00:243,17.33,666.0
13.48,-13.08,19:10:00:373,17.53,666.0
12.65,-13.46,19:10:00:507,18.21,666.0
12.8,-14.23,19:10:00:641,18.45,666.0
12.78,-13.35,19:10:00:772,19.06,666.0
14.52,-11.05,19:10:00:899,19.01,666.0
17.58,-7.96,19:10:01:034,19.54,666.0
23.3,-5.37,19:10:01:167,18.83,666.0
35.92,-4.01,19:10:01:304,15.68,666.0
44.95,-0.47,19:10:01:447,16.81,666.0
53.97,1.05,19:10:01:574,18.79,666.0
64.24,2.58,19:10:01:700,16.34,666.0
73.5,5.18,19:10:01:819,13.13,666.0
84.45,6.42,19:10:01:949,14.0,666.0
94.02,6.16,19:10:02:084,14.82,666.0
102.43,6.1,19:10:02:223,14.9,666.0
109.76,6.71,19:10:02:352,16.58,666.0
117.67,7.8,19:10:02:474,16.72,666.0
125.6,7.86,19:10:02:602,14.74,666.0
127.96,9.57,19:10:02:735,15.4,666.0
133.14,12.02,19:10:02:872,14.92,666.0
137.35,13.0,19:10:03:017,18.17,666.0
141.72,13.48,19:10:03:147,17.22,666.0
145.27,14.63,19:10:03:269,17.67,666.0
147.85,15.5,19:10:03:389,18.0,666.0
151.33,15.62,19:10:03:515,17.72,666.0
151.92,18.45,19:10:03:637,19.1,666.0
152.64,20.25,19:10:03:762,18.83,666.0
154.54,22.38,19:10:03:897,18.85,666.0
155.91,21.46,19:10:04:023,17.83,666.0
152.56,17.04,19:10:04:154,18.63,666.0
149.97,8.6,19:10:04:277,16.74,666.0
143.12,5.2,19:10:04:406,14.74,666.0
135.74,3.27,19:10:04:540,16.25,666.0
127.43,1.71,19:10:04:675,14.83,666.0
114.61,-0.53,19:10:04:808,16.06,666.0
106.34,-0.85,19:10:04:938,13.62,666.0
94.49,-2.16,19:10:05:081,11.55,666.0
82.88,-5.95,19:10:05:218,12.28,666.0
70.98,-7.47,19:10:05:348,12.4,666.0
60.84,-9.33,19:10:05:477,14.13,666.0
52.58,-9.73,19:10:05:603,14.23,666.0
47.73,-10.17,19:10:05:728,13.33,666.0
40.26,-10.35,19:10:05:852,13.56,666.0
33.09,-11.82,19:10:05:993,10.04,666.0
27.18,-14.4,19:10:06:124,9.8,666.0
21.86,-13.2,19:10:06:259,14.58,666.0
19.56,-12.65,19:10:06:383,14.68,666.0
17.68,-13.04,19:10:06:517,15.67,666.0
17.38,-12.96,19:10:06:641,15.87,666.0
17.3,-11.74,19:10:06:770,16.05,666.0
17.43,-12.33,19:10:06:905,15.98,666.0
17.59,-11.74,19:10:07:050,15.99,666.0
19.76,-11.74,19:10:07:186,18.8,666.0
27.27,-9.13,19:10:07:317,18.26,666.0
37.51,-5.64,19:10:07:443,16.35,666.0
48.56,-1.5,19:10:07:573,19.33,666.0
56.33,-0.66,19:10:07:693,18.31,666.0
68.46,1.62,19:10:07:819,13.14,666.0
77.01,4.74,19:10:07:953,15.87,666.0
86.96,8.07,19:10:08:088,17.52,666.0
99.02,10.5,19:10:08:221,15.55,666.0
111.92,11.11,19:10:08:348,15.32,666.0
119.58,14.18,19:10:08:472,17.8,666.0
129.45,15.83,19:10:08:599,14.45,666.0
135.76,17.4,19:10:08:728,15.8,666.0
140.81,20.66,19:10:08:861,18.13,666.0
146.4,22.94,19:10:08:993,18.87,666.0
151.17,28.47,19:10:09:117,18.53,666.0
152.12,31.26,19:10:09:269,19.45,666.0
151.68,34.71,19:10:09:397,21.54,666.0
157.9,43.05,19:10:09:526,16.05,666.0
155.32,40.24,19:10:09:673,20.3,666.0
153.88,34.43,19:10:09:803,19.83,666.0
151.23,28.86,19:10:09:936,17.78,666.0
146.87,24.65,19:10:10:074,10.94,666.0
139.63,18.43,19:10:10:218,15.15,666.0
133.82,14.12,19:10:10:340,13.33,666.0
120.48,10.28,19:10:10:471,11.71,666.0
107.93,7.57,19:10:10:604,11.41,666.0
94.59,3.52,19:10:10:732,12.73,666.0
87.25,1.85,19:10:10:854,12.11,666.0
76.58,1.82,19:10:10:975,10.9,666.0
67.94,0.17,19:10:11:103,6.32,666.0
60.17,-0.21,19:10:11:230,13.3,666.0
50.27,-1.27,19:10:11:371,14.21,666.0
