elev,shp,time,elb,rie
87.66,7.52,14:57:45:435,17.78,666.0
86.99,7.24,14:57:46:042,15.81,666.0
87.05,7.25,14:57:46:245,14.38,666.0
87.21,6.58,14:57:46:558,18.07,666.0
86.86,5.91,14:57:47:719,17.39,666.0
86.59,5.58,14:57:48:269,12.06,666.0
86.8,5.89,14:57:48:479,18.01,666.0
86.7,6.53,14:57:48:604,18.38,666.0
86.66,6.44,14:57:48:730,17.39,666.0
86.77,6.56,14:57:48:860,20.49,666.0
86.63,6.41,14:57:48:991,22.14,666.0
86.45,6.16,14:57:49:116,17.2,666.0
86.01,6.38,14:57:49:239,16.59,666.0
85.64,6.13,14:57:49:362,16.79,666.0
85.67,5.8,14:57:49:484,12.2,666.0
85.72,5.76,14:57:49:598,15.73,666.0
85.77,5.48,14:57:49:735,15.83,666.0
85.84,5.69,14:57:49:877,16.2,666.0
85.83,5.77,14:57:49:998,16.41,666.0
85.74,5.59,14:57:50:117,19.22,666.0
85.89,5.28,14:57:50:239,16.51,666.0
85.85,5.39,14:57:50:359,16.43,666.0
85.84,5.18,14:57:50:483,19.03,666.0
85.82,5.63,14:57:50:612,17.09,666.0
85.88,5.6,14:57:50:734,15.85,666.0
85.95,5.32,14:57:50:847,17.08,666.0
85.93,5.63,14:57:50:958,21.08,666.0
86.01,5.85,14:57:51:083,18.26,666.0
85.99,6.03,14:57:51:194,19.19,666.0
86.05,5.94,14:57:51:313,22.53,666.0
86.15,5.93,14:57:51:428,19.9,666.0
86.12,6.22,14:57:51:547,15.2,666.0
86.34,5.93,14:57:51:671,13.42,666.0
86.04,5.96,14:57:51:792,13.25,666.0
86.19,5.63,14:57:51:914,13.35,666.0
85.96,5.47,14:57:52:034,13.56,666.0
85.86,5.61,14:57:52:152,13.4,666.0
85.94,5.68,14:57:52:270,13.57,666.0
85.9,5.31,14:57:52:403,13.37,666.0
85.95,5.26,14:57:52:536,13.55,666.0
85.94,5.02,14:57:52:666,13.5,666.0
85.82,5.0,14:57:52:786,16.9,666.0
85.9,5.45,14:57:52:908,19.92,666.0
85.79,5.42,14:57:53:022,16.58,666.0
85.87,5.58,14:57:53:176,18.75,666.0
85.93,6.01,14:57:53:303,18.02,666.0
86.06,6.39,14:57:53:423,18.79,666.0
86.09,6.77,14:57:53:566,18.82,666.0
86.02,6.72,14:57:53:697,21.07,666.0
85.91,6.87,14:57:53:816,15.89,666.0
85.77,6.96,14:57:53:944,17.37,666.0
