elev,shp,time,elb,rie
7.83,-3.62,15:30:56:788,24.64,666.0
14.72,-43.06,15:30:57:317,22.85,666.0
13.49,-46.4,15:30:57:500,23.12,666.0
13.58,-48.28,15:30:57:850,22.19,666.0
12.75,-45.33,15:30:58:063,20.88,666.0
12.57,-44.25,15:30:58:234,20.12,666.0
12.8,-43.9,15:30:58:359,20.6,666.0
12.6,-42.45,15:30:58:510,21.36,666.0
12.61,-42.41,15:30:58:641,21.15,666.0
13.14,-42.79,15:30:58:759,21.41,666.0
17.0,-34.81,15:30:58:875,21.95,666.0
17.28,-37.18,15:30:59:001,19.84,666.0
15.6,-39.21,15:30:59:118,18.72,666.0
14.26,-39.63,15:30:59:237,17.41,666.0
13.84,-40.05,15:30:59:356,16.69,666.0
13.68,-39.68,15:30:59:475,15.7,666.0
13.95,-40.64,15:30:59:593,16.67,666.0
13.85,-40.92,15:30:59:709,17.56,666.0
13.65,-42.11,15:30:59:828,18.07,666.0
13.85,-43.91,15:30:59:949,19.09,666.0
13.79,-42.58,15:31:00:075,17.44,666.0
13.71,-42.27,15:31:00:198,17.21,666.0
13.6,-40.4,15:31:00:325,18.02,666.0
12.76,-41.0,15:31:00:446,18.31,666.0
12.59,-41.05,15:31:00:563,18.69,666.0
12.85,-40.69,15:31:00:675,18.71,666.0
13.06,-41.05,15:31:00:795,16.32,666.0
13.6,-41.41,15:31:00:911,16.83,666.0
13.54,-41.8,15:31:01:031,17.24,666.0
13.75,-44.29,15:31:01:165,19.07,666.0
13.45,-45.08,15:31:01:296,19.51,666.0
13.78,-45.19,15:31:01:409,19.63,666.0
13.45,-43.46,15:31:01:529,18.63,666.0
13.39,-44.27,15:31:01:660,18.71,666.0
13.27,-44.63,15:31:01:787,19.68,666.0
13.5,-45.63,15:31:01:911,19.91,666.0
13.17,-45.32,15:31:02:030,19.76,666.0
13.02,-44.67,15:31:02:152,19.99,666.0
13.03,-44.49,15:31:02:271,19.56,666.0
12.51,-42.73,15:31:02:381,18.85,666.0
13.37,-44.8,15:31:02:501,20.42,666.0
