elev,shp,time,elb,rie
13.01,-18.82,15:00:50:025,74.06,-2.63
11.48,-12.52,15:00:50:583,77.44,-4.75
11.87,-13.4,15:00:50:782,77.58,-4.57
12.28,-10.43,15:00:51:100,77.31,-4.08
12.07,-11.09,15:00:51:265,81.16,-4.38
12.38,-12.25,15:00:51:409,77.45,-4.13
12.46,-12.7,15:00:51:528,77.5,-4.25
12.4,-14.6,15:00:51:658,77.99,-4.59
13.23,-13.3,15:00:51:790,76.46,-3.61
13.17,-15.11,15:00:51:908,77.22,-3.86
12.9,-13.87,15:00:52:041,76.5,-3.73
12.9,-14.83,15:00:52:152,76.86,-3.94
12.54,-12.54,15:00:52:265,76.62,-3.86
12.42,-8.84,15:00:52:381,77.1,-0.7
12.16,-3.48,15:00:52:505,69.58,4.23
11.16,-8.9,15:00:52:621,82.03,2.46
11.18,-7.04,15:00:52:754,80.28,2.76
11.74,-3.98,15:00:52:883,60.07,7.67
11.99,-4.4,15:00:52:999,64.18,8.2
11.85,-3.13,15:00:53:114,71.09,5.64
12.17,-3.64,15:00:53:229,64.21,7.14
12.53,-4.2,15:00:53:349,65.11,7.24
12.35,-11.04,15:00:53:466,79.99,3.42
11.88,-11.61,15:00:53:585,68.25,5.81
10.58,-8.78,15:00:53:715,58.35,2.36
8.77,-10.83,15:00:53:831,68.16,-1.2
7.48,-8.09,15:00:53:952,62.45,-9.04
7.11,-10.7,15:00:54:068,63.87,-7.12
7.78,-15.95,15:00:54:184,62.87,-6.53
8.51,-14.13,15:00:54:299,62.98,-5.47
9.36,-14.01,15:00:54:415,86.16,-3.61
10.1,-13.39,15:00:54:546,81.53,-2.87
10.4,-13.78,15:00:54:668,76.0,-2.81
10.82,-14.28,15:00:54:786,74.84,-2.51
11.28,-16.32,15:00:54:907,82.59,-3.53
10.66,-21.29,15:00:55:033,78.67,-3.65
10.62,-19.61,15:00:55:152,78.27,-3.53
10.88,-17.61,15:00:55:284,84.99,-4.04
11.42,-16.74,15:00:55:408,77.69,-2.57
11.71,-16.11,15:00:55:527,77.76,-2.76
12.63,-12.69,15:00:55:646,78.1,-2.77
12.5,-12.02,15:00:55:776,70.46,-1.0
12.25,-12.16,15:00:55:901,77.58,-2.8
12.81,-9.85,15:00:56:017,75.8,-2.17
13.73,-14.34,15:00:56:143,76.57,-2.2
13.72,-11.39,15:00:56:261,78.52,-4.93
13.55,-12.22,15:00:56:379,76.08,-2.41
13.16,-13.15,15:00:56:504,76.46,-3.1
13.15,-14.04,15:00:56:620,76.42,-2.93
13.52,-11.95,15:00:56:744,75.43,-2.15
13.24,-11.35,15:00:56:866,75.6,-2.39
13.29,-12.73,15:00:56:984,77.88,-4.65
13.64,-13.03,15:00:57:109,76.73,-4.54
13.76,-13.86,15:00:57:231,76.74,-2.41
13.64,-12.58,15:00:57:360,76.36,-2.32
13.43,-13.25,15:00:57:480,76.76,-2.6
13.99,-10.68,15:00:57:601,75.32,-1.95
13.42,-11.82,15:00:57:725,75.86,-2.49
13.09,-15.85,15:00:57:855,76.61,-6.45
13.83,-13.24,15:00:57:971,75.87,-2.26
14.14,-13.46,15:00:58:094,76.03,-2.31
14.13,-13.01,15:00:58:221,75.94,-2.43
14.31,-13.0,15:00:58:343,75.79,-2.27
14.0,-13.48,15:00:58:458,76.36,-2.56
13.92,-12.12,15:00:58:584,75.89,-2.44
13.41,-10.04,15:00:58:711,75.99,-2.59
13.24,-11.48,15:00:58:834,76.55,-3.04
13.88,-12.38,15:00:58:965,76.49,-2.66
13.7,-12.55,15:00:59:092,69.31,0.07
