elev,shp,time,elb,rie
93.12,-11.47,15:04:38:629,10.87,666.0
91.83,-13.45,15:04:39:168,9.48,666.0
92.0,-14.52,15:04:39:399,10.51,666.0
92.08,-14.28,15:04:39:728,10.32,666.0
90.98,-15.13,15:04:39:926,13.17,666.0
90.53,-15.14,15:04:40:089,14.48,666.0
90.45,-14.95,15:04:40:220,14.1,666.0
90.27,-14.65,15:04:40:347,13.51,666.0
90.17,-14.67,15:04:40:474,12.68,666.0
90.23,-14.56,15:04:40:626,11.22,666.0
90.09,-14.72,15:04:40:747,10.27,666.0
90.0,-14.73,15:04:40:863,11.1,666.0
89.98,-14.65,15:04:40:988,11.69,666.0
89.89,-14.56,15:04:41:110,12.13,666.0
89.74,-14.29,15:04:41:230,12.23,666.0
89.72,-14.1,15:04:41:353,11.99,666.0
89.71,-14.25,15:04:41:484,12.51,666.0
89.75,-14.11,15:04:41:606,12.09,666.0
89.81,-13.95,15:04:41:735,12.36,666.0
89.53,-13.41,15:04:41:859,12.33,666.0
89.24,-12.49,15:04:41:985,12.72,666.0
88.98,-11.61,15:04:42:103,13.88,666.0
88.49,-11.78,15:04:42:217,14.58,666.0
88.03,-11.59,15:04:42:336,15.41,666.0
88.02,-11.17,15:04:42:455,14.99,666.0
88.87,-9.06,15:04:42:585,12.14,666.0
88.3,-8.01,15:04:42:701,11.81,666.0
87.95,-7.12,15:04:42:824,11.37,666.0
87.65,-6.5,15:04:42:949,12.08,666.0
87.68,-6.25,15:04:43:068,11.57,666.0
87.36,-6.07,15:04:43:192,12.65,666.0
86.96,-6.34,15:04:43:313,13.26,666.0
86.8,-7.32,15:04:43:431,12.68,666.0
86.85,-7.77,15:04:43:551,12.36,666.0
86.84,-8.38,15:04:43:667,12.23,666.0
86.72,-9.35,15:04:43:786,12.14,666.0
86.68,-10.02,15:04:43:901,12.16,666.0
86.47,-10.49,15:04:44:017,12.85,666.0
86.32,-10.64,15:04:44:136,13.16,666.0
86.2,-10.67,15:04:44:252,13.23,666.0
86.05,-10.7,15:04:44:370,13.32,666.0
86.09,-10.13,15:04:44:483,12.8,666.0
86.16,-9.31,15:04:44:610,12.36,666.0
86.21,-8.27,15:04:44:729,13.22,666.0
86.69,-7.51,15:04:44:849,12.94,666.0
87.23,-7.81,15:04:44:969,14.53,666.0
87.34,-7.7,15:04:45:091,14.54,666.0
87.81,-7.58,15:04:45:222,14.08,666.0
88.03,-8.69,15:04:45:348,14.41,666.0
88.28,-8.83,15:04:45:465,15.17,666.0
88.39,-8.8,15:04:45:581,15.75,666.0
88.52,-8.55,15:04:45:694,15.43,666.0
88.59,-7.95,15:04:45:815,14.57,666.0
88.28,-6.71,15:04:45:939,14.48,666.0
87.96,-4.7,15:04:46:060,15.76,666.0
88.09,-2.33,15:04:46:185,14.71,666.0
88.38,0.31,15:04:46:310,12.82,666.0
88.29,5.3,15:04:46:440,12.02,666.0
87.28,10.48,15:04:46:563,11.5,666.0
87.11,9.64,15:04:46:687,11.29,666.0
87.51,6.56,15:04:46:816,12.02,666.0
87.73,3.49,15:04:46:929,12.02,666.0
87.38,1.98,15:04:47:052,12.31,666.0
86.92,0.42,15:04:47:177,12.64,666.0
86.62,-2.44,15:04:47:297,13.71,666.0
86.92,-4.59,15:04:47:415,13.83,666.0
86.63,-5.44,15:04:47:530,14.01,666.0
84.89,-4.15,15:04:47:664,13.27,666.0
85.01,-3.62,15:04:47:787,12.45,666.0
84.82,-2.74,15:04:47:908,12.1,666.0
84.92,-2.34,15:04:48:027,11.36,666.0
84.69,-2.81,15:04:48:159,10.46,666.0
84.48,-3.47,15:04:48:286,11.73,666.0
84.52,-3.8,15:04:48:408,12.2,666.0
