elev,shp,time,elb,rie
15.46,-27.29,17:25:41:595,32.42,20.94
16.05,-25.48,17:25:42:093,32.32,24.26
16.01,-23.82,17:25:42:276,32.03,25.46
16.05,-23.38,17:25:42:553,32.07,25.97
16.32,-22.91,17:25:42:717,32.43,26.13
16.49,-23.43,17:25:42:864,32.91,25.34
16.61,-23.57,17:25:42:977,33.05,25.11
16.48,-22.37,17:25:43:097,32.85,25.39
16.73,-22.87,17:25:43:209,33.35,25.25
16.55,-21.71,17:25:43:329,32.95,25.78
16.76,-22.08,17:25:43:442,33.32,25.68
16.64,-21.62,17:25:43:558,33.18,25.56
16.65,-21.48,17:25:43:684,33.05,25.94
16.59,-21.74,17:25:43:803,32.9,26.2
16.68,-22.07,17:25:43:920,33.14,26.61
16.92,-24.05,17:25:44:033,33.6,25.43
16.97,-24.2,17:25:44:142,33.47,25.73
16.75,-24.04,17:25:44:251,32.98,26.04
16.85,-24.59,17:25:44:367,33.14,25.77
16.67,-25.4,17:25:44:474,33.2,25.25
16.46,-25.98,17:25:44:584,33.38,24.78
16.26,-25.55,17:25:44:699,33.39,24.57
16.18,-25.06,17:25:44:811,33.41,24.73
15.91,-25.92,17:25:44:922,33.66,23.44
15.84,-25.62,17:25:45:038,33.48,23.52
15.63,-25.09,17:25:45:147,33.5,23.39
15.71,-25.02,17:25:45:257,33.34,23.61
15.96,-26.05,17:25:45:370,33.97,23.34
15.98,-26.58,17:25:45:481,34.05,23.2
16.02,-26.35,17:25:45:594,33.95,23.58
16.04,-26.44,17:25:45:703,33.99,23.84
16.09,-26.01,17:25:45:813,33.79,24.26
16.08,-25.53,17:25:45:924,33.61,25.0
16.15,-24.27,17:25:46:037,33.19,26.02
16.25,-24.64,17:25:46:150,33.12,25.91
16.15,-23.93,17:25:46:277,32.69,26.1
16.27,-23.64,17:25:46:393,32.64,26.63
16.45,-23.6,17:25:46:508,32.86,26.73
16.61,-24.1,17:25:46:622,33.19,26.51
