elev,shp,time,elb,rie
18.91,-25.57,17:54:30:562,28.93,666.0
20.04,-36.23,17:54:31:117,29.67,666.0
18.66,-26.27,17:54:31:326,29.82,666.0
20.08,2.68,17:54:31:695,31.32,13.24
20.72,8.17,17:54:31:914,29.48,666.0
19.89,-13.58,17:54:32:069,26.48,666.0
20.92,-37.26,17:54:32:227,28.54,666.0
21.2,-39.42,17:54:32:369,28.37,666.0
26.09,-35.4,17:54:32:499,30.9,43.12
37.43,-30.42,17:54:32:625,36.79,54.31
35.4,-33.52,17:54:32:751,28.71,666.0
26.33,-40.85,17:54:32:917,25.74,666.0
22.72,-40.21,17:54:33:059,24.98,666.0
21.56,-41.42,17:54:33:194,25.07,666.0
20.96,-42.54,17:54:33:331,24.93,666.0
20.99,-42.8,17:54:33:461,25.45,666.0
20.62,-42.33,17:54:33:597,26.09,666.0
20.36,-41.04,17:54:33:743,25.44,666.0
20.84,-41.81,17:54:33:882,26.41,666.0
20.76,-40.98,17:54:34:013,26.14,666.0
20.21,-38.42,17:54:34:148,26.78,666.0
20.09,-36.36,17:54:34:283,26.59,666.0
19.9,-36.76,17:54:34:418,26.62,666.0
19.98,-37.6,17:54:34:553,27.23,666.0
19.99,-38.8,17:54:34:682,27.48,666.0
20.05,-38.95,17:54:34:817,27.01,666.0
19.7,-38.03,17:54:34:953,26.22,666.0
19.5,-37.57,17:54:35:091,26.29,666.0
19.46,-37.74,17:54:35:227,26.45,666.0
19.81,-38.58,17:54:35:364,27.6,666.0
19.93,-38.57,17:54:35:493,28.01,666.0
19.89,-38.53,17:54:35:635,28.1,666.0
19.82,-37.45,17:54:35:770,27.97,666.0
19.96,-38.01,17:54:35:906,28.56,666.0
19.96,-37.92,17:54:36:040,28.68,666.0
19.98,-38.02,17:54:36:171,28.43,666.0
20.17,-38.07,17:54:36:301,28.67,666.0
20.19,-38.54,17:54:36:437,28.43,666.0
20.12,-38.03,17:54:36:569,28.04,666.0
20.15,-37.65,17:54:36:701,28.39,666.0
20.2,-37.67,17:54:36:844,28.17,666.0
20.31,-37.23,17:54:36:983,28.47,666.0
20.35,-37.43,17:54:37:118,28.69,666.0
20.22,-37.88,17:54:37:247,28.68,666.0
20.16,-37.25,17:54:37:383,28.69,666.0
20.01,-37.02,17:54:37:521,28.49,666.0
19.98,-37.74,17:54:37:654,29.2,666.0
19.71,-38.25,17:54:37:793,29.05,666.0
