elev,shp,time,elb,rie
14.9,-49.58,12:56:16:070,28.16,666.0
15.46,-49.87,12:56:16:541,29.07,666.0
21.37,-32.59,12:56:16:734,24.51,666.0
21.54,-27.75,12:56:17:049,16.81,666.0
20.31,-30.68,12:56:17:221,15.72,666.0
20.62,-30.63,12:56:17:366,17.07,666.0
21.06,-30.91,12:56:17:498,17.54,666.0
21.35,-31.71,12:56:17:620,17.68,666.0
20.99,-28.53,12:56:18:719,18.69,666.0
20.87,-28.54,12:56:19:051,18.74,666.0
20.65,-28.9,12:56:19:266,18.89,666.0
20.86,-28.95,12:56:19:405,18.63,666.0
20.7,-28.7,12:56:19:532,18.76,666.0
20.66,-28.66,12:56:19:653,18.7,666.0
20.38,-29.02,12:56:19:769,18.87,666.0
20.2,-29.17,12:56:19:886,19.06,666.0
20.28,-28.99,12:56:20:008,18.99,666.0
20.62,-29.2,12:56:20:130,18.86,666.0
20.82,-29.57,12:56:20:251,18.85,666.0
20.42,-28.86,12:56:20:365,19.2,666.0
20.26,-28.73,12:56:20:488,19.38,666.0
19.98,-27.89,12:56:20:602,19.41,666.0
20.13,-27.46,12:56:20:727,19.26,666.0
19.86,-27.03,12:56:20:849,19.44,666.0
19.87,-27.69,12:56:20:963,19.43,666.0
19.79,-27.22,12:56:21:084,19.44,666.0
19.98,-26.97,12:56:21:203,19.4,666.0
19.84,-26.85,12:56:21:320,19.63,666.0
20.14,-26.86,12:56:21:438,19.35,666.0
20.28,-26.3,12:56:21:566,18.66,666.0
20.26,-25.4,12:56:21:687,18.16,666.0
20.57,-25.07,12:56:21:801,18.06,666.0
20.72,-25.35,12:56:21:921,18.32,666.0
20.6,-25.64,12:56:22:042,18.87,666.0
20.65,-25.85,12:56:22:164,19.09,666.0
20.57,-26.19,12:56:22:285,19.19,666.0
20.48,-26.25,12:56:22:401,19.27,666.0
20.37,-26.09,12:56:22:526,19.41,666.0
20.3,-26.24,12:56:22:651,19.68,666.0
20.19,-26.1,12:56:22:779,19.43,666.0
20.15,-26.03,12:56:22:900,19.34,666.0
20.16,-26.12,12:56:23:025,19.34,666.0
20.08,-26.16,12:56:23:158,19.42,666.0
20.12,-26.3,12:56:23:280,19.34,666.0
20.2,-26.56,12:56:23:396,19.5,666.0
20.12,-26.29,12:56:23:516,19.55,666.0
20.11,-26.62,12:56:23:633,19.73,666.0
20.03,-26.73,12:56:23:752,19.9,666.0
19.71,-27.22,12:56:23:870,20.07,666.0
19.86,-27.14,12:56:23:987,19.78,666.0
20.4,-29.74,12:56:24:105,20.46,666.0
20.2,-31.28,12:56:24:221,22.54,666.0
16.61,-38.66,12:56:24:346,25.19,666.0
14.55,-42.49,12:56:24:463,24.48,666.0
13.99,-44.44,12:56:24:582,25.53,666.0
14.02,-45.96,12:56:24:698,26.14,666.0
13.96,-46.4,12:56:24:815,26.03,666.0
14.17,-46.43,12:56:24:932,25.46,666.0
14.57,-46.34,12:56:25:049,26.33,666.0
