Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,14.90,-49.58,12:56:16:070,666.00,28.16
15.46,-49.87,12:56:16:541,666.00,29.07
21.37,-32.59,12:56:16:734,666.00,24.51
21.54,-27.75,12:56:17:049,666.00,16.81
20.31,-30.68,12:56:17:221,666.00,15.72
20.62,-30.63,12:56:17:366,666.00,17.07
21.06,-30.91,12:56:17:498,666.00,17.54
21.35,-31.71,12:56:17:620,666.00,17.68
20.99,-28.53,12:56:18:719,666.00,18.69
20.87,-28.54,12:56:19:051,666.00,18.74
20.65,-28.90,12:56:19:266,666.00,18.89
20.86,-28.95,12:56:19:405,666.00,18.63
20.70,-28.70,12:56:19:532,666.00,18.76
20.66,-28.66,12:56:19:653,666.00,18.70
20.38,-29.02,12:56:19:769,666.00,18.87
20.20,-29.17,12:56:19:886,666.00,19.06
20.28,-28.99,12:56:20:008,666.00,18.99
20.62,-29.20,12:56:20:130,666.00,18.86
20.82,-29.57,12:56:20:251,666.00,18.85
20.42,-28.86,12:56:20:365,666.00,19.20
20.26,-28.73,12:56:20:488,666.00,19.38
19.98,-27.89,12:56:20:602,666.00,19.41
20.13,-27.46,12:56:20:727,666.00,19.26
19.86,-27.03,12:56:20:849,666.00,19.44
19.87,-27.69,12:56:20:963,666.00,19.43
19.79,-27.22,12:56:21:084,666.00,19.44
19.98,-26.97,12:56:21:203,666.00,19.40
19.84,-26.85,12:56:21:320,666.00,19.63
20.14,-26.86,12:56:21:438,666.00,19.35
20.28,-26.30,12:56:21:566,666.00,18.66
20.26,-25.40,12:56:21:687,666.00,18.16
20.57,-25.07,12:56:21:801,666.00,18.06
20.72,-25.35,12:56:21:921,666.00,18.32
20.60,-25.64,12:56:22:042,666.00,18.87
20.65,-25.85,12:56:22:164,666.00,19.09
20.57,-26.19,12:56:22:285,666.00,19.19
20.48,-26.25,12:56:22:401,666.00,19.27
20.37,-26.09,12:56:22:526,666.00,19.41
20.30,-26.24,12:56:22:651,666.00,19.68
20.19,-26.10,12:56:22:779,666.00,19.43
20.15,-26.03,12:56:22:900,666.00,19.34
20.16,-26.12,12:56:23:025,666.00,19.34
20.08,-26.16,12:56:23:158,666.00,19.42
20.12,-26.30,12:56:23:280,666.00,19.34
20.20,-26.56,12:56:23:396,666.00,19.50
20.12,-26.29,12:56:23:516,666.00,19.55
20.11,-26.62,12:56:23:633,666.00,19.73
