elev,shp,time,elb,rie
9.64,-4.22,15:26:50:863,19.89,666.0
10.06,-7.94,15:26:51:330,20.32,666.0
10.2,-7.94,15:26:51:531,20.34,666.0
10.15,-9.36,15:26:51:856,20.49,666.0
10.18,-8.47,15:26:52:030,20.31,666.0
10.16,-7.72,15:26:52:181,20.08,666.0
10.13,-7.26,15:26:52:299,19.96,666.0
10.17,-7.45,15:26:52:410,20.03,666.0
10.17,-7.52,15:26:52:523,20.13,666.0
10.14,-7.27,15:26:52:630,20.14,666.0
10.22,-7.28,15:26:52:735,20.24,666.0
10.25,-7.48,15:26:52:844,20.34,666.0
10.29,-7.55,15:26:52:953,20.4,666.0
10.19,-7.24,15:26:53:078,20.43,666.0
10.05,-6.38,15:26:54:114,20.31,666.0
9.98,-5.96,15:26:54:394,20.11,666.0
9.96,-6.39,15:26:54:558,19.96,666.0
10.14,-5.77,15:26:54:725,20.02,666.0
10.39,-6.81,15:26:54:839,20.35,666.0
10.93,-10.9,15:26:54:952,21.21,666.0
12.14,-14.13,15:26:55:062,21.8,666.0
13.29,-15.15,15:26:55:178,22.39,666.0
15.06,-14.58,15:26:55:300,23.55,666.0
16.05,-13.36,15:26:55:419,24.46,666.0
16.79,-12.42,15:26:55:538,26.08,666.0
16.94,-10.73,15:26:55:645,26.4,666.0
16.55,-7.48,15:26:55:753,26.04,666.0
16.44,-3.8,15:26:55:858,25.52,666.0
16.02,0.94,15:26:55:967,23.25,666.0
16.14,0.71,15:26:56:075,23.61,666.0
20.56,-9.2,15:26:56:179,29.33,666.0
27.06,-29.12,15:26:56:290,30.24,43.27
32.65,-47.9,15:26:56:395,38.76,54.53
39.25,-59.71,15:26:56:502,43.07,43.9
37.14,-65.44,15:26:56:606,39.11,42.08
32.99,-63.39,15:26:56:712,35.61,47.06
31.27,-61.59,15:26:56:826,34.05,50.1
31.06,-62.57,15:26:56:947,33.48,49.54
30.11,-62.96,15:26:57:053,32.49,50.12
30.16,-62.78,15:26:57:157,32.54,50.25
30.94,-62.5,15:26:57:269,33.26,49.75
30.82,-62.75,15:26:57:391,33.08,49.7
29.89,-62.88,15:26:57:501,32.18,50.42
30.96,-62.76,15:26:57:609,33.14,49.56
29.53,-63.1,15:26:57:714,31.75,50.52
30.08,-63.14,15:26:57:822,32.23,49.97
30.26,-63.39,15:26:57:932,32.29,49.54
30.61,-63.35,15:26:58:052,32.58,49.12
30.72,-62.58,15:26:58:160,32.79,49.53
31.17,-61.94,15:26:58:276,33.32,49.61
30.53,-62.4,15:26:58:379,32.64,49.74
30.52,-62.1,15:26:58:493,32.64,50.01
30.23,-61.7,15:26:58:919,32.41,50.56
29.86,-61.19,15:26:59:074,32.1,51.33
28.87,-61.46,15:26:59:236,31.16,52.16
29.37,-60.12,15:26:59:396,31.62,52.93
