elev,shp,time,elb,rie
16.45,-32.96,13:59:40:203,31.66,12.56
16.07,-29.84,13:59:40:855,28.75,666.0
16.35,-31.8,13:59:41:116,29.44,666.0
15.85,-33.09,13:59:41:770,29.74,666.0
15.22,-31.65,13:59:42:012,30.22,15.02
14.5,-29.05,13:59:42:337,30.39,15.03
14.56,-29.92,13:59:42:494,30.76,14.35
14.81,-31.95,13:59:42:649,31.17,13.66
14.7,-32.41,13:59:42:778,30.83,13.41
14.51,-32.63,13:59:42:900,30.67,13.01
14.54,-32.8,13:59:43:025,30.45,13.35
14.57,-32.31,13:59:43:142,30.74,13.63
14.54,-33.66,13:59:43:258,30.8,12.76
14.52,-34.21,13:59:43:380,31.05,12.21
14.41,-33.38,13:59:43:501,30.47,13.16
14.43,-32.87,13:59:43:624,29.82,666.0
14.84,-33.08,13:59:43:740,30.05,14.3
14.77,-31.87,13:59:43:866,29.77,666.0
14.93,-32.56,13:59:43:984,30.11,14.63
14.87,-31.99,13:59:44:098,29.75,666.0
14.93,-32.46,13:59:44:209,30.09,14.42
15.49,-33.25,13:59:44:324,30.58,14.52
15.85,-35.05,13:59:44:441,29.58,666.0
16.11,-37.85,13:59:44:560,28.78,666.0
15.97,-38.4,13:59:44:683,28.37,666.0
15.7,-38.49,13:59:44:801,28.17,666.0
15.39,-38.2,13:59:44:922,28.5,666.0
15.21,-37.9,13:59:45:037,28.33,666.0
15.23,-37.79,13:59:45:159,27.67,666.0
15.32,-38.89,13:59:45:279,27.55,666.0
15.39,-38.99,13:59:45:399,27.34,666.0
15.23,-39.13,13:59:45:524,27.06,666.0
15.14,-38.45,13:59:45:647,26.8,666.0
14.99,-37.99,13:59:45:763,26.51,666.0
14.98,-38.23,13:59:45:894,26.44,666.0
15.1,-38.19,13:59:46:016,26.78,666.0
15.0,-38.82,13:59:46:146,27.24,666.0
14.45,-37.8,13:59:46:272,26.73,666.0
14.21,-36.83,13:59:46:391,26.27,666.0
14.28,-37.03,13:59:46:515,26.38,666.0
14.37,-37.76,13:59:46:647,27.09,666.0
14.58,-37.9,13:59:46:786,27.05,666.0
14.52,-38.04,13:59:46:924,27.34,666.0
14.33,-37.45,13:59:47:044,27.24,666.0
14.38,-37.51,13:59:47:172,27.36,666.0
14.11,-36.89,13:59:47:291,26.94,666.0
13.98,-36.59,13:59:47:418,26.85,666.0
14.01,-37.12,13:59:47:542,26.91,666.0
13.97,-37.51,13:59:47:663,26.85,666.0
14.08,-37.57,13:59:47:790,26.87,666.0
14.12,-36.81,13:59:47:910,26.89,666.0
14.31,-36.41,13:59:48:019,27.2,666.0
14.33,-36.43,13:59:48:129,27.32,666.0
14.39,-35.9,13:59:48:247,27.23,666.0
14.65,-34.4,13:59:48:366,26.58,666.0
14.63,-33.76,13:59:48:494,26.07,666.0
14.72,-31.59,13:59:48:623,26.22,666.0
14.94,-32.12,13:59:48:742,26.68,666.0
14.92,-32.51,13:59:48:868,26.8,666.0
14.69,-32.13,13:59:48:993,26.66,666.0
14.71,-33.69,13:59:49:111,26.93,666.0
14.13,-33.9,13:59:49:230,26.7,666.0
13.73,-34.43,13:59:49:354,26.44,666.0
13.86,-36.22,13:59:49:474,26.56,666.0
14.12,-36.74,13:59:49:592,26.51,666.0
14.28,-37.23,13:59:49:715,27.29,666.0
14.04,-36.38,13:59:49:844,26.68,666.0
13.9,-35.27,13:59:49:984,26.77,666.0
13.65,-35.14,13:59:50:105,26.81,666.0
13.59,-35.1,13:59:50:222,27.29,666.0
13.81,-35.73,13:59:50:344,27.5,666.0
14.15,-38.52,13:59:50:474,27.2,666.0
15.42,-34.58,13:59:50:601,24.77,666.0
16.77,-34.79,13:59:50:720,25.22,666.0
16.94,-34.26,13:59:50:843,24.64,666.0
16.51,-35.29,13:59:50:961,24.57,666.0
16.46,-35.63,13:59:51:077,24.55,666.0
16.53,-37.68,13:59:51:192,25.31,666.0
16.3,-39.53,13:59:51:317,25.46,666.0
15.93,-40.33,13:59:51:438,24.96,666.0
15.96,-39.96,13:59:51:567,24.78,666.0
15.7,-35.93,13:59:51:699,23.42,666.0
15.82,-36.28,13:59:51:826,23.34,666.0
15.78,-36.23,13:59:51:961,23.27,666.0
15.73,-35.93,13:59:52:078,22.76,666.0
15.78,-36.03,13:59:52:200,23.04,666.0
15.65,-37.36,13:59:52:320,23.85,666.0
15.27,-35.65,13:59:52:444,24.12,666.0
15.28,-36.12,13:59:52:566,23.93,666.0
15.62,-39.28,13:59:52:694,24.35,666.0
15.58,-39.86,13:59:52:827,24.89,666.0
