elev,shp,time,elb,rie
8.66,-2.47,15:31:44:445,18.88,666.0
9.06,1.45,15:31:44:930,18.53,666.0
9.12,2.7,15:31:45:104,18.5,666.0
9.34,-0.46,15:31:45:391,18.73,666.0
9.44,-0.8,15:31:45:557,18.79,666.0
9.39,-0.74,15:31:45:710,18.76,666.0
9.38,-0.5,15:31:45:827,18.75,666.0
9.31,-0.43,15:31:45:959,18.73,666.0
9.46,-1.4,15:31:46:087,18.81,666.0
9.2,-1.22,15:31:47:149,18.64,666.0
9.28,-0.08,15:31:47:453,18.46,666.0
9.44,-1.66,15:31:47:637,18.96,666.0
9.6,-1.1,15:31:48:074,19.11,666.0
9.38,-0.44,15:31:48:233,18.93,666.0
9.12,-0.22,15:31:48:375,18.88,666.0
9.19,-0.96,15:31:48:494,19.12,666.0
8.96,0.27,15:31:48:625,18.74,666.0
8.92,-2.78,15:31:48:730,19.02,666.0
8.88,-4.68,15:31:48:839,19.32,666.0
8.71,-4.03,15:31:48:942,18.94,666.0
8.42,-4.92,15:31:49:051,18.35,666.0
8.64,-10.97,15:31:49:157,18.86,666.0
8.5,-10.54,15:31:49:263,18.11,666.0
8.42,-13.83,15:31:49:373,18.05,666.0
9.46,-18.48,15:31:49:477,19.88,666.0
9.32,-18.09,15:31:49:589,19.81,666.0
9.37,-17.76,15:31:49:698,19.91,666.0
9.4,-15.98,15:31:49:810,20.24,666.0
9.47,-15.51,15:31:49:921,20.5,666.0
9.55,-15.64,15:31:50:028,20.11,666.0
9.36,-14.72,15:31:50:147,20.09,666.0
9.15,-13.19,15:31:50:254,19.42,666.0
8.87,-9.36,15:31:50:365,18.48,666.0
8.67,-6.52,15:31:50:478,18.05,666.0
8.67,-7.81,15:31:50:591,18.45,666.0
8.83,-6.96,15:31:50:707,19.0,666.0
9.24,-2.26,15:31:50:827,18.98,666.0
9.07,1.45,15:31:50:934,18.53,666.0
9.58,2.33,15:31:51:042,18.73,666.0
9.65,6.06,15:31:51:154,18.41,666.0
9.69,9.03,15:31:51:267,17.95,666.0
9.18,16.54,15:31:51:377,16.89,666.0
9.17,22.34,15:31:51:485,16.52,666.0
9.03,20.48,15:31:51:588,17.03,666.0
9.02,21.07,15:31:51:693,17.13,666.0
8.39,22.07,15:31:51:800,17.23,666.0
8.03,-1.51,15:31:51:909,20.32,666.0
15.1,-35.5,15:31:52:019,30.75,19.54
20.07,-37.52,15:31:52:129,29.29,666.0
24.75,-42.09,15:31:52:237,28.17,666.0
28.17,-44.39,15:31:52:343,26.77,666.0
29.72,-46.08,15:31:52:454,25.45,666.0
29.24,-48.54,15:31:52:561,25.36,666.0
28.36,-48.04,15:31:52:668,25.9,666.0
28.19,-47.94,15:31:52:780,26.99,666.0
29.38,-48.3,15:31:52:887,28.47,666.0
30.28,-48.75,15:31:52:993,28.18,666.0
29.86,-49.94,15:31:53:097,27.38,666.0
31.61,-48.97,15:31:53:209,28.11,666.0
32.38,-49.5,15:31:53:314,28.48,666.0
32.43,-51.17,15:31:53:419,28.68,666.0
33.91,-52.9,15:31:53:524,31.05,11.99
33.43,-55.03,15:31:53:632,29.2,666.0
30.7,-56.31,15:31:53:743,25.67,666.0
25.84,-51.26,15:31:53:851,26.55,666.0
23.7,-50.62,15:31:53:956,27.86,666.0
18.92,-50.08,15:31:54:067,26.1,666.0
15.96,-39.26,15:31:54:175,23.47,666.0
14.42,-28.29,15:31:54:281,22.17,666.0
14.46,-24.56,15:31:54:389,23.44,666.0
13.85,-22.2,15:31:54:495,23.28,666.0
13.36,-15.5,15:31:54:615,22.06,666.0
13.53,-16.41,15:31:54:724,22.43,666.0
12.71,-20.59,15:31:54:831,22.56,666.0
12.33,-19.86,15:31:54:944,22.63,666.0
11.91,-15.18,15:31:55:060,21.83,666.0
11.83,-13.96,15:31:55:175,24.41,666.0
12.45,-20.06,15:31:55:296,59.68,10.36
13.58,-13.82,15:31:55:409,76.95,7.41
9.83,10.62,15:31:55:520,87.3,2.52
7.46,68.66,15:31:55:638,84.06,-5.43
7.07,83.75,15:31:55:752,84.92,-8.86
6.36,78.32,15:31:55:865,84.51,-8.66
41.55,-17.89,15:31:55:979,99.01,19.49
34.78,18.65,15:31:56:084,63.37,48.44
36.45,21.8,15:31:56:191,56.49,60.97
32.81,26.5,15:31:56:300,45.92,61.73
27.63,25.27,15:31:56:406,39.75,51.89
20.05,5.4,15:31:56:512,48.29,25.56
16.1,-6.27,15:31:56:621,64.68,12.5
11.52,0.76,15:31:56:746,67.91,5.77
9.41,15.98,15:31:56:878,69.65,1.28
9.18,20.98,15:31:57:003,71.34,-0.75
9.17,23.1,15:31:57:130,69.47,-0.91
9.16,24.1,15:31:57:246,68.17,-0.66
9.08,28.22,15:31:57:362,68.1,0.79
10.1,25.21,15:31:57:486,68.58,3.77
11.27,23.29,15:31:57:609,66.2,9.57
11.97,16.05,15:31:57:729,67.32,10.06
12.58,14.49,15:31:57:843,70.58,10.15
14.04,10.64,15:31:57:974,73.83,12.76
14.72,12.22,15:31:58:103,73.16,14.24
15.23,11.98,15:31:58:226,73.88,15.4
15.08,10.94,15:31:58:348,73.58,15.35
15.23,12.54,15:31:58:468,72.3,15.03
15.42,14.95,15:31:58:586,71.75,15.39
15.2,13.12,15:31:58:707,72.43,14.56
15.63,13.49,15:31:58:824,71.47,16.0
15.15,14.67,15:31:58:942,71.37,16.17
15.2,12.88,15:31:59:064,71.37,16.12
15.06,11.51,15:31:59:204,72.1,15.9
15.15,9.53,15:31:59:331,72.49,16.13
15.0,9.58,15:31:59:455,71.29,16.48
14.76,9.17,15:31:59:577,72.4,15.5
14.54,9.27,15:31:59:699,73.04,14.12
14.29,8.85,15:31:59:823,72.63,12.77
14.02,10.67,15:31:59:949,72.05,11.9
14.02,11.11,15:32:00:078,71.03,12.35
13.86,11.66,15:32:00:197,70.05,12.67
13.74,10.85,15:32:00:329,71.24,11.95
13.65,11.87,15:32:00:451,71.65,11.78
13.59,12.5,15:32:00:565,71.88,11.21
13.85,12.48,15:32:00:683,72.44,12.13
13.77,13.13,15:32:00:808,72.07,12.35
13.97,12.38,15:32:00:929,71.82,13.39
14.15,11.56,15:32:01:046,72.68,13.32
14.03,12.0,15:32:01:164,71.66,13.59
14.13,11.15,15:32:01:284,71.53,13.52
14.22,11.36,15:32:01:408,72.7,14.26
14.01,12.71,15:32:01:525,72.83,14.27
13.93,12.91,15:32:01:646,72.39,13.86
14.07,11.09,15:32:01:763,72.33,13.37
14.17,11.42,15:32:01:883,72.18,13.16
14.26,11.21,15:32:01:999,72.25,13.61
13.92,12.9,15:32:02:125,71.82,12.56
14.12,14.43,15:32:02:251,72.05,14.52
14.11,14.35,15:32:02:372,71.66,13.65
14.05,13.75,15:32:02:490,72.08,13.51
14.17,13.13,15:32:02:609,72.36,13.22
14.33,13.07,15:32:02:723,72.38,13.47
14.28,12.96,15:32:02:846,72.55,13.54
14.24,12.99,15:32:02:968,72.8,14.46
13.36,13.64,15:32:03:083,71.59,12.23
11.86,15.75,15:32:03:197,71.41,6.03
10.26,17.75,15:32:03:313,70.27,1.82
2.46,69.74,15:32:03:429,79.04,-19.81
2.01,67.04,15:32:03:545,79.19,-26.02
2.1,19.3,15:32:03:663,80.38,-30.56
2.37,-9.84,15:32:03:791,81.19,-34.27
3.28,-24.96,15:32:03:918,81.46,-38.36
3.78,-34.14,15:32:04:044,82.97,-44.61
6.11,-43.1,15:32:04:165,86.03,-45.27
0.64,-26.5,15:32:04:283,88.26,-56.0
2.53,-51.34,15:32:04:416,89.86,-58.07
6.26,-58.39,15:32:04:540,90.76,-57.65
7.57,-61.61,15:32:04:660,91.19,-57.68
21.85,-79.59,15:32:04:781,103.45,-48.58
6.75,-58.74,15:32:04:903,90.43,-58.67
6.69,-58.88,15:32:05:028,90.68,-58.71
7.89,-62.32,15:32:05:145,92.25,-57.43
