elev,shp,time,elb,rie
17.17,-53.34,14:58:50:191,28.32,666.0
81.76,-13.22,14:58:51:582,19.67,666.0
82.07,-13.48,14:58:52:234,11.9,666.0
82.77,-14.6,14:58:52:710,11.19,666.0
81.66,-14.48,14:58:52:986,16.75,666.0
81.76,-14.95,14:58:53:130,12.3,666.0
81.95,-14.77,14:58:53:260,12.28,666.0
82.32,-15.12,14:58:53:388,11.11,666.0
82.81,-15.2,14:58:53:509,11.39,666.0
82.45,-14.91,14:58:53:674,16.14,666.0
81.77,-15.55,14:58:53:796,12.7,666.0
83.03,-15.48,14:58:53:919,15.42,666.0
84.62,-15.27,14:58:54:318,11.18,666.0
83.94,-14.91,14:58:54:494,12.78,666.0
83.86,-14.65,14:58:54:647,11.6,666.0
84.43,-14.13,14:58:54:806,10.3,666.0
84.46,-15.4,14:58:54:963,9.63,666.0
83.88,-15.11,14:58:55:084,10.04,666.0
83.41,-15.26,14:58:55:203,10.71,666.0
84.55,-15.0,14:58:55:330,9.34,666.0
83.75,-15.02,14:58:55:461,10.73,666.0
84.92,-15.27,14:58:55:580,8.1,666.0
84.52,-15.2,14:58:55:700,7.93,666.0
83.98,-15.38,14:58:55:823,8.56,666.0
83.28,-15.59,14:58:55:955,9.95,666.0
83.01,-15.59,14:58:56:081,11.15,666.0
82.83,-15.35,14:58:56:209,10.87,666.0
82.81,-15.67,14:58:56:327,15.45,666.0
80.59,-21.95,14:58:56:454,14.88,666.0
77.21,-18.01,14:58:56:568,10.39,666.0
70.7,-20.33,14:58:56:690,4.34,666.0
57.17,-19.66,14:58:56:816,16.64,666.0
45.67,-44.19,14:58:56:937,54.29,-50.23
38.21,-43.97,14:58:57:051,38.81,-29.0
32.44,-60.67,14:58:57:169,50.67,-24.55
18.49,-53.6,14:58:57:287,29.84,666.0
16.15,-56.0,14:58:57:415,29.13,666.0
18.27,-49.77,14:58:57:549,31.02,4.56
17.76,-45.26,14:58:57:671,29.56,666.0
15.7,-43.09,14:58:57:792,29.35,666.0
12.18,-39.52,14:58:57:916,28.14,666.0
12.03,-38.46,14:58:58:053,27.0,666.0
12.71,-40.19,14:58:58:178,21.08,666.0
27.73,-32.47,14:58:58:310,27.39,666.0
55.98,-8.28,14:58:58:437,68.07,114.19
77.87,-10.96,14:58:58:563,23.87,666.0
82.09,-11.24,14:58:58:690,12.28,666.0
81.35,-11.48,14:58:58:813,16.14,666.0
83.1,-11.99,14:58:58:931,9.36,666.0
82.96,-13.0,14:58:59:054,9.08,666.0
82.45,-11.99,14:58:59:172,9.35,666.0
82.34,-12.45,14:58:59:294,14.62,666.0
81.6,-10.72,14:58:59:421,12.48,666.0
80.96,-11.03,14:58:59:548,13.85,666.0
81.97,-11.31,14:58:59:674,14.27,666.0
82.31,-10.96,14:58:59:797,14.72,666.0
80.97,-12.06,14:58:59:930,15.2,666.0
80.66,-12.16,14:59:00:057,16.13,666.0
84.17,-11.47,14:59:00:187,11.85,666.0
80.38,-12.09,14:59:00:316,19.4,666.0
80.5,-12.42,14:59:00:438,15.82,666.0
80.34,-11.78,14:59:00:566,12.25,666.0
80.92,-11.3,14:59:00:694,22.14,666.0
81.27,-10.86,14:59:00:818,15.88,666.0
84.27,-11.33,14:59:00:948,16.66,666.0
83.18,-10.29,14:59:01:074,13.92,666.0
83.95,-9.44,14:59:01:197,13.21,666.0
82.4,-10.31,14:59:01:336,13.74,666.0
82.23,-10.9,14:59:01:466,13.79,666.0
82.13,-12.32,14:59:01:589,14.49,666.0
82.98,-12.88,14:59:01:713,8.89,666.0
