elev,shp,time,elb,rie
22.09,-33.43,18:22:42:676,12.18,666.0
21.85,-32.2,18:22:43:512,12.74,666.0
21.7,-31.66,18:22:43:709,13.2,666.0
21.21,-30.15,18:22:44:045,12.72,666.0
20.38,-28.6,18:22:45:319,13.44,666.0
20.39,-29.87,18:22:45:681,13.8,666.0
20.4,-29.77,18:22:45:875,14.39,666.0
20.29,-29.76,18:22:46:051,14.66,666.0
20.56,-30.19,18:22:46:177,14.67,666.0
20.24,-29.81,18:22:46:306,14.18,666.0
20.23,-29.53,18:22:46:426,13.89,666.0
20.12,-30.16,18:22:46:545,14.56,666.0
20.24,-30.57,18:22:46:669,14.87,666.0
20.49,-31.02,18:22:46:800,15.0,666.0
20.41,-31.04,18:22:46:923,15.28,666.0
20.43,-30.99,18:22:47:046,14.9,666.0
20.02,-31.36,18:22:47:171,15.27,666.0
20.06,-31.08,18:22:47:317,15.31,666.0
19.89,-30.74,18:22:47:447,15.35,666.0
20.19,-30.75,18:22:47:571,15.35,666.0
21.84,-29.18,18:22:47:691,16.42,666.0
27.03,-24.85,18:22:47:833,16.46,666.0
38.63,-17.24,18:22:47:971,12.81,666.0
46.18,-15.91,18:22:48:096,18.2,666.0
56.68,-14.05,18:22:48:223,20.63,666.0
65.73,-12.98,18:22:48:355,15.59,666.0
73.83,-11.24,18:22:48:488,15.7,666.0
82.28,-10.0,18:22:48:616,16.53,666.0
91.95,-9.03,18:22:48:743,17.07,666.0
101.31,-5.89,18:22:48:879,21.7,666.0
110.64,-3.5,18:22:49:005,20.07,666.0
120.23,-0.91,18:22:49:136,10.57,666.0
125.29,0.16,18:22:49:274,15.7,666.0
133.35,3.29,18:22:49:410,20.14,666.0
138.47,5.03,18:22:49:544,24.0,666.0
145.09,8.17,18:22:49:676,21.67,666.0
150.08,13.65,18:22:49:811,18.5,666.0
152.29,18.71,18:22:49:942,15.74,666.0
155.76,30.42,18:22:50:094,18.75,666.0
161.59,62.5,18:22:50:219,10.51,666.0
161.35,62.63,18:22:50:341,10.93,666.0
160.83,53.41,18:22:50:481,10.97,666.0
154.14,27.18,18:22:50:611,16.69,666.0
148.66,11.38,18:22:50:737,16.42,666.0
142.3,9.16,18:22:50:869,7.32,666.0
132.37,4.06,18:22:51:009,11.58,666.0
118.46,-0.64,18:22:51:147,12.04,666.0
105.24,-6.93,18:22:51:275,10.76,666.0
92.83,-11.02,18:22:51:405,13.17,666.0
78.61,-12.04,18:22:51:536,12.97,666.0
63.85,-13.05,18:22:51:672,8.32,666.0
53.07,-13.51,18:22:51:810,17.7,666.0
42.84,-15.26,18:22:51:939,10.69,666.0
34.95,-19.43,18:22:52:067,8.79,666.0
29.88,-22.44,18:22:52:192,9.41,666.0
24.03,-27.21,18:22:52:326,8.27,666.0
17.65,-33.68,18:22:52:452,13.09,666.0
14.12,-36.65,18:22:52:575,16.02,666.0
15.63,-34.85,18:22:52:705,16.03,666.0
19.73,-31.16,18:22:52:837,17.87,666.0
31.28,-25.05,18:22:52:965,14.44,666.0
39.72,-20.57,18:22:53:084,12.25,666.0
49.22,-16.83,18:22:53:206,19.17,666.0
60.34,-11.67,18:22:53:338,16.9,666.0
74.69,-6.75,18:22:53:466,12.87,666.0
83.37,-5.01,18:22:53:597,14.65,666.0
100.03,-1.57,18:22:53:738,15.67,666.0
112.12,0.05,18:22:53:872,18.03,666.0
122.36,3.85,18:22:54:009,13.75,666.0
131.22,8.77,18:22:54:131,19.89,666.0
140.0,10.74,18:22:54:273,18.3,666.0
146.87,17.29,18:22:54:413,21.77,666.0
150.99,22.41,18:22:54:542,20.43,666.0
154.19,30.02,18:22:54:674,19.02,666.0
157.86,39.88,18:22:54:804,19.12,666.0
163.45,54.28,18:22:54:933,11.48,666.0
162.66,46.13,18:22:55:063,11.86,666.0
156.71,30.01,18:22:55:190,10.75,666.0
146.47,15.77,18:22:55:329,10.37,666.0
133.81,5.69,18:22:55:465,12.94,666.0
118.45,-1.95,18:22:55:594,9.12,666.0
102.6,-9.92,18:22:55:724,5.33,666.0
85.45,-14.29,18:22:55:860,4.47,666.0
72.58,-15.39,18:22:55:988,6.6,666.0
60.22,-15.52,18:22:56:107,9.18,666.0
50.52,-17.52,18:22:56:233,3.4,666.0
39.62,-19.07,18:22:56:367,4.57,666.0
32.48,-21.94,18:22:56:494,4.67,666.0
25.43,-28.68,18:22:56:626,6.19,666.0
21.14,-35.05,18:22:56:768,12.96,666.0
20.39,-34.03,18:22:56:898,12.85,666.0
22.41,-30.15,18:22:57:024,13.12,666.0
28.68,-26.18,18:22:57:155,18.05,666.0
37.39,-21.43,18:22:57:276,12.66,666.0
48.78,-15.26,18:22:57:407,14.52,666.0
63.15,-10.68,18:22:57:538,14.45,666.0
76.4,-7.44,18:22:57:669,15.45,666.0
87.46,-7.4,18:22:57:807,18.0,666.0
105.53,-5.68,18:22:57:949,7.59,666.0
116.94,-5.6,18:22:58:071,12.57,666.0
126.43,-2.08,18:22:58:210,18.09,666.0
136.61,-1.49,18:22:58:339,16.27,666.0
141.09,0.96,18:22:58:462,21.24,666.0
148.12,6.86,18:22:58:590,20.43,666.0
153.64,17.22,18:22:58:719,20.14,666.0
159.41,35.84,18:22:58:865,14.12,666.0
161.81,54.73,18:22:58:990,7.55,666.0
161.65,56.3,18:22:59:118,7.48,666.0
160.59,49.25,18:22:59:243,9.61,666.0
157.14,31.93,18:22:59:373,10.37,666.0
148.85,18.53,18:22:59:535,11.05,666.0
140.25,8.31,18:22:59:693,7.12,666.0
127.99,1.93,18:22:59:827,12.97,666.0
119.21,-2.73,18:22:59:958,7.91,666.0
103.28,-7.23,18:23:00:101,6.82,666.0
94.31,-9.75,18:23:00:225,5.37,666.0
81.3,-9.9,18:23:00:357,6.81,666.0
67.98,-10.22,18:23:00:493,7.86,666.0
54.9,-12.75,18:23:00:654,6.13,666.0
45.0,-15.17,18:23:00:817,6.89,666.0
35.64,-17.72,18:23:00:938,5.42,666.0
30.52,-18.76,18:23:01:056,6.73,666.0
24.58,-20.36,18:23:01:181,7.23,666.0
20.06,-22.27,18:23:01:304,8.76,666.0
15.21,-26.43,18:23:01:432,13.0,666.0
14.28,-26.74,18:23:01:578,14.41,666.0
15.86,-24.15,18:23:01:712,16.18,666.0
23.85,-13.78,18:23:01:853,17.89,666.0
36.44,-5.59,18:23:01:983,19.24,666.0
49.34,-2.73,18:23:02:117,15.91,666.0
61.92,-1.1,18:23:02:242,13.36,666.0
73.17,-0.16,18:23:02:366,13.27,666.0
80.51,0.17,18:23:02:497,21.51,666.0
92.99,1.84,18:23:02:631,21.12,666.0
107.09,2.1,18:23:02:757,14.54,666.0
116.37,4.16,18:23:02:886,11.2,666.0
126.52,4.11,18:23:03:009,13.02,666.0
132.26,6.11,18:23:03:144,15.21,666.0
137.05,6.89,18:23:03:276,20.21,666.0
142.27,11.66,18:23:03:408,13.49,666.0
147.26,15.83,18:23:03:538,18.52,666.0
153.15,21.38,18:23:03:668,11.73,666.0
157.13,30.3,18:23:03:810,11.3,666.0
158.4,39.57,18:23:03:947,16.0,666.0
161.1,55.05,18:23:04:074,11.65,666.0
163.25,74.27,18:23:04:207,6.38,666.0
162.15,75.97,18:23:04:342,11.02,666.0
159.25,51.69,18:23:04:477,10.06,666.0
154.97,32.25,18:23:04:621,12.04,666.0
144.93,15.52,18:23:04:757,13.42,666.0
138.14,6.11,18:23:04:895,10.59,666.0
