elev,shp,time,elb,rie
11.66,-38.95,18:28:22:512,24.79,666.0
11.75,-40.41,18:28:23:296,25.31,666.0
11.94,-40.9,18:28:23:524,25.82,666.0
11.97,-40.6,18:28:23:851,25.83,666.0
12.11,-40.9,18:28:24:024,26.1,666.0
12.18,-41.35,18:28:24:188,26.32,666.0
12.1,-41.25,18:28:24:331,26.42,666.0
11.9,-41.12,18:28:24:463,26.18,666.0
11.85,-41.5,18:28:24:591,26.24,666.0
11.88,-41.34,18:28:24:714,26.13,666.0
11.85,-41.23,18:28:24:837,26.24,666.0
11.9,-40.96,18:28:24:956,26.17,666.0
11.86,-40.09,18:28:25:080,25.82,666.0
11.97,-40.49,18:28:25:211,25.9,666.0
12.0,-40.15,18:28:25:337,25.83,666.0
11.93,-39.46,18:28:25:457,25.69,666.0
12.27,-39.32,18:28:25:589,25.87,666.0
12.31,-40.14,18:28:25:710,26.31,666.0
12.22,-40.29,18:28:25:835,26.37,666.0
12.18,-40.62,18:28:25:962,26.41,666.0
12.26,-40.9,18:28:26:092,26.85,666.0
12.38,-41.73,18:28:26:222,26.96,666.0
12.48,-40.18,18:28:26:355,26.67,666.0
12.44,-40.29,18:28:26:498,26.69,666.0
12.62,-40.59,18:28:26:622,26.98,666.0
12.68,-40.8,18:28:26:753,26.94,666.0
12.43,-41.37,18:28:26:873,26.91,666.0
12.22,-42.97,18:28:27:010,27.01,666.0
12.26,-43.04,18:28:27:155,26.64,666.0
12.36,-43.47,18:28:27:285,26.69,666.0
12.43,-42.8,18:28:27:409,26.78,666.0
11.52,-34.33,18:28:27:541,27.46,666.0
12.08,11.71,18:28:27:662,29.7,666.0
20.7,47.15,18:28:27:792,33.99,7.99
34.42,61.84,18:28:27:941,37.55,12.98
53.57,67.55,18:28:28:066,31.29,28.49
65.75,69.91,18:28:28:187,26.85,666.0
84.42,70.03,18:28:28:316,14.12,666.0
96.1,69.74,18:28:28:443,20.61,666.0
108.24,60.8,18:28:28:586,24.32,666.0
115.54,60.49,18:28:28:720,24.66,666.0
133.99,57.14,18:28:28:875,15.04,666.0
143.23,52.91,18:28:29:031,16.5,666.0
148.97,47.81,18:28:29:166,16.9,666.0
153.04,39.89,18:28:29:297,17.61,666.0
154.35,35.28,18:28:29:427,17.94,666.0
155.28,33.33,18:28:29:548,17.2,666.0
152.51,37.79,18:28:29:705,17.1,666.0
148.29,44.84,18:28:29:848,17.45,666.0
138.01,54.38,18:28:29:990,21.11,666.0
