elev,shp,time,elb,rie
2.08,44.67,18:25:32:931,85.96,-6.47
6.76,17.99,18:25:33:462,76.78,-2.28
7.25,9.72,18:25:33:680,79.74,-2.5
6.46,17.89,18:25:34:007,78.07,-4.46
7.37,12.19,18:25:34:194,77.79,-3.73
7.11,17.72,18:25:34:365,77.67,-3.96
8.57,10.93,18:25:34:507,76.24,-2.65
8.81,17.49,18:25:34:659,76.05,-2.7
8.59,12.47,18:25:34:783,75.97,-3.2
7.54,15.55,18:25:34:909,77.16,-4.29
7.34,15.3,18:25:35:035,77.53,-4.84
7.42,7.72,18:25:35:166,77.8,-4.74
7.64,4.59,18:25:35:288,77.89,-4.5
7.81,9.93,18:25:35:420,78.24,-4.42
7.8,11.61,18:25:35:545,76.9,-4.52
7.51,10.17,18:25:35:675,77.55,-4.88
7.52,7.14,18:25:35:797,78.58,-4.88
7.67,17.71,18:25:35:925,78.11,-5.48
7.59,19.76,18:25:36:046,77.95,-5.56
5.49,30.25,18:25:36:174,82.74,-7.73
7.01,10.75,18:25:36:294,79.4,-5.69
10.84,17.87,18:25:36:418,74.58,-2.29
8.38,14.45,18:25:36:542,79.04,-4.99
7.44,15.47,18:25:36:671,78.7,-4.96
7.67,11.8,18:25:36:800,78.22,-5.14
9.19,6.58,18:25:36:917,75.79,-2.95
8.63,14.17,18:25:37:043,77.16,-4.71
8.12,13.9,18:25:37:170,77.87,-5.39
8.28,12.5,18:25:37:299,77.38,-3.96
7.46,13.52,18:25:37:432,76.41,-5.05
6.81,20.62,18:25:37:552,78.56,-6.09
8.74,7.81,18:25:37:673,74.81,-3.87
7.73,21.44,18:25:37:790,78.05,-6.43
7.31,15.27,18:25:37:915,77.28,-5.79
7.43,17.1,18:25:38:034,81.1,-6.39
7.59,11.78,18:25:38:158,78.95,-6.07
7.27,12.34,18:25:38:275,80.19,-5.59
8.22,15.49,18:25:38:402,76.86,-5.22
8.13,9.7,18:25:38:524,77.61,-4.98
7.59,12.84,18:25:38:660,78.48,-5.72
7.34,27.3,18:25:38:796,75.76,-6.65
12.57,52.76,18:25:38:937,73.59,-21.33
12.14,39.59,18:25:39:072,78.31,-29.88
14.03,32.46,18:25:39:209,77.58,-37.3
14.89,21.55,18:25:39:341,77.24,-44.31
14.44,4.6,18:25:39:474,79.9,-49.48
17.22,-0.38,18:25:39:614,73.04,-48.44
17.26,2.71,18:25:39:755,73.79,-48.0
15.56,4.12,18:25:39:887,76.46,-41.03
14.68,9.72,18:25:40:017,77.4,-44.92
14.81,12.44,18:25:40:142,76.91,-38.62
15.31,15.48,18:25:40:273,78.72,-20.96
13.88,18.44,18:25:40:401,78.65,-18.33
13.32,20.54,18:25:40:541,77.82,-9.94
14.51,13.25,18:25:40:689,74.26,-0.07
22.44,16.46,18:25:40:819,79.57,15.69
22.5,24.69,18:25:40:955,74.15,23.4
22.56,21.01,18:25:41:080,71.44,28.91
22.68,17.98,18:25:41:200,76.74,37.61
21.23,19.87,18:25:41:325,79.82,38.74
20.77,14.34,18:25:41:463,84.05,41.09
18.63,34.14,18:25:41:621,80.09,49.92
20.92,5.87,18:25:41:751,93.46,46.34
20.67,9.89,18:25:41:874,85.43,49.04
17.47,38.66,18:25:42:005,85.75,52.83
18.58,38.15,18:25:42:137,83.06,49.41
17.82,15.0,18:25:42:263,88.97,40.82
16.53,28.57,18:25:42:396,74.44,35.24
18.57,17.22,18:25:42:536,72.95,19.49
15.43,29.11,18:25:42:678,79.13,8.31
10.22,8.94,18:25:42:819,81.13,-3.04
13.27,14.4,18:25:42:953,91.64,-9.9
13.15,14.6,18:25:43:074,82.98,-23.14
15.27,15.45,18:25:43:203,82.01,-31.02
15.94,14.8,18:25:43:328,79.41,-34.44
16.28,8.27,18:25:43:464,79.67,-41.78
17.29,-3.97,18:25:43:607,75.31,-45.64
16.55,-8.06,18:25:43:753,75.73,-48.84
13.58,-15.96,18:25:43:882,81.46,-48.97
12.73,-14.87,18:25:44:011,82.81,-47.22
15.17,-4.92,18:25:44:137,81.16,-41.84
15.88,4.9,18:25:44:270,80.77,-30.14
16.26,13.17,18:25:44:390,83.21,-25.65
16.32,15.8,18:25:44:528,83.21,-15.57
16.43,22.99,18:25:44:649,84.66,-9.98
13.9,2.02,18:25:44:783,82.98,-3.42
19.84,9.47,18:25:44:908,83.19,9.51
21.81,11.85,18:25:45:032,83.2,16.65
22.82,-5.88,18:25:45:146,89.93,21.94
19.6,10.32,18:25:45:268,75.37,29.8
21.75,19.53,18:25:45:403,86.2,38.52
20.04,16.33,18:25:45:556,90.94,42.6
18.86,24.76,18:25:45:681,88.68,46.1
19.16,14.21,18:25:45:809,93.42,44.59
19.92,13.52,18:25:45:940,94.19,44.64
19.56,16.18,18:25:46:058,93.37,45.47
19.24,27.04,18:25:46:181,87.93,47.55
20.38,16.68,18:25:46:309,86.86,38.68
20.64,14.07,18:25:46:444,68.83,27.45
19.15,5.36,18:25:46:584,83.7,12.16
8.03,-10.76,18:25:46:724,85.12,-5.75
9.93,0.24,18:25:46:851,95.13,-12.64
12.32,18.26,18:25:46:989,90.03,-19.53
13.45,16.34,18:25:47:118,86.16,-28.49
14.73,12.06,18:25:47:244,80.08,-32.71
16.55,7.1,18:25:47:370,79.3,-38.4
17.39,6.47,18:25:47:504,78.69,-43.48
20.98,-4.15,18:25:47:641,73.06,-46.83
21.21,-3.34,18:25:47:767,71.47,-46.9
21.26,-3.15,18:25:47:913,72.87,-46.27
18.31,-1.45,18:25:48:055,79.75,-37.42
17.72,5.5,18:25:48:194,81.35,-19.59
15.68,11.66,18:25:48:325,81.95,-13.98
18.45,-12.38,18:25:48:463,84.26,-4.1
24.29,-2.86,18:25:48:602,87.04,13.58
24.25,1.29,18:25:48:730,83.81,23.94
22.71,1.51,18:25:48:849,84.04,26.16
24.38,-1.55,18:25:48:976,88.76,34.36
22.68,12.12,18:25:49:104,82.28,40.51
21.99,16.28,18:25:49:239,86.07,46.68
20.69,9.38,18:25:49:373,85.98,45.93
20.72,4.22,18:25:49:512,86.07,45.38
17.58,8.46,18:25:49:642,92.65,43.92
22.05,-27.36,18:25:49:774,102.6,27.71
21.88,-11.36,18:25:49:901,93.26,32.29
18.87,-11.52,18:25:50:040,78.44,22.25
18.04,-9.0,18:25:50:178,83.12,13.5
12.6,139.39,18:25:50:312,76.68,-11.64
4.72,-2.9,18:25:50:444,84.59,-5.13
9.53,28.59,18:25:50:573,92.6,-13.17
8.08,7.62,18:25:50:691,94.92,-22.57
9.17,-13.05,18:25:50:816,88.15,-31.65
11.69,11.67,18:25:50:949,87.47,-38.94
