elev,shp,time,elb,rie
85.39,-10.41,18:31:23:258,18.26,666.0
84.99,-8.13,18:31:23:860,18.46,666.0
84.74,-7.72,18:31:24:086,17.52,666.0
84.49,-8.16,18:31:24:405,18.95,666.0
84.8,-8.32,18:31:24:799,18.93,666.0
84.94,-8.48,18:31:24:959,19.15,666.0
84.83,-8.75,18:31:25:091,19.06,666.0
84.76,-8.9,18:31:25:224,19.12,666.0
84.74,-8.69,18:31:25:352,19.23,666.0
84.55,-8.61,18:31:25:477,19.57,666.0
84.67,-8.88,18:31:25:601,19.56,666.0
84.36,-8.93,18:31:25:722,20.12,666.0
84.35,-8.77,18:31:25:839,19.94,666.0
84.5,-8.93,18:31:25:964,20.15,666.0
84.69,-8.62,18:31:26:090,19.84,666.0
84.74,-8.85,18:31:26:212,19.59,666.0
84.5,-8.61,18:31:26:332,17.69,666.0
84.45,-8.45,18:31:26:454,17.66,666.0
84.34,-8.37,18:31:26:583,18.0,666.0
84.33,-8.62,18:31:26:701,18.32,666.0
84.32,-8.59,18:31:26:821,18.45,666.0
84.37,-8.72,18:31:26:942,18.03,666.0
84.42,-8.63,18:31:27:078,18.03,666.0
84.4,-8.38,18:31:27:204,18.04,666.0
84.47,-8.21,18:31:27:325,18.15,666.0
84.56,-8.06,18:31:27:474,18.21,666.0
84.29,-7.41,18:31:27:607,18.29,666.0
84.21,-7.52,18:31:27:729,18.39,666.0
84.23,-7.56,18:31:27:854,18.42,666.0
84.03,-7.45,18:31:27:981,18.77,666.0
84.06,-7.43,18:31:28:110,19.12,666.0
84.06,-7.26,18:31:28:229,18.93,666.0
84.28,-7.13,18:31:28:360,18.47,666.0
84.33,-6.71,18:31:28:484,18.18,666.0
84.24,-6.69,18:31:28:606,17.92,666.0
84.26,-6.49,18:31:28:770,17.44,666.0
84.29,-6.61,18:31:28:902,17.35,666.0
84.08,-5.05,18:31:29:027,19.95,666.0
85.03,0.89,18:31:29:151,19.14,666.0
85.43,15.86,18:31:29:287,16.86,666.0
87.48,24.01,18:31:29:413,15.84,666.0
88.48,31.98,18:31:29:550,18.99,666.0
90.02,42.59,18:31:29:688,14.31,666.0
90.85,50.76,18:31:29:814,9.58,666.0
90.71,54.17,18:31:29:944,16.03,666.0
89.77,58.14,18:31:30:074,16.6,666.0
88.54,62.61,18:31:30:198,18.39,666.0
87.05,63.99,18:31:30:328,19.66,666.0
66.86,72.54,18:31:30:455,57.88,-7.59
73.41,73.3,18:31:30:589,35.97,8.2
92.44,64.89,18:31:30:723,29.34,666.0
73.4,65.71,18:31:30:858,38.75,12.76
87.76,60.62,18:31:30:978,23.94,666.0
85.33,54.09,18:31:31:101,29.98,666.0
87.96,57.96,18:31:31:227,22.8,666.0
92.52,52.54,18:31:31:356,15.04,666.0
93.61,47.56,18:31:31:482,14.35,666.0
96.0,36.5,18:31:31:616,19.03,666.0
94.53,31.1,18:31:31:749,14.98,666.0
96.44,23.68,18:31:31:881,18.56,666.0
97.19,15.96,18:31:32:032,16.9,666.0
98.05,7.09,18:31:32:159,13.29,666.0
98.33,-0.91,18:31:32:284,14.62,666.0
98.03,-7.32,18:31:32:415,15.61,666.0
96.8,-13.12,18:31:32:546,16.08,666.0
95.84,-15.6,18:31:32:674,14.03,666.0
94.88,-17.86,18:31:32:801,11.6,666.0
94.03,-21.5,18:31:32:920,13.94,666.0
93.52,-21.65,18:31:33:052,14.51,666.0
92.38,-21.42,18:31:33:176,13.89,666.0
92.02,-20.28,18:31:33:306,14.45,666.0
91.43,-17.94,18:31:33:443,15.56,666.0
89.84,-14.67,18:31:33:573,16.98,666.0
88.61,-8.48,18:31:33:695,19.82,666.0
88.18,1.86,18:31:33:827,18.78,666.0
87.43,17.04,18:31:33:956,16.01,666.0
89.18,25.4,18:31:34:081,15.52,666.0
91.06,34.88,18:31:34:207,15.39,666.0
93.03,44.1,18:31:34:335,15.69,666.0
93.14,51.37,18:31:34:464,15.84,666.0
92.66,56.21,18:31:34:607,15.57,666.0
91.04,61.93,18:31:34:729,14.28,666.0
89.37,67.32,18:31:34:856,16.16,666.0
86.74,68.52,18:31:34:989,23.68,666.0
78.06,68.06,18:31:35:121,35.08,51.9
85.42,72.99,18:31:35:256,14.11,666.0
82.17,71.74,18:31:35:392,20.54,666.0
74.41,70.93,18:31:35:528,24.45,666.0
76.49,72.4,18:31:35:657,28.68,666.0
80.27,70.79,18:31:35:798,18.62,666.0
89.17,53.19,18:31:35:918,17.08,666.0
88.17,47.19,18:31:36:050,11.31,666.0
88.45,35.85,18:31:36:184,15.0,666.0
87.37,27.12,18:31:36:309,16.02,666.0
88.29,21.01,18:31:36:441,15.21,666.0
88.67,10.98,18:31:36:585,20.31,666.0
91.38,0.56,18:31:36:720,17.72,666.0
91.3,-3.34,18:31:36:852,16.27,666.0
91.88,-10.77,18:31:36:982,16.52,666.0
92.45,-15.88,18:31:37:107,13.83,666.0
92.6,-17.27,18:31:37:239,11.63,666.0
91.87,-17.76,18:31:37:367,12.54,666.0
91.27,-18.02,18:31:37:512,13.52,666.0
91.28,-17.57,18:31:37:644,14.15,666.0
90.78,-16.88,18:31:37:775,15.43,666.0
89.89,-15.1,18:31:37:912,17.01,666.0
89.24,-10.23,18:31:38:038,18.56,666.0
88.51,0.39,18:31:38:162,15.09,666.0
88.12,7.24,18:31:38:289,19.17,666.0
88.12,21.97,18:31:38:427,16.68,666.0
87.79,31.11,18:31:38:572,16.71,666.0
86.62,43.23,18:31:38:693,11.87,666.0
87.63,49.25,18:31:38:823,12.95,666.0
87.4,52.06,18:31:38:961,19.58,666.0
88.53,62.29,18:31:39:088,8.17,666.0
84.71,67.33,18:31:39:226,15.46,666.0
95.26,73.77,18:31:39:357,3.88,666.0
70.89,73.24,18:31:39:495,40.84,30.38
88.55,69.04,18:31:39:624,21.13,666.0
91.27,66.66,18:31:39:745,15.46,666.0
87.1,67.45,18:31:39:875,22.03,666.0
87.69,63.72,18:31:40:004,23.24,666.0
87.52,64.81,18:31:40:127,19.42,666.0
86.85,62.82,18:31:40:255,20.33,666.0
87.33,61.63,18:31:40:393,16.72,666.0
85.95,54.02,18:31:40:526,16.41,666.0
85.94,53.03,18:31:40:652,12.42,666.0
86.48,45.6,18:31:40:788,9.27,666.0
84.04,35.44,18:31:40:923,13.3,666.0
83.73,28.56,18:31:41:053,14.37,666.0
82.09,16.62,18:31:41:189,16.92,666.0
82.7,10.52,18:31:41:319,17.09,666.0
82.57,-0.22,18:31:41:457,16.87,666.0
82.72,-6.55,18:31:41:592,16.95,666.0
82.22,-11.4,18:31:41:732,14.14,666.0
82.2,-14.55,18:31:41:859,14.84,666.0
82.28,-16.13,18:31:41:987,15.29,666.0
82.29,-16.45,18:31:42:103,14.66,666.0
82.2,-16.66,18:31:42:231,15.21,666.0
82.39,-14.3,18:31:42:367,17.69,666.0
82.59,-8.78,18:31:42:496,17.76,666.0
83.14,0.04,18:31:42:629,19.24,666.0
82.53,12.15,18:31:42:756,15.0,666.0
83.41,19.46,18:31:42:886,15.42,666.0
83.53,30.69,18:31:43:018,14.89,666.0
84.7,39.56,18:31:43:159,14.92,666.0
86.26,48.89,18:31:43:292,26.28,666.0
86.85,56.18,18:31:43:423,14.58,666.0
81.18,60.3,18:31:43:557,18.23,666.0
81.37,67.07,18:31:43:680,17.31,666.0
63.06,65.2,18:31:43:814,46.5,23.63
68.78,67.97,18:31:43:945,39.55,19.97
68.2,65.27,18:31:44:074,41.25,22.06
65.54,62.78,18:31:44:209,37.6,27.14
70.4,62.55,18:31:44:342,36.8,36.02
68.84,59.43,18:31:44:465,40.69,18.04
83.82,53.79,18:31:44:591,27.53,666.0
86.11,48.1,18:31:44:728,19.23,666.0
88.08,38.84,18:31:44:863,7.77,666.0
86.17,28.38,18:31:44:994,12.36,666.0
86.96,17.45,18:31:45:128,14.89,666.0
85.71,2.01,18:31:45:259,19.62,666.0
86.08,-7.35,18:31:45:393,16.21,666.0
85.97,-12.89,18:31:45:522,12.96,666.0
85.71,-17.47,18:31:45:643,11.35,666.0
85.43,-19.55,18:31:45:767,12.1,666.0
85.57,-20.78,18:31:45:904,12.69,666.0
85.06,-20.01,18:31:46:050,12.19,666.0
85.06,-19.09,18:31:46:180,14.15,666.0
84.74,-14.76,18:31:46:308,17.53,666.0
84.12,-7.71,18:31:46:447,19.6,666.0
83.29,11.65,18:31:46:576,12.7,666.0
