14.50,83.95,16-16-23-940,5.90,-9.29
14.54,83.94,16-16-24-077,5.87,-9.28
14.62,83.90,16-16-24-173,5.88,-9.32
14.68,83.88,16-16-24-285,5.89,-9.35
15.14,83.88,16-16-24-392,5.84,-9.29
16.39,83.98,16-16-24-515,5.67,-9.03
16.57,83.98,16-16-24-602,5.63,-9.00
16.74,84.00,16-16-24-709,5.75,-9.05
16.95,84.10,16-16-24-809,5.66,-8.90
17.09,84.23,16-16-24-902,5.57,-8.70
17.03,84.22,16-16-25-016,5.59,-8.72
16.98,84.22,16-16-25-125,5.53,-8.70
16.97,84.23,16-16-25-243,5.15,-8.49
14.90,84.27,16-16-25-342,4.32,-8.11
12.45,83.94,16-16-25-461,4.12,-8.39
17.79,81.68,16-16-25-553,6.17,-11.73
47.23,77.15,16-16-25-651,16.70,-17.45
62.71,74.82,16-16-25-759,30.62,-18.03
81.10,73.18,16-16-25-859,87.80,-19.60
92.02,72.42,16-16-25-974,102.87,-19.19
115.67,71.07,16-16-26-080,68.11,-17.91
126.34,71.02,16-16-26-199,46.58,-13.81
135.50,71.53,16-16-26-297,32.61,-12.94
142.84,72.36,16-16-26-403,25.11,-11.78
145.05,72.66,16-16-26-509,24.96,-11.30
147.22,72.71,16-16-26-608,23.24,-10.85
144.54,72.84,16-16-26-720,24.10,-10.70
141.86,71.71,16-16-26-825,25.73,-12.28
136.59,69.50,16-16-26-950,28.28,-15.82
130.93,65.21,16-16-27-056,46.39,-23.08
90.62,66.21,16-16-27-168,84.52,-22.21
88.19,66.46,16-16-27-270,85.52,-21.87
88.66,66.39,16-16-27-375,85.94,-22.47
67.68,66.99,16-16-27-476,37.93,-22.69
36.96,69.25,16-16-27-590,3.98,-22.19
9.75,77.65,16-16-27-696,3.73,-10.47
9.75,82.74,16-16-27-804,3.38,-5.48
9.75,85.09,16-16-27-914,3.08,-3.35
9.75,85.75,16-16-28-024,1.24,-3.71
9.75,85.74,16-16-28-121,0.92,-3.95
9.75,85.64,16-16-28-225,0.79,-4.10
9.75,84.68,16-16-28-338,1.24,-6.17
7.88,83.07,16-16-28-437,5.23,-9.94
24.53,79.57,16-16-28-538,10.24,-15.46
35.90,76.85,16-16-28-635,16.45,-19.50
63.82,74.13,16-16-28-748,36.39,-19.51
82.76,72.45,16-16-28-860,78.14,-19.84
95.30,71.68,16-16-28-971,103.66,-19.83
113.91,69.76,16-16-29-074,73.60,-19.60
119.88,69.64,16-16-29-177,57.52,-17.10
134.53,69.66,16-16-29-292,36.60,-15.57
137.00,70.02,16-16-29-390,31.97,-14.19
136.75,70.28,16-16-29-492,31.68,-13.56
137.51,70.66,16-16-29-608,30.98,-12.83
137.09,70.93,16-16-29-701,31.33,-12.09
133.13,70.23,16-16-29-785,36.03,-13.07
124.65,67.71,16-16-29-894,63.39,-18.07
95.03,68.14,16-16-29-993,92.28,-17.59
73.30,69.07,16-16-30-118,63.32,-17.01
52.84,70.75,16-16-30-221,6.73,-16.99
41.48,72.40,16-16-30-324,2.27,-16.89
27.94,75.93,16-16-30-421,2.58,-12.86
20.04,79.82,16-16-30-534,3.79,-8.36
10.49,83.65,16-16-30-644,3.69,-4.56
10.49,84.94,16-16-30-756,1.61,-4.35
10.49,85.57,16-16-30-855,1.57,-3.71
3.57,85.30,16-16-30-955,0.44,-4.60
3.57,85.86,16-16-31-080,2.15,-3.18
10.85,85.27,16-16-31-195,0.10,-4.85
15.47,84.80,16-16-31-310,0.78,-5.77
9.18,83.15,16-16-31-405,4.21,-9.40
20.38,78.24,16-16-31-518,8.90,-16.75
52.92,74.24,16-16-31-624,23.70,-21.01
71.28,72.58,16-16-31-735,50.68,-18.33
83.46,71.40,16-16-31-844,70.52,-19.45
105.28,69.18,16-16-31-956,83.75,-20.17
124.60,69.19,16-16-32-055,46.97,-16.25
131.12,69.65,16-16-32-154,39.03,-14.82
135.61,69.84,16-16-32-256,31.77,-14.80
135.19,70.16,16-16-32-359,31.39,-14.36
134.67,70.27,16-16-32-447,32.14,-14.10
135.15,70.34,16-16-32-553,35.29,-12.94
126.49,69.27,16-16-32-658,45.86,-13.67
107.85,67.59,16-16-32-753,77.41,-15.87
97.14,67.04,16-16-32-856,90.31,-16.64
75.43,67.80,16-16-32-967,81.52,-17.10
52.79,69.12,16-16-33-088,13.43,-19.81
33.19,72.22,16-16-33-194,2.75,-18.45
20.15,75.09,16-16-33-313,5.21,-17.98
15.42,81.60,16-16-33-428,0.14,-8.46
15.22,85.04,16-16-33-548,1.78,-4.13
11.28,86.24,16-16-33-636,2.54,-2.52
5.81,86.58,16-16-33-743,2.61,-2.13
11.19,86.41,16-16-33-840,2.77,-2.26
11.68,86.41,16-16-33-942,2.54,-2.39
11.74,86.18,16-16-34-058,2.11,-2.85
13.46,85.71,16-16-34-157,1.14,-3.84
15.72,85.22,16-16-34-253,0.64,-4.53
16.47,83.58,16-16-34-356,3.57,-8.26
39.91,77.71,16-16-34-460,14.80,-16.69
69.80,75.08,16-16-34-572,62.06,-16.72
70.71,74.29,16-16-34-679,59.04,-16.00
81.86,72.41,16-16-34-797,92.06,-18.51
111.43,70.80,16-16-34-896,83.83,-15.60
126.79,70.98,16-16-35-004,50.76,-12.58
131.87,71.54,16-16-35-102,42.56,-10.98
133.40,71.90,16-16-35-211,41.71,-10.12
135.73,71.97,16-16-35-310,38.72,-9.68
130.57,71.54,16-16-35-405,43.45,-10.70
125.63,71.20,16-16-35-521,52.48,-11.54
116.14,69.16,16-16-35-626,69.72,-14.54
