18.61,79.87,19-36-27-570,6.09,-13.47
18.54,79.86,19-36-27-683,6.11,-13.48
18.50,79.87,19-36-27-774,6.08,-13.45
18.46,79.87,19-36-27-873,6.06,-13.44
18.40,79.87,19-36-27-973,6.06,-13.44
18.40,79.83,19-36-28-072,5.99,-13.44
18.25,79.88,19-36-28-200,5.83,-13.28
18.22,79.92,19-36-28-288,5.81,-13.24
18.22,79.92,19-36-28-392,5.81,-13.23
18.21,79.96,19-36-28-507,5.83,-13.19
18.24,79.98,19-36-28-609,5.83,-13.18
18.23,79.97,19-36-28-723,5.84,-13.19
18.26,79.98,19-36-28-820,5.85,-13.19
18.28,80.00,19-36-28-922,5.87,-13.18
18.28,80.00,19-36-29-024,5.89,-13.18
18.35,80.01,19-36-29-123,5.89,-13.17
18.43,80.01,19-36-29-226,5.89,-13.17
18.47,80.02,19-36-29-323,5.83,-13.13
18.50,80.02,19-36-29-426,5.90,-13.14
18.23,79.99,19-36-29-525,5.81,-13.16
20.75,80.15,19-36-29-621,5.63,-12.91
42.47,79.20,19-36-29-725,9.42,-13.64
61.62,77.90,19-36-29-821,23.80,-13.84
76.58,76.84,19-36-29-921,16.42,-10.10
95.35,77.56,19-36-30-018,45.65,-11.78
109.60,78.24,19-36-30-121,16.76,-12.17
139.11,80.72,19-36-30-217,6.08,-7.17
151.63,82.21,19-36-30-325,4.67,-5.59
159.56,82.54,19-36-30-418,3.49,-6.05
168.08,83.34,19-36-30-520,3.51,-5.11
163.90,84.19,19-36-30-621,5.33,-3.24
163.85,83.84,19-36-30-727,5.10,-3.77
158.26,83.93,19-36-30-837,5.43,-3.91
159.82,84.15,19-36-30-939,5.42,-3.48
163.43,83.32,19-36-31-039,5.41,-4.17
163.74,80.36,19-36-31-142,7.16,-6.62
162.55,76.11,19-36-31-239,3.77,-13.17
149.09,70.20,19-36-31-345,0.41,-20.96
106.64,70.32,19-36-31-437,25.05,-22.98
83.91,74.92,19-36-31-544,153.90,-6.72
56.30,77.10,19-36-31-641,28.46,-1.22
40.09,80.16,19-36-31-761,16.35,-2.18
19.38,81.88,19-36-31-854,10.50,-2.39
15.65,79.19,19-36-31-954,4.54,-8.08
17.24,79.06,19-36-32-052,3.64,-8.77
20.89,79.25,19-36-32-152,0.02,-10.50
23.08,79.48,19-36-32-254,3.03,-11.94
22.84,79.76,19-36-32-356,5.71,-13.09
22.96,80.33,19-36-32-453,7.00,-13.22
22.86,80.06,19-36-32-558,7.53,-13.74
23.76,79.58,19-36-32-657,8.05,-14.34
23.96,79.31,19-36-32-756,7.92,-14.52
22.18,79.17,19-36-32-855,7.55,-14.61
21.86,79.15,19-36-32-956,8.66,-15.28
25.04,78.66,19-36-33-050,9.69,-16.21
33.60,79.05,19-36-33-141,10.55,-15.52
52.39,78.85,19-36-33-254,18.64,-14.86
67.89,76.95,19-36-33-351,16.08,-13.35
