5.63,80.79,19-00-04-372,5.30,-11.98
4.84,80.72,19-00-04-485,5.69,-12.26
3.96,80.55,19-00-04-602,6.08,-12.64
3.50,80.50,19-00-04-719,6.59,-12.96
3.14,80.73,19-00-04-831,6.64,-12.74
3.26,80.70,19-00-04-961,6.79,-12.79
4.53,79.70,19-00-05-076,6.93,-13.85
5.15,79.84,19-00-05-196,7.34,-13.93
5.51,79.84,19-00-05-305,7.60,-14.07
6.24,79.42,19-00-05-447,8.50,-14.97
7.21,79.07,19-00-05-560,9.17,-15.68
7.59,78.77,19-00-05-667,9.57,-16.19
8.13,78.61,19-00-05-766,9.79,-16.47
8.74,78.81,19-00-05-867,9.94,-16.34
8.96,78.97,19-00-05-970,10.02,-16.23
9.08,78.87,19-00-06-083,10.13,-16.39
9.12,79.19,19-00-06-183,10.17,-16.10
9.23,79.35,19-00-06-291,10.19,-15.96
9.43,79.17,19-00-06-420,10.70,-16.44
9.43,76.28,19-00-06-521,15.72,-23.02
9.43,73.36,19-00-06-645,17.20,-27.35
24.00,68.03,19-00-06-738,10.83,-29.34
36.01,54.26,19-00-06-863,6.27,-43.54
47.93,42.84,19-00-06-971,1.07,-51.80
65.10,22.37,19-00-07-084,3.14,-73.77
78.84,9.78,19-00-07-218,0.82,-73.77
108.22,18.99,19-00-07-334,2.64,-73.77
116.63,25.37,19-00-07-455,1.63,-75.58
137.41,42.90,19-00-07-580,12.29,-43.09
145.94,58.67,19-00-07-707,19.30,-24.68
146.57,62.06,19-00-07-821,20.85,-21.28
144.96,63.12,19-00-07-950,18.42,-20.38
153.58,66.46,19-00-08-054,17.20,-16.63
152.47,70.96,19-00-08-166,21.02,-10.80
158.98,76.15,19-00-08-275,22.67,-3.00
160.54,77.64,19-00-08-381,22.43,-1.26
158.26,74.74,19-00-08-495,19.22,-6.58
156.93,71.70,19-00-08-606,14.35,-11.11
151.83,63.18,19-00-08-721,0.40,-27.54
148.93,59.24,19-00-08-819,2.12,-33.54
146.10,56.00,19-00-08-927,3.30,-38.22
142.92,52.49,19-00-09-018,4.41,-42.94
141.58,49.33,19-00-09-129,3.19,-45.86
135.11,43.20,19-00-09-236,8.64,-53.43
126.21,36.59,19-00-09-335,7.10,-58.79
119.11,28.46,19-00-09-434,3.96,-67.19
114.50,27.76,19-00-09-537,2.71,-67.55
102.70,8.74,19-00-09-632,3.51,-67.55
101.93,7.32,19-00-09-733,2.07,-67.55
95.47,7.32,19-00-09-834,1.15,-67.55
75.47,7.32,19-00-09-937,3.44,-67.55
57.14,22.37,19-00-10-032,0.74,-78.42
34.58,50.94,19-00-10-145,1.59,-41.23
25.73,62.36,19-00-10-234,4.54,-32.33
9.36,73.21,19-00-10-333,5.23,-20.38
13.11,78.06,19-00-10-430,6.24,-15.61
11.78,80.34,19-00-10-533,8.11,-14.11
11.53,82.01,19-00-10-636,5.39,-10.91
10.44,81.29,19-00-10-733,5.64,-11.76
6.29,78.79,19-00-10-834,10.16,-16.86
12.34,76.90,19-00-10-955,10.69,-19.04
14.90,75.32,19-00-11-048,11.53,-21.37
25.30,68.74,19-00-11-146,15.21,-30.54
28.70,59.80,19-00-11-235,13.04,-39.87
34.14,52.52,19-00-11-331,10.91,-45.59
46.07,43.98,19-00-11-418,7.97,-52.57
52.39,39.95,19-00-11-515,4.33,-54.09
53.43,39.53,19-00-11-616,2.50,-53.69
67.75,23.72,19-00-11-712,4.11,-74.16
75.29,10.05,19-00-11-814,1.54,-74.16
88.05,10.05,19-00-11-922,1.77,-74.16
117.37,21.03,19-00-12-027,10.16,-64.74
132.43,40.03,19-00-12-149,13.05,-47.74
141.19,56.37,19-00-12-257,24.85,-25.43
146.02,63.54,19-00-12-381,30.10,-15.34
148.40,69.48,19-00-12-484,28.90,-10.05
153.85,76.31,19-00-12-582,26.06,-2.40
156.47,78.72,19-00-12-681,23.77,-0.16
170.00,79.72,19-00-12-785,19.31,-0.57
171.65,80.00,19-00-12-889,18.26,-0.57
166.46,77.31,19-00-12-991,13.34,-5.68
167.98,75.49,19-00-13-121,12.36,-7.92
170.43,74.52,19-00-13-221,13.55,-8.29
167.09,73.11,19-00-13-324,14.86,-9.14
164.45,72.44,19-00-13-421,15.45,-9.71
