7.90,80.25,19-07-04-220,7.43,-13.82
7.90,80.23,19-07-04-321,7.54,-13.92
7.90,80.20,19-07-04-418,7.63,-14.00
7.91,80.18,19-07-04-516,7.70,-14.07
7.91,80.17,19-07-04-622,7.76,-14.11
8.13,80.25,19-07-04-734,7.76,-14.04
8.39,80.28,19-07-04-838,7.88,-14.08
8.78,80.31,19-07-04-936,7.95,-14.09
8.96,80.29,19-07-05-032,8.02,-14.15
8.92,80.29,19-07-05-134,8.03,-14.16
8.94,80.30,19-07-05-232,8.09,-14.19
8.88,80.32,19-07-05-361,8.11,-14.17
8.93,80.38,19-07-05-461,7.92,-14.01
9.05,80.46,19-07-05-583,7.61,-13.75
9.07,80.52,19-07-05-684,7.42,-13.58
9.05,80.60,19-07-05-784,7.28,-13.42
8.91,80.67,19-07-05-889,7.14,-13.27
9.87,80.78,19-07-05-986,5.69,-12.41
20.12,80.76,19-07-06-082,3.70,-11.06
32.33,81.25,19-07-06-182,1.38,-8.76
43.84,81.23,19-07-06-284,1.54,-7.28
56.53,82.65,19-07-06-383,1.47,-3.55
59.36,84.32,19-07-06-498,12.75,-0.00
66.81,86.66,19-07-06-603,148.57,-5.76
68.57,86.70,19-07-06-703,162.71,-5.97
69.43,86.35,19-07-06-800,171.27,-5.10
70.52,81.76,19-07-06-902,144.28,-7.07
69.31,72.27,19-07-07-003,104.48,-27.86
69.46,62.53,19-07-07-114,92.84,-49.02
69.67,56.42,19-07-07-217,88.26,-64.22
69.64,53.74,19-07-07-322,85.55,-70.59
69.17,52.50,19-07-07-416,81.93,-69.79
68.41,52.92,19-07-07-515,80.09,-65.72
67.92,53.11,19-07-07-620,79.32,-64.10
67.63,52.99,19-07-07-717,78.92,-64.33
67.54,52.54,19-07-07-830,78.66,-65.75
67.58,52.15,19-07-07-938,78.60,-67.36
67.50,52.97,19-07-08-054,78.98,-63.85
67.41,53.74,19-07-08-150,79.97,-63.54
67.34,54.07,19-07-08-254,80.57,-63.94
67.27,54.16,19-07-08-352,80.85,-64.63
66.94,56.89,19-07-08-456,82.26,-57.89
65.02,68.98,19-07-08-550,82.60,-28.71
65.04,87.13,19-07-08-651,123.79,-9.80
65.38,103.41,19-07-08-753,109.64,50.23
65.37,112.15,19-07-08-851,103.19,89.01
65.20,113.34,19-07-08-956,101.03,89.01
65.07,112.48,19-07-09-056,101.06,82.05
64.96,111.71,19-07-09-161,101.38,76.63
64.89,111.53,19-07-09-274,101.37,76.08
64.74,110.61,19-07-09-369,101.31,70.71
64.30,108.93,19-07-09-471,100.43,62.59
63.24,105.78,19-07-09-568,98.98,52.14
62.99,95.26,19-07-09-671,96.75,24.58
63.71,87.90,19-07-09-771,94.32,-7.98
64.25,83.17,19-07-09-866,85.80,-2.28
63.19,78.65,19-07-09-967,71.12,-12.01
62.68,77.02,19-07-10-068,69.33,-15.71
62.45,76.81,19-07-10-172,68.37,-16.31
62.56,74.67,19-07-10-273,71.86,-21.14
