38.17,80.14,19-09-06-034,4.58,-7.99
38.16,80.11,19-09-06-136,4.52,-8.04
38.15,80.09,19-09-06-247,4.49,-8.07
38.15,80.08,19-09-06-346,4.48,-8.09
38.13,80.06,19-09-06-450,4.44,-8.13
38.13,80.04,19-09-06-554,4.42,-8.15
37.68,80.18,19-09-06-679,4.34,-8.06
37.59,80.18,19-09-06-793,4.25,-8.10
37.57,80.16,19-09-06-929,4.16,-8.16
37.56,80.15,19-09-07-029,4.10,-8.20
37.55,80.15,19-09-07-130,4.05,-8.23
37.55,80.15,19-09-07-232,4.00,-8.25
37.55,80.14,19-09-07-332,3.96,-8.28
37.54,80.13,19-09-07-432,3.93,-8.30
37.53,80.13,19-09-07-532,3.89,-8.32
37.53,80.13,19-09-07-635,3.87,-8.33
37.52,80.13,19-09-07-735,3.85,-8.34
37.51,80.12,19-09-07-829,3.84,-8.35
37.51,80.12,19-09-07-932,3.82,-8.37
37.50,80.11,19-09-08-033,3.80,-8.38
37.50,80.11,19-09-08-136,3.78,-8.39
37.50,80.11,19-09-08-234,3.77,-8.40
37.50,80.10,19-09-08-327,3.75,-8.40
37.49,80.10,19-09-08-436,3.74,-8.41
37.44,79.86,19-09-08-533,3.05,-8.96
37.42,79.75,19-09-08-633,2.74,-9.21
37.53,79.51,19-09-08-751,2.11,-9.71
38.58,77.60,19-09-08-850,1.96,-13.33
44.29,68.61,19-09-08-973,11.63,-27.19
55.18,54.18,19-09-09-069,13.33,-44.11
69.72,42.29,19-09-09-183,8.43,-60.32
76.91,35.66,19-09-09-284,0.13,-64.81
82.36,37.96,19-09-09-385,0.92,-59.63
83.32,37.61,19-09-09-509,1.95,-58.43
83.64,37.92,19-09-09-618,1.82,-58.63
83.35,36.71,19-09-09-734,1.54,-59.31
83.02,36.36,19-09-09-837,1.75,-58.87
82.67,36.03,19-09-09-952,1.90,-58.92
82.46,35.92,19-09-10-053,1.90,-58.98
82.36,35.95,19-09-10-195,1.42,-59.33
82.22,35.46,19-09-10-308,1.05,-60.84
82.18,35.42,19-09-10-425,1.14,-60.95
82.19,35.73,19-09-10-542,1.46,-60.44
82.20,35.80,19-09-10-654,1.52,-60.45
82.16,35.75,19-09-10-749,1.46,-60.89
82.34,35.81,19-09-10-849,1.37,-59.62
82.46,36.19,19-09-10-987,1.28,-58.41
82.54,36.01,19-09-11-085,1.19,-58.83
84.62,36.33,19-09-11-199,3.91,-58.54
88.72,39.62,19-09-11-297,15.76,-52.64
93.23,46.80,19-09-11-401,37.79,-40.04
95.93,51.83,19-09-11-501,54.03,-32.79
101.17,60.04,19-09-11-601,82.11,-18.06
103.09,67.67,19-09-11-714,102.04,-3.74
102.29,73.75,19-09-11-815,118.78,-8.52
101.53,79.87,19-09-11-921,134.89,-21.79
101.15,82.59,19-09-12-018,141.33,-28.01
102.20,81.21,19-09-12-137,136.01,-24.87
103.41,79.65,19-09-12-235,130.48,-21.16
107.55,76.06,19-09-12-348,117.68,-13.26
108.52,72.46,19-09-12-465,106.99,-5.79
108.42,67.38,19-09-12-570,93.16,-4.18
105.93,53.61,19-09-12-682,59.41,-29.91
100.27,45.04,19-09-12-784,36.96,-46.90
95.43,34.87,19-09-12-886,17.97,-62.65
86.81,36.00,19-09-13-000,1.68,-59.09
84.00,34.76,19-09-13-103,2.65,-59.62
83.23,35.24,19-09-13-218,3.27,-58.73
83.04,32.80,19-09-13-325,2.77,-61.76
83.23,31.08,19-09-13-440,2.04,-64.16
83.51,31.07,19-09-13-533,1.51,-64.71
84.76,31.81,19-09-13-636,1.35,-63.76
87.11,34.77,19-09-13-750,7.20,-59.19
90.65,35.81,19-09-13-851,16.20,-57.01
94.86,42.87,19-09-13-972,30.77,-45.47
100.49,49.75,19-09-14-069,51.43,-32.20
102.90,56.63,19-09-14-181,68.88,-20.81
105.49,68.14,19-09-14-287,98.76,-0.00
105.97,75.92,19-09-14-383,118.04,-15.26
106.53,85.54,19-09-14-512,137.06,-37.17
105.59,86.30,19-09-14-616,139.05,-38.03
105.24,83.56,19-09-14-731,133.07,-30.83
107.49,79.20,19-09-14-833,120.24,-20.91
110.61,77.93,19-09-14-943,113.60,-18.41
109.23,60.41,19-09-15-051,70.57,-16.98
107.92,55.34,19-09-15-149,59.44,-26.52
104.33,48.59,19-09-15-254,45.70,-39.16
99.26,41.76,19-09-15-346,31.17,-52.81
92.37,37.03,19-09-15-450,16.26,-62.50
85.93,33.30,19-09-15-574,2.69,-68.98
83.51,34.15,19-09-15-684,1.76,-65.51
83.03,31.26,19-09-15-800,1.86,-71.32
83.16,31.46,19-09-15-897,0.96,-69.35
83.91,30.49,19-09-16-005,1.30,-71.13
85.42,29.89,19-09-16-108,4.98,-72.75
92.01,35.27,19-09-16-213,20.92,-60.33
