elev,shp,rie,elb,time,date
19.91,1.12,666.0,20.25,45275.778,2023-10-03
19.89,1.1,666.0,20.2,45275.807,2023-10-03
19.84,1.11,666.0,20.11,45275.83,2023-10-03
19.82,1.11,666.0,20.06,45275.865,2023-10-03
19.8,1.12,666.0,20.01,45275.898,2023-10-03
19.79,1.15,666.0,19.98,45275.93,2023-10-03
19.79,1.08,666.0,19.95,45275.963,2023-10-03
19.81,0.99,666.0,19.94,45275.996,2023-10-03
19.81,0.96,666.0,19.91,45276.03,2023-10-03
19.81,0.95,666.0,19.9,45276.064,2023-10-03
19.79,0.95,666.0,19.87,45276.106,2023-10-03
19.91,0.71,666.0,19.92,45276.133,2023-10-03
19.51,1.14,666.0,19.51,45276.163,2023-10-03
19.21,1.42,666.0,19.17,45276.198,2023-10-03
18.96,1.72,666.0,18.91,45276.228,2023-10-03
18.88,1.84,666.0,18.81,45276.265,2023-10-03
18.88,1.92,666.0,18.78,45276.301,2023-10-03
18.32,2.67,666.0,18.22,45276.331,2023-10-03
17.57,3.74,666.0,17.46,45276.366,2023-10-03
17.43,3.97,666.0,17.31,45276.398,2023-10-03
17.41,4.05,666.0,17.25,45276.43,2023-10-03
17.6,3.75,666.0,17.44,45276.462,2023-10-03
17.83,3.43,666.0,17.69,45276.501,2023-10-03
18.07,3.1,666.0,17.94,45276.529,2023-10-03
18.31,2.72,666.0,18.27,45276.569,2023-10-03
17.36,4.64,666.0,17.28,45276.599,2023-10-03
15.32,30.6,666.0,10.3,45276.628,2023-10-03
18.71,12.88,666.0,16.74,45276.66,2023-10-03
17.25,12.85,666.0,15.51,45276.7,2023-10-03
16.73,12.08,666.0,14.95,45276.729,2023-10-03
16.65,10.48,666.0,14.77,45276.762,2023-10-03
16.67,8.78,666.0,14.21,45276.798,2023-10-03
16.51,7.8,666.0,12.67,45276.834,2023-10-03
16.57,6.27,666.0,9.4,45276.872,2023-10-03
17.11,3.76,666.0,7.07,45276.899,2023-10-03
18.31,-0.41,666.0,4.04,45276.929,2023-10-03
19.74,-3.75,666.0,0.8,45276.963,2023-10-03
23.21,-8.87,666.0,4.58,45276.998,2023-10-03
26.14,-11.27,666.0,7.35,45277.026,2023-10-03
28.89,-12.72,666.0,2.96,45277.063,2023-10-03
32.81,-14.15,666.0,3.5,45277.098,2023-10-03
36.43,-14.82,666.0,4.62,45277.129,2023-10-03
40.25,-14.71,666.0,3.6,45277.174,2023-10-03
46.73,-14.09,666.0,4.58,45277.201,2023-10-03
50.49,-12.44,666.0,3.66,45277.228,2023-10-03
58.8,-11.56,666.0,4.61,45277.261,2023-10-03
61.9,-8.7,666.0,0.62,45277.298,2023-10-03
70.16,-7.49,666.0,4.38,45277.331,2023-10-03
75.24,-6.82,666.0,1.97,45277.364,2023-10-03
83.0,-5.18,666.0,4.05,45277.398,2023-10-03
91.42,-4.22,666.0,9.56,45277.432,2023-10-03
99.04,-3.54,666.0,10.73,45277.46,2023-10-03
104.7,-2.2,666.0,9.01,45277.496,2023-10-03
109.24,-0.87,666.0,4.88,45277.527,2023-10-03
119.98,1.8,666.0,13.77,45277.563,2023-10-03
125.37,3.23,666.0,14.13,45277.596,2023-10-03
126.72,2.76,666.0,11.02,45277.634,2023-10-03
127.69,2.58,666.0,6.24,45277.661,2023-10-03
129.78,3.33,666.0,0.19,45277.703,2023-10-03
132.04,4.36,666.0,6.16,45277.732,2023-10-03
137.53,6.0,666.0,3.56,45277.763,2023-10-03
141.03,7.28,666.0,5.75,45277.798,2023-10-03
143.84,8.05,666.0,8.03,45277.833,2023-10-03
148.69,9.89,666.0,4.92,45277.863,2023-10-03
151.3,10.85,666.0,4.72,45277.9,2023-10-03
154.01,11.87,666.0,6.46,45277.935,2023-10-03
155.74,13.47,666.0,8.38,45277.962,2023-10-03
157.32,15.12,666.0,8.56,45277.998,2023-10-03
158.76,16.68,666.0,9.96,45278.034,2023-10-03
160.46,17.76,666.0,10.93,45278.061,2023-10-03
