y,shp,rie,elb,x,date,images
36.34,79.6,-12.92,2.38,45277.534,2023-10-03,10-03-2023-12-34-37-534.jpg
37.97,76.25,-20.03,9.15,45277.637,2023-10-03,10-03-2023-12-34-37-637.jpg
41.17,72.02,-27.06,12.94,45277.746,2023-10-03,10-03-2023-12-34-37-746.jpg
53.47,61.03,-40.78,11.82,45277.859,2023-10-03,10-03-2023-12-34-37-859.jpg
64.16,51.92,-46.8,5.92,45277.951,2023-10-03,10-03-2023-12-34-37-951.jpg
82.21,43.31,-60.71,3.06,45278.051,2023-10-03,10-03-2023-12-34-38-051.jpg
82.58,42.55,-61.18,1.83,45278.152,2023-10-03,10-03-2023-12-34-38-152.jpg
87.17,41.62,-62.26,5.46,45278.264,2023-10-03,10-03-2023-12-34-38-264.jpg
102.68,44.19,-52.41,5.93,45278.359,2023-10-03,10-03-2023-12-34-38-359.jpg
119.99,49.56,-39.0,10.2,45278.475,2023-10-03,10-03-2023-12-34-38-475.jpg
130.17,67.12,-19.89,14.01,45278.571,2023-10-03,10-03-2023-12-34-38-571.jpg
136.36,75.3,-9.58,17.73,45278.678,2023-10-03,10-03-2023-12-34-38-678.jpg
137.64,79.69,-5.43,14.47,45278.786,2023-10-03,10-03-2023-12-34-38-786.jpg
139.11,80.14,-5.29,12.65,45278.888,2023-10-03,10-03-2023-12-34-38-888.jpg
137.48,75.86,-11.87,9.72,45278.984,2023-10-03,10-03-2023-12-34-38-984.jpg
132.31,68.25,-23.7,1.47,45279.092,2023-10-03,10-03-2023-12-34-39-092.jpg
123.03,56.73,-38.23,0.09,45279.2,2023-10-03,10-03-2023-12-34-39-200.jpg
112.87,50.5,-42.0,1.4,45279.303,2023-10-03,10-03-2023-12-34-39-303.jpg
95.81,43.28,-51.34,6.1,45279.405,2023-10-03,10-03-2023-12-34-39-405.jpg
78.67,42.48,-55.94,8.77,45279.514,2023-10-03,10-03-2023-12-34-39-514.jpg
78.33,42.67,-56.68,10.14,45279.615,2023-10-03,10-03-2023-12-34-39-615.jpg
78.71,42.7,-57.0,9.84,45279.718,2023-10-03,10-03-2023-12-34-39-718.jpg
57.78,50.11,-46.72,3.09,45279.818,2023-10-03,10-03-2023-12-34-39-818.jpg
47.56,64.22,-32.21,5.86,45279.922,2023-10-03,10-03-2023-12-34-39-922.jpg
41.63,73.05,-24.07,10.59,45280.019,2023-10-03,10-03-2023-12-34-40-019.jpg
39.14,78.22,-17.39,8.62,45280.143,2023-10-03,10-03-2023-12-34-40-143.jpg
38.04,78.96,-16.36,7.88,45280.243,2023-10-03,10-03-2023-12-34-40-243.jpg
38.01,79.35,-15.77,7.46,45280.337,2023-10-03,10-03-2023-12-34-40-337.jpg
38.09,79.4,-15.16,6.4,45280.459,2023-10-03,10-03-2023-12-34-40-459.jpg
44.14,76.59,-19.8,10.64,45280.549,2023-10-03,10-03-2023-12-34-40-549.jpg
47.94,71.68,-27.35,13.56,45280.656,2023-10-03,10-03-2023-12-34-40-656.jpg
49.91,63.47,-36.25,10.96,45280.752,2023-10-03,10-03-2023-12-34-40-752.jpg
61.44,54.16,-47.0,13.08,45280.856,2023-10-03,10-03-2023-12-34-40-856.jpg
73.39,46.62,-54.61,8.62,45280.95,2023-10-03,10-03-2023-12-34-40-950.jpg
83.9,40.84,-62.83,2.82,45281.05,2023-10-03,10-03-2023-12-34-41-050.jpg
93.05,39.92,-62.44,2.42,45281.155,2023-10-03,10-03-2023-12-34-41-155.jpg
101.23,44.08,-54.56,0.88,45281.251,2023-10-03,10-03-2023-12-34-41-251.jpg
117.14,46.45,-49.98,7.62,45281.36,2023-10-03,10-03-2023-12-34-41-360.jpg
126.06,56.36,-35.02,7.8,45281.457,2023-10-03,10-03-2023-12-34-41-457.jpg
134.57,70.28,-16.43,15.88,45281.57,2023-10-03,10-03-2023-12-34-41-570.jpg
138.2,75.06,-11.22,15.01,45281.669,2023-10-03,10-03-2023-12-34-41-669.jpg
139.54,76.81,-9.78,12.42,45281.769,2023-10-03,10-03-2023-12-34-41-769.jpg
140.38,81.36,-4.24,12.21,45281.874,2023-10-03,10-03-2023-12-34-41-874.jpg
140.48,82.39,-2.08,13.63,45281.969,2023-10-03,10-03-2023-12-34-41-969.jpg
138.28,76.52,-10.97,9.44,45282.086,2023-10-03,10-03-2023-12-34-42-086.jpg
137.88,74.97,-12.74,9.78,45282.184,2023-10-03,10-03-2023-12-34-42-184.jpg
133.37,67.67,-21.58,7.76,45282.283,2023-10-03,10-03-2023-12-34-42-283.jpg
128.63,56.76,-35.31,3.06,45282.396,2023-10-03,10-03-2023-12-34-42-396.jpg
100.98,44.2,-50.71,11.54,45282.498,2023-10-03,10-03-2023-12-34-42-498.jpg
98.74,44.17,-47.42,14.02,45282.585,2023-10-03,10-03-2023-12-34-42-585.jpg
89.03,40.53,-59.82,7.99,45282.684,2023-10-03,10-03-2023-12-34-42-684.jpg
75.12,43.85,-55.96,11.81,45282.795,2023-10-03,10-03-2023-12-34-42-795.jpg
57.66,51.99,-39.51,0.39,45282.91,2023-10-03,10-03-2023-12-34-42-910.jpg
48.87,61.12,-34.51,3.87,45283.022,2023-10-03,10-03-2023-12-34-43-022.jpg
46.98,68.43,-31.03,12.5,45283.122,2023-10-03,10-03-2023-12-34-43-122.jpg
41.69,74.97,-22.59,12.19,45283.234,2023-10-03,10-03-2023-12-34-43-234.jpg
40.56,77.98,-19.67,12.36,45283.334,2023-10-03,10-03-2023-12-34-43-334.jpg
39.65,79.16,-17.4,10.61,45283.434,2023-10-03,10-03-2023-12-34-43-434.jpg
37.22,79.81,-15.93,8.93,45283.532,2023-10-03,10-03-2023-12-34-43-532.jpg
36.66,81.09,-13.52,7.12,45283.64,2023-10-03,10-03-2023-12-34-43-640.jpg
36.81,81.27,-13.06,6.72,45283.757,2023-10-03,10-03-2023-12-34-43-757.jpg
36.9,80.88,-13.99,7.77,45283.873,2023-10-03,10-03-2023-12-34-43-873.jpg
38.62,78.8,-17.63,10.36,45283.983,2023-10-03,10-03-2023-12-34-43-983.jpg
38.78,77.95,-19.04,11.1,45284.089,2023-10-03,10-03-2023-12-34-44-089.jpg
41.35,73.15,-27.93,17.09,45284.203,2023-10-03,10-03-2023-12-34-44-203.jpg
54.15,55.88,-47.66,13.57,45284.306,2023-10-03,10-03-2023-12-34-44-306.jpg
76.43,43.21,-60.65,6.55,45284.403,2023-10-03,10-03-2023-12-34-44-403.jpg
92.77,38.75,-63.57,4.56,45284.507,2023-10-03,10-03-2023-12-34-44-507.jpg
105.51,44.72,-49.37,5.77,45284.604,2023-10-03,10-03-2023-12-34-44-604.jpg
105.54,46.12,-46.87,6.39,45284.722,2023-10-03,10-03-2023-12-34-44-722.jpg
120.53,49.15,-39.73,14.25,45284.823,2023-10-03,10-03-2023-12-34-44-823.jpg
128.21,60.9,-25.75,16.26,45284.936,2023-10-03,10-03-2023-12-34-44-936.jpg
133.53,70.77,-15.35,17.01,45285.048,2023-10-03,10-03-2023-12-34-45-048.jpg
135.71,74.36,-14.16,10.04,45285.151,2023-10-03,10-03-2023-12-34-45-151.jpg
136.84,78.99,-7.5,12.78,45285.256,2023-10-03,10-03-2023-12-34-45-256.jpg
137.01,81.57,-4.85,11.2,45285.376,2023-10-03,10-03-2023-12-34-45-376.jpg
137.2,78.5,-8.8,10.83,45285.468,2023-10-03,10-03-2023-12-34-45-468.jpg
137.4,78.06,-8.71,12.16,45285.567,2023-10-03,10-03-2023-12-34-45-567.jpg
136.63,75.95,-12.99,8.42,45285.674,2023-10-03,10-03-2023-12-34-45-674.jpg
131.63,67.99,-24.15,2.46,45285.792,2023-10-03,10-03-2023-12-34-45-792.jpg
