39.69,81.42,12-51-24-630,6.96,-6.30
39.68,81.37,12-51-24-737,6.88,-6.39
39.69,81.28,12-51-24-852,6.83,-6.51
39.70,81.24,12-51-24-973,6.75,-6.59
39.72,81.24,12-51-25-081,6.63,-6.65
39.78,81.24,12-51-25-181,6.55,-6.68
39.79,81.28,12-51-25-289,6.50,-6.67
39.81,81.30,12-51-25-391,6.46,-6.66
39.81,81.34,12-51-25-501,6.44,-6.63
39.82,81.37,12-51-25-598,6.42,-6.60
39.82,81.40,12-51-25-699,6.41,-6.58
39.83,81.41,12-51-25-834,6.39,-6.58
39.85,81.42,12-51-25-932,6.39,-6.57
39.86,81.44,12-51-26-038,6.38,-6.55
39.86,81.45,12-51-26-141,6.37,-6.55
39.87,81.46,12-51-26-239,6.38,-6.54
39.87,81.46,12-51-26-332,6.37,-6.54
39.86,81.47,12-51-26-437,6.36,-6.53
39.86,81.48,12-51-26-551,6.35,-6.53
39.86,81.48,12-51-26-655,6.34,-6.53
39.85,81.48,12-51-26-768,6.32,-6.54
39.85,81.48,12-51-26-873,6.29,-6.55
39.82,81.49,12-51-26-985,6.26,-6.55
39.75,81.50,12-51-27-087,6.21,-6.55
39.69,81.51,12-51-27-185,6.12,-6.57
39.57,81.51,12-51-27-306,6.04,-6.59
39.64,81.56,12-51-27-401,6.04,-6.57
40.58,81.43,12-51-27-499,4.82,-7.31
43.80,81.27,12-51-27-604,1.88,-8.61
48.01,81.27,12-51-27-706,1.47,-9.67
54.28,81.36,12-51-27-830,7.21,-10.75
56.38,82.66,12-51-27-954,13.50,-10.65
60.10,83.08,12-51-28-051,21.40,-10.48
61.56,83.34,12-51-28-152,24.68,-9.94
60.54,83.32,12-51-28-254,22.12,-10.04
59.54,82.58,12-51-28-353,23.30,-11.85
58.96,80.74,12-51-28-463,31.51,-16.59
58.82,80.07,12-51-28-569,34.42,-18.35
58.71,79.40,12-51-28-669,37.52,-20.23
58.52,75.29,12-51-28-769,47.56,-29.00
58.35,72.25,12-51-28-896,52.94,-35.91
