9.86,80.04,16-25-21-858,0.32,-10.66
9.86,79.75,16-25-21-966,0.22,-11.09
9.86,79.54,16-25-22-061,0.10,-11.39
9.86,79.58,16-25-22-164,0.20,-11.30
9.86,79.59,16-25-22-262,0.32,-11.24
9.86,79.62,16-25-22-364,0.41,-11.16
9.86,79.61,16-25-22-461,0.35,-11.21
9.86,79.56,16-25-22-566,0.27,-11.32
9.86,79.52,16-25-22-661,0.23,-11.39
9.86,79.49,16-25-22-761,0.18,-11.45
9.86,79.49,16-25-22-863,0.21,-11.44
9.86,79.50,16-25-22-962,0.27,-11.41
9.86,79.52,16-25-23-061,0.30,-11.39
9.86,79.56,16-25-23-166,0.38,-11.30
9.86,79.58,16-25-23-285,0.44,-11.24
9.86,79.61,16-25-23-398,0.49,-11.19
9.86,79.63,16-25-23-516,0.45,-11.20
9.86,79.64,16-25-23-624,0.43,-11.20
9.86,79.65,16-25-23-728,0.35,-11.25
9.86,79.64,16-25-23-830,0.25,-11.28
9.86,79.64,16-25-23-928,0.21,-11.31
9.86,79.66,16-25-24-031,0.19,-11.30
9.86,79.34,16-25-24-133,0.06,-11.82
9.86,77.76,16-25-24-233,2.86,-15.40
26.98,76.34,16-25-24-332,4.50,-17.42
41.53,75.36,16-25-24-451,5.97,-18.55
60.54,73.75,16-25-24-550,16.10,-18.49
77.56,72.88,16-25-24-663,57.59,-12.10
89.11,73.23,16-25-24-761,83.81,-11.31
100.16,74.53,16-25-24-864,51.29,-6.99
108.96,76.61,16-25-24-969,29.95,-10.81
115.08,76.76,16-25-25-082,14.91,-11.80
147.26,76.28,16-25-25-186,5.62,-13.81
160.07,77.81,16-25-25-294,3.26,-12.25
178.91,80.11,16-25-25-394,6.47,-7.24
178.91,81.56,16-25-25-496,8.81,-4.02
178.91,82.00,16-25-25-605,9.06,-3.27
178.91,82.03,16-25-25-701,8.57,-3.56
178.91,82.08,16-25-25-796,8.97,-3.33
178.91,81.64,16-25-25-900,8.76,-4.00
178.91,81.17,16-25-26-000,8.88,-4.45
160.75,79.45,16-25-26-115,12.48,-4.90
152.95,77.09,16-25-26-214,18.38,-4.43
130.17,72.95,16-25-26-316,18.03,-14.03
111.55,70.48,16-25-26-418,49.29,-22.21
101.47,69.78,16-25-26-511,68.69,-24.10
