0.00,80.42,16-33-20-249,0.56,-10.87
0.00,80.21,16-33-20-342,0.77,-11.24
0.00,80.17,16-33-20-446,0.98,-11.41
0.00,80.21,16-33-20-562,1.20,-11.49
0.00,80.27,16-33-20-666,1.24,-11.46
0.00,80.31,16-33-20-779,1.31,-11.46
0.00,80.29,16-33-20-879,1.54,-11.63
0.00,80.33,16-33-20-976,1.78,-11.75
0.00,80.36,16-33-21-074,2.01,-11.88
0.00,80.38,16-33-21-178,2.15,-11.95
0.00,80.42,16-33-21-290,2.40,-12.08
0.00,80.54,16-33-21-401,2.45,-11.97
0.00,80.81,16-33-21-497,2.39,-11.63
0.00,80.90,16-33-21-594,2.31,-11.48
0.00,81.01,16-33-21-700,2.26,-11.33
0.00,81.02,16-33-21-796,2.16,-11.27
0.00,81.05,16-33-21-900,2.01,-11.16
0.00,81.11,16-33-22-004,1.85,-11.00
0.00,81.13,16-33-22-117,1.67,-10.86
0.00,81.16,16-33-22-222,1.57,-10.77
0.00,81.18,16-33-22-328,1.54,-10.73
0.00,81.20,16-33-22-429,1.53,-10.71
0.00,81.22,16-33-22-526,1.52,-10.67
0.00,81.24,16-33-22-632,1.49,-10.63
0.00,81.09,16-33-22-731,1.62,-10.86
0.00,81.08,16-33-22-826,1.72,-10.88
0.00,81.28,16-33-22-923,1.25,-10.30
0.00,81.45,16-33-23-027,0.77,-9.77
0.00,81.23,16-33-23-141,0.81,-9.95
0.00,81.28,16-33-23-245,1.09,-9.74
36.50,80.78,16-33-23-347,6.69,-10.76
48.11,81.02,16-33-23-444,14.46,-10.55
54.78,81.71,16-33-23-545,25.48,-8.59
58.18,81.76,16-33-23-650,49.29,-7.86
60.63,82.21,16-33-23-763,82.50,-6.64
61.43,82.44,16-33-23-867,94.56,-5.96
60.93,82.50,16-33-23-962,84.22,-5.78
60.15,82.09,16-33-24-062,71.29,-5.98
58.89,80.20,16-33-24-165,64.00,-10.60
58.31,76.09,16-33-24-282,71.64,-21.20
58.03,73.45,16-33-24-382,76.32,-29.33
57.71,68.41,16-33-24-498,81.58,-44.74
57.30,63.96,16-33-24-599,82.71,-60.71
57.28,60.67,16-33-24-716,83.40,-78.46
57.13,58.48,16-33-24-816,82.36,-78.46
56.99,57.91,16-33-24-927,81.63,-78.46
56.95,57.79,16-33-25-036,81.35,-78.46
56.85,56.00,16-33-25-147,79.96,-78.46
56.82,54.16,16-33-25-246,79.11,-78.46
56.91,53.54,16-33-25-358,78.65,-78.46
56.95,53.51,16-33-25-464,78.53,-78.46
56.89,54.19,16-33-25-561,78.41,-78.46
56.88,55.11,16-33-25-663,78.53,-78.46
56.91,55.91,16-33-25-763,79.69,-78.46
57.20,61.52,16-33-25-880,82.50,-62.89
58.10,69.62,16-33-25-997,87.08,-39.60
59.38,76.74,16-33-26-096,94.86,-20.70
60.79,81.36,16-33-26-196,101.97,-9.23
61.57,86.69,16-33-26-292,151.02,-3.27
63.64,89.52,16-33-26-395,138.06,-11.51
63.93,93.55,16-33-26-501,124.85,22.69
63.82,95.95,16-33-26-613,120.73,30.83
63.68,96.47,16-33-26-713,120.16,33.10
63.57,96.59,16-33-26-816,120.10,33.86
63.88,100.55,16-33-26-911,116.63,46.30
62.83,103.04,16-33-27-010,112.49,57.45
61.68,103.74,16-33-27-122,109.42,61.69
60.66,103.78,16-33-27-216,107.41,63.03
60.14,103.05,16-33-27-316,106.43,60.13
59.81,103.00,16-33-27-417,105.64,60.17
59.41,102.92,16-33-27-511,104.79,60.11
59.32,102.08,16-33-27-611,104.63,56.25
59.26,101.44,16-33-27-717,104.50,53.54
59.16,98.75,16-33-27-815,104.46,44.05
60.94,94.38,16-33-27-917,111.73,30.07
61.46,90.33,16-33-28-019,120.10,18.15
61.27,87.97,16-33-28-141,128.66,-9.14
61.03,83.21,16-33-28-245,145.91,-1.53
60.95,78.58,16-33-28-348,103.07,-13.53
60.78,74.78,16-33-28-447,98.07,-25.57
60.58,70.12,16-33-28-546,96.31,-40.51
60.70,69.69,16-33-28-643,97.39,-43.03
60.05,64.11,16-33-28-752,93.46,-62.64
59.24,60.98,16-33-28-854,90.93,-86.27
58.55,57.91,16-33-28-966,87.84,-86.27
58.22,56.63,16-33-29-063,85.90,-86.27
58.09,55.74,16-33-29-170,84.23,-86.27
58.02,55.65,16-33-29-276,83.44,-86.27
57.82,55.68,16-33-29-381,82.80,-86.27
57.76,56.41,16-33-29-481,82.72,-86.27
57.72,57.78,16-33-29-580,82.74,-86.27
57.54,58.94,16-33-29-686,83.68,-86.27
57.37,61.18,16-33-29-776,84.36,-73.23
58.28,68.92,16-33-29-881,88.53,-45.12
59.38,77.59,16-33-29-997,96.73,-21.24
63.11,82.58,16-33-30-101,132.31,-8.25
61.46,88.46,16-33-30-212,142.00,-5.21
63.49,92.64,16-33-30-311,129.64,15.17
64.03,93.09,16-33-30-413,131.80,16.26
64.17,93.20,16-33-30-510,132.84,16.52
64.43,99.32,16-33-30-617,117.36,32.22
63.10,104.76,16-33-30-732,108.69,49.51
61.32,107.01,16-33-30-837,103.46,59.02
60.45,107.71,16-33-30-948,101.21,62.69
60.17,108.35,16-33-31-045,100.63,66.61
59.58,107.84,16-33-31-149,99.58,64.40
59.36,107.89,16-33-31-246,99.19,65.27
59.32,108.28,16-33-31-347,99.22,68.06
59.30,108.06,16-33-31-450,99.42,67.99
59.24,107.26,16-33-31-562,99.56,64.97
59.02,106.38,16-33-31-662,99.73,61.37
58.99,105.95,16-33-31-762,100.10,59.88
59.98,102.85,16-33-31-863,103.26,48.15
61.01,97.65,16-33-31-961,109.27,32.04
61.33,94.18,16-33-32-061,115.09,21.47
60.48,90.08,16-33-32-171,118.11,10.42
60.15,87.38,16-33-32-280,124.23,-4.35
60.11,86.89,16-33-32-380,121.28,-3.42
59.55,81.84,16-33-32-501,86.45,-7.55
59.26,75.86,16-33-32-597,88.64,-24.73
59.12,67.83,16-33-32-724,90.14,-49.76
59.16,62.52,16-33-32-832,90.64,-74.48
58.98,59.42,16-33-32-947,88.81,-74.48
