21.72,80.01,15-35-01-256,9.02,-14.87
21.42,80.03,15-35-01-376,8.95,-14.84
21.39,80.03,15-35-01-472,8.94,-14.83
21.34,80.05,15-35-01-591,8.90,-14.80
21.38,80.06,15-35-01-700,8.91,-14.78
21.54,80.06,15-35-01-841,8.94,-14.78
21.58,80.07,15-35-01-943,8.94,-14.76
21.58,80.09,15-35-02-063,8.93,-14.74
21.57,80.09,15-35-02-158,8.91,-14.73
21.56,80.09,15-35-02-275,8.89,-14.71
21.55,80.11,15-35-02-378,8.88,-14.70
21.52,80.14,15-35-02-497,8.87,-14.66
21.49,80.16,15-35-02-593,8.85,-14.63
21.52,80.18,15-35-02-705,8.84,-14.60
21.56,80.16,15-35-02-807,8.82,-14.61
21.60,80.15,15-35-02-908,8.82,-14.62
21.64,80.14,15-35-03-006,8.83,-14.62
21.65,80.13,15-35-03-110,8.82,-14.63
20.92,79.81,15-35-03-213,9.11,-15.19
31.80,73.08,15-35-03-341,15.47,-24.97
48.46,54.60,15-35-03-451,20.19,-49.44
72.57,29.18,15-35-03-563,12.87,-82.71
91.96,20.52,15-35-03-676,4.45,-80.46
104.16,15.13,15-35-03-781,3.25,-83.98
119.23,30.09,15-35-03-898,1.46,-60.25
129.90,38.73,15-35-04-015,10.00,-44.67
133.50,41.23,15-35-04-141,7.74,-45.92
140.15,51.57,15-35-04-242,6.26,-38.57
147.51,59.09,15-35-04-363,2.24,-31.49
155.23,66.03,15-35-04-479,3.59,-22.92
157.35,70.81,15-35-04-593,4.54,-17.25
163.82,73.15,15-35-04-687,4.27,-15.09
159.83,73.84,15-35-04-794,5.15,-14.48
160.60,73.26,15-35-04-891,5.50,-14.75
161.49,73.34,15-35-04-990,6.00,-14.65
163.63,71.93,15-35-05-117,4.90,-16.79
158.44,65.70,15-35-05-223,0.16,-26.91
155.77,53.20,15-35-05-345,0.62,-43.24
138.94,46.41,15-35-05-440,1.57,-48.39
130.20,38.52,15-35-05-564,0.10,-58.90
113.72,35.61,15-35-05-686,1.93,-62.80
100.88,16.04,15-35-05-798,2.24,-62.80
86.17,7.55,15-35-05-910,4.17,-62.80
72.92,22.00,15-35-06-010,0.74,-75.96
64.04,30.10,15-35-06-122,1.28,-65.32
48.92,40.61,15-35-06-231,0.76,-52.34
40.14,55.16,15-35-06-327,1.52,-35.63
34.57,69.11,15-35-06-445,2.04,-21.75
25.18,75.42,15-35-06-544,3.23,-16.45
22.77,80.79,15-35-06-659,1.62,-10.39
18.90,83.19,15-35-06-764,1.19,-7.77
21.41,84.05,15-35-06-871,1.04,-6.83
16.14,83.89,15-35-06-984,0.80,-6.95
22.08,79.44,15-35-07-106,5.26,-13.79
31.21,72.22,15-35-07-215,5.17,-21.86
48.00,51.02,15-35-07-333,7.98,-46.92
60.72,37.81,15-35-07-429,4.55,-66.77
76.10,23.08,15-35-07-548,0.94,-84.96
92.42,7.79,15-35-07-643,0.40,-84.96
103.28,11.68,15-35-07-754,1.38,-84.96
117.61,28.35,15-35-07-855,5.09,-62.92
122.35,32.02,15-35-07-964,3.30,-58.42
132.53,40.26,15-35-08-075,7.16,-54.30
138.87,50.25,15-35-08-184,8.48,-40.57
144.00,55.01,15-35-08-281,8.93,-36.18
