97.01,19.71,16-36-29-300,6.73,-56.20
96.59,23.15,16-36-29-388,6.39,-56.20
95.93,33.68,16-36-29-487,7.15,-69.06
95.26,40.31,16-36-29-593,6.38,-65.26
95.03,49.50,16-36-29-709,6.46,-53.80
95.01,56.84,16-36-29-800,7.18,-43.41
95.39,68.32,16-36-29-889,14.10,-26.73
95.40,75.95,16-36-30-003,47.75,-17.11
95.15,76.51,16-36-30-103,59.89,-17.13
94.75,83.00,16-36-30-210,150.03,-14.67
93.79,88.54,16-36-30-311,174.63,-3.35
94.36,93.69,16-36-30-417,166.99,8.59
95.14,98.10,16-36-30-502,153.88,15.19
95.50,100.05,16-36-30-606,145.60,18.96
94.68,102.25,16-36-30-710,135.98,24.85
94.07,101.54,16-36-30-803,135.37,23.44
94.20,100.19,16-36-30-904,138.94,19.98
94.87,95.91,16-36-31-003,156.82,11.36
95.43,92.91,16-36-31-104,166.39,3.41
95.49,85.10,16-36-31-221,162.33,-12.76
96.01,77.13,16-36-31-319,91.11,-22.54
96.65,64.15,16-36-31-417,20.87,-36.37
96.52,56.75,16-36-31-529,15.95,-45.94
96.04,48.87,16-36-31-639,14.57,-55.84
95.81,43.46,16-36-31-741,13.40,-61.47
95.76,35.04,16-36-31-846,11.72,-76.78
95.72,30.69,16-36-31-944,10.45,-76.78
95.71,26.01,16-36-32-054,9.60,-76.78
95.73,20.30,16-36-32-173,8.56,-76.78
95.79,20.41,16-36-32-274,8.06,-76.78
95.56,13.18,16-36-32-390,8.21,-76.78
95.12,11.41,16-36-32-487,8.19,-76.78
94.92,11.72,16-36-32-584,8.05,-76.78
94.73,12.50,16-36-32-686,7.95,-76.78
94.28,13.80,16-36-32-791,7.24,-76.78
93.36,15.41,16-36-32-899,5.63,-76.78
92.69,16.97,16-36-33-001,4.65,-76.78
91.63,18.62,16-36-33-099,2.99,-76.78
90.90,18.18,16-36-33-197,2.24,-76.78
90.76,16.82,16-36-33-304,2.45,-76.78
90.65,15.87,16-36-33-404,2.85,-76.78
90.64,15.41,16-36-33-503,3.82,-76.78
91.00,14.39,16-36-33-622,5.62,-76.78
91.25,14.14,16-36-33-730,7.03,-76.78
91.42,13.73,16-36-33-838,7.93,-76.78
91.59,13.96,16-36-33-936,8.80,-76.78
91.75,14.10,16-36-34-033,9.18,-76.78
91.83,14.06,16-36-34-140,9.40,-76.78
91.06,14.44,16-36-34-236,13.32,-76.78
85.54,16.00,16-36-34-354,18.19,-76.78
61.04,33.17,16-36-34-451,18.26,-76.78
35.19,60.99,16-36-34-557,6.82,-34.61
35.19,79.15,16-36-34-660,0.74,-11.90
35.19,81.20,16-36-34-773,1.08,-9.60
11.10,79.65,16-36-34-869,3.25,-12.35
9.15,78.06,16-36-34-968,1.92,-13.27
9.15,78.28,16-36-35-075,0.40,-11.76
9.15,80.30,16-36-35-168,0.04,-9.96
9.15,83.47,16-36-35-273,5.36,-3.54
6.81,85.80,16-36-35-371,9.25,-0.93
6.81,82.77,16-36-35-474,3.92,-5.14
6.81,81.13,16-36-35-572,0.70,-8.67
6.81,80.57,16-36-35-668,0.12,-9.66
6.81,80.87,16-36-35-769,0.64,-8.87
6.81,81.53,16-36-35-870,2.12,-7.33
6.81,81.73,16-36-35-976,2.63,-6.84
6.81,82.19,16-36-36-071,3.17,-6.08
