15.82,83.46,17-57-31-762,8.21,-2.18
15.68,83.48,17-57-31-862,8.19,-2.16
15.56,83.49,17-57-31-972,8.23,-2.13
15.52,83.52,17-57-32-062,8.25,-2.10
15.47,83.53,17-57-32-182,8.27,-2.07
15.49,83.53,17-57-32-283,8.30,-2.05
15.51,83.47,17-57-32-378,8.24,-2.14
15.66,83.41,17-57-32-476,8.17,-2.24
15.84,83.34,17-57-32-582,8.22,-2.28
15.77,83.31,17-57-32-708,8.17,-2.34
15.73,83.15,17-57-32-810,8.06,-2.55
15.35,82.92,17-57-32-912,7.88,-2.88
15.02,82.76,17-57-33-042,7.31,-3.36
14.85,82.69,17-57-33-143,7.26,-3.45
14.71,82.68,17-57-33-248,7.30,-3.44
14.61,82.64,17-57-33-349,7.38,-3.44
15.47,82.65,17-57-33-441,6.70,-3.79
15.36,82.74,17-57-33-545,6.51,-3.81
15.44,82.71,17-57-33-653,6.32,-3.96
16.22,82.66,17-57-33-764,5.82,-4.29
16.84,82.70,17-57-33-865,5.31,-4.53
18.23,78.91,17-57-33-978,2.30,-12.58
18.75,77.85,17-57-34-082,4.39,-14.88
21.68,73.33,17-57-34-200,10.02,-22.92
36.91,64.19,17-57-34-294,13.73,-34.18
48.35,53.07,17-57-34-396,13.34,-48.60
58.76,42.25,17-57-34-512,11.76,-60.40
70.82,29.53,17-57-34-622,13.00,-60.40
77.64,19.98,17-57-34-732,8.47,-60.40
81.47,17.38,17-57-34-832,6.58,-60.40
85.49,9.63,17-57-34-927,8.21,-60.40
90.85,17.06,17-57-35-026,7.52,-60.40
93.67,15.96,17-57-35-136,5.80,-60.40
96.16,13.54,17-57-35-246,5.33,-60.40
98.93,11.05,17-57-35-350,6.39,-60.40
99.77,9.36,17-57-35-462,7.20,-60.40
99.44,12.02,17-57-35-562,7.40,-60.40
99.38,15.51,17-57-35-664,7.39,-60.40
98.72,19.62,17-57-35-766,6.98,-60.40
99.13,21.16,17-57-35-864,8.84,-60.40
99.28,33.92,17-57-35-978,11.77,-60.12
98.80,47.07,17-57-36-087,13.84,-48.29
97.87,57.43,17-57-36-200,14.52,-40.46
97.85,62.65,17-57-36-295,16.82,-34.02
97.84,72.81,17-57-36-394,30.92,-13.33
97.72,79.91,17-57-36-496,30.28,-9.23
98.13,82.87,17-57-36-597,42.84,-5.32
98.58,92.75,17-57-36-699,171.12,10.55
98.56,98.60,17-57-36-794,148.25,19.07
95.08,102.33,17-57-36-901,131.47,28.92
