62.81,80.87,19-17-21-072,122.42,-3.24
62.70,80.94,19-17-21-163,119.24,-3.35
62.53,80.94,19-17-21-252,115.40,-3.40
62.45,80.96,19-17-21-358,113.32,-3.43
62.33,80.95,19-17-21-459,110.27,-3.49
62.30,80.96,19-17-21-554,109.26,-3.57
62.23,80.97,19-17-21-670,107.41,-3.66
62.17,80.98,19-17-21-779,105.54,-3.78
62.15,81.00,19-17-21-889,104.77,-3.88
62.10,81.03,19-17-21-994,103.97,-3.93
62.07,81.06,19-17-22-127,103.58,-3.89
62.04,81.17,19-17-22-232,104.65,-3.78
62.05,81.42,19-17-22-337,109.55,-3.27
62.07,81.58,19-17-22-449,113.29,-2.94
62.12,81.86,19-17-22-557,121.24,-2.35
62.03,81.77,19-17-22-667,115.63,-2.66
61.47,77.57,19-17-22-763,84.23,-12.05
61.20,72.97,19-17-22-876,80.58,-22.53
60.35,68.72,19-17-22-970,77.32,-33.32
59.96,67.98,19-17-23-079,76.49,-35.61
59.71,65.49,19-17-23-170,75.98,-41.73
59.30,63.50,19-17-23-267,75.09,-46.85
58.53,61.89,19-17-23-382,73.12,-50.96
57.88,61.25,19-17-23-491,71.43,-52.34
57.93,62.09,19-17-23-584,71.24,-49.65
58.08,63.07,19-17-23-684,71.30,-46.89
58.24,65.63,19-17-23-786,70.39,-39.96
58.84,73.19,19-17-23-895,69.07,-22.34
60.28,80.47,19-17-23-988,69.66,-6.51
60.92,84.35,19-17-24-092,111.29,-2.37
60.38,87.54,19-17-24-225,97.21,-9.91
60.61,89.81,19-17-24-324,100.20,-15.68
60.74,89.99,19-17-24-438,100.77,-16.66
60.86,91.34,19-17-24-551,101.00,20.08
60.85,91.08,19-17-24-649,100.17,19.49
60.86,90.10,19-17-24-750,98.64,17.42
60.61,89.03,19-17-24-854,96.67,-14.06
62.31,86.75,19-17-24-960,115.16,-8.88
62.94,85.56,19-17-25-080,131.11,-6.21
61.67,73.26,19-17-25-187,78.45,-20.94
60.65,70.07,19-17-25-297,74.86,-29.47
60.03,67.86,19-17-25-406,74.33,-36.72
59.66,64.76,19-17-25-531,74.77,-45.97
59.38,63.81,19-17-25-635,74.83,-49.19
59.18,63.60,19-17-25-760,74.69,-49.84
59.07,64.28,19-17-25-867,74.57,-48.17
59.03,65.38,19-17-25-977,74.00,-44.93
59.12,65.64,19-17-26-090,73.24,-42.60
59.85,72.94,19-17-26-207,73.16,-24.69
60.54,79.01,19-17-26-305,67.88,-9.83
62.62,84.74,19-17-26-406,149.41,-2.46
62.59,88.19,19-17-26-513,119.41,-10.00
62.48,90.57,19-17-26-626,112.46,16.35
61.88,92.77,19-17-26-731,106.55,22.36
61.44,93.60,19-17-26-825,104.15,25.01
61.22,93.67,19-17-26-920,102.75,25.57
61.08,93.65,19-17-27-041,101.88,25.75
61.07,93.35,19-17-27-132,101.38,25.03
60.95,92.57,19-17-27-235,100.19,23.16
60.43,91.72,19-17-27-336,97.07,21.07
60.43,89.35,19-17-27-471,94.93,-14.87
61.81,80.97,19-17-27-576,75.80,-3.48
61.53,75.88,19-17-27-688,78.34,-14.93
61.23,71.31,19-17-27-785,77.64,-25.33
60.73,69.45,19-17-27-889,76.26,-30.97
60.01,65.75,19-17-27-983,75.95,-42.23
59.54,64.02,19-17-28-091,75.22,-47.22
59.29,63.77,19-17-28-186,74.78,-48.07
59.02,63.70,19-17-28-303,74.27,-48.42
58.73,64.45,19-17-28-399,73.92,-47.00
58.72,66.10,19-17-28-504,73.11,-42.65
58.74,66.36,19-17-28-608,72.79,-41.71
59.85,74.61,19-17-28-719,72.76,-21.64
60.12,81.12,19-17-28-824,56.09,-6.81
60.86,85.95,19-17-28-942,83.44,-3.84
60.93,89.04,19-17-29-042,97.63,-11.85
61.03,91.28,19-17-29-153,99.26,18.08
61.12,92.45,19-17-29-246,99.73,21.52
61.24,93.68,19-17-29-352,100.91,25.31
61.31,93.83,19-17-29-449,101.14,26.04
61.37,93.90,19-17-29-561,101.33,26.42
61.34,93.29,19-17-29-689,100.47,24.97
61.25,92.05,19-17-29-792,99.41,22.05
61.11,91.71,19-17-29-904,99.71,20.32
61.77,87.44,19-17-30-008,104.11,-10.12
62.49,83.38,19-17-30-100,142.77,-1.27
62.51,80.36,19-17-30-208,85.97,-6.24
62.02,74.19,19-17-30-315,83.01,-19.80
61.14,70.17,19-17-30-434,79.19,-30.09
59.55,67.05,19-17-30-555,75.37,-39.87
58.18,64.26,19-17-30-667,73.09,-48.31
57.58,63.93,19-17-30-784,72.15,-49.66
57.26,64.82,19-17-30-912,71.07,-46.66
57.11,66.54,19-17-31-027,69.14,-41.76
57.12,67.49,19-17-31-119,67.97,-39.05
57.46,72.16,19-17-31-214,66.19,-27.61
58.86,78.92,19-17-31-317,57.05,-11.64
59.20,81.69,19-17-31-421,35.38,-5.13
59.87,84.19,19-17-31-515,34.40,-1.21
59.97,85.72,19-17-31-615,75.63,-5.09
59.91,88.06,19-17-31-726,88.70,-10.66
60.03,89.54,19-17-31-847,92.54,-14.72
60.11,90.90,19-17-31-972,94.50,18.40
60.15,91.46,19-17-32-078,94.78,19.96
60.13,91.05,19-17-32-193,93.66,19.12
59.82,89.64,19-17-32-292,90.05,-15.81
60.82,88.78,19-17-32-396,95.16,-13.46
61.22,86.56,19-17-32-483,94.31,-8.01
62.31,81.29,19-17-32-597,85.11,-3.29
62.10,78.37,19-17-32-700,76.79,-9.62
61.68,73.18,19-17-32-804,81.23,-21.01
60.88,68.48,19-17-32-911,77.30,-33.74
60.25,64.74,19-17-33-040,76.12,-44.42
59.64,63.41,19-17-33-141,74.62,-48.39
59.12,63.42,19-17-33-265,73.35,-48.68
58.80,63.70,19-17-33-388,72.52,-48.14
58.82,64.27,19-17-33-501,72.60,-46.69
58.87,65.83,19-17-33-600,72.21,-42.76
58.94,66.20,19-17-33-721,72.01,-41.55
59.15,70.56,19-17-33-825,70.69,-30.57
59.22,72.23,19-17-33-950,69.91,-26.50
59.83,79.84,19-17-34-062,56.04,-8.69
59.93,86.07,19-17-34-164,73.60,-5.28
60.00,89.38,19-17-34-263,90.18,-13.34
60.07,92.13,19-17-34-349,94.04,19.85
60.11,92.83,19-17-34-459,94.69,21.68
60.12,93.05,19-17-34-567,94.63,22.27
60.12,93.12,19-17-34-668,94.59,22.47
60.08,92.47,19-17-34-768,93.57,20.87
59.65,90.99,19-17-34-877,88.93,17.45
60.44,87.99,19-17-34-984,86.13,-10.32
61.28,83.79,19-17-35-103,48.84,-1.12
61.58,82.52,19-17-35-206,45.31,-1.60
61.33,77.57,19-17-35-333,74.66,-13.06
60.04,72.22,19-17-35-451,71.22,-26.20
59.07,68.88,19-17-35-562,70.93,-35.76
58.47,66.22,19-17-35-669,71.07,-43.00
57.77,65.21,19-17-35-778,70.12,-46.07
57.44,65.42,19-17-35-880,69.86,-46.03
57.60,66.04,19-17-35-973,69.57,-44.11
57.71,67.35,19-17-36-092,68.76,-39.86
57.89,70.36,19-17-36-200,68.26,-32.25
59.13,77.35,19-17-36-303,61.89,-14.34
59.64,82.39,19-17-36-403,27.24,-2.90
59.66,84.79,19-17-36-515,50.09,-2.64
59.27,87.65,19-17-36-635,79.63,-9.84
59.32,90.81,19-17-36-743,89.49,17.58
59.41,92.55,19-17-36-841,93.00,22.31
59.44,93.16,19-17-36-958,94.11,24.21
59.43,93.13,19-17-37-049,94.03,24.28
59.43,92.94,19-17-37-162,93.57,23.87
59.40,92.59,19-17-37-254,92.71,22.88
59.37,91.69,19-17-37-365,91.21,20.74
59.28,90.98,19-17-37-454,90.03,19.00
59.99,88.27,19-17-37-564,90.26,-12.55
60.96,84.14,19-17-37-674,83.19,-3.46
60.67,77.90,19-17-37-768,74.34,-10.74
59.90,72.62,19-17-37-870,72.96,-23.25
58.97,68.13,19-17-37-982,72.25,-35.82
58.31,65.70,19-17-38-094,71.84,-43.08
57.94,63.74,19-17-38-209,71.75,-48.95
57.74,63.21,19-17-38-305,71.47,-50.61
57.58,63.65,19-17-38-419,70.85,-49.37
57.53,64.19,19-17-38-515,70.54,-47.89
57.64,65.63,19-17-38-618,70.07,-44.03
58.03,65.94,19-17-38-721,70.74,-42.93
58.77,71.74,19-17-38-820,71.92,-28.20
60.28,78.64,19-17-38-918,66.26,-10.82
60.96,83.61,19-17-39-043,5.79,-0.26
61.73,85.98,19-17-39-153,99.93,-5.20
61.35,88.90,19-17-39-267,98.54,-11.88
61.40,90.33,19-17-39-378,100.30,15.51
61.45,92.03,19-17-39-468,101.20,19.61
61.48,93.00,19-17-39-568,101.57,22.04
61.42,93.09,19-17-39-669,101.23,22.32
61.30,92.04,19-17-39-773,99.60,19.94
61.06,90.86,19-17-39-883,97.32,17.40
60.78,90.81,19-17-39-991,97.43,17.19
61.46,88.98,19-17-40-083,102.10,-12.87
62.93,86.47,19-17-40-191,124.96,-7.38
63.46,85.47,19-17-40-285,142.27,-5.23
63.98,82.32,19-17-40-391,148.54,-1.57
63.68,75.58,19-17-40-481,94.72,-16.20
63.43,69.47,19-17-40-587,87.17,-31.21
62.61,65.98,19-17-40-697,84.07,-41.56
61.65,64.15,19-17-40-809,81.56,-47.33
60.64,62.70,19-17-40-923,79.13,-51.70
60.00,62.69,19-17-41-019,77.77,-51.37
59.63,63.40,19-17-41-127,76.35,-48.88
59.54,64.10,19-17-41-237,75.64,-46.71
59.47,64.51,19-17-41-356,75.23,-45.42
59.68,68.22,19-17-41-450,74.42,-34.79
60.15,73.35,19-17-41-555,75.15,-22.87
61.14,79.26,19-17-41-647,73.30,-8.25
61.72,84.53,19-17-41-749,119.03,-2.91
60.76,87.31,19-17-41-859,97.21,-9.41
60.77,89.41,19-17-41-982,98.78,-14.59
60.82,91.97,19-17-42-102,99.45,20.94
60.82,93.59,19-17-42-204,100.03,25.67
60.80,93.80,19-17-42-310,99.76,26.59
60.80,93.88,19-17-42-414,99.63,26.88
60.79,93.55,19-17-42-501,99.18,25.90
60.70,92.38,19-17-42-609,97.84,22.90
60.33,91.58,19-17-42-725,96.18,20.85
60.95,87.50,19-17-42-814,93.39,-9.88
61.46,78.86,19-17-42-932,84.10,-9.36
61.23,73.06,19-17-43-051,83.65,-21.97
61.08,69.28,19-17-43-158,82.10,-32.42
60.88,66.58,19-17-43-257,81.46,-40.48
60.59,64.14,19-17-43-364,80.42,-47.16
60.35,63.48,19-17-43-464,79.67,-48.85
60.20,63.27,19-17-43-572,79.16,-49.30
60.01,63.57,19-17-43-672,78.69,-48.67
60.00,64.08,19-17-43-770,78.55,-47.33
59.97,65.60,19-17-43-870,77.99,-43.15
60.04,66.10,19-17-43-969,77.52,-41.19
60.32,69.49,19-17-44-089,79.22,-32.35
60.26,74.76,19-17-44-195,79.21,-20.37
60.72,80.37,19-17-44-281,77.88,-6.53
60.87,85.34,19-17-44-382,105.68,-5.45
60.62,88.63,19-17-44-491,101.64,-13.17
60.52,90.51,19-17-44-582,100.11,17.42
60.49,92.11,19-17-44-687,99.62,20.87
60.54,93.16,19-17-44-794,100.09,23.44
60.55,93.33,19-17-44-915,100.09,23.90
60.60,94.14,19-17-45-019,100.46,25.80
60.60,94.16,19-17-45-139,100.00,25.77
60.54,92.92,19-17-45-252,98.96,22.76
60.22,92.83,19-17-45-355,97.34,22.54
60.12,88.31,19-17-45-451,92.12,-11.96
60.76,86.71,19-17-45-548,94.15,-7.94
60.70,78.17,19-17-45-651,74.29,-11.25
60.74,73.17,19-17-45-797,78.31,-22.43
60.48,67.62,19-17-45-889,77.08,-36.57
59.80,64.95,19-17-45-988,75.64,-44.10
58.97,63.70,19-17-46-112,73.80,-47.74
58.07,63.32,19-17-46-218,71.72,-48.85
57.82,63.68,19-17-46-331,71.11,-47.96
57.86,65.01,19-17-46-446,70.61,-44.32
57.90,65.72,19-17-46-552,70.22,-42.26
58.36,70.19,19-17-46-656,69.66,-31.09
59.89,77.79,19-17-46-781,67.96,-13.18
60.35,83.56,19-17-46-887,8.47,-0.58
59.83,86.62,19-17-46-982,81.45,-6.66
59.63,88.90,19-17-47-089,88.21,-12.26
59.57,90.32,19-17-47-209,89.86,15.50
59.46,92.66,19-17-47-336,90.95,20.88
59.35,93.00,19-17-47-438,89.95,21.73
59.23,93.97,19-17-47-553,89.80,23.95
59.19,93.62,19-17-47-650,88.94,23.28
59.14,92.99,19-17-47-753,87.79,22.05
59.05,91.68,19-17-47-851,85.47,19.25
58.80,90.31,19-17-47-950,82.90,16.25
58.64,89.46,19-17-48-066,80.83,-14.37
60.11,87.07,19-17-48-175,83.59,-8.64
61.14,80.69,19-17-48-270,72.12,-5.58
60.60,74.37,19-17-48-376,76.64,-19.62
60.34,70.45,19-17-48-474,76.08,-28.96
60.06,65.89,19-17-48-591,76.13,-40.76
59.64,63.79,19-17-48-683,75.58,-46.67
59.33,63.38,19-17-48-788,75.17,-48.14
59.05,63.63,19-17-48-894,74.63,-47.72
59.02,64.70,19-17-49-003,74.47,-44.99
59.08,66.44,19-17-49-108,73.90,-40.47
59.01,66.79,19-17-49-217,73.58,-39.61
59.11,70.88,19-17-49-321,72.99,-30.02
59.12,72.47,19-17-49-435,72.65,-26.61
59.75,80.55,19-17-49-533,59.82,-8.52
59.97,84.42,19-17-49-631,24.78,-0.60
59.73,88.28,19-17-49-735,85.55,-10.69
59.61,90.72,19-17-49-836,90.81,17.01
59.59,92.29,19-17-49-938,92.86,21.19
59.28,93.59,19-17-50-039,92.72,24.61
59.03,93.83,19-17-50-130,91.70,25.27
58.98,92.81,19-17-50-245,89.82,22.83
58.90,91.72,19-17-50-357,87.42,20.21
58.77,91.21,19-17-50-457,85.82,19.01
58.66,88.98,19-17-50-569,79.95,-13.77
59.60,87.17,19-17-50-670,79.20,-9.36
60.11,83.60,19-17-50-786,36.90,-1.29
59.83,77.93,19-17-50-889,65.53,-11.73
59.67,73.55,19-17-50-990,74.80,-21.38
59.54,70.96,19-17-51-088,75.33,-27.54
59.50,69.63,19-17-51-181,76.00,-31.80
59.44,68.76,19-17-51-286,76.55,-34.78
59.20,65.59,19-17-51-415,76.32,-42.72
59.00,64.82,19-17-51-532,76.03,-44.97
58.85,64.82,19-17-51-649,75.71,-45.11
58.77,65.79,19-17-51-773,75.11,-42.51
58.81,66.83,19-17-51-891,74.41,-39.66
