Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,12.05,-49.50,14:45:01:910,666.00,22.51
12.14,-50.55,14:45:02:465,666.00,23.28
11.59,-50.27,14:45:02:889,666.00,22.81
11.73,-50.92,14:45:03:237,666.00,23.26
11.68,-51.33,14:45:03:411,666.00,22.98
11.86,-50.97,14:45:03:566,666.00,23.11
12.03,-50.51,14:45:03:694,666.00,23.18
12.16,-50.74,14:45:03:823,666.00,23.30
12.10,-50.12,14:45:03:951,666.00,23.16
12.04,-49.91,14:45:04:076,666.00,23.05
12.05,-49.59,14:45:04:194,666.00,22.82
11.98,-49.27,14:45:04:329,666.00,22.68
11.74,-49.12,14:45:04:455,666.00,22.57
11.57,-48.73,14:45:04:590,666.00,22.33
11.59,-48.08,14:45:04:710,666.00,22.36
11.86,-48.00,14:45:04:829,666.00,22.88
11.77,-47.42,14:45:04:955,666.00,22.75
11.93,-47.20,14:45:05:086,666.00,22.88
11.95,-46.99,14:45:05:202,666.00,23.12
11.94,-46.90,14:45:05:332,666.00,23.03
11.88,-47.64,14:45:05:453,666.00,23.06
11.73,-47.65,14:45:05:580,666.00,23.07
11.64,-48.13,14:45:05:700,666.00,22.92
11.67,-47.82,14:45:05:815,666.00,23.05
11.62,-46.94,14:45:05:930,666.00,23.22
11.62,-46.69,14:45:06:049,666.00,23.17
11.62,-46.70,14:45:06:169,666.00,23.16
11.70,-46.98,14:45:06:289,666.00,23.25
11.69,-47.95,14:45:06:409,666.00,23.15
11.81,-48.68,14:45:06:537,666.00,23.25
11.80,-48.56,14:45:06:654,666.00,23.02
11.72,-48.01,14:45:06:768,666.00,22.82
11.70,-48.41,14:45:06:887,666.00,22.78
11.80,-47.77,14:45:07:014,666.00,23.24
11.80,-47.61,14:45:07:142,666.00,23.18
11.77,-47.45,14:45:07:270,666.00,22.84
11.21,-46.29,14:45:07:386,666.00,22.64
9.42,-29.69,14:45:07:506,666.00,23.37
10.53,17.45,14:45:07:639,666.00,24.88
19.61,47.61,14:45:07:787,666.00,21.96
34.69,60.80,14:45:07:916,666.00,19.37
49.73,66.54,14:45:08:046,666.00,24.11
71.28,73.36,14:45:08:169,666.00,4.99
90.58,71.33,14:45:08:298,666.00,5.78
104.38,65.44,14:45:08:421,666.00,13.44
121.37,64.88,14:45:08:551,666.00,11.27
137.38,69.51,14:45:08:668,666.00,6.86
144.62,68.61,14:45:08:788,666.00,5.90
156.43,71.02,14:45:08:915,666.00,3.94
168.10,69.57,14:45:09:048,666.00,4.66
172.59,34.63,14:45:09:174,666.00,10.37
173.12,28.32,14:45:09:296,666.00,9.83
172.16,39.59,14:45:09:417,666.00,6.25
165.28,57.59,14:45:09:537,666.00,4.19
159.61,60.67,14:45:09:656,666.00,6.05
150.93,64.31,14:45:09:794,666.00,7.05
141.55,68.20,14:45:09:919,666.00,5.45
131.26,71.11,14:45:10:043,666.00,4.20
120.32,71.85,14:45:10:172,666.00,5.20
109.37,70.79,14:45:10:301,666.00,3.38
99.89,70.10,14:45:10:427,666.00,5.40
