5.55,78.04,17-58-05-444,2.95,-10.57
5.55,78.03,17-58-05-561,2.95,-10.58
5.55,78.03,17-58-05-676,2.95,-10.58
5.55,78.02,17-58-05-795,2.95,-10.59
5.55,78.01,17-58-05-924,2.95,-10.60
5.55,78.01,17-58-06-041,2.94,-10.61
5.55,77.99,17-58-06-157,2.94,-10.63
5.55,77.98,17-58-06-284,2.95,-10.64
5.55,77.96,17-58-06-409,2.96,-10.65
5.55,77.96,17-58-06-527,2.97,-10.65
5.55,78.04,17-58-06-641,2.98,-10.56
5.55,78.21,17-58-06-759,3.07,-10.33
5.55,78.29,17-58-06-875,3.12,-10.22
5.55,78.28,17-58-06-991,3.15,-10.21
5.55,78.25,17-58-07-114,3.14,-10.25
5.55,77.08,17-58-07-229,1.58,-12.33
5.55,73.87,17-58-07-357,1.91,-17.49
5.55,72.96,17-58-07-474,2.36,-18.63
12.65,70.58,17-58-07-600,5.43,-22.25
36.27,51.94,17-58-07-710,14.24,-46.10
54.98,38.72,17-58-07-826,13.53,-55.79
69.57,20.35,17-58-07-944,11.67,-71.25
80.99,22.42,17-58-08-062,12.04,-65.18
84.63,24.98,17-58-08-179,7.60,-59.14
85.96,17.57,17-58-08-293,7.83,-66.11
86.24,16.95,17-58-08-407,8.30,-66.00
86.13,18.78,17-58-08-524,8.57,-63.60
85.93,17.47,17-58-08-642,8.28,-65.43
85.93,18.11,17-58-08-761,7.77,-64.24
86.01,18.81,17-58-08-875,7.59,-63.79
86.40,21.62,17-58-08-991,8.92,-60.56
86.82,23.91,17-58-09-110,10.65,-57.06
87.13,25.92,17-58-09-230,9.66,-54.02
87.30,27.09,17-58-09-344,9.41,-52.28
87.28,31.71,17-58-09-461,10.36,-49.71
86.92,43.06,17-58-09-574,12.15,-48.45
86.76,53.98,17-58-09-674,13.96,-37.41
88.01,73.61,17-58-09-793,29.94,-12.77
88.46,83.53,17-58-09-908,75.70,-2.04
88.99,88.04,17-58-10-025,126.87,-0.55
89.30,90.24,17-58-10-143,174.88,1.72
89.44,90.48,17-58-10-260,179.94,1.91
89.56,90.47,17-58-10-374,179.94,2.23
89.70,90.59,17-58-10-490,173.16,1.88
89.76,90.28,17-58-10-612,178.36,1.88
