2.06,74.58,17-27-51-585,1.75,-16.61
2.06,74.65,17-27-51-680,1.74,-16.53
2.06,74.72,17-27-51-778,1.74,-16.46
2.06,74.79,17-27-51-873,1.74,-16.39
2.06,74.85,17-27-51-975,1.80,-16.37
2.06,75.03,17-27-52-079,1.81,-16.20
2.06,75.05,17-27-52-181,1.88,-16.22
2.06,75.09,17-27-52-291,1.94,-16.21
2.06,75.06,17-27-52-420,2.01,-16.27
2.06,75.07,17-27-52-528,2.04,-16.27
2.06,75.06,17-27-52-627,2.08,-16.31
2.06,75.06,17-27-52-731,2.14,-16.33
2.06,75.06,17-27-52-828,2.21,-16.37
2.06,75.08,17-27-52-929,2.28,-16.38
2.06,75.09,17-27-53-028,2.34,-16.40
2.06,75.09,17-27-53-135,2.40,-16.43
2.06,75.08,17-27-53-242,2.43,-16.45
2.06,75.08,17-27-53-343,2.46,-16.47
2.06,75.07,17-27-53-442,2.49,-16.50
2.06,75.06,17-27-53-540,2.51,-16.52
2.06,75.05,17-27-53-643,2.52,-16.53
2.06,75.02,17-27-53-743,2.54,-16.56
2.06,75.01,17-27-53-848,2.56,-16.58
2.06,74.99,17-27-53-953,2.56,-16.60
2.06,74.98,17-27-54-063,2.61,-16.64
2.06,74.94,17-27-54-157,2.55,-16.68
2.06,74.89,17-27-54-262,2.68,-16.71
2.06,74.86,17-27-54-370,2.74,-16.75
53.13,73.89,17-27-54-477,16.06,-16.20
75.05,73.83,17-27-54-576,46.47,-8.88
91.20,73.67,17-27-54-687,90.52,-14.59
103.59,73.77,17-27-54-779,28.49,-12.57
123.50,73.79,17-27-54-875,22.84,-11.65
137.55,73.81,17-27-54-976,17.09,-10.87
157.32,73.93,17-27-55-078,13.26,-10.32
165.00,73.93,17-27-55-194,13.14,-9.84
165.00,76.40,17-27-55-290,14.25,-6.03
165.00,77.50,17-27-55-390,14.49,-4.81
165.00,79.16,17-27-55-496,14.27,-3.06
165.00,79.90,17-27-55-612,13.89,-2.56
165.00,80.56,17-27-55-712,14.25,-1.61
168.35,80.50,17-27-55-824,14.90,-1.50
169.31,80.58,17-27-55-924,15.49,-1.21
171.08,80.80,17-27-56-028,15.82,-0.73
170.22,80.89,17-27-56-128,16.05,-0.52
167.86,80.57,17-27-56-228,17.00,-0.46
171.79,80.22,17-27-56-329,16.71,-0.68
171.12,80.17,17-27-56-426,16.67,-0.77
173.63,80.08,17-27-56-532,16.67,-0.87
174.74,80.10,17-27-56-624,16.98,-0.73
174.74,80.12,17-27-56-726,17.02,-0.68
174.74,80.09,17-27-56-829,16.93,-0.69
174.74,80.19,17-27-56-923,16.81,-0.52
174.74,80.41,17-27-57-024,17.14,-0.09
174.74,80.73,17-27-57-130,17.38,-0.34
174.74,80.98,17-27-57-254,18.40,-1.06
174.74,81.39,17-27-57-359,18.98,-1.81
174.74,82.65,17-27-57-459,20.20,-3.83
174.74,83.43,17-27-57-556,21.77,-5.30
174.74,84.40,17-27-57-659,22.67,-6.55
174.74,84.86,17-27-57-759,23.05,-7.09
174.74,85.06,17-27-57-855,23.37,-7.37
174.74,84.96,17-27-57-963,23.27,-7.16
173.51,84.78,17-27-58-061,23.01,-6.75
162.60,84.45,17-27-58-158,23.46,-6.11
114.57,85.08,17-27-58-261,39.15,-2.57
94.74,85.57,17-27-58-358,148.34,-1.32
84.22,85.89,17-27-58-458,164.19,-0.38
62.74,84.76,17-27-58-557,2.96,-3.47
39.59,82.71,17-27-58-668,0.70,-6.30
14.23,80.50,17-27-58-762,2.72,-7.94
14.23,78.72,17-27-58-863,3.08,-9.72
14.23,78.16,17-27-58-956,5.37,-9.08
14.23,77.94,17-27-59-060,6.40,-8.58
14.23,78.42,17-27-59-158,6.57,-8.13
14.23,78.52,17-27-59-263,6.55,-7.96
14.23,78.88,17-27-59-374,7.88,-6.83
14.23,79.19,17-27-59-476,8.38,-6.18
14.23,79.47,17-27-59-574,8.59,-5.74
14.23,79.67,17-27-59-675,9.15,-5.30
14.23,79.80,17-27-59-780,9.29,-5.08
14.23,79.92,17-27-59-876,9.34,-4.93
14.23,80.08,17-27-59-979,9.47,-4.68
14.23,80.15,17-28-00-079,9.48,-4.60
14.23,80.23,17-28-00-173,9.42,-4.54
14.23,80.25,17-28-00-275,9.25,-4.59
14.23,80.09,17-28-00-378,8.28,-5.30
14.23,79.72,17-28-00-477,7.25,-6.26
14.23,79.19,17-28-00-576,6.15,-7.36
14.23,78.83,17-28-00-672,5.62,-8.19
11.57,78.76,17-28-00-785,6.54,-7.84
48.71,78.13,17-28-00-894,3.74,-7.79
73.56,78.54,17-28-00-993,29.55,-5.17
80.67,81.16,17-28-01-096,170.95,-0.96
97.44,80.76,17-28-01-206,84.20,-3.82
105.23,79.82,17-28-01-314,34.84,-6.37
126.41,77.07,17-28-01-425,11.13,-10.06
151.38,75.17,17-28-01-525,7.72,-12.09
150.85,74.61,17-28-01-623,7.32,-12.37
150.82,74.50,17-28-01-706,6.93,-12.35
151.36,74.49,17-28-01-809,7.35,-12.03
151.36,74.70,17-28-01-914,7.22,-11.61
151.36,75.01,17-28-02-007,7.11,-10.99
151.36,77.11,17-28-02-113,10.03,-7.14
151.36,78.49,17-28-02-210,12.23,-4.84
151.36,78.96,17-28-02-312,12.63,-4.07
