26.35,65.01,20-21-56-450,16.06,-35.70
26.38,64.96,20-21-56-543,16.05,-35.72
26.43,64.92,20-21-56-647,16.02,-35.74
26.42,64.91,20-21-56-748,16.04,-35.75
26.43,64.91,20-21-56-852,16.18,-35.85
26.46,64.95,20-21-56-974,16.72,-36.16
26.48,64.99,20-21-57-086,17.23,-36.47
26.44,65.14,20-21-57-197,17.31,-36.37
26.38,65.35,20-21-57-295,17.46,-36.26
26.40,65.49,20-21-57-395,17.61,-36.19
26.45,65.56,20-21-57-497,17.71,-36.16
26.51,65.63,20-21-57-622,17.84,-36.15
26.55,65.66,20-21-57-739,17.94,-36.17
26.60,65.70,20-21-57-859,17.99,-36.14
26.65,65.69,20-21-57-968,18.03,-36.18
26.67,65.58,20-21-58-081,18.16,-36.39
26.59,65.44,20-21-58-175,18.12,-36.55
26.44,65.35,20-21-58-276,18.00,-36.58
26.43,65.29,20-21-58-383,17.95,-36.61
28.14,64.47,20-21-58-501,19.00,-38.11
30.39,62.15,20-21-58-612,20.02,-41.56
34.16,58.40,20-21-58-721,22.44,-48.30
38.94,52.84,20-21-58-845,23.13,-58.52
51.16,42.38,20-21-58-954,20.93,-69.91
56.64,39.10,20-21-59-069,19.87,-75.14
60.85,36.64,20-21-59-168,19.67,-83.24
73.08,28.44,20-21-59-280,17.66,-83.24
81.04,23.77,20-21-59-379,19.68,-83.24
89.84,20.75,20-21-59-499,16.96,-83.24
92.21,24.03,20-21-59-598,17.95,-83.24
98.44,22.95,20-21-59-714,17.32,-83.24
100.63,23.76,20-21-59-809,15.97,-85.29
101.51,24.17,20-21-59-907,15.49,-85.29
102.52,25.93,20-22-00-011,16.12,-80.43
103.44,26.86,20-22-00-141,16.94,-76.48
103.58,27.52,20-22-00-253,17.41,-74.08
102.49,27.79,20-22-00-385,16.57,-73.16
100.00,27.27,20-22-00-499,16.26,-76.14
98.64,26.53,20-22-00-592,16.36,-80.62
92.54,24.59,20-22-00-690,16.19,-80.62
88.24,23.48,20-22-00-802,16.81,-80.62
80.05,22.56,20-22-00-911,15.88,-80.62
71.04,24.81,20-22-01-025,13.89,-80.62
63.53,31.52,20-22-01-136,16.84,-80.62
59.43,33.86,20-22-01-223,17.21,-80.62
59.33,34.81,20-22-01-336,17.46,-80.62
52.76,38.83,20-22-01-433,14.41,-73.08
48.15,46.13,20-22-01-551,17.01,-62.88
41.93,52.64,20-22-01-644,18.24,-54.17
36.78,59.45,20-22-01-740,17.37,-43.79
30.42,63.97,20-22-01-850,16.12,-37.65
29.69,64.41,20-22-01-962,16.43,-37.25
24.78,66.65,20-22-02-069,13.56,-33.73
23.31,68.55,20-22-02-189,12.29,-30.29
24.39,66.49,20-22-02-293,13.84,-33.73
30.29,63.47,20-22-02-406,17.00,-38.28
33.33,60.29,20-22-02-519,21.63,-46.07
40.86,51.54,20-22-02-619,26.56,-61.88
50.32,41.38,20-22-02-726,22.51,-74.35
58.06,36.11,20-22-02-825,21.52,-74.35
63.90,33.02,20-22-02-933,20.92,-74.35
71.21,28.65,20-22-03-032,16.57,-74.35
76.87,22.57,20-22-03-155,15.04,-74.35
83.36,20.26,20-22-03-261,17.96,-74.35
91.49,16.33,20-22-03-378,15.48,-74.35
96.86,19.97,20-22-03-486,15.67,-74.35
100.18,21.82,20-22-03-599,15.62,-74.35
104.80,24.77,20-22-03-706,17.03,-77.96
104.91,26.06,20-22-03-809,17.60,-74.66
104.64,26.75,20-22-03-915,17.76,-73.30
107.45,27.41,20-22-04-020,18.34,-73.96
107.04,28.02,20-22-04-127,16.83,-72.62
105.58,28.27,20-22-04-228,16.58,-72.11
103.52,27.88,20-22-04-347,15.78,-72.31
101.47,27.27,20-22-04-446,15.20,-75.59
96.98,24.80,20-22-04-554,15.17,-80.06
85.67,22.87,20-22-04-668,15.52,-80.06
78.05,22.74,20-22-04-767,15.22,-80.06
66.17,28.78,20-22-04-888,17.85,-80.06
60.56,34.18,20-22-05-015,16.43,-80.06
57.47,36.81,20-22-05-114,16.48,-80.49
44.44,48.90,20-22-05-219,17.73,-59.34
39.22,56.02,20-22-05-307,17.95,-47.74
33.84,61.44,20-22-05-414,15.36,-39.78
27.67,65.70,20-22-05-540,13.98,-34.79
25.61,66.30,20-22-05-657,13.97,-34.18
27.26,65.64,20-22-05-762,15.88,-35.71
29.75,64.04,20-22-05-867,17.09,-37.93
32.42,62.01,20-22-05-961,17.80,-40.37
37.19,57.87,20-22-06-080,23.40,-50.65
39.11,52.65,20-22-06-198,23.99,-61.10
48.68,42.75,20-22-06-325,21.00,-72.48
56.18,37.83,20-22-06-433,19.15,-81.06
65.33,31.02,20-22-06-523,19.34,-81.06
71.23,27.54,20-22-06-627,14.04,-81.06
80.07,23.87,20-22-06-747,15.61,-81.06
87.00,18.75,20-22-06-862,14.53,-81.06
92.29,18.55,20-22-06-968,15.56,-81.06
97.45,20.47,20-22-07-082,15.61,-81.06
100.21,22.84,20-22-07-177,13.36,-81.06
106.69,25.40,20-22-07-315,16.95,-79.71
109.26,26.67,20-22-07-429,15.45,-79.37
108.96,26.92,20-22-07-528,15.13,-78.65
107.98,27.47,20-22-07-633,15.99,-77.66
107.74,27.63,20-22-07-728,16.64,-76.56
107.03,27.98,20-22-07-825,17.18,-73.99
104.28,28.20,20-22-07-931,16.07,-72.65
103.18,27.55,20-22-08-057,16.29,-75.95
95.22,26.51,20-22-08-167,13.23,-78.97
84.61,24.33,20-22-08-262,12.91,-78.97
76.01,23.35,20-22-08-369,12.27,-78.97
70.24,25.91,20-22-08-469,11.04,-78.97
62.80,32.46,20-22-08-587,14.87,-78.97
54.54,38.11,20-22-08-692,14.71,-76.25
48.80,43.81,20-22-08-807,15.02,-64.58
43.41,48.83,20-22-08-918,17.56,-59.12
37.05,56.89,20-22-09-027,16.66,-44.91
33.12,61.52,20-22-09-131,15.77,-39.46
29.95,63.91,20-22-09-253,14.99,-36.36
29.52,64.12,20-22-09-356,15.41,-36.19
29.70,63.26,20-22-09-459,15.71,-37.56
31.59,62.80,20-22-09-567,16.64,-38.51
33.28,60.87,20-22-09-684,17.12,-41.31
36.10,60.28,20-22-09-789,17.95,-41.60
37.27,52.55,20-22-09-916,21.56,-56.64
47.37,43.39,20-22-10-011,19.22,-66.96
56.02,38.45,20-22-10-117,18.65,-77.49
59.93,35.06,20-22-10-229,17.43,-77.49
67.14,28.84,20-22-10-342,15.95,-77.49
75.48,24.41,20-22-10-459,14.33,-77.49
84.69,19.75,20-22-10-567,15.07,-77.49
89.83,16.52,20-22-10-684,16.08,-77.49
95.86,17.10,20-22-10-781,17.27,-77.49
100.14,18.74,20-22-10-892,15.76,-77.49
105.63,20.82,20-22-10-990,16.17,-77.49
106.53,22.98,20-22-11-095,16.46,-84.63
106.76,24.31,20-22-11-226,16.80,-80.76
106.24,25.07,20-22-11-335,16.97,-76.71
105.47,25.14,20-22-11-445,16.67,-77.41
104.78,25.47,20-22-11-545,17.40,-76.68
104.68,25.68,20-22-11-664,17.86,-75.84
102.58,25.97,20-22-11-777,16.67,-75.86
100.49,25.37,20-22-11-889,13.59,-78.03
90.94,24.21,20-22-11-997,14.16,-82.25
80.53,23.47,20-22-12-089,15.90,-82.25
70.54,24.51,20-22-12-207,13.28,-82.25
62.14,31.34,20-22-12-312,15.03,-82.25
52.20,38.52,20-22-12-414,14.64,-72.21
42.54,48.47,20-22-12-525,16.22,-58.36
31.88,62.19,20-22-12-627,13.83,-38.11
29.29,63.54,20-22-12-735,15.00,-37.25
29.29,64.08,20-22-12-831,15.17,-36.47
30.83,63.05,20-22-12-925,15.01,-37.61
31.61,62.73,20-22-13-025,15.04,-37.80
31.27,62.24,20-22-13-123,15.19,-38.50
31.58,60.99,20-22-13-226,15.70,-39.95
35.15,60.28,20-22-13-334,15.54,-39.91
36.69,59.15,20-22-13-436,16.72,-42.08
42.46,48.38,20-22-13-554,21.89,-62.76
49.68,41.48,20-22-13-646,19.76,-71.57
61.55,33.53,20-22-13-771,20.57,-71.57
71.78,24.82,20-22-13-870,13.79,-71.57
79.99,22.80,20-22-13-975,15.90,-71.57
87.44,16.40,20-22-14-075,12.65,-71.57
87.82,16.23,20-22-14-181,12.13,-71.57
98.24,17.73,20-22-14-288,14.05,-71.57
106.84,21.16,20-22-14-396,15.35,-71.57
108.63,23.26,20-22-14-497,16.42,-86.08
109.11,24.21,20-22-14-593,16.66,-81.87
108.56,24.69,20-22-14-689,16.07,-78.90
105.44,24.85,20-22-14-794,15.86,-79.77
102.89,23.48,20-22-14-907,13.64,-81.97
101.30,22.60,20-22-15-021,12.55,-86.53
99.70,22.51,20-22-15-131,12.00,-86.53
98.76,22.55,20-22-15-237,11.95,-86.53
98.09,22.60,20-22-15-346,11.89,-86.53
97.63,22.64,20-22-15-445,11.99,-86.53
97.32,22.65,20-22-15-542,12.24,-86.53
97.08,22.64,20-22-15-641,12.27,-86.53
96.92,22.67,20-22-15-752,12.48,-86.53
94.25,20.78,20-22-15-861,12.03,-86.53
83.94,20.60,20-22-15-969,13.95,-86.53
74.63,23.62,20-22-16-079,11.75,-86.53
66.01,29.32,20-22-16-177,15.40,-86.53
56.17,36.86,20-22-16-281,14.08,-83.13
45.50,46.20,20-22-16-382,16.37,-63.04
38.13,55.87,20-22-16-488,15.30,-46.98
29.58,63.44,20-22-16-604,13.43,-36.31
27.20,65.26,20-22-16-692,14.34,-34.61
27.16,64.61,20-22-16-796,15.60,-36.17
27.82,64.39,20-22-16-900,15.88,-36.64
27.89,63.68,20-22-17-003,15.57,-37.43
29.78,61.85,20-22-17-114,16.04,-39.51
34.74,60.74,20-22-17-227,16.49,-40.21
35.97,60.03,20-22-17-330,16.12,-40.78
47.91,43.80,20-22-17-450,19.55,-66.39
62.03,33.36,20-22-17-556,21.25,-66.39
73.06,26.74,20-22-17-645,13.97,-66.39
82.48,19.91,20-22-17-745,16.75,-66.39
93.45,15.14,20-22-17-841,12.60,-66.39
94.00,15.32,20-22-17-951,11.76,-66.39
96.35,17.09,20-22-18-050,13.32,-66.39
101.47,19.65,20-22-18-163,13.08,-66.39
102.77,21.94,20-22-18-265,13.18,-66.39
102.37,21.34,20-22-18-374,12.83,-66.39
101.76,21.61,20-22-18-483,12.18,-66.39
101.18,21.46,20-22-18-595,13.05,-66.39
97.68,22.00,20-22-18-700,12.62,-66.39
96.49,21.42,20-22-18-824,10.34,-66.39
80.45,22.57,20-22-18-930,11.93,-66.39
65.78,29.62,20-22-19-041,15.82,-66.39
54.68,38.13,20-22-19-142,14.59,-70.44
51.39,41.92,20-22-19-246,13.89,-64.19
43.29,49.56,20-22-19-346,16.14,-57.49
35.64,59.96,20-22-19-447,15.43,-41.98
29.08,65.70,20-22-19-565,14.73,-34.64
25.47,66.36,20-22-19-667,14.77,-34.29
25.26,66.15,20-22-19-781,15.37,-34.86
25.03,66.06,20-22-19-884,15.24,-34.90
24.86,65.98,20-22-19-993,15.08,-34.90
24.80,65.92,20-22-20-096,15.01,-34.94
24.74,65.87,20-22-20-214,14.98,-34.98
26.64,64.93,20-22-20-316,16.26,-36.54
27.42,64.49,20-22-20-426,16.81,-37.15
29.31,63.68,20-22-20-529,17.29,-38.20
30.00,60.64,20-22-20-652,18.78,-43.82
41.11,50.02,20-22-20-771,23.82,-62.49
54.34,40.52,20-22-20-881,20.76,-72.39
66.15,31.44,20-22-20-991,20.39,-72.39
82.34,23.22,20-22-21-103,19.60,-72.39
94.64,20.72,20-22-21-213,15.12,-72.39
99.84,23.93,20-22-21-323,13.13,-72.39
101.16,24.82,20-22-21-434,11.93,-83.19
100.46,24.35,20-22-21-546,12.00,-85.73
100.13,25.00,20-22-21-643,12.68,-85.35
99.51,25.57,20-22-21-741,13.87,-82.42
98.40,25.42,20-22-21-850,14.48,-85.02
94.59,24.60,20-22-21-974,13.12,-85.02
78.00,25.69,20-22-22-083,8.84,-85.02
61.17,33.36,20-22-22-200,12.53,-85.02
53.31,39.74,20-22-22-289,13.35,-70.71
45.92,47.66,20-22-22-391,16.04,-60.04
38.66,56.44,20-22-22-494,16.57,-46.85
33.60,61.43,20-22-22-592,15.95,-39.76
28.63,64.27,20-22-22-697,14.37,-35.94
23.81,66.47,20-22-22-812,11.95,-32.40
22.85,66.57,20-22-22-915,12.71,-32.74
23.10,66.00,20-22-23-033,13.59,-33.84
25.15,65.26,20-22-23-132,15.33,-35.47
27.18,64.03,20-22-23-251,16.25,-37.06
