Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,18.77,-27.80,20:25:26:077,3.36,84.38
17.85,-25.38,20:25:27:904,4.67,82.30
18.68,-23.33,20:25:28:181,6.11,82.94
20.13,-21.33,20:25:28:621,8.89,83.52
20.27,-20.85,20:25:28:822,9.59,83.98
20.23,-20.08,20:25:28:980,9.79,83.82
19.23,-18.87,20:25:29:110,7.63,81.42
18.84,-17.73,20:25:29:243,7.51,81.61
18.69,-17.07,20:25:29:374,7.78,81.77
18.05,-16.55,20:25:29:506,7.83,81.72
18.07,-17.54,20:25:29:635,7.67,81.58
17.42,-19.68,20:25:29:765,6.36,83.04
17.11,-21.12,20:25:29:904,5.44,83.31
17.15,-20.21,20:25:30:039,5.81,81.61
16.95,-21.01,20:25:30:168,4.96,83.38
16.25,-22.33,20:25:30:527,4.87,81.46
16.42,-22.98,20:25:30:650,4.61,83.62
16.88,-24.26,20:25:30:775,10.31,81.54
14.54,-20.85,20:25:30:900,2.85,78.47
10.10,-10.29,20:25:31:024,-6.70,88.07
14.90,-25.81,20:25:31:408,-33.51,84.07
17.47,-21.71,20:25:31:553,-49.62,78.27
19.32,-22.55,20:25:31:686,-62.11,73.16
24.88,-23.31,20:25:31:824,-70.05,63.57
27.11,-27.95,20:25:31:961,-75.90,59.41
28.22,-28.97,20:25:32:087,-78.69,57.51
27.72,-28.04,20:25:32:218,-71.50,59.72
26.32,-25.50,20:25:32:358,-57.14,64.46
20.11,-19.88,20:25:32:487,-48.32,70.56
17.07,-19.77,20:25:32:632,-31.88,74.89
14.62,-11.44,20:25:32:774,-13.83,77.39
15.29,-15.68,20:25:32:907,7.32,80.28
14.18,-0.02,20:25:33:043,31.13,86.16
12.32,18.97,20:25:33:172,35.41,77.87
11.95,14.34,20:25:33:304,41.78,72.92
11.92,23.58,20:25:33:434,38.04,77.62
13.42,15.27,20:25:33:573,28.27,77.84
15.04,1.25,20:25:33:700,15.55,76.97
13.10,-21.36,20:25:33:828,-6.36,79.85
12.94,-5.17,20:25:33:969,-23.60,78.58
15.00,-22.93,20:25:34:098,-36.73,78.97
16.63,-17.68,20:25:34:234,-49.04,73.62
20.41,-19.18,20:25:34:364,-63.24,66.02
25.77,-20.32,20:25:34:506,-76.30,55.93
27.65,-26.08,20:25:34:631,-86.64,51.50
29.11,-32.62,20:25:34:759,-86.99,51.83
29.17,-33.28,20:25:34:896,-86.30,52.12
28.54,-30.90,20:25:35:030,-80.12,53.30
27.65,-24.03,20:25:35:164,-59.91,57.51
21.39,-16.28,20:25:35:298,-43.47,64.52
17.47,-14.87,20:25:35:427,-24.27,72.05
16.09,-9.40,20:25:35:556,-4.34,73.00
17.05,-8.02,20:25:35:682,9.18,79.15
19.38,5.94,20:25:35:809,29.25,77.64
16.85,10.77,20:25:35:944,37.21,79.28
14.45,16.38,20:25:36:080,43.63,72.61
10.27,-14.10,20:25:36:218,34.77,91.26
12.00,35.57,20:25:36:349,39.42,83.06
18.03,1.70,20:25:36:500,28.10,77.92
17.24,-11.26,20:25:36:653,8.64,68.70
15.32,-9.30,20:25:36:783,-25.66,77.49
17.23,-9.49,20:25:36:918,-38.75,73.38
19.65,-11.98,20:25:37:059,-54.61,67.40
23.83,-15.14,20:25:37:194,-70.23,59.11
27.11,-20.85,20:25:37:330,-81.03,53.87
28.04,-25.81,20:25:37:467,-91.61,51.58
28.69,-29.94,20:25:37:597,-89.97,51.76
29.05,-29.46,20:25:37:732,-89.85,51.88
29.36,-24.72,20:25:37:864,-75.71,54.53
26.04,-17.43,20:25:38:011,-55.26,59.05
19.77,-9.64,20:25:38:135,-43.24,65.18
17.05,-3.72,20:25:38:275,-24.49,68.49
15.86,-0.94,20:25:38:418,0.15,72.63
16.04,-6.54,20:25:38:551,14.57,78.46
15.54,-2.88,20:25:38:679,22.08,74.79
16.52,1.19,20:25:38:811,35.59,76.59
15.10,4.11,20:25:38:941,38.76,83.27
12.47,15.06,20:25:39:072,39.54,84.35
13.90,5.02,20:25:39:198,38.35,86.59
17.49,-7.16,20:25:39:325,21.85,84.40
17.22,-19.88,20:25:39:461,3.90,77.78
15.88,-12.88,20:25:39:592,-13.64,79.79
16.14,-9.82,20:25:39:725,-28.41,78.47
17.71,-8.11,20:25:39:854,-43.29,72.00
20.35,-7.53,20:25:39:980,-56.25,66.93
23.53,-13.39,20:25:40:110,-64.29,62.96
26.90,-17.10,20:25:40:254,-78.28,56.57
30.18,-23.09,20:25:40:386,-86.61,50.97
30.91,-27.51,20:25:40:514,-87.14,50.64
32.11,-29.10,20:25:40:648,-87.75,49.62
32.58,-29.65,20:25:40:795,-86.58,48.86
31.19,-25.70,20:25:40:929,-74.44,51.49
27.68,-21.03,20:25:41:054,-57.09,56.85
23.02,-14.43,20:25:41:185,-44.13,61.82
20.21,-14.03,20:25:41:324,-26.99,70.24
17.79,-7.41,20:25:41:462,-11.88,75.10
19.81,-11.16,20:25:41:593,6.77,78.69
21.03,3.69,20:25:41:717,25.41,73.77
19.16,4.15,20:25:41:845,35.60,77.71
15.32,9.54,20:25:41:988,41.29,74.90
12.38,17.43,20:25:42:133,42.79,83.75
12.75,19.69,20:25:42:253,38.32,83.22
16.48,7.59,20:25:42:382,33.45,78.78
21.41,-13.80,20:25:42:515,10.82,78.98
17.82,-16.20,20:25:42:648,-11.58,78.43
18.03,-14.26,20:25:42:782,-25.64,76.93
19.12,-9.11,20:25:42:921,-41.91,70.26
20.84,-11.17,20:25:43:060,-57.67,64.06
25.59,-18.32,20:25:43:196,-72.21,57.76
29.47,-24.28,20:25:43:321,-86.18,50.69
31.37,-29.32,20:25:43:457,-88.91,47.92
32.54,-31.86,20:25:43:604,-89.29,46.72
32.64,-31.69,20:25:43:736,-88.49,46.92
32.10,-29.60,20:25:43:872,-82.14,49.23
30.38,-23.60,20:25:44:011,-69.42,51.79
23.41,-18.87,20:25:44:158,-51.47,60.67
20.48,-18.32,20:25:44:288,-35.50,65.05
18.18,-15.22,20:25:44:421,-23.39,68.91
17.69,-15.52,20:25:44:556,-4.47,70.62
19.51,-16.76,20:25:44:691,10.31,74.16
16.94,-5.62,20:25:44:817,27.17,74.32
14.20,3.42,20:25:44:948,36.75,74.54
12.66,13.23,20:25:45:077,46.06,73.77
11.31,18.99,20:25:45:220,42.01,78.12
14.01,-1.36,20:25:45:348,31.87,77.37
17.54,-8.53,20:25:45:473,16.79,82.14
16.72,-12.74,20:25:45:618,-4.69,73.11
16.12,-10.61,20:25:45:761,-23.37,72.00
17.69,-9.25,20:25:45:897,-40.32,71.68
19.91,-10.30,20:25:46:041,-52.38,64.85
24.00,-15.45,20:25:46:179,-67.40,57.65
27.51,-23.13,20:25:46:306,-78.45,52.72
28.97,-29.94,20:25:46:448,-84.51,51.52
30.44,-33.03,20:25:46:592,-88.90,49.35
31.61,-34.13,20:25:46:729,-88.44,48.27
31.26,-31.28,20:25:46:853,-78.13,51.41
28.73,-27.85,20:25:46:983,-59.48,57.60
22.59,-24.79,20:25:47:120,-42.73,65.31
20.15,-20.24,20:25:47:241,-30.99,66.91
17.71,-12.73,20:25:47:366,-6.83,72.73
16.87,-16.24,20:25:47:499,8.16,76.65
13.59,-7.73,20:25:47:626,24.87,71.90
12.99,-1.81,20:25:47:756,30.80,66.31
11.98,10.47,20:25:47:885,39.84,70.68
11.27,17.82,20:25:48:012,41.96,76.49
18.30,-24.33,20:25:48:138,33.46,90.01
12.05,6.57,20:25:48:272,32.02,63.02
14.94,-7.56,20:25:48:398,14.23,77.90
16.47,-15.85,20:25:48:531,-0.56,72.91
16.19,-12.04,20:25:48:667,-18.82,76.28
16.94,-16.50,20:25:48:809,-37.57,74.63
19.56,-17.41,20:25:48:944,-50.61,68.58
24.58,-23.91,20:25:49:087,-66.30,62.26
27.92,-26.24,20:25:49:220,-78.43,54.47
30.10,-30.82,20:25:49:353,-82.77,50.78
31.20,-33.44,20:25:49:481,-84.59,48.29
31.86,-34.16,20:25:49:605,-83.56,47.85
31.45,-32.23,20:25:49:733,-77.95,49.69
29.01,-27.87,20:25:49:871,-58.87,56.44
22.95,-23.16,20:25:50:020,-38.22,67.50
19.92,-13.97,20:25:50:158,-21.13,73.60
20.49,-13.27,20:25:50:287,0.35,75.71
20.84,-11.56,20:25:50:425,17.83,85.74
17.99,-0.26,20:25:50:553,31.98,74.71
15.53,4.15,20:25:50:683,39.11,73.29
13.83,4.67,20:25:50:820,43.58,73.49
11.22,12.46,20:25:50:972,43.17,83.33
10.84,17.50,20:25:51:106,41.52,85.49
15.99,-3.59,20:25:51:238,33.08,81.23
17.64,-7.21,20:25:51:363,16.38,79.96
16.79,-17.98,20:25:51:502,-3.87,76.19
15.06,-15.22,20:25:51:640,-26.63,79.94
16.62,-14.40,20:25:51:765,-42.99,73.70
18.87,-15.29,20:25:51:894,-58.42,68.95
23.80,-20.29,20:25:52:030,-72.19,60.40
27.24,-24.71,20:25:52:182,-84.66,53.01
29.16,-28.19,20:25:52:322,-89.22,50.02
30.01,-30.21,20:25:52:449,-88.88,49.58
29.99,-30.26,20:25:52:574,-87.00,49.87
29.76,-27.82,20:25:52:707,-77.35,52.36
28.93,-23.52,20:25:52:843,-66.05,56.56
26.23,-17.76,20:25:52:982,-49.52,61.22
22.15,-14.68,20:25:53:119,-38.60,68.95
20.63,-11.78,20:25:53:258,-21.20,74.94
20.69,-14.17,20:25:53:388,-2.53,77.18
22.78,-7.81,20:25:53:517,18.78,78.48
21.44,-3.13,20:25:53:648,31.81,77.56
19.86,5.44,20:25:53:770,39.80,77.31
14.53,21.65,20:25:53:896,44.95,78.83
18.94,-11.28,20:25:54:027,43.03,88.75
12.96,14.04,20:25:54:146,43.21,80.21
16.17,3.30,20:25:54:267,42.13,74.65
18.02,-4.33,20:25:54:402,25.25,74.42
18.28,-14.79,20:25:54:538,6.28,77.30
16.14,-16.66,20:25:54:675,-16.89,80.38
16.15,-16.13,20:25:54:803,-29.47,78.03
16.94,-17.20,20:25:54:932,-45.12,73.03
19.22,-16.08,20:25:55:069,-58.28,65.92
23.74,-14.06,20:25:55:204,-70.22,55.58
25.62,-17.58,20:25:55:339,-81.19,51.29
27.21,-23.73,20:25:55:486,-86.45,49.43
28.38,-26.36,20:25:55:630,-86.84,48.12
29.78,-28.60,20:25:55:772,-85.04,47.77
28.69,-26.41,20:25:55:909,-78.99,50.46
26.88,-20.56,20:25:56:057,-63.88,55.52
21.78,-15.40,20:25:56:183,-52.02,62.48
20.42,-12.73,20:25:56:305,-39.44,68.49
18.03,-7.87,20:25:56:441,-20.02,74.00
15.23,0.52,20:25:56:587,5.38,76.98
17.94,5.86,20:25:56:725,22.28,77.61
14.92,15.60,20:25:56:863,38.47,77.27
12.57,17.58,20:25:56:984,47.15,84.30
11.78,25.43,20:25:57:119,47.41,80.21
11.77,16.03,20:25:57:243,46.87,85.52
11.94,17.50,20:25:57:368,45.15,83.68
12.30,20.93,20:25:57:515,38.42,83.08
16.30,3.03,20:25:57:637,34.73,75.19
19.35,-5.07,20:25:57:772,14.40,83.30
16.53,-12.58,20:25:57:907,-4.47,74.21
14.98,-5.89,20:25:58:039,-26.01,76.63
16.62,-14.70,20:25:58:175,-38.58,73.65
19.17,-14.22,20:25:58:320,-50.47,68.82
23.96,-20.35,20:25:58:456,-65.69,61.58
27.89,-23.20,20:25:58:601,-76.69,54.44
29.69,-26.76,20:25:58:734,-81.99,52.72
30.99,-29.61,20:25:58:863,-83.26,51.20
31.44,-31.88,20:25:58:994,-83.77,51.21
31.46,-31.03,20:25:59:129,-81.88,51.68
30.11,-28.37,20:25:59:264,-71.50,55.76
28.41,-23.79,20:25:59:400,-53.85,62.38
23.59,-21.17,20:25:59:525,-42.12,69.62
20.21,-12.27,20:25:59:670,-26.84,73.56
18.30,-2.47,20:25:59:801,-11.25,74.59
22.43,-5.12,20:25:59:926,16.32,77.61
21.18,12.46,20:26:00:066,31.40,80.88
16.66,24.85,20:26:00:209,38.36,73.65
16.23,26.54,20:26:00:342,50.50,79.55
13.50,36.36,20:26:00:472,46.37,82.91
14.07,38.97,20:26:00:601,49.48,80.45
14.08,40.94,20:26:00:735,45.81,79.34
16.73,28.99,20:26:00:877,38.53,78.13
21.52,14.29,20:26:01:008,23.65,80.62
23.53,-0.86,20:26:01:128,14.25,74.92
18.00,-4.30,20:26:01:256,-6.77,78.29
17.40,-6.65,20:26:01:399,-24.88,75.87
18.10,-12.51,20:26:01:540,-36.85,76.25
20.11,-11.78,20:26:01:666,-49.84,69.80
23.80,-15.27,20:26:01:800,-59.27,63.47
28.02,-16.36,20:26:01:936,-71.60,54.64
29.60,-20.19,20:26:02:076,-80.78,51.19
31.30,-23.21,20:26:02:207,-82.21,49.23
32.10,-26.06,20:26:02:350,-82.59,48.60
31.79,-26.15,20:26:02:483,-74.30,51.58
30.17,-22.72,20:26:02:611,-62.27,56.79
22.69,-16.93,20:26:02:752,-47.02,66.66
20.54,-15.15,20:26:02:879,-30.06,71.74
18.70,-5.78,20:26:03:009,-14.96,71.08
19.03,-7.87,20:26:03:135,19.49,55.17
19.97,-5.09,20:26:03:264,18.05,82.12
19.07,9.65,20:26:03:386,33.80,77.13
17.96,7.29,20:26:03:512,39.37,78.15
15.39,23.05,20:26:03:648,50.39,81.22
14.69,20.31,20:26:03:791,46.99,79.31
14.53,21.82,20:26:03:921,47.22,76.13
16.76,12.03,20:26:04:046,42.87,78.46
20.95,0.63,20:26:04:181,34.05,79.82
22.13,-3.00,20:26:04:299,23.46,81.15
22.03,-15.14,20:26:04:427,6.84,77.48
18.28,-16.47,20:26:04:555,-14.70,80.70
18.24,-20.24,20:26:04:688,-29.11,77.59
19.44,-20.62,20:26:04:829,-42.72,72.37
21.12,-17.91,20:26:04:978,-58.52,65.69
25.85,-21.27,20:26:05:119,-69.94,58.66
28.59,-23.09,20:26:05:243,-84.00,54.27
31.44,-23.83,20:26:05:371,-87.69,46.38
32.16,-24.40,20:26:05:500,-91.51,47.18
32.03,-24.56,20:26:05:621,-91.06,46.52
32.15,-25.21,20:26:05:766,-86.30,44.11
