93.34,34.27,15-56-59-134,7.86,-69.08
93.16,34.37,15-56-59-227,8.20,-69.22
93.08,34.23,15-56-59-338,8.23,-69.88
93.02,34.06,15-56-59-430,8.18,-70.56
93.11,34.06,15-56-59-529,7.97,-70.43
93.30,33.33,15-56-59-640,6.75,-69.86
93.55,33.09,15-56-59-746,6.27,-69.78
93.71,32.96,15-56-59-829,6.09,-70.11
93.84,32.86,15-56-59-930,6.02,-70.32
93.94,32.78,15-57-00-035,5.95,-70.48
94.09,32.54,15-57-00-131,6.07,-71.16
94.20,32.38,15-57-00-229,6.26,-71.73
94.47,32.18,15-57-00-338,7.76,-72.58
94.68,32.31,15-57-00-428,10.71,-72.67
94.77,32.34,15-57-00-514,12.75,-70.93
94.98,31.89,15-57-00-627,14.05,-71.12
95.44,31.67,15-57-00-736,15.02,-70.05
96.47,30.78,15-57-00-831,16.94,-69.57
97.63,30.90,15-57-00-927,19.99,-67.15
99.48,30.81,15-57-01-036,23.90,-65.58
102.52,31.75,15-57-01-136,30.36,-62.80
106.29,35.02,15-57-01-252,39.25,-55.24
108.29,37.85,15-57-01-346,44.82,-49.25
112.49,42.08,15-57-01-448,54.48,-40.68
115.03,45.41,15-57-01-546,60.71,-34.14
116.61,47.98,15-57-01-646,64.94,-29.34
118.11,52.85,15-57-01-748,72.35,-20.13
119.54,56.98,15-57-01-848,78.69,-12.39
119.14,59.17,15-57-01-945,81.52,-8.20
118.78,63.85,15-57-02-048,89.84,-0.97
119.52,68.92,15-57-02-150,98.82,-11.39
119.81,72.01,15-57-02-247,104.25,-17.82
119.24,74.50,15-57-02-346,108.61,-23.01
118.58,75.83,15-57-02-442,111.14,-25.78
118.13,77.80,15-57-02-543,114.56,-30.08
116.89,79.75,15-57-02-646,118.75,-34.97
114.88,80.96,15-57-02-746,122.73,-38.28
113.70,82.71,15-57-02-846,126.79,-43.40
112.31,83.71,15-57-02-951,129.99,-46.62
111.38,84.30,15-57-03-046,132.14,-48.73
110.66,85.08,15-57-03-145,134.20,-51.46
