Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,10.66,-24.86,19:37:28:137,666.00,6.45
10.86,-25.05,19:37:28:733,666.00,6.29
10.56,-24.32,19:37:28:953,666.00,6.26
10.69,-25.26,19:37:29:282,666.00,6.38
10.81,-24.78,19:37:29:481,666.00,6.38
10.91,-24.15,19:37:29:635,666.00,6.20
10.79,-24.39,19:37:29:761,666.00,6.28
10.76,-24.57,19:37:29:903,666.00,6.25
10.93,-24.46,19:37:30:031,666.00,6.21
10.90,-24.76,19:37:30:160,666.00,6.26
10.74,-24.14,19:37:30:284,666.00,6.18
10.58,-23.73,19:37:30:408,666.00,6.21
10.72,-23.44,19:37:30:532,666.00,6.08
10.69,-23.41,19:37:30:859,666.00,6.23
10.81,-23.26,19:37:30:983,666.00,5.96
10.62,-23.08,19:37:31:116,666.00,6.17
10.53,-23.56,19:37:31:241,666.00,6.37
10.58,-24.24,19:37:31:365,666.00,6.52
10.74,-24.29,19:37:31:496,666.00,6.48
10.67,-23.90,19:37:31:621,666.00,6.10
10.60,-23.87,19:37:31:748,666.00,6.07
10.51,-23.67,19:37:31:863,666.00,6.05
10.77,-23.86,19:37:31:993,666.00,5.97
10.95,-23.75,19:37:32:112,666.00,5.96
10.89,-24.05,19:37:32:231,666.00,5.85
10.86,-23.83,19:37:32:351,666.00,5.93
10.77,-23.58,19:37:32:479,666.00,5.86
10.74,-23.08,19:37:32:608,666.00,5.64
10.63,-22.85,19:37:32:741,666.00,5.66
10.72,-23.60,19:37:32:866,666.00,5.88
10.63,-23.45,19:37:32:993,666.00,5.88
10.67,-23.88,19:37:33:121,666.00,5.87
11.03,-24.85,19:37:33:252,666.00,6.41
15.04,-20.99,19:37:33:392,666.00,11.20
28.00,-6.86,19:37:33:519,666.00,8.78
39.78,-0.78,19:37:33:640,666.00,15.49
57.61,5.61,19:37:33:768,666.00,11.90
77.20,9.74,19:37:33:903,666.00,7.23
94.31,11.95,19:37:34:030,666.00,4.47
106.55,12.24,19:37:34:162,666.00,5.23
116.85,12.63,19:37:34:299,666.00,5.99
127.15,12.57,19:37:34:432,666.00,8.71
134.78,16.00,19:37:34:556,666.00,7.12
141.11,19.13,19:37:34:688,666.00,7.54
147.39,21.57,19:37:34:817,666.00,6.96
151.03,28.36,19:37:34:957,666.00,7.33
156.26,37.08,19:37:35:088,666.00,7.54
158.64,45.14,19:37:35:219,666.00,8.90
159.98,51.03,19:37:35:354,666.00,9.72
159.48,54.50,19:37:35:485,666.00,10.23
159.63,56.31,19:37:35:620,666.00,10.50
159.47,54.02,19:37:35:748,666.00,10.49
158.77,47.67,19:37:35:875,666.00,7.27
155.22,37.58,19:37:35:999,666.00,4.06
147.12,25.51,19:37:36:130,666.00,8.32
138.73,18.18,19:37:36:261,666.00,4.18
131.34,14.38,19:37:36:409,666.00,3.40
120.73,10.86,19:37:36:536,666.00,7.61
110.17,12.82,19:37:36:658,666.00,7.25
98.13,14.10,19:37:36:788,666.00,4.64
81.35,13.09,19:37:36:919,666.00,4.37
65.50,10.41,19:37:37:049,666.00,6.28
52.68,9.53,19:37:37:178,666.00,5.90
37.56,4.02,19:37:37:321,666.00,7.03
29.07,-0.27,19:37:37:457,666.00,7.58
20.70,-4.05,19:37:37:588,666.00,8.91
16.11,-3.40,19:37:37:718,666.00,6.65
13.96,-3.59,19:37:37:865,666.00,4.47
12.15,-1.84,19:37:37:994,666.00,4.82
11.11,0.53,19:37:38:126,666.00,3.55
10.22,1.97,19:37:38:251,666.00,3.20
10.17,1.50,19:37:38:392,666.00,3.22
10.07,3.05,19:37:38:521,666.00,3.12
11.26,1.70,19:37:38:660,666.00,3.83
20.24,-3.44,19:37:38:782,666.00,9.30
32.82,0.77,19:37:38:907,666.00,11.95
55.23,7.31,19:37:39:038,666.00,9.90
79.22,11.55,19:37:39:162,666.00,6.99
99.36,14.75,19:37:39:280,666.00,4.00
