Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,8.47,-11.91,19:43:23:310,-2.75,45.48
2.17,39.03,19:43:23:851,-5.66,86.79
29.93,92.84,19:43:25:196,-8.34,70.97
31.46,93.18,19:43:25:679,-6.10,65.56
31.66,92.94,19:43:25:900,-4.00,82.85
31.66,93.02,19:43:26:065,-3.89,82.97
25.24,91.66,19:43:26:422,-3.56,91.37
24.56,91.36,19:43:26:565,-3.24,92.18
24.46,91.44,19:43:26:698,-3.25,92.26
24.22,91.52,19:43:26:828,-1.74,88.76
25.32,91.52,19:43:26:953,-1.47,86.79
25.62,91.66,19:43:27:082,-6.15,77.50
25.93,92.25,19:43:27:204,3.70,80.56
25.50,91.99,19:43:27:329,-6.29,79.75
22.10,89.77,19:43:27:454,-4.86,86.73
21.52,89.11,19:43:27:602,-4.77,87.67
22.49,89.07,19:43:27:737,-4.71,85.92
24.13,90.29,19:43:27:870,-5.80,82.32
24.80,90.39,19:43:27:997,-6.14,80.59
25.17,90.05,19:43:28:133,-5.85,79.36
25.60,90.05,19:43:28:261,-5.63,78.46
24.05,89.54,19:43:28:380,-5.07,82.83
23.46,88.73,19:43:28:505,-4.43,85.97
15.00,129.05,19:43:28:639,-17.21,104.55
23.14,88.45,19:43:28:766,0.70,89.35
2.94,201.69,19:43:28:897,10.31,109.27
22.76,89.62,19:43:29:021,-4.94,88.01
23.50,91.51,19:43:29:170,0.47,95.59
23.57,91.58,19:43:29:301,-6.79,81.64
23.77,91.59,19:43:29:446,-7.06,80.56
4.64,149.85,19:43:29:587,-11.30,104.01
11.84,-74.89,19:43:29:720,-10.02,117.05
10.99,-76.77,19:43:29:849,-17.16,115.85
5.66,-85.29,19:43:29:980,-26.88,107.06
11.69,-6.69,19:43:30:113,-24.44,92.44
13.09,0.42,19:43:30:245,-30.79,90.02
15.29,-1.25,19:43:30:380,-38.62,90.02
19.37,1.92,19:43:30:522,-41.11,86.43
20.70,-3.31,19:43:30:658,-44.72,87.09
20.46,-7.20,19:43:30:782,-49.47,87.35
20.30,-13.06,19:43:30:915,-52.26,88.77
20.74,-15.04,19:43:31:051,-54.41,88.45
20.85,-16.20,19:43:31:179,-55.88,88.13
21.17,-14.25,19:43:31:317,-55.70,87.52
21.41,-10.72,19:43:31:454,-54.60,86.94
20.13,-11.12,19:43:31:581,-46.35,89.22
17.51,-2.81,19:43:31:715,-36.54,88.40
14.26,-0.28,19:43:31:840,-26.84,88.64
8.71,-3.77,19:43:31:991,-15.35,91.09
5.26,17.37,19:43:32:118,-1.77,92.55
25.07,78.88,19:43:32:250,15.14,71.84
21.32,34.56,19:43:32:385,29.41,87.22
22.98,57.37,19:43:32:519,40.29,81.01
20.36,48.03,19:43:32:651,44.21,87.98
19.67,47.03,19:43:32:791,52.76,88.16
21.38,45.37,19:43:32:925,58.50,93.69
21.65,44.50,19:43:33:055,59.63,94.05
22.10,45.27,19:43:33:179,61.42,93.06
22.06,44.04,19:43:33:310,61.08,93.90
21.82,43.76,19:43:33:434,60.84,94.09
21.64,42.82,19:43:33:556,60.26,94.43
20.95,42.96,19:43:33:681,58.93,94.28
19.13,51.41,19:43:33:828,52.16,89.79
18.80,51.93,19:43:33:958,41.13,84.76
21.27,57.39,19:43:34:092,31.41,79.89
21.16,40.66,19:43:34:219,19.58,82.81
8.40,67.58,19:43:34:353,-5.13,89.18
7.81,-77.63,19:43:34:486,-13.90,112.45
2.14,-50.07,19:43:34:611,-23.06,104.49
2.19,-26.85,19:43:34:737,-27.83,101.85
16.69,30.53,19:43:34:866,-28.63,76.56
19.05,28.67,19:43:35:008,-36.66,75.39
18.79,21.82,19:43:35:142,-42.73,77.28
19.80,17.09,19:43:35:263,-45.59,76.46
20.69,17.15,19:43:35:405,-46.25,75.22
20.54,16.80,19:43:35:540,-45.82,75.56
21.10,17.95,19:43:35:663,-45.32,74.62
19.88,16.66,19:43:35:794,-45.31,75.33
18.56,15.86,19:43:35:922,-42.91,76.49
17.78,20.78,19:43:36:072,-34.47,76.65
13.27,23.14,19:43:36:200,-23.08,81.03
9.79,19.73,19:43:36:330,-11.72,80.04
4.52,76.86,19:43:36:458,0.12,86.23
17.60,33.41,19:43:36:577,23.15,77.82
18.86,40.49,19:43:36:711,34.64,88.97
18.86,46.49,19:43:36:828,40.50,83.15
19.02,46.55,19:43:36:963,46.20,84.48
19.63,46.38,19:43:37:093,53.37,89.80
19.74,45.16,19:43:37:226,55.13,85.94
20.59,44.68,19:43:37:380,59.76,92.67
20.55,44.76,19:43:37:512,62.35,95.22
21.13,45.19,19:43:37:647,62.21,93.57
21.13,45.07,19:43:37:774,61.07,93.44
21.25,43.83,19:43:37:902,62.15,95.02
21.32,43.04,19:43:38:050,60.66,92.31
15.05,32.63,19:43:38:185,52.64,93.93
25.17,92.03,19:43:38:315,51.95,65.66
18.13,54.59,19:43:38:446,36.95,80.05
22.19,58.93,19:43:38:577,27.75,72.17
16.94,27.49,19:43:38:705,17.70,78.06
5.79,90.83,19:43:38:843,-12.08,91.04
1.24,110.97,19:43:38:986,-23.32,95.37
2.00,-37.07,19:43:39:125,-29.05,97.60
3.42,55.59,19:43:39:270,-38.59,88.06
3.48,52.00,19:43:39:402,-45.37,88.57
3.50,22.63,19:43:39:538,-50.48,88.28
4.76,-15.90,19:43:39:682,-53.07,89.19
6.83,-20.55,19:43:39:813,-54.52,88.00
2.56,-17.13,19:43:39:954,-58.24,89.18
6.42,-35.91,19:43:40:090,-54.71,93.65
6.79,-33.04,19:43:40:244,-54.52,91.69
5.42,-48.05,19:43:40:402,-52.00,92.91
4.14,-36.20,19:43:40:531,-43.49,90.70
3.20,-33.89,19:43:40:655,-30.38,92.18
1.98,39.03,19:43:40:779,-18.44,92.29
9.74,129.32,19:43:40:903,-22.43,81.68
20.10,40.44,19:43:41:037,26.18,79.14
22.33,50.85,19:43:41:177,36.28,80.92
22.35,61.50,19:43:41:322,42.26,76.17
21.62,65.23,19:43:41:452,47.59,74.31
25.75,79.25,19:43:41:581,57.17,69.24
22.19,82.39,19:43:41:705,54.67,77.17
21.91,67.75,19:43:41:834,60.42,80.09
20.04,49.16,19:43:41:971,58.83,87.05
19.63,49.20,19:43:42:111,58.69,87.12
20.25,48.09,19:43:42:248,58.99,87.54
19.79,47.31,19:43:42:387,58.74,87.88
19.20,47.80,19:43:42:521,58.20,87.62
19.46,48.08,19:43:42:646,58.38,87.60
19.64,48.67,19:43:42:767,56.62,81.51
19.46,54.11,19:43:42:892,51.49,80.28
25.52,78.61,19:43:43:017,44.37,64.02
23.62,63.58,19:43:43:150,30.58,69.41
19.29,46.58,19:43:43:283,19.09,77.66
10.52,132.51,19:43:43:413,-22.12,73.75
6.36,51.38,19:43:43:531,-13.64,77.85
1.38,-4.81,19:43:43:658,-24.65,88.88
5.59,-28.67,19:43:43:781,-26.05,91.87
4.00,22.03,19:43:43:914,-36.69,83.32
8.96,-62.32,19:43:44:050,-37.97,97.26
10.28,-74.37,19:43:44:186,-41.45,99.45
18.41,19.55,19:43:44:327,-39.28,72.16
17.95,18.91,19:43:44:465,-39.02,72.47
18.18,20.13,19:43:44:599,-39.34,71.70
18.01,20.77,19:43:44:728,-38.85,71.77
18.56,24.21,19:43:44:843,-34.61,70.86
18.78,29.10,19:43:44:977,-26.79,69.48
14.38,36.15,19:43:45:101,-16.88,72.45
4.39,119.62,19:43:45:226,-19.03,77.58
2.38,138.77,19:43:45:354,-13.66,108.01
21.08,41.41,19:43:45:482,24.60,72.90
20.28,42.49,19:43:45:618,37.19,78.51
19.11,45.08,19:43:45:756,40.91,77.38
19.22,50.42,19:43:45:889,52.26,79.64
19.46,52.57,19:43:46:017,54.82,80.64
21.29,58.55,19:43:46:146,60.42,84.32
19.84,49.63,19:43:46:288,58.60,80.87
19.80,50.42,19:43:46:420,58.10,80.18
19.79,47.59,19:43:46:558,57.21,81.17
17.54,51.95,19:43:46:681,55.13,79.10
18.31,45.58,19:43:46:816,55.37,81.53
18.54,62.28,19:43:46:950,51.52,76.81
23.24,70.34,19:43:47:082,50.93,75.91
19.80,55.25,19:43:47:209,40.07,76.48
21.52,56.36,19:43:47:332,27.18,71.25
16.09,37.11,19:43:47:473,17.97,71.08
1.47,166.12,19:43:47:622,-15.68,79.23
5.01,5.57,19:43:47:751,-12.12,80.60
6.64,-57.93,19:43:47:881,-18.18,97.52
10.11,-71.89,19:43:48:015,-21.58,102.11
14.78,33.21,19:43:48:134,-21.09,70.74
9.61,-37.55,19:43:48:276,-25.92,95.48
6.06,-46.83,19:43:48:399,-32.04,93.95
2.77,-12.53,19:43:48:532,-37.34,87.16
3.09,3.33,19:43:48:663,-38.99,85.60
3.78,14.34,19:43:48:794,-39.29,84.14
4.06,12.69,19:43:48:923,-39.19,83.97
3.34,16.32,19:43:49:053,-39.47,84.22
9.96,-57.97,19:43:49:182,-32.84,98.26
4.78,-50.57,19:43:49:320,-30.82,90.33
10.79,-65.31,19:43:49:461,-17.66,106.84
6.40,25.88,19:43:49:607,-6.34,74.75
17.80,38.72,19:43:49:757,22.73,74.16
19.91,53.67,19:43:49:893,40.94,68.85
15.61,61.54,19:43:50:028,44.13,78.67
19.59,83.84,19:43:50:151,51.69,75.89
17.97,48.25,19:43:50:286,54.43,80.28
17.71,49.29,19:43:50:418,55.93,85.95
17.30,47.83,19:43:50:552,54.04,80.77
17.22,47.15,19:43:50:699,54.62,86.18
17.72,30.57,19:43:50:829,51.64,86.11
10.14,56.99,19:43:50:960,43.90,83.67
11.07,50.50,19:43:51:096,36.83,85.12
17.48,47.77,19:43:51:235,35.46,74.41
15.52,33.43,19:43:51:373,19.82,70.27
16.04,40.41,19:43:51:502,15.52,70.68
7.57,54.59,19:43:51:632,-1.88,84.26
6.16,27.44,19:43:51:773,-9.71,84.59
7.69,29.94,19:43:51:904,-15.27,80.08
1.16,-34.34,19:43:52:057,-27.53,94.58
3.80,-64.85,19:43:52:195,-29.73,98.40
3.05,31.68,19:43:52:322,-34.64,86.39
2.33,-7.70,19:43:52:450,-36.04,90.19
2.02,9.27,19:43:52:579,-37.94,88.69
